open,high,low,close,volume,datetime,symbol
2.78,2.78,2.78,2.78,434,2021-06-01 09:15:00,WATT
2.71,2.71,2.71,2.71,271,2021-06-01 10:15:00,WATT
2.73,2.73,2.73,2.73,350,2021-06-01 12:25:00,WATT
2.75,2.75,2.75,2.75,100,2021-06-01 12:40:00,WATT
2.76,2.76,2.76,2.76,150,2021-06-01 13:10:00,WATT
2.76,2.81,2.76,2.8079,34185,2021-06-01 13:30:00,WATT
2.81,2.82,2.81,2.82,25393,2021-06-01 13:35:00,WATT
2.8279,2.85,2.82,2.8499,29575,2021-06-01 13:40:00,WATT
2.84,2.84,2.79,2.79,10280,2021-06-01 13:45:00,WATT
2.79,2.82,2.79,2.82,29267,2021-06-01 13:50:00,WATT
2.82,2.82,2.79,2.82,16606,2021-06-01 13:55:00,WATT
2.82,2.82,2.78,2.785,12483,2021-06-01 14:00:00,WATT
2.7801,2.79,2.775,2.785,25321,2021-06-01 14:05:00,WATT
2.7815,2.79,2.7501,2.7501,5448,2021-06-01 14:10:00,WATT
2.75,2.755,2.73,2.74,22956,2021-06-01 14:15:00,WATT
2.7399,2.74,2.73,2.73,3069,2021-06-01 14:20:00,WATT
2.7398,2.74,2.73,2.74,2800,2021-06-01 14:25:00,WATT
2.73,2.76,2.73,2.7544,15665,2021-06-01 14:30:00,WATT
2.7517,2.76,2.73,2.73,21716,2021-06-01 14:35:00,WATT
2.73,2.76,2.73,2.76,19200,2021-06-01 14:40:00,WATT
2.75,2.75,2.7,2.71,32282,2021-06-01 14:45:00,WATT
2.7,2.72,2.7,2.7,19713,2021-06-01 14:50:00,WATT
2.7,2.7,2.67,2.675,28733,2021-06-01 14:55:00,WATT
2.67,2.71,2.67,2.705,9325,2021-06-01 15:00:00,WATT
2.71,2.74,2.7,2.74,22750,2021-06-01 15:05:00,WATT
2.74,2.75,2.72,2.75,13034,2021-06-01 15:10:00,WATT
2.755,2.76,2.745,2.76,5612,2021-06-01 15:15:00,WATT
2.76,2.76,2.735,2.735,3100,2021-06-01 15:20:00,WATT
2.735,2.74,2.73,2.74,4500,2021-06-01 15:25:00,WATT
2.74,2.745,2.74,2.74,3300,2021-06-01 15:30:00,WATT
2.75,2.755,2.745,2.755,6591,2021-06-01 15:35:00,WATT
2.76,2.76,2.75,2.76,10370,2021-06-01 15:40:00,WATT
2.755,2.76,2.75,2.76,2828,2021-06-01 15:45:00,WATT
2.76,2.77,2.7595,2.77,3563,2021-06-01 15:50:00,WATT
2.77,2.77,2.76,2.77,1900,2021-06-01 15:55:00,WATT
2.765,2.77,2.755,2.765,6412,2021-06-01 16:00:00,WATT
2.77,2.78,2.76,2.78,3612,2021-06-01 16:05:00,WATT
2.775,2.79,2.775,2.79,25147,2021-06-01 16:10:00,WATT
2.785,2.7889,2.78,2.7889,8000,2021-06-01 16:15:00,WATT
2.78,2.78,2.78,2.78,3443,2021-06-01 16:20:00,WATT
2.785,2.8,2.78,2.8,6873,2021-06-01 16:25:00,WATT
2.7938,2.7938,2.79,2.7912,1521,2021-06-01 16:30:00,WATT
