open,high,low,close,volume,datetime,symbol
7.06,7.17,7.0,7.17,1339,2021-07-06 13:30:00,AGLE
6.9958,6.9958,6.99,6.99,690,2021-07-06 13:40:00,AGLE
6.985,6.985,6.985,6.985,1300,2021-07-06 13:45:00,AGLE
6.985,6.985,6.96,6.97,2902,2021-07-06 13:50:00,AGLE
6.965,7.0,6.925,7.0,12974,2021-07-06 13:55:00,AGLE
6.975,6.975,6.96,6.96,400,2021-07-06 14:00:00,AGLE
6.97,6.975,6.95,6.97,1649,2021-07-06 14:05:00,AGLE
6.97,6.97,6.97,6.97,300,2021-07-06 14:10:00,AGLE
6.975,7.0,6.975,6.995,900,2021-07-06 14:15:00,AGLE
7.0,7.0,7.0,7.0,1997,2021-07-06 14:20:00,AGLE
7.0,7.0,6.94,6.965,8803,2021-07-06 14:30:00,AGLE
6.965,7.03,6.965,7.03,300,2021-07-06 14:35:00,AGLE
7.03,7.03,7.03,7.03,100,2021-07-06 14:40:00,AGLE
7.005,7.01,7.005,7.01,200,2021-07-06 14:50:00,AGLE
6.995,7.01,6.99,7.005,900,2021-07-06 15:00:00,AGLE
7.03,7.05,7.02,7.05,504,2021-07-06 15:05:00,AGLE
7.04,7.04,7.03,7.03,300,2021-07-06 15:20:00,AGLE
7.05,7.05,7.05,7.05,100,2021-07-06 15:25:00,AGLE
7.03,7.035,7.02,7.035,400,2021-07-06 15:30:00,AGLE
7.05,7.05,7.05,7.05,100,2021-07-06 15:35:00,AGLE
7.06,7.06,7.06,7.06,200,2021-07-06 15:40:00,AGLE
7.07,7.07,7.04,7.04,300,2021-07-06 15:45:00,AGLE
7.045,7.045,7.045,7.045,100,2021-07-06 15:55:00,AGLE
7.025,7.05,7.025,7.05,300,2021-07-06 16:00:00,AGLE
7.045,7.045,7.045,7.045,200,2021-07-06 16:10:00,AGLE
7.025,7.025,7.025,7.025,600,2021-07-06 16:20:00,AGLE
7.025,7.025,7.025,7.025,200,2021-07-06 16:25:00,AGLE
7.02,7.05,7.02,7.05,300,2021-07-06 16:30:00,AGLE
