open,high,low,close,volume,datetime,symbol
23.11,23.11,23.11,23.11,400,2021-07-06 10:05:00,AMKR
23.13,23.13,23.13,23.13,179,2021-07-06 12:15:00,AMKR
23.12,23.12,23.12,23.12,100,2021-07-06 12:20:00,AMKR
23.13,23.13,23.13,23.13,100,2021-07-06 12:25:00,AMKR
23.12,23.235,23.11,23.13,11746,2021-07-06 13:30:00,AMKR
23.14,23.16,23.08,23.1446,11771,2021-07-06 13:35:00,AMKR
23.18,23.19,23.01,23.06,3897,2021-07-06 13:40:00,AMKR
23.05,23.12,23.05,23.12,6873,2021-07-06 13:45:00,AMKR
23.11,23.12,23.02,23.03,5204,2021-07-06 13:50:00,AMKR
23.04,23.06,23.01,23.05,4850,2021-07-06 13:55:00,AMKR
23.05,23.06,22.87,22.87,14284,2021-07-06 14:00:00,AMKR
22.9,22.94,22.86,22.8606,6358,2021-07-06 14:05:00,AMKR
22.86,22.9,22.85,22.88,6596,2021-07-06 14:10:00,AMKR
22.86,22.89,22.8,22.85,7291,2021-07-06 14:15:00,AMKR
22.85,22.89,22.83,22.86,9537,2021-07-06 14:20:00,AMKR
22.86,22.86,22.8,22.83,6987,2021-07-06 14:25:00,AMKR
22.825,22.825,22.741,22.77,6075,2021-07-06 14:30:00,AMKR
22.75,22.81,22.7,22.81,8077,2021-07-06 14:35:00,AMKR
22.82,22.82,22.785,22.795,1441,2021-07-06 14:40:00,AMKR
22.79,22.8,22.76,22.78,2780,2021-07-06 14:45:00,AMKR
22.78,22.8,22.75,22.75,8575,2021-07-06 14:50:00,AMKR
22.74,22.77,22.73,22.73,2783,2021-07-06 14:55:00,AMKR
22.7,22.715,22.66,22.67,7589,2021-07-06 15:00:00,AMKR
22.67,22.74,22.67,22.74,2597,2021-07-06 15:05:00,AMKR
22.75,22.75,22.72,22.75,1924,2021-07-06 15:10:00,AMKR
22.75,22.75,22.67,22.67,4277,2021-07-06 15:15:00,AMKR
22.69,22.71,22.68,22.69,4907,2021-07-06 15:20:00,AMKR
22.69,22.72,22.685,22.72,3054,2021-07-06 15:25:00,AMKR
22.705,22.729,22.68,22.7229,6298,2021-07-06 15:30:00,AMKR
22.73,22.75,22.73,22.75,2515,2021-07-06 15:35:00,AMKR
22.76,22.77,22.74,22.76,1724,2021-07-06 15:40:00,AMKR
22.76,22.76,22.73,22.76,3291,2021-07-06 15:45:00,AMKR
22.735,22.735,22.7,22.7,3760,2021-07-06 15:50:00,AMKR
22.7,22.7,22.66,22.68,1922,2021-07-06 15:55:00,AMKR
22.68,22.69,22.64,22.64,5810,2021-07-06 16:00:00,AMKR
22.63,22.6364,22.54,22.56,8549,2021-07-06 16:05:00,AMKR
22.53,22.58,22.52,22.53,7997,2021-07-06 16:10:00,AMKR
22.525,22.54,22.46,22.49,16115,2021-07-06 16:15:00,AMKR
22.47,22.53,22.45,22.51,8600,2021-07-06 16:20:00,AMKR
22.49,22.52,22.47,22.51,2200,2021-07-06 16:25:00,AMKR
22.5,22.5,22.39,22.42,56148,2021-07-06 16:30:00,AMKR
22.42,22.44,22.39,22.44,2671,2021-07-06 16:35:00,AMKR
22.42,22.43,22.3901,22.42,3342,2021-07-06 16:40:00,AMKR
22.4,22.46,22.39,22.45,3427,2021-07-06 16:45:00,AMKR
22.47,22.49,22.45,22.49,1932,2021-07-06 16:50:00,AMKR
22.48,22.52,22.48,22.52,1800,2021-07-06 16:55:00,AMKR
22.52,22.52,22.49,22.5098,2144,2021-07-06 17:00:00,AMKR
22.529,22.54,22.52,22.54,1600,2021-07-06 17:05:00,AMKR
22.53,22.53,22.5,22.53,3734,2021-07-06 17:10:00,AMKR
22.54,22.5514,22.53,22.5401,2222,2021-07-06 17:15:00,AMKR
22.55,22.569,22.55,22.555,1193,2021-07-06 17:20:00,AMKR
22.57,22.5726,22.555,22.565,1831,2021-07-06 17:25:00,AMKR
22.55,22.57,22.55,22.57,2000,2021-07-06 17:30:00,AMKR
22.56,22.59,22.55,22.59,2098,2021-07-06 17:35:00,AMKR
22.5956,22.63,22.59,22.63,4709,2021-07-06 17:40:00,AMKR
