open,high,low,close,volume,datetime,symbol
58.52,58.52,58.52,58.52,100,2021-07-06 12:55:00,ARCB
59.17,59.17,59.17,59.17,446,2021-07-06 13:25:00,ARCB
58.88,59.01,58.53,58.53,10106,2021-07-06 13:30:00,ARCB
58.55,58.55,58.3397,58.47,1603,2021-07-06 13:35:00,ARCB
58.49,58.49,58.2074,58.36,2665,2021-07-06 13:40:00,ARCB
58.38,58.81,58.38,58.5,2681,2021-07-06 13:45:00,ARCB
58.4722,58.5,58.4722,58.495,5323,2021-07-06 13:50:00,ARCB
58.45,58.45,58.335,58.335,335,2021-07-06 13:55:00,ARCB
58.2,58.22,57.927,58.046,9961,2021-07-06 14:00:00,ARCB
58.14,58.14,58.0201,58.08,437,2021-07-06 14:05:00,ARCB
57.87,57.87,57.67,57.67,1282,2021-07-06 14:10:00,ARCB
57.54,57.67,57.4179,57.645,800,2021-07-06 14:15:00,ARCB
57.65,57.81,57.5,57.8,7371,2021-07-06 14:20:00,ARCB
57.7,57.7694,57.45,57.45,11014,2021-07-06 14:25:00,ARCB
57.42,57.42,57.1315,57.2,1669,2021-07-06 14:30:00,ARCB
57.35,57.39,57.1685,57.39,520,2021-07-06 14:35:00,ARCB
57.44,57.46,57.21,57.2587,1840,2021-07-06 14:40:00,ARCB
57.14,57.24,57.04,57.115,2103,2021-07-06 14:45:00,ARCB
57.06,57.06,56.8233,57.01,4117,2021-07-06 14:50:00,ARCB
56.98,56.98,56.73,56.8778,3779,2021-07-06 14:55:00,ARCB
56.9,57.0,56.66,56.905,2657,2021-07-06 15:00:00,ARCB
56.86,56.86,56.67,56.67,2274,2021-07-06 15:05:00,ARCB
56.6,56.695,56.4,56.695,2266,2021-07-06 15:10:00,ARCB
56.82,56.92,56.77,56.77,769,2021-07-06 15:15:00,ARCB
56.72,56.759,56.51,56.51,700,2021-07-06 15:20:00,ARCB
56.54,56.78,56.47,56.78,1754,2021-07-06 15:25:00,ARCB
56.74,56.74,56.61,56.61,250,2021-07-06 15:30:00,ARCB
56.795,56.875,56.79,56.875,600,2021-07-06 15:35:00,ARCB
57.0,57.01,56.915,57.0,1752,2021-07-06 15:40:00,ARCB
57.005,57.05,56.81,57.0,3187,2021-07-06 15:45:00,ARCB
56.91,56.91,56.83,56.83,1358,2021-07-06 15:50:00,ARCB
56.71,56.85,56.7,56.85,300,2021-07-06 15:55:00,ARCB
56.84,56.84,56.59,56.59,521,2021-07-06 16:00:00,ARCB
56.67,56.69,56.55,56.58,2609,2021-07-06 16:05:00,ARCB
56.655,56.66,56.545,56.59,2554,2021-07-06 16:10:00,ARCB
56.55,56.6008,56.4,56.6,3600,2021-07-06 16:15:00,ARCB
56.5,56.6004,56.5,56.575,500,2021-07-06 16:20:00,ARCB
56.35,56.4,56.35,56.39,2268,2021-07-06 16:25:00,ARCB
56.34,56.38,56.3001,56.32,2075,2021-07-06 16:30:00,ARCB
56.37,56.49,56.36,56.46,1426,2021-07-06 16:35:00,ARCB
56.37,56.37,56.25,56.275,1445,2021-07-06 16:40:00,ARCB
56.3,56.345,56.16,56.315,2883,2021-07-06 16:45:00,ARCB
56.37,56.48,56.27,56.27,3383,2021-07-06 16:50:00,ARCB
56.36,56.5276,56.36,56.45,2490,2021-07-06 16:55:00,ARCB
56.42,56.5,56.4,56.45,4579,2021-07-06 17:00:00,ARCB
56.38,56.45,56.34,56.45,1920,2021-07-06 17:05:00,ARCB
56.4,56.42,56.265,56.3599,5083,2021-07-06 17:10:00,ARCB
56.3,56.385,56.225,56.305,2959,2021-07-06 17:15:00,ARCB
56.31,56.42,56.31,56.375,1018,2021-07-06 17:20:00,ARCB
56.4799,56.515,56.33,56.5,3513,2021-07-06 17:25:00,ARCB
56.515,56.53,56.34,56.4525,10136,2021-07-06 17:30:00,ARCB
56.4525,56.7552,56.4,56.749,8745,2021-07-06 17:35:00,ARCB
56.61,56.68,56.56,56.56,1200,2021-07-06 17:40:00,ARCB
56.625,56.68,56.53,56.63,4058,2021-07-06 17:45:00,ARCB
56.65,56.67,56.57,56.62,1950,2021-07-06 17:50:00,ARCB
56.65,56.695,56.61,56.65,6339,2021-07-06 17:55:00,ARCB
56.7,57.0,56.7,57.0,2446,2021-07-06 18:00:00,ARCB
57.03,57.095,56.983,57.09,1826,2021-07-06 18:05:00,ARCB
57.09,57.13,57.07,57.13,560,2021-07-06 18:10:00,ARCB
57.15,57.2,57.07,57.11,1397,2021-07-06 18:15:00,ARCB
57.13,57.13,57.05,57.13,640,2021-07-06 18:20:00,ARCB
57.1933,57.48,57.18,57.48,11466,2021-07-06 18:25:00,ARCB
57.38,57.44,57.26,57.26,998,2021-07-06 18:30:00,ARCB
57.4,57.4,57.26,57.4,2230,2021-07-06 18:35:00,ARCB
57.4,57.4699,57.35,57.41,2370,2021-07-06 18:40:00,ARCB
57.5099,57.5099,57.34,57.415,2628,2021-07-06 18:45:00,ARCB
57.415,57.425,57.32,57.42,2793,2021-07-06 18:50:00,ARCB
57.4,57.62,57.4,57.62,2237,2021-07-06 18:55:00,ARCB
57.545,57.63,57.545,57.55,1100,2021-07-06 19:00:00,ARCB
57.5641,57.72,57.52,57.72,2900,2021-07-06 19:05:00,ARCB
57.625,57.74,57.61,57.615,2200,2021-07-06 19:10:00,ARCB
57.56,57.65,57.56,57.62,600,2021-07-06 19:15:00,ARCB
57.65,57.74,57.56,57.73,3882,2021-07-06 19:20:00,ARCB
57.72,57.78,57.575,57.64,2789,2021-07-06 19:25:00,ARCB
57.65,57.66,57.52,57.59,3505,2021-07-06 19:30:00,ARCB
57.59,57.78,57.59,57.74,2988,2021-07-06 19:35:00,ARCB
57.75,57.84,57.73,57.73,3334,2021-07-06 19:40:00,ARCB
57.73,57.85,57.73,57.79,3912,2021-07-06 19:45:00,ARCB
57.86,57.97,57.82,57.955,8507,2021-07-06 19:50:00,ARCB
58.0,58.08,57.87,57.94,19025,2021-07-06 19:55:00,ARCB
57.94,57.94,57.94,57.94,40324,2021-07-06 20:00:00,ARCB
57.99,57.99,57.99,57.99,800,2021-07-06 21:00:00,ARCB
57.99,57.99,57.99,57.99,800,2021-07-06 21:10:00,ARCB
57.7,58.77,57.7,58.77,8363,2021-07-07 13:30:00,ARCB
58.78,58.91,58.43,58.43,614,2021-07-07 13:35:00,ARCB
58.655,58.655,58.14,58.2,2907,2021-07-07 13:40:00,ARCB
58.405,58.5,58.405,58.5,300,2021-07-07 13:45:00,ARCB
58.3611,58.84,58.3611,58.47,2167,2021-07-07 13:50:00,ARCB
58.65,58.83,58.55,58.55,1796,2021-07-07 13:55:00,ARCB
58.565,58.68,58.53,58.63,4308,2021-07-07 14:00:00,ARCB
58.56,58.75,58.3,58.305,5523,2021-07-07 14:05:00,ARCB
58.38,58.55,58.13,58.13,3500,2021-07-07 14:10:00,ARCB
58.29,58.3,58.12,58.16,2655,2021-07-07 14:15:00,ARCB
58.235,58.81,58.235,58.755,5956,2021-07-07 14:20:00,ARCB
58.71,58.755,58.3276,58.38,3934,2021-07-07 14:25:00,ARCB
58.42,58.7,58.39,58.645,2665,2021-07-07 14:30:00,ARCB
58.76,59.12,58.76,58.98,7489,2021-07-07 14:35:00,ARCB
58.89,59.09,58.89,58.975,5321,2021-07-07 14:40:00,ARCB
58.975,59.155,58.95,58.96,5930,2021-07-07 14:45:00,ARCB
58.955,59.25,58.955,59.19,3156,2021-07-07 14:50:00,ARCB
59.19,59.19,59.07,59.1621,2736,2021-07-07 14:55:00,ARCB
59.16,59.29,59.16,59.27,5158,2021-07-07 15:00:00,ARCB
59.22,59.28,58.99,58.99,6793,2021-07-07 15:05:00,ARCB
59.0,59.155,58.975,59.04,4504,2021-07-07 15:10:00,ARCB
59.0,59.142,59.0,59.142,2034,2021-07-07 15:15:00,ARCB
59.09,59.37,59.09,59.37,1212,2021-07-07 15:20:00,ARCB
59.4,59.93,59.4,59.64,20036,2021-07-07 15:25:00,ARCB
59.72,59.92,59.72,59.825,1000,2021-07-07 15:30:00,ARCB
59.94,60.115,59.9,59.9,3335,2021-07-07 15:35:00,ARCB
59.89,60.04,59.75,59.75,4620,2021-07-07 15:40:00,ARCB
59.79,59.79,59.5501,59.5501,1085,2021-07-07 15:45:00,ARCB
59.5,59.54,59.23,59.39,1918,2021-07-07 15:50:00,ARCB
59.405,59.47,59.39,59.44,700,2021-07-07 15:55:00,ARCB
59.475,59.6,59.45,59.5,632,2021-07-07 16:00:00,ARCB
59.58,59.6,59.4,59.595,1690,2021-07-07 16:05:00,ARCB
59.54,59.82,59.5,59.805,2100,2021-07-07 16:10:00,ARCB
