open,high,low,close,volume,datetime,symbol
6.13,6.3799,6.13,6.2,8371,2021-07-06 13:30:00,IPW
6.22,6.22,6.2,6.2,1830,2021-07-06 13:35:00,IPW
6.131,6.1899,6.13,6.145,4053,2021-07-06 13:40:00,IPW
6.164,6.164,6.1,6.11,2162,2021-07-06 13:45:00,IPW
6.15,6.15,6.15,6.15,100,2021-07-06 13:50:00,IPW
6.09,6.09,6.01,6.01,1450,2021-07-06 13:55:00,IPW
6.03,6.17,6.03,6.0468,450,2021-07-06 14:00:00,IPW
6.0999,6.1,6.09,6.1,900,2021-07-06 14:05:00,IPW
6.0601,6.07,6.01,6.01,819,2021-07-06 14:10:00,IPW
6.0185,6.0185,6.0101,6.0101,1300,2021-07-06 14:15:00,IPW
6.01,6.0101,5.92,5.9437,15093,2021-07-06 14:20:00,IPW
5.98,5.98,5.9286,5.98,700,2021-07-06 14:25:00,IPW
5.98,5.98,5.96,5.96,1950,2021-07-06 14:30:00,IPW
5.96,5.965,5.9524,5.9524,2660,2021-07-06 14:35:00,IPW
5.96,5.9817,5.96,5.9817,200,2021-07-06 14:40:00,IPW
5.965,5.965,5.94,5.96,1715,2021-07-06 14:45:00,IPW
5.95,5.98,5.95,5.95,2525,2021-07-06 14:50:00,IPW
5.96,5.96,5.96,5.96,300,2021-07-06 14:55:00,IPW
5.96,6.0,5.96,6.0,2184,2021-07-06 15:00:00,IPW
6.0,6.0,5.951,6.0,3810,2021-07-06 15:05:00,IPW
5.98,5.98,5.98,5.98,200,2021-07-06 15:10:00,IPW
5.98,6.03,5.975,6.03,1605,2021-07-06 15:15:00,IPW
5.98,5.98,5.9706,5.98,500,2021-07-06 15:20:00,IPW
5.975,6.05,5.975,6.05,4762,2021-07-06 15:25:00,IPW
5.98,5.991,5.96,5.96,1850,2021-07-06 15:30:00,IPW
5.99,6.0127,5.98,6.0127,400,2021-07-06 15:35:00,IPW
5.98,5.9838,5.97,5.97,800,2021-07-06 15:40:00,IPW
5.98,5.98,5.98,5.98,200,2021-07-06 15:45:00,IPW
5.98,5.98,5.98,5.98,300,2021-07-06 15:50:00,IPW
5.96,5.96,5.96,5.96,358,2021-07-06 15:55:00,IPW
5.94,5.945,5.94,5.94,5842,2021-07-06 16:00:00,IPW
5.9001,5.91,5.9001,5.91,420,2021-07-06 16:05:00,IPW
5.91,5.91,5.91,5.91,115,2021-07-06 16:10:00,IPW
5.91,5.91,5.91,5.91,500,2021-07-06 16:15:00,IPW
5.91,5.91,5.9,5.9,3675,2021-07-06 16:20:00,IPW
5.905,5.9596,5.88,5.9596,10619,2021-07-06 16:25:00,IPW
5.92,5.9879,5.92,5.9879,217,2021-07-06 16:30:00,IPW
5.999,5.999,5.999,5.999,300,2021-07-06 16:35:00,IPW
5.95,5.95,5.95,5.95,100,2021-07-06 16:40:00,IPW
5.935,6.0113,5.9,5.9,1985,2021-07-06 16:50:00,IPW
5.9277,5.9277,5.9277,5.9277,1000,2021-07-06 16:55:00,IPW
5.9974,5.9974,5.9974,5.9974,1000,2021-07-06 17:05:00,IPW
5.94,5.94,5.93,5.93,400,2021-07-06 17:15:00,IPW
5.95,5.95,5.95,5.95,100,2021-07-06 17:20:00,IPW
5.935,5.95,5.935,5.95,1450,2021-07-06 17:30:00,IPW
5.96,5.96,5.95,5.95,1500,2021-07-06 17:35:00,IPW
5.9318,5.9318,5.92,5.92,400,2021-07-06 17:40:00,IPW
5.91,5.91,5.91,5.91,201,2021-07-06 17:45:00,IPW
5.9499,5.9499,5.93,5.93,1999,2021-07-06 18:05:00,IPW
5.93,5.93,5.93,5.93,500,2021-07-06 18:10:00,IPW
5.93,5.94,5.925,5.93,2624,2021-07-06 18:20:00,IPW
5.9325,5.9325,5.9101,5.93,1291,2021-07-06 18:30:00,IPW
5.93,5.93,5.93,5.93,100,2021-07-06 18:35:00,IPW
5.93,5.93,5.85,5.88,22238,2021-07-06 18:45:00,IPW
5.88,5.8845,5.88,5.88,1805,2021-07-06 18:50:00,IPW
5.85,5.8538,5.8,5.81,7928,2021-07-06 18:55:00,IPW
5.8,5.84,5.8,5.84,2014,2021-07-06 19:00:00,IPW
5.8465,5.85,5.8465,5.85,449,2021-07-06 19:05:00,IPW
5.81,5.81,5.7748,5.794,3413,2021-07-06 19:10:00,IPW
5.78,5.8099,5.73,5.78,6758,2021-07-06 19:15:00,IPW
5.79,5.7943,5.76,5.76,1284,2021-07-06 19:20:00,IPW
5.79,5.79,5.79,5.79,400,2021-07-06 19:25:00,IPW
5.88,5.88,5.88,5.88,358,2021-07-06 19:30:00,IPW
5.831,5.831,5.83,5.83,200,2021-07-06 19:35:00,IPW
5.7901,5.8599,5.7901,5.825,3100,2021-07-06 19:40:00,IPW
5.82,5.8445,5.82,5.835,700,2021-07-06 19:45:00,IPW
5.85,5.8601,5.83,5.83,2080,2021-07-06 19:50:00,IPW
5.85,5.85,5.82,5.85,1241,2021-07-06 19:55:00,IPW
5.84,5.84,5.84,5.84,100,2021-07-06 20:00:00,IPW
5.8078,5.8078,5.8,5.8,278,2021-07-06 20:10:00,IPW
5.77,5.77,5.7014,5.7014,3807,2021-07-07 13:30:00,IPW
5.77,5.77,5.7001,5.7001,3277,2021-07-07 13:35:00,IPW
5.7,5.71,5.564,5.701,18522,2021-07-07 13:40:00,IPW
5.67,5.67,5.62,5.62,1142,2021-07-07 13:45:00,IPW
5.59,5.6,5.535,5.559,14980,2021-07-07 13:50:00,IPW
5.61,5.632,5.6,5.6,3345,2021-07-07 13:55:00,IPW
5.63,5.6799,5.6,5.645,12700,2021-07-07 14:00:00,IPW
5.6511,5.6584,5.55,5.61,6918,2021-07-07 14:05:00,IPW
5.635,5.66,5.6176,5.63,3450,2021-07-07 14:10:00,IPW
5.6647,5.6647,5.581,5.581,3390,2021-07-07 14:15:00,IPW
5.63,5.68,5.58,5.68,20700,2021-07-07 14:20:00,IPW
5.68,6.1,5.6799,5.86,142064,2021-07-07 14:25:00,IPW
5.9114,6.01,5.88,6.01,6054,2021-07-07 14:30:00,IPW
5.9386,6.65,5.87,6.65,174710,2021-07-07 14:35:00,IPW
6.67,7.25,6.65,6.93,764024,2021-07-07 14:40:00,IPW
6.93,6.9307,6.49,6.68,265793,2021-07-07 14:45:00,IPW
6.69,6.788,6.49,6.64,102766,2021-07-07 14:50:00,IPW
6.6799,6.81,6.6003,6.775,74910,2021-07-07 14:55:00,IPW
6.79,6.89,6.66,6.66,36649,2021-07-07 15:00:00,IPW
6.67,7.0,6.63,7.0,112857,2021-07-07 15:05:00,IPW
7.0,7.07,6.73,7.001,131796,2021-07-07 15:10:00,IPW
7.0693,7.36,6.9101,6.95,225685,2021-07-07 15:15:00,IPW
6.95,7.1069,6.7101,6.7701,51331,2021-07-07 15:20:00,IPW
6.82,6.89,6.45,6.547,183946,2021-07-07 15:25:00,IPW
6.51,6.85,6.5,6.71,51734,2021-07-07 15:30:00,IPW
6.66,6.76,6.66,6.71,4424,2021-07-07 15:35:00,IPW
6.76,6.85,6.7,6.81,16975,2021-07-07 15:40:00,IPW
6.78,6.838,6.56,6.6243,25347,2021-07-07 15:45:00,IPW
6.62,6.84,6.61,6.82,50358,2021-07-07 15:50:00,IPW
6.818,6.82,6.71,6.71,12815,2021-07-07 15:55:00,IPW
6.71,6.94,6.7,6.895,61894,2021-07-07 16:00:00,IPW
6.873,7.39,6.873,7.2299,266738,2021-07-07 16:05:00,IPW
7.23,7.4,7.11,7.3287,130425,2021-07-07 16:10:00,IPW
7.3799,7.3799,6.84,6.93,105980,2021-07-07 16:15:00,IPW
6.87,7.0201,6.85,6.96,26725,2021-07-07 16:20:00,IPW
6.86,7.0,6.86,6.905,38839,2021-07-07 16:25:00,IPW
6.94,7.12,6.91,7.0301,58309,2021-07-07 16:30:00,IPW
7.09,7.1717,6.85,7.0998,71993,2021-07-07 16:35:00,IPW
7.0,7.36,6.9001,7.2168,261673,2021-07-07 16:40:00,IPW
7.2,7.35,7.14,7.14,105603,2021-07-07 16:45:00,IPW
7.142,7.2399,7.05,7.12,69234,2021-07-07 16:50:00,IPW
7.1399,7.47,7.11,7.3613,326793,2021-07-07 16:55:00,IPW
7.36,7.5,7.14,7.2699,287216,2021-07-07 17:00:00,IPW
7.245,7.33,7.108,7.1539,97447,2021-07-07 17:05:00,IPW
7.1642,7.1642,6.8868,7.055,179526,2021-07-07 17:10:00,IPW
7.05,7.09,6.9,6.9,35021,2021-07-07 17:15:00,IPW
6.9621,7.1,6.95,7.08,30239,2021-07-07 17:20:00,IPW
7.1,7.38,7.0924,7.3,320567,2021-07-07 17:25:00,IPW
7.25,7.79,7.21,7.6408,603330,2021-07-07 17:30:00,IPW
7.67,7.69,6.72,6.96,390893,2021-07-07 17:35:00,IPW
6.94,7.0299,6.82,6.95,269038,2021-07-07 17:40:00,IPW
6.959,7.1,6.87,6.99,238467,2021-07-07 17:45:00,IPW
6.975,7.18,6.9,7.18,170178,2021-07-07 17:50:00,IPW
7.18,7.2,6.9,6.9,68178,2021-07-07 17:55:00,IPW
6.97,7.12,6.92,7.04,100158,2021-07-07 18:00:00,IPW
6.975,6.99,6.87,6.87,59670,2021-07-07 18:05:00,IPW
6.925,7.01,6.751,6.935,174592,2021-07-07 18:10:00,IPW
6.915,7.4634,6.9,7.101,286606,2021-07-07 18:15:00,IPW
7.1375,7.18,7.01,7.09,70714,2021-07-07 18:20:00,IPW
7.0921,7.2399,6.98,7.14,146909,2021-07-07 18:25:00,IPW
7.124,7.32,7.12,7.2106,157917,2021-07-07 18:30:00,IPW
7.23,7.25,7.04,7.21,64470,2021-07-07 18:35:00,IPW
