open,high,low,close,volume,datetime,symbol
14.28,14.28,14.24,14.24,992,2021-07-06 13:30:00,UAE
14.1185,14.17,14.09,14.1,1750,2021-07-06 13:35:00,UAE
14.09,14.09,14.09,14.09,445,2021-07-06 14:00:00,UAE
14.09,14.09,14.09,14.09,603,2021-07-06 14:05:00,UAE
14.03,14.03,14.03,14.03,200,2021-07-06 14:20:00,UAE
14.02,14.02,14.02,14.02,100,2021-07-06 15:00:00,UAE
14.0105,14.0105,14.0105,14.0105,150,2021-07-06 15:15:00,UAE
14.0253,14.0253,14.0253,14.0253,340,2021-07-06 16:00:00,UAE
14.0106,14.0106,14.0106,14.0106,2000,2021-07-06 16:35:00,UAE
14.01,14.01,14.01,14.01,200,2021-07-06 19:10:00,UAE
14.01,14.01,14.01,14.01,100,2021-07-06 19:40:00,UAE
14.01,14.01,14.01,14.01,400,2021-07-06 19:50:00,UAE
14.02,14.02,14.02,14.02,200,2021-07-06 19:55:00,UAE
14.0,14.0,14.0,14.0,1833,2021-07-06 20:00:00,UAE
14.0,14.0,14.0,14.0,100,2021-07-07 13:25:00,UAE
13.89,13.89,13.88,13.88,2854,2021-07-07 13:30:00,UAE
14.09,14.09,14.09,14.09,100,2021-07-07 13:35:00,UAE
14.07,14.07,14.05,14.05,1300,2021-07-07 13:45:00,UAE
14.06,14.12,14.0599,14.06,55100,2021-07-07 13:50:00,UAE
14.07,14.1,14.07,14.1,54600,2021-07-07 13:55:00,UAE
14.02,14.0201,14.02,14.0201,350,2021-07-07 14:15:00,UAE
14.02,14.02,14.02,14.02,200,2021-07-07 14:30:00,UAE
14.0,14.01,14.0,14.01,280,2021-07-07 14:55:00,UAE
14.0,14.01,13.95,13.95,13800,2021-07-07 15:05:00,UAE
13.962,13.962,13.962,13.962,135,2021-07-07 16:00:00,UAE
13.97,13.97,13.95,13.95,200,2021-07-07 16:05:00,UAE
13.95,13.95,13.95,13.95,100,2021-07-07 16:10:00,UAE
13.95,13.95,13.95,13.95,100,2021-07-07 17:15:00,UAE
13.94,13.94,13.94,13.94,200,2021-07-07 17:25:00,UAE
13.94,13.94,13.94,13.94,100,2021-07-07 17:45:00,UAE
13.94,13.94,13.94,13.94,200,2021-07-07 18:55:00,UAE
13.94,13.94,13.94,13.94,100,2021-07-07 19:20:00,UAE
13.94,13.94,13.93,13.93,300,2021-07-07 19:30:00,UAE
14.01,14.02,13.98,13.98,300,2021-07-07 19:45:00,UAE
13.94,13.94,13.94,13.94,200,2021-07-07 19:50:00,UAE
