open,high,low,close,volume,datetime,symbol
55.94,56.06,55.07,55.07,1211,2021-06-01 13:30:00,ZNTL
55.07,55.27,54.68,55.04,1828,2021-06-01 13:35:00,ZNTL
55.02,55.7,55.02,55.5,600,2021-06-01 13:40:00,ZNTL
55.04,55.1,54.2101,54.26,1000,2021-06-01 13:45:00,ZNTL
54.6,54.67,54.31,54.31,600,2021-06-01 13:50:00,ZNTL
54.23,54.47,53.97,54.45,3600,2021-06-01 13:55:00,ZNTL
54.725,54.78,54.715,54.78,1099,2021-06-01 14:00:00,ZNTL
54.87,54.89,54.87,54.88,300,2021-06-01 14:05:00,ZNTL
54.44,54.44,54.09,54.09,1400,2021-06-01 14:10:00,ZNTL
53.87,54.29,53.87,54.19,1500,2021-06-01 14:15:00,ZNTL
53.79,53.79,53.5,53.5,900,2021-06-01 14:20:00,ZNTL
53.59,53.73,53.59,53.73,720,2021-06-01 14:25:00,ZNTL
53.9,54.14,53.53,54.02,2700,2021-06-01 14:30:00,ZNTL
53.97,54.31,53.88,54.13,1519,2021-06-01 14:35:00,ZNTL
54.19,54.19,53.62,53.62,1100,2021-06-01 14:45:00,ZNTL
53.65,53.74,53.65,53.65,1166,2021-06-01 14:50:00,ZNTL
53.59,53.59,53.39,53.52,1000,2021-06-01 14:55:00,ZNTL
53.44,53.67,53.42,53.67,3423,2021-06-01 15:00:00,ZNTL
53.6406,53.85,53.64,53.75,1504,2021-06-01 15:05:00,ZNTL
53.9,53.95,53.8,53.95,800,2021-06-01 15:10:00,ZNTL
53.95,53.95,53.95,53.95,300,2021-06-01 15:15:00,ZNTL
53.925,54.04,53.925,54.04,700,2021-06-01 15:20:00,ZNTL
53.91,54.02,53.91,54.02,800,2021-06-01 15:25:00,ZNTL
53.96,53.96,53.83,53.83,1200,2021-06-01 15:35:00,ZNTL
53.745,53.83,53.745,53.79,300,2021-06-01 15:40:00,ZNTL
53.7305,54.25,53.71,54.25,3675,2021-06-01 15:45:00,ZNTL
53.72,54.0,53.72,53.87,2000,2021-06-01 15:50:00,ZNTL
53.74,53.74,53.74,53.74,100,2021-06-01 16:00:00,ZNTL
53.77,53.97,53.73,53.97,987,2021-06-01 16:05:00,ZNTL
53.99,54.01,53.99,54.01,1100,2021-06-01 16:10:00,ZNTL
54.45,54.51,54.45,54.51,200,2021-06-01 16:15:00,ZNTL
54.345,54.345,54.2,54.2,200,2021-06-01 16:25:00,ZNTL
54.24,54.24,54.201,54.201,300,2021-06-01 16:30:00,ZNTL
54.22,54.32,54.12,54.32,1720,2021-06-01 16:35:00,ZNTL
54.37,54.4,54.21,54.26,2440,2021-06-01 16:40:00,ZNTL
54.5,54.5,54.38,54.4305,1000,2021-06-01 16:45:00,ZNTL
54.23,54.23,54.23,54.23,100,2021-06-01 16:50:00,ZNTL
54.38,54.38,54.28,54.28,300,2021-06-01 16:55:00,ZNTL
54.33,54.34,54.28,54.34,1660,2021-06-01 17:00:00,ZNTL
54.41,54.43,54.41,54.43,300,2021-06-01 17:05:00,ZNTL
54.44,54.44,54.44,54.44,100,2021-06-01 17:10:00,ZNTL
54.4,54.44,54.4,54.44,200,2021-06-01 17:15:00,ZNTL
54.36,54.36,54.36,54.36,100,2021-06-01 17:20:00,ZNTL
54.2,54.45,54.2,54.26,2174,2021-06-01 17:25:00,ZNTL
54.27,54.27,54.04,54.12,3742,2021-06-01 17:30:00,ZNTL
54.02,54.02,54.0,54.0,200,2021-06-01 17:35:00,ZNTL
54.08,54.13,53.985,54.13,1000,2021-06-01 17:40:00,ZNTL
54.14,54.53,54.14,54.275,1566,2021-06-01 17:45:00,ZNTL
54.46,54.46,54.44,54.4425,300,2021-06-01 17:50:00,ZNTL
