open,high,low,close,volume,datetime,symbol
90.57,90.57,90.57,90.57,150,2021-08-23 11:25:00,CAR
91.76,92.49,91.76,92.49,1014,2021-08-23 13:25:00,CAR
92.0944,93.9,91.59,93.7925,78199,2021-08-23 13:30:00,CAR
93.7401,94.0,92.98,93.6022,22772,2021-08-23 13:35:00,CAR
93.81,94.4,93.588,94.1573,32993,2021-08-23 13:40:00,CAR
94.24,94.3672,93.36,93.75,18386,2021-08-23 13:45:00,CAR
93.9,94.06,93.01,93.015,19173,2021-08-23 13:50:00,CAR
92.9901,93.02,92.36,92.46,21653,2021-08-23 13:55:00,CAR
92.505,92.85,91.98,91.98,15728,2021-08-23 14:00:00,CAR
91.81,92.11,91.61,91.73,12055,2021-08-23 14:05:00,CAR
91.74,92.57,91.74,92.57,17823,2021-08-23 14:10:00,CAR
92.69,93.171,92.69,93.02,14164,2021-08-23 14:15:00,CAR
93.07,93.11,92.59,92.76,6722,2021-08-23 14:20:00,CAR
92.73,92.9,92.3,92.3,5330,2021-08-23 14:25:00,CAR
92.2612,92.36,91.6,91.61,8348,2021-08-23 14:30:00,CAR
91.6799,91.949,91.32,91.67,18554,2021-08-23 14:35:00,CAR
91.77,91.84,91.21,91.61,10128,2021-08-23 14:40:00,CAR
91.56,91.9,91.56,91.9,4463,2021-08-23 14:45:00,CAR
91.92,92.115,91.78,91.78,3536,2021-08-23 14:50:00,CAR
91.74,91.74,91.25,91.52,9937,2021-08-23 14:55:00,CAR
91.36,91.78,91.3,91.78,3780,2021-08-23 15:00:00,CAR
91.86,91.86,91.43,91.63,5388,2021-08-23 15:05:00,CAR
91.72,91.75,91.6,91.69,4400,2021-08-23 15:10:00,CAR
91.67,91.93,91.6,91.605,4108,2021-08-23 15:15:00,CAR
91.61,91.97,91.61,91.92,4560,2021-08-23 15:20:00,CAR
91.91,92.0,91.73,91.79,5350,2021-08-23 15:25:00,CAR
91.725,91.99,91.71,91.82,3849,2021-08-23 15:30:00,CAR
91.82,91.88,91.76,91.76,2767,2021-08-23 15:35:00,CAR
91.67,91.68,91.3,91.41,3871,2021-08-23 15:40:00,CAR
91.32,91.32,91.03,91.04,4737,2021-08-23 15:45:00,CAR
91.0201,91.18,90.895,90.9899,17195,2021-08-23 15:50:00,CAR
90.95,91.14,90.855,91.12,3501,2021-08-23 15:55:00,CAR
91.31,91.61,91.115,91.61,12923,2021-08-23 16:00:00,CAR
91.67,91.98,91.67,91.84,8158,2021-08-23 16:05:00,CAR
91.805,91.86,91.69,91.79,6261,2021-08-23 16:10:00,CAR
91.815,91.94,91.8,91.94,2431,2021-08-23 16:15:00,CAR
91.955,92.0558,91.86,91.8614,3201,2021-08-23 16:20:00,CAR
91.7801,91.7801,91.685,91.69,4071,2021-08-23 16:25:00,CAR
91.73,91.83,91.52,91.83,5038,2021-08-23 16:30:00,CAR
91.84,91.84,91.65,91.71,4934,2021-08-23 16:35:00,CAR
91.68,91.82,91.68,91.76,1500,2021-08-23 16:40:00,CAR
91.73,91.73,91.1852,91.1852,7366,2021-08-23 16:45:00,CAR
91.22,91.3,91.11,91.16,4156,2021-08-23 16:50:00,CAR
91.16,91.4,90.97,91.3,11359,2021-08-23 16:55:00,CAR
91.25,91.33,91.1,91.15,6847,2021-08-23 17:00:00,CAR
91.23,91.265,91.16,91.23,2884,2021-08-23 17:05:00,CAR
91.27,91.3,91.1698,91.26,3749,2021-08-23 17:10:00,CAR
91.25,91.25,91.06,91.1,6810,2021-08-23 17:15:00,CAR
91.1095,91.16,90.96,91.045,9192,2021-08-23 17:20:00,CAR
91.01,91.2,90.98,91.14,20909,2021-08-23 17:25:00,CAR
91.16,91.23,90.95,91.0,65282,2021-08-23 17:30:00,CAR
91.005,91.03,90.84,90.84,9173,2021-08-23 17:35:00,CAR
90.78,91.0,90.69,90.95,5467,2021-08-23 17:40:00,CAR
90.945,91.01,90.75,90.75,4828,2021-08-23 17:45:00,CAR
90.74,90.74,90.59,90.635,5434,2021-08-23 17:50:00,CAR
90.72,90.72,90.545,90.59,1400,2021-08-23 17:55:00,CAR
90.61,90.69,90.46,90.53,9502,2021-08-23 18:00:00,CAR
90.5,90.6,90.488,90.49,2905,2021-08-23 18:05:00,CAR
90.51,90.59,90.43,90.475,3571,2021-08-23 18:10:00,CAR
90.47,90.58,90.3852,90.58,4861,2021-08-23 18:15:00,CAR
90.64,90.78,90.615,90.7736,2728,2021-08-23 18:20:00,CAR
90.82,90.83,90.57,90.66,2609,2021-08-23 18:25:00,CAR
90.66,90.75,90.56,90.64,3110,2021-08-23 18:30:00,CAR
90.675,90.92,90.675,90.92,4853,2021-08-23 18:35:00,CAR
90.9201,91.0675,90.89,90.915,15625,2021-08-23 18:40:00,CAR
90.96,90.99,90.7703,90.99,3289,2021-08-23 18:45:00,CAR
90.955,91.05,90.915,91.025,5791,2021-08-23 18:50:00,CAR
90.9488,91.19,90.94,91.15,4194,2021-08-23 18:55:00,CAR
91.19,91.2,90.97,91.0,3800,2021-08-23 19:00:00,CAR
90.99,91.2,90.98,91.11,6822,2021-08-23 19:05:00,CAR
91.13,91.23,91.06,91.11,5512,2021-08-23 19:10:00,CAR
91.095,91.16,91.02,91.07,2800,2021-08-23 19:15:00,CAR
91.075,91.075,90.86,90.98,8246,2021-08-23 19:20:00,CAR
