open,high,low,close,volume,datetime,symbol
0.79,0.79,0.79,0.79,884,2021-08-23 11:00:00,GLG
0.7916,0.7916,0.7916,0.7916,500,2021-08-23 11:10:00,GLG
0.7916,0.7916,0.7916,0.7916,1000,2021-08-23 11:15:00,GLG
0.7916,0.7916,0.7916,0.7916,100,2021-08-23 11:20:00,GLG
0.7916,0.7916,0.7916,0.7916,1141,2021-08-23 11:35:00,GLG
0.8,0.8,0.8,0.8,350,2021-08-23 12:00:00,GLG
0.8,0.8,0.8,0.8,273,2021-08-23 12:05:00,GLG
0.8,0.8,0.8,0.8,107,2021-08-23 12:15:00,GLG
0.8,0.8,0.8,0.8,330,2021-08-23 12:55:00,GLG
0.7901,0.7995,0.7901,0.7995,1000,2021-08-23 13:05:00,GLG
0.793,0.793,0.793,0.793,1250,2021-08-23 13:15:00,GLG
0.793,0.793,0.793,0.793,900,2021-08-23 13:20:00,GLG
0.793,0.793,0.793,0.793,100,2021-08-23 13:25:00,GLG
0.7845,0.7845,0.78,0.7801,33652,2021-08-23 13:30:00,GLG
0.78,0.7801,0.765,0.7698,20503,2021-08-23 13:35:00,GLG
0.765,0.765,0.753,0.759699,12667,2021-08-23 13:40:00,GLG
0.7535,0.76,0.75,0.76,52492,2021-08-23 13:45:00,GLG
0.7597,0.7737,0.7597,0.7737,11278,2021-08-23 13:50:00,GLG
0.76,0.7754,0.76,0.7754,3313,2021-08-23 13:55:00,GLG
0.760101,0.77,0.76,0.7601,12101,2021-08-23 14:00:00,GLG
0.7642,0.775,0.7642,0.7675,3288,2021-08-23 14:05:00,GLG
0.767501,0.7676,0.7675,0.7676,6128,2021-08-23 14:10:00,GLG
0.7676,0.7676,0.7601,0.7601,21414,2021-08-23 14:15:00,GLG
0.7602,0.7609,0.7602,0.7608,6250,2021-08-23 14:20:00,GLG
0.77,0.77,0.7601,0.7676,661,2021-08-23 14:25:00,GLG
0.7601,0.7649,0.7601,0.7649,3200,2021-08-23 14:30:00,GLG
0.765,0.765,0.765,0.765,830,2021-08-23 14:35:00,GLG
0.7601,0.7601,0.7601,0.7601,2000,2021-08-23 14:40:00,GLG
0.76299,0.763,0.7601,0.7601,2372,2021-08-23 14:45:00,GLG
0.7602,0.7602,0.76,0.76,2800,2021-08-23 14:50:00,GLG
0.76,0.7654,0.7502,0.76,10244,2021-08-23 14:55:00,GLG
0.7502,0.7502,0.75,0.7501,6458,2021-08-23 15:00:00,GLG
0.7501,0.7502,0.7501,0.7502,6343,2021-08-23 15:05:00,GLG
0.76,0.76,0.755101,0.76,1371,2021-08-23 15:10:00,GLG
0.76,0.76,0.7502,0.75503,400,2021-08-23 15:15:00,GLG
0.7502,0.7588,0.7501,0.7588,2471,2021-08-23 15:20:00,GLG
0.7588,0.7588,0.7502,0.7503,1769,2021-08-23 15:25:00,GLG
0.750201,0.7506,0.750201,0.7506,1601,2021-08-23 15:30:00,GLG
0.754,0.754,0.754,0.754,2108,2021-08-23 15:40:00,GLG
0.7521,0.7521,0.7503,0.7503,2655,2021-08-23 15:45:00,GLG
0.752149,0.752149,0.7503,0.7503,215,2021-08-23 15:50:00,GLG
0.7504,0.752,0.7503,0.7503,3065,2021-08-23 15:55:00,GLG
0.7521,0.7521,0.7503,0.7504,6612,2021-08-23 16:00:00,GLG
0.7503,0.7521,0.7503,0.7521,2235,2021-08-23 16:05:00,GLG
0.752,0.752,0.7501,0.7501,6500,2021-08-23 16:10:00,GLG
0.7501,0.75105,0.75,0.75105,11111,2021-08-23 16:15:00,GLG
0.75,0.75,0.75,0.75,1384,2021-08-23 16:20:00,GLG
0.7511,0.7511,0.7511,0.7511,10330,2021-08-23 16:25:00,GLG
0.7513,0.7513,0.7508,0.7508,3900,2021-08-23 16:35:00,GLG
0.7515,0.7516,0.7515,0.7516,2400,2021-08-23 16:40:00,GLG
0.7512,0.7514,0.7512,0.7514,6545,2021-08-23 16:45:00,GLG
0.7516,0.754,0.751,0.7525,6596,2021-08-23 16:50:00,GLG
0.7528,0.7528,0.751,0.751,6078,2021-08-23 16:55:00,GLG
0.7511,0.7998,0.7511,0.7647,63569,2021-08-23 17:00:00,GLG
0.7952,0.7961,0.7849,0.7961,5233,2021-08-23 17:10:00,GLG
0.78485,0.78485,0.78485,0.78485,100,2021-08-23 17:15:00,GLG
0.77,0.77,0.77,0.77,100,2021-08-23 17:20:00,GLG
0.7997,0.7997,0.7849,0.7849,606,2021-08-23 17:25:00,GLG
0.7849,0.7849,0.777451,0.777451,1087,2021-08-23 17:30:00,GLG
0.7849,0.7849,0.77,0.77745,5115,2021-08-23 17:35:00,GLG
0.784686,0.784686,0.77725,0.77725,540,2021-08-23 17:40:00,GLG
0.7772,0.7772,0.7772,0.7772,2050,2021-08-23 18:00:00,GLG
0.77715,0.78075,0.77715,0.78075,3344,2021-08-23 18:05:00,GLG
0.7772,0.7772,0.7772,0.7772,400,2021-08-23 18:10:00,GLG
0.7844,0.7844,0.78075,0.78075,800,2021-08-23 18:15:00,GLG
0.7772,0.7772,0.7772,0.7772,270,2021-08-23 18:20:00,GLG
0.7771,0.7771,0.7771,0.7771,5769,2021-08-23 18:25:00,GLG
0.7773,0.7844,0.7773,0.7808,1100,2021-08-23 18:30:00,GLG
0.784,0.7844,0.784,0.784,14300,2021-08-23 18:40:00,GLG
0.779,0.7839,0.779,0.7831,7243,2021-08-23 18:45:00,GLG
0.783,0.783,0.7772,0.7772,8340,2021-08-23 18:50:00,GLG
0.7781,0.7781,0.77,0.7701,11896,2021-08-23 19:00:00,GLG
0.7702,0.7702,0.7701,0.7701,637,2021-08-23 19:20:00,GLG
0.7701,0.7815,0.7701,0.7815,817,2021-08-23 19:25:00,GLG
0.7814,0.7814,0.775,0.775,1225,2021-08-23 19:30:00,GLG
0.775,0.7799,0.775,0.775,3762,2021-08-23 19:35:00,GLG
0.775,0.7751,0.775,0.7751,4383,2021-08-23 19:40:00,GLG
0.7771,0.78,0.7771,0.78,1286,2021-08-23 19:45:00,GLG
0.7702,0.7799,0.7702,0.7771,946,2021-08-23 19:55:00,GLG
0.7702,0.7702,0.7702,0.7702,1830,2021-08-23 20:00:00,GLG
0.7702,0.7702,0.7702,0.7702,100,2021-08-23 20:05:00,GLG
0.7705,0.7705,0.7705,0.7705,600,2021-08-23 20:30:00,GLG
0.7974,0.7974,0.7974,0.7974,100,2021-08-23 20:35:00,GLG
0.7974,0.7974,0.7974,0.7974,3100,2021-08-23 20:50:00,GLG
0.79,0.79,0.79,0.79,400,2021-08-23 21:00:00,GLG
0.796,0.796,0.796,0.796,100,2021-08-23 21:25:00,GLG
0.79,0.79,0.79,0.79,100,2021-08-24 08:10:00,GLG
0.79,0.79,0.79,0.79,200,2021-08-24 08:40:00,GLG
0.79,0.79,0.79,0.79,800,2021-08-24 09:35:00,GLG
0.79,0.79,0.79,0.79,308,2021-08-24 09:45:00,GLG
0.7901,0.7901,0.7901,0.7901,235,2021-08-24 10:25:00,GLG
0.7901,0.7901,0.7901,0.7901,200,2021-08-24 10:55:00,GLG
0.79,0.79,0.79,0.79,284,2021-08-24 11:25:00,GLG
0.79,0.79,0.79,0.79,2752,2021-08-24 11:30:00,GLG
0.782,0.782,0.782,0.782,122,2021-08-24 11:50:00,GLG
0.7996,0.7997,0.7996,0.7997,200,2021-08-24 13:10:00,GLG
0.8,0.8,0.79,0.790486,10215,2021-08-24 13:30:00,GLG
0.771,0.7947,0.771,0.771,1300,2021-08-24 13:35:00,GLG
0.7713,0.7947,0.771,0.7737,1827,2021-08-24 13:40:00,GLG
0.7737,0.793,0.7735,0.7735,3407,2021-08-24 13:45:00,GLG
0.7789,0.7789,0.7711,0.7767,10907,2021-08-24 13:50:00,GLG
0.7767,0.7767,0.775,0.7767,3340,2021-08-24 13:55:00,GLG
0.7957,0.7957,0.78,0.78,1520,2021-08-24 14:00:00,GLG
0.779,0.78,0.7767,0.7767,2453,2021-08-24 14:05:00,GLG
0.7761,0.7761,0.7744,0.7744,200,2021-08-24 14:10:00,GLG
0.7745,0.7827,0.7711,0.7766,350765,2021-08-24 14:15:00,GLG
0.780001,0.797,0.780001,0.797,1238,2021-08-24 14:20:00,GLG
0.78,0.797,0.78,0.797,2132,2021-08-24 14:25:00,GLG
0.786,0.7879,0.782,0.7879,1200,2021-08-24 14:30:00,GLG
0.7967,0.7967,0.7967,0.7967,1000,2021-08-24 14:35:00,GLG
0.7879,0.7883,0.7806,0.7806,500,2021-08-24 14:40:00,GLG
0.7805,0.7805,0.7805,0.7805,1299,2021-08-24 14:45:00,GLG
0.7851,0.7889,0.7851,0.7886,18700,2021-08-24 14:50:00,GLG
0.7856,0.7856,0.7856,0.7856,2000,2021-08-24 14:55:00,GLG
0.78,0.788,0.7769,0.788,108776,2021-08-24 15:00:00,GLG
0.7884,0.7884,0.7884,0.7884,602,2021-08-24 15:05:00,GLG
0.780201,0.780201,0.780201,0.780201,200,2021-08-24 15:10:00,GLG
0.7801,0.7801,0.7801,0.7801,3300,2021-08-24 15:15:00,GLG
0.7801,0.783951,0.78,0.783951,5315,2021-08-24 15:20:00,GLG
0.7878,0.7878,0.7859,0.7878,1600,2021-08-24 15:25:00,GLG
0.7841,0.7881,0.7841,0.7881,2200,2021-08-24 15:30:00,GLG
0.799,0.799,0.78,0.78,230,2021-08-24 15:40:00,GLG
0.7882,0.7882,0.7882,0.7882,1620,2021-08-24 15:45:00,GLG
0.7881,0.7969,0.7881,0.7969,3900,2021-08-24 15:50:00,GLG
0.780301,0.7979,0.780301,0.797799,17417,2021-08-24 15:55:00,GLG
0.7977,0.7977,0.7977,0.7977,200,2021-08-24 16:00:00,GLG
0.7978,0.7978,0.795,0.795,3370,2021-08-24 16:05:00,GLG
0.7899,0.7899,0.7899,0.7899,200,2021-08-24 16:20:00,GLG
0.79,0.79,0.7812,0.7812,500,2021-08-24 16:25:00,GLG
0.7856,0.79,0.7856,0.79,1353,2021-08-24 16:30:00,GLG
0.7899,0.79,0.7899,0.79,2150,2021-08-24 16:35:00,GLG
0.7899,0.7906,0.7898,0.7906,400,2021-08-24 16:50:00,GLG
0.79,0.7934,0.79,0.7934,415,2021-08-24 16:55:00,GLG
0.7947,0.7947,0.789901,0.789901,2400,2021-08-24 17:00:00,GLG
0.7922,0.7922,0.7921,0.7922,900,2021-08-24 17:05:00,GLG
0.7923,0.7923,0.7923,0.7923,966,2021-08-24 17:10:00,GLG
0.7948,0.7948,0.7948,0.7948,500,2021-08-24 17:15:00,GLG
0.79081,0.79081,0.79081,0.79081,425,2021-08-24 17:20:00,GLG
0.7942,0.7942,0.793998,0.793998,600,2021-08-24 17:35:00,GLG
0.7942,0.7942,0.7942,0.7942,1388,2021-08-24 17:40:00,GLG
0.7909,0.7909,0.7909,0.7909,5089,2021-08-24 17:45:00,GLG
0.7908,0.7908,0.7851,0.7851,20948,2021-08-24 17:55:00,GLG
0.7851,0.7851,0.7851,0.7851,2017,2021-08-24 18:00:00,GLG
0.7942,0.805,0.7942,0.8,35370,2021-08-24 18:05:00,GLG
0.7951,0.7969,0.795,0.795,12683,2021-08-24 18:10:00,GLG
0.795,0.795,0.795,0.795,5000,2021-08-24 18:15:00,GLG
0.7951,0.7987,0.795,0.7987,31789,2021-08-24 18:20:00,GLG
0.795,0.7987,0.795,0.7987,2100,2021-08-24 18:25:00,GLG
0.7987,0.7987,0.7987,0.7987,1951,2021-08-24 18:30:00,GLG
