open,high,low,close,volume,datetime,symbol
32.81,32.85,32.81,32.85,539,2021-08-23 13:30:00,KRMA
32.69,32.69,32.69,32.69,100,2021-08-23 13:35:00,KRMA
32.71,32.71,32.7,32.7,300,2021-08-23 13:40:00,KRMA
32.69,32.69,32.69,32.69,200,2021-08-23 13:45:00,KRMA
32.69,32.69,32.68,32.68,400,2021-08-23 13:50:00,KRMA
32.69,32.69,32.69,32.69,400,2021-08-23 13:55:00,KRMA
32.7,32.72,32.67,32.72,772,2021-08-23 14:00:00,KRMA
32.7,32.7,32.69,32.695,1100,2021-08-23 14:05:00,KRMA
32.7,32.7,32.7,32.7,300,2021-08-23 14:10:00,KRMA
32.7,32.71,32.7,32.71,300,2021-08-23 14:15:00,KRMA
32.72,32.72,32.72,32.72,300,2021-08-23 14:20:00,KRMA
32.73,32.75,32.72,32.725,800,2021-08-23 14:25:00,KRMA
32.7299,32.7299,32.71,32.715,1079,2021-08-23 14:30:00,KRMA
32.71,32.72,32.71,32.72,300,2021-08-23 14:35:00,KRMA
32.72,32.725,32.72,32.725,500,2021-08-23 14:40:00,KRMA
32.72,32.73,32.72,32.73,300,2021-08-23 14:45:00,KRMA
32.73,32.735,32.73,32.735,300,2021-08-23 14:50:00,KRMA
32.735,32.735,32.73,32.73,300,2021-08-23 14:55:00,KRMA
32.73,32.735,32.73,32.735,300,2021-08-23 15:00:00,KRMA
32.75,32.75,32.75,32.75,400,2021-08-23 15:05:00,KRMA
32.755,32.8,32.755,32.8,1200,2021-08-23 15:10:00,KRMA
32.76,32.765,32.76,32.765,700,2021-08-23 15:15:00,KRMA
32.78,32.78,32.78,32.78,200,2021-08-23 15:30:00,KRMA
32.78,32.78,32.78,32.78,400,2021-08-23 15:35:00,KRMA
32.78,32.78,32.78,32.78,300,2021-08-23 15:40:00,KRMA
32.78,32.78,32.78,32.78,400,2021-08-23 15:45:00,KRMA
32.78,32.78,32.78,32.78,400,2021-08-23 15:50:00,KRMA
32.734,32.79,32.734,32.79,450,2021-08-23 15:55:00,KRMA
32.79,32.8,32.79,32.8,400,2021-08-23 16:00:00,KRMA
32.79,32.79,32.79,32.79,300,2021-08-23 16:05:00,KRMA
32.79,32.8,32.78,32.78,400,2021-08-23 16:10:00,KRMA
32.8,32.8,32.78,32.78,300,2021-08-23 16:15:00,KRMA
32.8,32.8,32.72,32.76,4800,2021-08-23 16:20:00,KRMA
32.76,32.765,32.76,32.765,300,2021-08-23 16:25:00,KRMA
32.77,32.77,32.77,32.77,300,2021-08-23 16:30:00,KRMA
32.76,32.77,32.76,32.77,300,2021-08-23 16:35:00,KRMA
32.74,32.77,32.74,32.77,500,2021-08-23 16:40:00,KRMA
32.77,32.77,32.77,32.77,560,2021-08-23 16:45:00,KRMA
32.78,32.78,32.78,32.78,100,2021-08-23 16:50:00,KRMA
32.79,32.79,32.79,32.79,600,2021-08-23 16:55:00,KRMA
32.79,32.79,32.74,32.74,1675,2021-08-23 17:00:00,KRMA
32.81,32.81,32.81,32.81,100,2021-08-23 17:10:00,KRMA
32.81,32.81,32.79,32.79,1100,2021-08-23 17:15:00,KRMA
32.77,32.79,32.75,32.79,1215,2021-08-23 17:25:00,KRMA
32.75,32.75,32.75,32.75,800,2021-08-23 17:35:00,KRMA
32.78,32.78,32.78,32.78,469,2021-08-23 17:45:00,KRMA
32.7704,32.7704,32.77,32.77,450,2021-08-23 17:50:00,KRMA
32.78,32.79,32.78,32.79,2216,2021-08-23 17:55:00,KRMA
