open,high,low,close,volume,datetime,symbol
29.67,29.67,29.67,29.67,100,2021-08-23 13:25:00,LIVE
29.3,29.3,27.8,27.8,3800,2021-08-23 13:30:00,LIVE
27.5687,28.6,27.5687,28.6,1649,2021-08-23 13:35:00,LIVE
27.81,28.01,27.57,28.01,5959,2021-08-23 13:40:00,LIVE
28.24,28.27,28.22,28.27,1022,2021-08-23 13:45:00,LIVE
28.69,28.69,27.93,28.6,1146,2021-08-23 13:50:00,LIVE
28.2444,28.2444,27.7091,27.7091,820,2021-08-23 13:55:00,LIVE
27.6001,28.95,27.6001,28.3,6298,2021-08-23 14:15:00,LIVE
27.8,27.8,27.8,27.8,185,2021-08-23 14:30:00,LIVE
29.0,29.0,28.325,28.325,436,2021-08-23 14:35:00,LIVE
28.7499,28.7499,28.7499,28.7499,100,2021-08-23 14:40:00,LIVE
28.4658,28.49,28.4658,28.49,200,2021-08-23 14:50:00,LIVE
28.13,28.1658,28.13,28.1658,330,2021-08-23 15:00:00,LIVE
28.5,28.5,28.49,28.49,297,2021-08-23 15:10:00,LIVE
28.2956,28.2956,28.2956,28.2956,100,2021-08-23 15:20:00,LIVE
28.15,28.4,28.15,28.4,677,2021-08-23 15:30:00,LIVE
28.5,28.5,28.5,28.5,198,2021-08-23 15:40:00,LIVE
28.755,30.12,28.7006,29.71,4725,2021-08-23 15:45:00,LIVE
30.35,30.35,28.99,29.1,1700,2021-08-23 15:50:00,LIVE
28.0,29.3063,28.0,29.3063,200,2021-08-23 17:10:00,LIVE
28.7169,28.765,28.7169,28.755,300,2021-08-23 17:15:00,LIVE
28.75,28.9357,28.75,28.9357,200,2021-08-23 17:20:00,LIVE
28.815,28.815,28.815,28.815,100,2021-08-23 17:30:00,LIVE
29.3099,29.5199,28.86,29.3011,1400,2021-08-23 17:35:00,LIVE
28.9563,29.2299,28.9563,29.2299,200,2021-08-23 17:45:00,LIVE
28.81,28.81,28.81,28.81,100,2021-08-23 17:50:00,LIVE
28.9998,28.9998,28.9998,28.9998,100,2021-08-23 17:55:00,LIVE
28.45,28.83,28.45,28.83,500,2021-08-23 18:10:00,LIVE
28.01,28.8299,28.01,28.71,1000,2021-08-23 18:15:00,LIVE
28.677,28.79,28.405,28.79,1152,2021-08-23 18:20:00,LIVE
28.52,28.52,28.15,28.15,500,2021-08-23 19:20:00,LIVE
28.4266,28.529,28.4266,28.5273,700,2021-08-23 19:25:00,LIVE
28.335,28.335,28.335,28.335,100,2021-08-23 19:40:00,LIVE
28.38,28.41,28.38,28.38,400,2021-08-23 19:45:00,LIVE
28.158,28.26,28.158,28.26,685,2021-08-23 19:50:00,LIVE
