open,high,low,close,volume,datetime,symbol
9.93,9.93,9.93,9.93,362,2021-08-23 13:30:00,MAAC
9.91,9.91,9.91,9.91,600,2021-08-23 13:35:00,MAAC
9.925,9.925,9.92,9.92,300,2021-08-23 13:50:00,MAAC
9.93,9.94,9.92,9.92,10911,2021-08-23 13:55:00,MAAC
9.93,9.93,9.92,9.925,20177,2021-08-23 14:10:00,MAAC
9.93,9.93,9.93,9.93,100,2021-08-23 14:15:00,MAAC
9.92,9.92,9.92,9.92,300,2021-08-23 14:35:00,MAAC
9.92,9.925,9.92,9.925,521,2021-08-23 14:40:00,MAAC
9.92,9.92,9.92,9.92,200,2021-08-23 15:00:00,MAAC
9.93,9.93,9.925,9.925,600,2021-08-23 15:20:00,MAAC
9.9201,9.925,9.92,9.925,1100,2021-08-23 15:55:00,MAAC
9.92,9.925,9.92,9.925,3468,2021-08-23 16:15:00,MAAC
9.92,9.925,9.92,9.925,6481,2021-08-23 16:30:00,MAAC
9.925,9.925,9.925,9.925,200,2021-08-23 16:40:00,MAAC
9.93,9.93,9.92,9.925,900,2021-08-23 16:50:00,MAAC
9.9273,9.9273,9.9273,9.9273,100,2021-08-23 17:10:00,MAAC
9.925,9.925,9.92,9.925,1600,2021-08-23 17:15:00,MAAC
9.925,9.94,9.925,9.93,116587,2021-08-23 19:00:00,MAAC
9.925,9.925,9.925,9.925,1075,2021-08-23 19:05:00,MAAC
9.925,9.925,9.925,9.925,200,2021-08-23 19:10:00,MAAC
9.925,9.925,9.925,9.925,1500,2021-08-23 19:30:00,MAAC
9.93,9.93,9.93,9.93,247480,2021-08-23 19:35:00,MAAC
9.92,9.92,9.92,9.92,300,2021-08-23 19:45:00,MAAC
9.92,9.925,9.92,9.92,775,2021-08-23 19:55:00,MAAC
9.87,9.87,9.86,9.86,401,2021-08-24 11:40:00,MAAC
9.92,9.925,9.92,9.92,1335,2021-08-24 13:30:00,MAAC
9.925,9.93,9.92,9.92,11000,2021-08-24 13:55:00,MAAC
9.93,9.93,9.93,9.93,100,2021-08-24 14:15:00,MAAC
9.93,9.93,9.92,9.92,28902,2021-08-24 14:25:00,MAAC
9.92,9.93,9.92,9.93,417,2021-08-24 14:45:00,MAAC
9.91,9.93,9.9,9.9,32685,2021-08-24 15:15:00,MAAC
9.9,9.905,9.9,9.905,700,2021-08-24 15:20:00,MAAC
9.9,9.91,9.9,9.905,23669,2021-08-24 15:25:00,MAAC
9.91,9.91,9.905,9.905,3210,2021-08-24 15:30:00,MAAC
9.9,9.91,9.89,9.89,46515,2021-08-24 16:15:00,MAAC
9.89,9.895,9.89,9.89,3804,2021-08-24 16:20:00,MAAC
9.89,9.905,9.89,9.9,5000,2021-08-24 16:25:00,MAAC
9.9,9.905,9.9,9.9,2000,2021-08-24 16:30:00,MAAC
9.9,9.9,9.9,9.9,1405,2021-08-24 16:35:00,MAAC
9.9,9.905,9.9,9.9,800,2021-08-24 16:40:00,MAAC
9.9,9.9,9.9,9.9,100,2021-08-24 16:45:00,MAAC
