open,high,low,close,volume,datetime,symbol
9.88,9.88,9.88,9.88,200,2021-08-31 18:50:00,MONCU
9.88,9.8833,9.88,9.8833,1900,2021-08-31 19:00:00,MONCU
9.88,9.88,9.88,9.88,200,2021-08-31 19:50:00,MONCU
9.91,9.91,9.91,9.91,1384,2021-09-09 19:40:00,MONCU
9.92,9.92,9.92,9.92,100,2021-09-09 19:45:00,MONCU
9.9,9.9,9.9,9.9,200,2021-09-09 19:50:00,MONCU
9.9,9.9,9.9,9.9,100,2021-09-09 19:55:00,MONCU
9.91,9.93,9.89,9.92,20500,2021-09-10 13:50:00,MONCU
9.92,9.92,9.91,9.91,1482,2021-09-10 13:55:00,MONCU
9.93,9.93,9.92,9.93,5500,2021-09-13 18:35:00,MONCU
9.93,9.93,9.93,9.93,500,2021-09-13 18:40:00,MONCU
9.93,9.93,9.92,9.92,200,2021-09-13 19:50:00,MONCU
9.93,9.93,9.93,9.93,100,2021-09-13 19:55:00,MONCU
9.92,9.92,9.92,9.92,2037,2021-09-14 18:45:00,MONCU
9.92,9.92,9.92,9.92,750,2021-09-15 13:45:00,MONCU
9.92,9.92,9.92,9.92,100,2021-09-15 14:00:00,MONCU
9.92,9.99,9.92,9.99,652,2021-09-15 14:05:00,MONCU
9.96,9.96,9.96,9.96,300,2021-09-15 15:45:00,MONCU
9.89,9.89,9.89,9.89,2500,2021-09-17 13:30:00,MONCU
9.9,9.9,9.9,9.9,9973,2021-09-22 13:40:00,MONCU
9.93,9.93,9.9,9.9009,3690,2021-09-22 18:10:00,MONCU
9.905,9.91,9.9,9.905,4574,2021-09-22 18:50:00,MONCU
9.9,9.9,9.9,9.9,1093,2021-09-22 19:45:00,MONCU
