open,high,low,close,volume,datetime,symbol
20.16,20.16,19.78,19.98,4490,2021-08-23 13:30:00,OCDX
19.88,19.99,19.88,19.99,200,2021-08-23 13:35:00,OCDX
19.99,19.99,19.95,19.95,200,2021-08-23 13:40:00,OCDX
19.9529,19.99,19.9529,19.99,400,2021-08-23 13:45:00,OCDX
20.0,20.07,19.975,20.07,1391,2021-08-23 13:50:00,OCDX
20.0,20.0,19.89,19.98,6741,2021-08-23 13:55:00,OCDX
19.9,19.9,19.79,19.79,2456,2021-08-23 14:00:00,OCDX
19.83,19.91,19.83,19.91,1400,2021-08-23 14:05:00,OCDX
19.968,20.0489,19.95,19.95,3587,2021-08-23 14:10:00,OCDX
19.92,19.92,19.77,19.81,6578,2021-08-23 14:20:00,OCDX
19.84,19.89,19.82,19.82,4332,2021-08-23 14:25:00,OCDX
19.82,19.83,19.77,19.77,1455,2021-08-23 14:30:00,OCDX
19.75,19.77,19.7,19.76,7465,2021-08-23 14:35:00,OCDX
19.76,19.82,19.76,19.81,1550,2021-08-23 14:40:00,OCDX
19.835,19.85,19.835,19.85,200,2021-08-23 14:45:00,OCDX
19.855,19.87,19.82,19.82,2070,2021-08-23 14:50:00,OCDX
19.86,19.86,19.83,19.845,1011,2021-08-23 14:55:00,OCDX
19.845,19.9,19.845,19.9,1182,2021-08-23 15:00:00,OCDX
19.9,19.92,19.89,19.9,2927,2021-08-23 15:05:00,OCDX
19.915,19.93,19.91,19.93,2200,2021-08-23 15:10:00,OCDX
19.93,19.93,19.84,19.855,3378,2021-08-23 15:15:00,OCDX
19.85,19.85,19.85,19.85,100,2021-08-23 15:20:00,OCDX
19.87,19.87,19.85,19.86,3297,2021-08-23 15:25:00,OCDX
19.87,19.88,19.87,19.88,1178,2021-08-23 15:30:00,OCDX
19.885,19.9,19.8801,19.8801,2561,2021-08-23 15:35:00,OCDX
19.9,19.9,19.85,19.85,1364,2021-08-23 15:40:00,OCDX
19.84,19.84,19.83,19.83,400,2021-08-23 15:45:00,OCDX
19.8,19.825,19.8,19.825,209,2021-08-23 15:50:00,OCDX
19.85,19.85,19.84,19.85,1226,2021-08-23 15:55:00,OCDX
19.85,19.85,19.8401,19.85,1074,2021-08-23 16:00:00,OCDX
19.83,19.83,19.75,19.75,3517,2021-08-23 16:05:00,OCDX
19.72,19.99,19.72,19.815,30783,2021-08-23 16:15:00,OCDX
19.76,19.835,19.76,19.81,700,2021-08-23 16:20:00,OCDX
19.8205,19.83,19.8205,19.83,300,2021-08-23 16:25:00,OCDX
19.825,19.86,19.825,19.86,8039,2021-08-23 16:30:00,OCDX
19.8504,19.88,19.8504,19.88,1100,2021-08-23 16:35:00,OCDX
19.87,19.88,19.87,19.8702,865,2021-08-23 16:40:00,OCDX
19.87,19.87,19.85,19.85,756,2021-08-23 16:45:00,OCDX
19.85,19.88,19.85,19.88,1000,2021-08-23 16:50:00,OCDX
19.91,19.91,19.8904,19.8904,500,2021-08-23 16:55:00,OCDX
19.91,19.91,19.88,19.88,1594,2021-08-23 17:00:00,OCDX
19.88,19.905,19.88,19.905,1513,2021-08-23 17:05:00,OCDX
19.9,19.9,19.86,19.87,866,2021-08-23 17:10:00,OCDX
19.85,19.87,19.85,19.85,1100,2021-08-23 17:15:00,OCDX
19.8704,19.9,19.865,19.865,1651,2021-08-23 17:20:00,OCDX
19.9,19.9,19.875,19.9,1901,2021-08-23 17:25:00,OCDX
19.9,19.91,19.885,19.89,2615,2021-08-23 17:30:00,OCDX
19.88,19.88,19.87,19.87,300,2021-08-23 17:35:00,OCDX
19.8784,19.9,19.87,19.87,3105,2021-08-23 17:40:00,OCDX
19.87,19.87,19.86,19.86,400,2021-08-23 17:45:00,OCDX
19.87,19.8799,19.8602,19.8602,3809,2021-08-23 17:50:00,OCDX
19.87,19.87,19.8402,19.8402,1100,2021-08-23 17:55:00,OCDX
19.85,19.86,19.82,19.82,1361,2021-08-23 18:00:00,OCDX
19.81,19.84,19.81,19.84,810,2021-08-23 18:05:00,OCDX
19.82,19.85,19.82,19.8304,3172,2021-08-23 18:10:00,OCDX
19.8304,19.84,19.82,19.82,875,2021-08-23 18:15:00,OCDX
19.82,19.83,19.8,19.83,1711,2021-08-23 18:20:00,OCDX
19.83,19.84,19.83,19.83,505,2021-08-23 18:25:00,OCDX
19.83,19.83,19.82,19.82,200,2021-08-23 18:30:00,OCDX
19.85,19.85,19.79,19.79,2654,2021-08-23 18:35:00,OCDX
19.79,19.81,19.79,19.81,700,2021-08-23 18:40:00,OCDX
19.8,19.805,19.8,19.805,200,2021-08-23 18:45:00,OCDX
19.79,19.81,19.79,19.8,516,2021-08-23 18:50:00,OCDX
19.79,19.82,19.77,19.82,3262,2021-08-23 18:55:00,OCDX
19.83,19.85,19.82,19.85,300,2021-08-23 19:00:00,OCDX
19.835,19.85,19.83,19.83,518,2021-08-23 19:05:00,OCDX
19.83,19.84,19.82,19.82,6901,2021-08-23 19:10:00,OCDX
19.83,19.87,19.83,19.865,1201,2021-08-23 19:15:00,OCDX
19.865,19.895,19.86,19.89,1447,2021-08-23 19:20:00,OCDX
19.895,19.91,19.895,19.905,1400,2021-08-23 19:25:00,OCDX
19.91,19.92,19.9,19.91,1100,2021-08-23 19:30:00,OCDX
19.91,19.91,19.91,19.91,500,2021-08-23 19:35:00,OCDX
19.9,19.9,19.88,19.89,2291,2021-08-23 19:40:00,OCDX
19.88,19.93,19.88,19.91,2118,2021-08-23 19:45:00,OCDX
19.92,19.94,19.91,19.925,3868,2021-08-23 19:50:00,OCDX
19.92,19.92,19.86,19.87,7523,2021-08-23 19:55:00,OCDX
19.87,19.87,19.87,19.87,22994,2021-08-23 20:00:00,OCDX
19.87,19.87,19.8498,19.8498,1471,2021-08-24 13:30:00,OCDX
19.88,19.88,19.87,19.88,875,2021-08-24 13:50:00,OCDX
19.93,19.99,19.93,19.94,2162,2021-08-24 13:55:00,OCDX
19.95,19.95,19.94,19.94,300,2021-08-24 14:00:00,OCDX
19.97,19.97,19.97,19.97,300,2021-08-24 14:05:00,OCDX
19.9851,19.9851,19.92,19.96,1335,2021-08-24 14:10:00,OCDX
19.96,20.0,19.96,20.0,400,2021-08-24 14:15:00,OCDX
20.03,20.095,20.0232,20.095,1211,2021-08-24 14:20:00,OCDX
20.12,20.16,20.12,20.16,400,2021-08-24 14:25:00,OCDX
20.155,20.165,20.095,20.095,3105,2021-08-24 14:30:00,OCDX
20.095,20.095,20.095,20.095,114,2021-08-24 14:35:00,OCDX
20.095,20.095,20.095,20.095,100,2021-08-24 14:40:00,OCDX
20.07,20.095,20.07,20.095,400,2021-08-24 14:50:00,OCDX
20.08,20.18,20.07,20.18,2895,2021-08-24 14:55:00,OCDX
20.19,20.3,20.19,20.3,2199,2021-08-24 15:00:00,OCDX
20.27,20.34,20.27,20.325,2517,2021-08-24 15:05:00,OCDX
20.325,20.39,20.31,20.38,2634,2021-08-24 15:10:00,OCDX
20.39,20.44,20.39,20.43,3820,2021-08-24 15:15:00,OCDX
20.42,20.5,20.41,20.5,3277,2021-08-24 15:20:00,OCDX
20.5,20.5,20.415,20.43,3259,2021-08-24 15:25:00,OCDX
20.4,20.425,20.4,20.425,1100,2021-08-24 15:30:00,OCDX
20.45,20.49,20.45,20.45,1500,2021-08-24 15:35:00,OCDX
20.43,20.48,20.43,20.47,2500,2021-08-24 15:40:00,OCDX
20.455,20.455,20.455,20.455,200,2021-08-24 15:45:00,OCDX
20.455,20.47,20.44,20.455,604,2021-08-24 15:50:00,OCDX
20.45,20.48,20.45,20.46,1700,2021-08-24 15:55:00,OCDX
20.475,20.51,20.4401,20.5,18367,2021-08-24 16:00:00,OCDX
20.47,20.47,20.38,20.38,3619,2021-08-24 16:05:00,OCDX
