open,high,low,close,volume,datetime,symbol
14.57,14.98,14.57,14.98,378,2021-08-23 13:30:00,PCYO
14.67,14.67,14.65,14.65,500,2021-08-23 13:35:00,PCYO
14.59,14.59,14.59,14.59,200,2021-08-23 13:40:00,PCYO
14.49,14.49,14.49,14.49,100,2021-08-23 13:45:00,PCYO
14.4767,14.635,14.4767,14.635,238,2021-08-23 13:55:00,PCYO
14.68,14.68,14.68,14.68,100,2021-08-23 14:05:00,PCYO
14.6916,14.6916,14.69,14.69,350,2021-08-23 14:15:00,PCYO
14.59,14.69,14.59,14.69,200,2021-08-23 14:20:00,PCYO
14.665,14.665,14.665,14.665,100,2021-08-23 14:25:00,PCYO
14.65,14.65,14.65,14.65,100,2021-08-23 14:35:00,PCYO
14.63,14.63,14.63,14.63,100,2021-08-23 14:50:00,PCYO
14.49,14.49,14.41,14.41,200,2021-08-23 14:55:00,PCYO
14.6,14.6,14.6,14.6,100,2021-08-23 15:00:00,PCYO
14.65,14.65,14.65,14.65,100,2021-08-23 15:05:00,PCYO
14.63,14.63,14.63,14.63,100,2021-08-23 15:20:00,PCYO
14.6,14.6,14.6,14.6,100,2021-08-23 15:25:00,PCYO
14.55,14.605,14.52,14.57,1527,2021-08-23 15:30:00,PCYO
14.58,14.58,14.58,14.58,200,2021-08-23 15:35:00,PCYO
14.6,14.6,14.6,14.6,300,2021-08-23 15:50:00,PCYO
14.585,14.6,14.57,14.57,400,2021-08-23 15:55:00,PCYO
14.605,14.605,14.605,14.605,100,2021-08-23 16:05:00,PCYO
14.59,14.59,14.59,14.59,200,2021-08-23 16:20:00,PCYO
14.59,14.59,14.59,14.59,100,2021-08-23 16:35:00,PCYO
14.575,14.58,14.565,14.58,500,2021-08-23 16:50:00,PCYO
14.58,14.64,14.58,14.64,600,2021-08-23 16:55:00,PCYO
14.65,14.65,14.65,14.65,100,2021-08-23 17:10:00,PCYO
14.625,14.625,14.625,14.625,155,2021-08-23 17:15:00,PCYO
14.68,14.69,14.68,14.69,200,2021-08-23 17:25:00,PCYO
14.745,14.745,14.745,14.745,100,2021-08-23 17:35:00,PCYO
14.75,14.785,14.75,14.77,1652,2021-08-23 17:40:00,PCYO
14.78,14.78,14.77,14.77,200,2021-08-23 17:55:00,PCYO
14.765,14.77,14.765,14.77,200,2021-08-23 18:15:00,PCYO
14.755,14.755,14.755,14.755,100,2021-08-23 18:20:00,PCYO
14.77,14.77,14.77,14.77,200,2021-08-23 18:30:00,PCYO
14.8,14.8,14.8,14.8,100,2021-08-23 18:35:00,PCYO
14.779,14.779,14.779,14.779,100,2021-08-23 18:50:00,PCYO
14.82,14.82,14.82,14.82,100,2021-08-23 19:00:00,PCYO
14.82,14.82,14.81,14.81,300,2021-08-23 19:10:00,PCYO
14.83,14.83,14.83,14.83,100,2021-08-23 19:25:00,PCYO
14.83,14.83,14.83,14.83,100,2021-08-23 19:35:00,PCYO
14.83,14.83,14.82,14.83,300,2021-08-23 19:40:00,PCYO
14.84,14.85,14.84,14.85,600,2021-08-23 19:50:00,PCYO
14.84,14.84,14.78,14.78,1400,2021-08-23 19:55:00,PCYO
14.76,14.76,14.76,14.76,3527,2021-08-23 20:00:00,PCYO
14.6,14.76,14.55,14.76,429,2021-08-24 13:30:00,PCYO
14.83,14.85,14.81,14.81,537,2021-08-24 13:45:00,PCYO
14.85,14.86,14.85,14.86,300,2021-08-24 13:50:00,PCYO
14.875,14.99,14.875,14.99,330,2021-08-24 13:55:00,PCYO
14.91,14.96,14.91,14.95,300,2021-08-24 14:05:00,PCYO
14.94,14.94,14.94,14.94,100,2021-08-24 14:10:00,PCYO
14.94,14.94,14.94,14.94,200,2021-08-24 14:15:00,PCYO
14.965,14.99,14.965,14.99,200,2021-08-24 14:20:00,PCYO
14.98,15.0,14.98,15.0,723,2021-08-24 14:25:00,PCYO
15.08,15.08,15.08,15.08,100,2021-08-24 14:30:00,PCYO
15.11,15.1799,15.09,15.1799,900,2021-08-24 14:35:00,PCYO
15.18,15.18,15.18,15.18,100,2021-08-24 14:40:00,PCYO
15.18,15.2,15.17,15.17,500,2021-08-24 14:45:00,PCYO
15.19,15.19,15.15,15.17,337,2021-08-24 14:50:00,PCYO
15.155,15.155,15.155,15.155,200,2021-08-24 15:00:00,PCYO
15.17,15.17,15.17,15.17,100,2021-08-24 15:05:00,PCYO
15.19,15.19,15.17,15.17,300,2021-08-24 15:10:00,PCYO
15.025,15.025,15.025,15.025,100,2021-08-24 15:20:00,PCYO
15.01,15.01,15.01,15.01,300,2021-08-24 15:25:00,PCYO
15.1379,15.1379,15.1379,15.1379,880,2021-08-24 15:40:00,PCYO
15.15,15.1559,15.15,15.1559,200,2021-08-24 15:45:00,PCYO
15.15,15.15,15.14,15.14,200,2021-08-24 15:50:00,PCYO
15.17,15.17,15.17,15.17,200,2021-08-24 16:05:00,PCYO
15.19,15.19,15.17,15.17,400,2021-08-24 16:10:00,PCYO
15.095,15.095,15.095,15.095,100,2021-08-24 16:20:00,PCYO
15.15,15.15,15.15,15.15,200,2021-08-24 16:30:00,PCYO
15.19,15.19,15.19,15.19,400,2021-08-24 16:35:00,PCYO
15.15,15.15,15.14,15.15,400,2021-08-24 16:40:00,PCYO
15.18,15.18,15.11,15.11,300,2021-08-24 16:50:00,PCYO
15.1062,15.1062,15.095,15.095,300,2021-08-24 16:55:00,PCYO
15.17,15.17,15.17,15.17,100,2021-08-24 17:00:00,PCYO
15.18,15.18,15.18,15.18,100,2021-08-24 17:05:00,PCYO
15.18,15.18,15.18,15.18,200,2021-08-24 17:15:00,PCYO
15.16,15.16,15.1,15.1,300,2021-08-24 17:20:00,PCYO
15.135,15.135,15.135,15.135,100,2021-08-24 17:25:00,PCYO
15.15,15.15,15.15,15.15,100,2021-08-24 17:45:00,PCYO
15.18,15.18,15.18,15.18,100,2021-08-24 18:00:00,PCYO
15.18,15.27,15.18,15.27,3251,2021-08-24 18:10:00,PCYO
15.28,15.28,15.28,15.28,100,2021-08-24 18:15:00,PCYO
15.175,15.19,15.175,15.19,200,2021-08-24 18:30:00,PCYO
15.11,15.11,15.11,15.11,200,2021-08-24 18:35:00,PCYO
15.08,15.08,15.08,15.08,100,2021-08-24 18:40:00,PCYO
15.1417,15.1417,15.14,15.14,300,2021-08-24 18:50:00,PCYO
15.14,15.14,15.115,15.115,400,2021-08-24 18:55:00,PCYO
15.14,15.14,15.14,15.14,400,2021-08-24 19:00:00,PCYO
15.18,15.19,15.18,15.19,200,2021-08-24 19:10:00,PCYO
