open,high,low,close,volume,datetime,symbol
58.3,58.3,58.22,58.3,2539,2021-08-23 13:30:00,RAVN
58.2135,58.2699,58.19,58.19,1600,2021-08-23 13:50:00,RAVN
58.19,58.19,58.15,58.15,600,2021-08-23 13:55:00,RAVN
58.11,58.11,58.11,58.11,100,2021-08-23 14:00:00,RAVN
58.15,58.15,58.15,58.15,100,2021-08-23 14:05:00,RAVN
58.18,58.18,58.14,58.17,726,2021-08-23 14:10:00,RAVN
58.15,58.17,58.15,58.17,600,2021-08-23 14:15:00,RAVN
58.15,58.16,58.1446,58.15,1000,2021-08-23 14:20:00,RAVN
58.14,58.15,58.13,58.15,600,2021-08-23 14:25:00,RAVN
58.14,58.17,58.14,58.1588,300,2021-08-23 14:30:00,RAVN
58.15,58.16,58.14,58.15,756,2021-08-23 14:35:00,RAVN
58.16,58.19,58.14,58.185,5575,2021-08-23 14:40:00,RAVN
58.19,58.2,58.18,58.2,999,2021-08-23 14:45:00,RAVN
58.2,58.2,58.195,58.2,2347,2021-08-23 14:50:00,RAVN
58.195,58.195,58.175,58.175,600,2021-08-23 14:55:00,RAVN
58.17,58.18,58.17,58.18,300,2021-08-23 15:00:00,RAVN
58.19,58.2,58.18,58.18,500,2021-08-23 15:05:00,RAVN
58.175,58.175,58.15,58.15,700,2021-08-23 15:10:00,RAVN
58.18,58.18,58.18,58.18,100,2021-08-23 15:15:00,RAVN
58.165,58.205,58.165,58.205,991,2021-08-23 15:20:00,RAVN
58.22,58.24,58.22,58.24,500,2021-08-23 15:25:00,RAVN
58.24,58.245,58.23,58.245,800,2021-08-23 15:30:00,RAVN
58.265,58.28,58.25,58.25,509,2021-08-23 15:35:00,RAVN
58.255,58.255,58.255,58.255,200,2021-08-23 15:40:00,RAVN
58.27,58.27,58.2511,58.26,600,2021-08-23 15:45:00,RAVN
58.26,58.26,58.25,58.25,400,2021-08-23 15:50:00,RAVN
58.27,58.27,58.26,58.27,900,2021-08-23 15:55:00,RAVN
58.265,58.265,58.265,58.265,400,2021-08-23 16:00:00,RAVN
58.27,58.27,58.26,58.26,400,2021-08-23 16:05:00,RAVN
58.26,58.26,58.26,58.26,353,2021-08-23 16:10:00,RAVN
58.25,58.25,58.25,58.25,100,2021-08-23 16:15:00,RAVN
58.26,58.26,58.245,58.25,703,2021-08-23 16:20:00,RAVN
58.25,58.25,58.25,58.25,100,2021-08-23 16:25:00,RAVN
58.28,58.28,58.265,58.265,300,2021-08-23 16:30:00,RAVN
58.26,58.26,58.25,58.255,500,2021-08-23 16:35:00,RAVN
58.245,58.245,58.23,58.23,853,2021-08-23 16:45:00,RAVN
58.2,58.215,58.2,58.215,400,2021-08-23 16:50:00,RAVN
58.23,58.25,58.22,58.25,1520,2021-08-23 16:55:00,RAVN
58.245,58.245,58.245,58.245,200,2021-08-23 17:00:00,RAVN
58.235,58.235,58.21,58.22,500,2021-08-23 17:05:00,RAVN
58.24,58.26,58.235,58.245,500,2021-08-23 17:10:00,RAVN
58.245,58.245,58.2442,58.2442,635,2021-08-23 17:15:00,RAVN
58.24,58.24,58.24,58.24,300,2021-08-23 17:20:00,RAVN
58.26,58.26,58.22,58.225,600,2021-08-23 17:25:00,RAVN
58.23,58.23,58.21,58.21,2000,2021-08-23 17:30:00,RAVN
58.2,58.2001,58.17,58.18,600,2021-08-23 17:35:00,RAVN
58.18,58.19,58.18,58.185,700,2021-08-23 17:40:00,RAVN
58.185,58.185,58.185,58.185,100,2021-08-23 17:45:00,RAVN
58.185,58.185,58.185,58.185,200,2021-08-23 17:50:00,RAVN
58.2,58.2,58.195,58.195,200,2021-08-23 17:55:00,RAVN
58.195,58.195,58.19,58.19,200,2021-08-23 18:00:00,RAVN
58.22,58.22,58.215,58.215,400,2021-08-23 18:05:00,RAVN
