open,high,low,close,volume,datetime,symbol
9.87,9.88,9.865,9.87,13950,2021-08-23 15:00:00,AKICU
9.86,9.86,9.86,9.86,900,2021-08-23 15:20:00,AKICU
9.86,9.86,9.86,9.86,114,2021-08-23 15:50:00,AKICU
9.86,9.86,9.86,9.86,1600,2021-08-23 15:55:00,AKICU
9.86,9.86,9.86,9.86,3250,2021-08-23 16:00:00,AKICU
9.85,9.85,9.85,9.85,1918,2021-08-23 16:35:00,AKICU
9.84,9.84,9.83,9.84,2100,2021-08-23 18:50:00,AKICU
9.8357,9.84,9.825,9.84,7400,2021-08-23 18:55:00,AKICU
9.85,9.86,9.85,9.86,2100,2021-08-23 19:20:00,AKICU
9.86,9.86,9.86,9.86,900,2021-08-23 19:25:00,AKICU
9.85,9.85,9.84,9.84,2897,2021-08-23 19:45:00,AKICU
9.81,9.81,9.81,9.81,100,2021-08-23 19:50:00,AKICU
9.85,9.85,9.85,9.85,10300,2021-08-24 13:30:00,AKICU
9.82,9.83,9.82,9.825,5000,2021-08-24 13:35:00,AKICU
9.83,9.83,9.83,9.83,3000,2021-08-24 16:15:00,AKICU
9.83,9.83,9.83,9.83,400,2021-08-24 16:35:00,AKICU
9.83,9.83,9.83,9.83,100,2021-08-24 16:40:00,AKICU
9.83,9.83,9.83,9.83,2300,2021-08-24 17:00:00,AKICU
9.83,9.83,9.83,9.83,600,2021-08-24 17:05:00,AKICU
9.83,9.83,9.83,9.83,200,2021-08-24 17:55:00,AKICU
9.83,9.83,9.83,9.83,400,2021-08-24 18:00:00,AKICU
9.83,9.83,9.83,9.83,300,2021-08-24 18:05:00,AKICU
9.83,9.83,9.83,9.83,335,2021-08-24 18:10:00,AKICU
9.83,9.83,9.83,9.83,135,2021-08-24 18:15:00,AKICU
9.83,9.83,9.82,9.83,5700,2021-08-24 18:20:00,AKICU
9.83,9.83,9.83,9.83,200,2021-08-24 18:25:00,AKICU
9.83,9.83,9.83,9.83,200,2021-08-24 18:30:00,AKICU
9.82,9.82,9.82,9.82,200,2021-08-24 18:50:00,AKICU
9.82,9.82,9.82,9.82,200,2021-08-24 19:50:00,AKICU
9.82,9.82,9.82,9.82,200,2021-08-24 19:55:00,AKICU
9.82,9.82,9.82,9.82,100,2021-08-25 13:50:00,AKICU
9.836,9.836,9.836,9.836,500,2021-08-25 14:50:00,AKICU
