open,high,low,close,volume,datetime,symbol
8.79,8.85,8.79,8.8,8390,2021-10-11 11:00:00,CLNE
8.75,8.75,8.75,8.75,2500,2021-10-11 11:05:00,CLNE
8.82,8.83,8.82,8.83,300,2021-10-11 11:10:00,CLNE
8.77,8.77,8.77,8.77,100,2021-10-11 11:20:00,CLNE
8.75,8.75,8.75,8.75,304,2021-10-11 11:35:00,CLNE
8.79,8.79,8.79,8.79,1000,2021-10-11 11:50:00,CLNE
8.71,8.71,8.71,8.71,674,2021-10-11 12:00:00,CLNE
8.73,8.74,8.72,8.72,1400,2021-10-11 12:15:00,CLNE
8.72,8.72,8.72,8.72,1325,2021-10-11 12:25:00,CLNE
8.75,8.75,8.75,8.75,899,2021-10-11 12:30:00,CLNE
8.77,8.83,8.77,8.8299,1600,2021-10-11 12:45:00,CLNE
8.82,8.85,8.82,8.85,2398,2021-10-11 12:50:00,CLNE
8.85,8.85,8.83,8.83,900,2021-10-11 12:55:00,CLNE
8.83,8.83,8.83,8.83,800,2021-10-11 13:00:00,CLNE
8.84,8.85,8.84,8.85,1800,2021-10-11 13:10:00,CLNE
8.83,8.83,8.82,8.83,2712,2021-10-11 13:15:00,CLNE
8.84,8.85,8.84,8.84,1768,2021-10-11 13:20:00,CLNE
8.72,8.79,8.71,8.79,2274,2021-10-11 13:25:00,CLNE
8.75,8.889,8.75,8.8601,100292,2021-10-11 13:30:00,CLNE
8.87,8.98,8.87,8.93,80075,2021-10-11 13:35:00,CLNE
8.93,8.995,8.91,8.9142,114410,2021-10-11 13:40:00,CLNE
8.92,8.99,8.92,8.93,87762,2021-10-11 13:45:00,CLNE
8.92,8.92,8.83,8.84,58006,2021-10-11 13:50:00,CLNE
8.83,8.86,8.82,8.82,41246,2021-10-11 13:55:00,CLNE
8.82,8.8314,8.77,8.78,56210,2021-10-11 14:00:00,CLNE
8.78,8.83,8.77,8.8021,68171,2021-10-11 14:05:00,CLNE
8.8179,8.83,8.8,8.825,49579,2021-10-11 14:10:00,CLNE
8.82,8.85,8.82,8.8322,44676,2021-10-11 14:15:00,CLNE
8.835,8.87,8.8,8.86,61211,2021-10-11 14:20:00,CLNE
8.865,8.93,8.861,8.915,51925,2021-10-11 14:25:00,CLNE
8.92,8.93,8.88,8.9023,75227,2021-10-11 14:30:00,CLNE
8.905,8.91,8.85,8.905,102862,2021-10-11 14:35:00,CLNE
8.9,8.905,8.87,8.88,32759,2021-10-11 14:40:00,CLNE
8.88,8.8824,8.83,8.84,30351,2021-10-11 14:45:00,CLNE
8.85,8.86,8.835,8.8482,8995,2021-10-11 14:50:00,CLNE
8.85,8.89,8.849,8.86,26937,2021-10-11 14:55:00,CLNE
8.86,8.87,8.85,8.865,9298,2021-10-11 15:00:00,CLNE
8.86,8.86,8.8301,8.84,17908,2021-10-11 15:05:00,CLNE
8.85,8.865,8.85,8.86,11214,2021-10-11 15:10:00,CLNE
8.855,8.87,8.81,8.82,27495,2021-10-11 15:15:00,CLNE
8.8267,8.837,8.82,8.8301,15080,2021-10-11 15:20:00,CLNE
8.84,8.86,8.8301,8.85,14811,2021-10-11 15:25:00,CLNE
8.855,8.855,8.84,8.84,17883,2021-10-11 15:30:00,CLNE
8.835,8.8477,8.825,8.83,7546,2021-10-11 15:35:00,CLNE
8.83,8.84,8.825,8.835,10468,2021-10-11 15:40:00,CLNE
8.84,8.845,8.8236,8.8402,9527,2021-10-11 15:45:00,CLNE
8.85,8.93,8.85,8.93,47195,2021-10-11 15:50:00,CLNE
8.92,8.93,8.89,8.91,24244,2021-10-11 15:55:00,CLNE
8.91,8.9647,8.91,8.95,32150,2021-10-11 16:00:00,CLNE
8.96,8.96,8.93,8.94,30691,2021-10-11 16:05:00,CLNE
8.94,8.94,8.9146,8.9146,21775,2021-10-11 16:10:00,CLNE
8.9137,8.915,8.875,8.8875,27103,2021-10-11 16:15:00,CLNE
8.8801,8.92,8.8801,8.9131,22958,2021-10-11 16:20:00,CLNE
8.92,8.93,8.9,8.905,9510,2021-10-11 16:25:00,CLNE
8.9025,8.9025,8.88,8.88,10663,2021-10-11 16:30:00,CLNE
8.88,8.89,8.86,8.87,9677,2021-10-11 16:35:00,CLNE
8.88,8.8999,8.8726,8.885,10006,2021-10-11 16:40:00,CLNE
8.88,8.91,8.88,8.9,8431,2021-10-11 16:45:00,CLNE
8.9,8.9,8.88,8.88,8231,2021-10-11 16:50:00,CLNE
8.88,8.8873,8.86,8.87,14102,2021-10-11 16:55:00,CLNE
