open,high,low,close,volume,datetime,symbol
3.9,3.9041,3.86,3.88,9524,2021-10-11 13:30:00,DMAC
3.9,3.95,3.9,3.9235,1100,2021-10-11 13:35:00,DMAC
3.965,3.965,3.965,3.965,185,2021-10-11 13:45:00,DMAC
3.9559,3.9599,3.9559,3.9599,300,2021-10-11 13:50:00,DMAC
3.945,3.945,3.945,3.945,100,2021-10-11 14:30:00,DMAC
3.9518,3.9518,3.93,3.94,443,2021-10-11 14:45:00,DMAC
3.93,3.93,3.93,3.93,990,2021-10-11 15:20:00,DMAC
3.95,4.0,3.95,3.998,9312,2021-10-11 15:25:00,DMAC
4.02,4.02,4.01,4.01,896,2021-10-11 15:35:00,DMAC
4.01,4.03,4.01,4.03,300,2021-10-11 15:50:00,DMAC
4.03,4.05,4.03,4.05,600,2021-10-11 15:55:00,DMAC
4.05,4.24,4.05,4.1375,27322,2021-10-11 16:00:00,DMAC
4.13,4.13,4.05,4.1,20814,2021-10-11 16:05:00,DMAC
4.0575,4.0575,4.0575,4.0575,300,2021-10-11 16:15:00,DMAC
4.1,4.1,4.0906,4.0906,998,2021-10-11 16:30:00,DMAC
4.08,4.08,4.08,4.08,100,2021-10-11 16:35:00,DMAC
4.1,4.1,4.1,4.1,381,2021-10-11 16:45:00,DMAC
4.0891,4.0891,4.0891,4.0891,100,2021-10-11 16:50:00,DMAC
4.08,4.08,4.08,4.08,700,2021-10-11 16:55:00,DMAC
4.06,4.06,4.05,4.05,699,2021-10-11 17:35:00,DMAC
4.05,4.05,4.05,4.05,3000,2021-10-11 17:40:00,DMAC
4.0259,4.05,4.0259,4.05,470,2021-10-11 17:50:00,DMAC
4.05,4.1282,4.04,4.04,934,2021-10-11 18:10:00,DMAC
4.06,4.09,4.06,4.09,400,2021-10-11 18:30:00,DMAC
4.0596,4.08,4.0596,4.08,266,2021-10-11 18:35:00,DMAC
4.08,4.08,4.05,4.05,853,2021-10-11 18:40:00,DMAC
4.08,4.08,4.08,4.08,300,2021-10-11 18:55:00,DMAC
4.06,4.06,4.05,4.05,334,2021-10-11 19:30:00,DMAC
4.0708,4.0708,4.05,4.05,423,2021-10-11 19:35:00,DMAC
4.075,4.075,4.05,4.05,400,2021-10-11 19:40:00,DMAC
4.05,4.05,4.05,4.05,400,2021-10-11 19:45:00,DMAC
