open,high,low,close,volume,datetime,symbol
90.35,90.92,90.35,90.92,655,2021-10-11 13:30:00,HLNE
90.78,90.78,90.78,90.78,100,2021-10-11 13:35:00,HLNE
91.0,91.0,91.0,91.0,200,2021-10-11 13:50:00,HLNE
91.0365,91.0365,91.0365,91.0365,142,2021-10-11 14:00:00,HLNE
91.53,91.53,91.11,91.265,600,2021-10-11 14:10:00,HLNE
91.07,91.29,91.07,91.29,200,2021-10-11 14:15:00,HLNE
91.1,91.14,90.97,90.97,500,2021-10-11 14:25:00,HLNE
90.965,90.97,90.9625,90.97,2200,2021-10-11 14:30:00,HLNE
91.0,91.0,90.9,90.9,404,2021-10-11 14:35:00,HLNE
90.81,90.9825,90.81,90.85,1037,2021-10-11 14:40:00,HLNE
90.85,90.85,90.85,90.85,100,2021-10-11 14:45:00,HLNE
90.765,90.97,90.765,90.965,1400,2021-10-11 14:50:00,HLNE
90.965,90.965,90.965,90.965,1000,2021-10-11 14:55:00,HLNE
90.87,90.87,90.87,90.87,100,2021-10-11 15:00:00,HLNE
91.1272,91.1272,91.1272,91.1272,115,2021-10-11 15:05:00,HLNE
90.83,90.83,90.83,90.83,100,2021-10-11 15:10:00,HLNE
90.7,90.82,90.7,90.82,296,2021-10-11 15:15:00,HLNE
90.86,90.88,90.86,90.88,500,2021-10-11 15:20:00,HLNE
91.0,91.0,91.0,91.0,100,2021-10-11 15:30:00,HLNE
90.94,90.94,90.92,90.92,200,2021-10-11 15:35:00,HLNE
90.98,91.0,90.98,91.0,200,2021-10-11 15:40:00,HLNE
90.52,90.52,90.51,90.51,200,2021-10-11 16:00:00,HLNE
90.51,90.51,90.51,90.51,200,2021-10-11 16:05:00,HLNE
90.56,90.56,90.56,90.56,100,2021-10-11 16:10:00,HLNE
90.28,90.28,90.28,90.28,140,2021-10-11 16:25:00,HLNE
90.16,90.16,89.98,90.0,4997,2021-10-11 16:30:00,HLNE
89.49,89.49,89.49,89.49,100,2021-10-11 16:55:00,HLNE
89.46,89.46,89.46,89.46,100,2021-10-11 17:20:00,HLNE
89.55,89.55,89.55,89.55,100,2021-10-11 17:25:00,HLNE
89.45,89.45,89.45,89.45,200,2021-10-11 17:50:00,HLNE
89.5,89.5,89.5,89.5,100,2021-10-11 18:00:00,HLNE
89.47,89.47,89.47,89.47,100,2021-10-11 18:05:00,HLNE
89.54,89.54,89.54,89.54,100,2021-10-11 18:10:00,HLNE
89.605,89.605,89.605,89.605,100,2021-10-11 18:15:00,HLNE
89.535,89.535,89.48,89.48,200,2021-10-11 18:20:00,HLNE
89.275,89.275,89.275,89.275,120,2021-10-11 18:25:00,HLNE
89.45,89.485,89.45,89.485,300,2021-10-11 18:30:00,HLNE
89.56,89.68,89.56,89.68,490,2021-10-11 18:35:00,HLNE
89.69,89.71,89.65,89.71,500,2021-10-11 18:40:00,HLNE
89.69,89.69,89.63,89.66,400,2021-10-11 18:45:00,HLNE
89.66,89.75,89.66,89.73,2770,2021-10-11 18:50:00,HLNE
89.73,89.73,89.6,89.6,326,2021-10-11 18:55:00,HLNE
89.485,89.485,89.485,89.485,210,2021-10-11 19:00:00,HLNE
89.39,89.39,89.39,89.39,100,2021-10-11 19:05:00,HLNE
89.415,89.415,89.3101,89.3101,200,2021-10-11 19:10:00,HLNE
89.41,89.45,89.36,89.385,609,2021-10-11 19:15:00,HLNE
89.3522,89.3522,89.3522,89.3522,128,2021-10-11 19:20:00,HLNE
89.43,89.45,89.43,89.45,200,2021-10-11 19:25:00,HLNE
89.25,89.265,89.2,89.265,700,2021-10-11 19:30:00,HLNE
89.075,89.17,89.07,89.16,960,2021-10-11 19:35:00,HLNE
89.215,89.215,89.18,89.18,200,2021-10-11 19:40:00,HLNE
89.15,89.26,89.1,89.26,2280,2021-10-11 19:45:00,HLNE
88.97,89.31,88.97,89.23,1750,2021-10-11 19:50:00,HLNE
89.345,89.345,89.02,89.21,6079,2021-10-11 19:55:00,HLNE
89.13,89.13,89.13,89.13,13930,2021-10-11 20:00:00,HLNE
88.95,88.95,88.95,88.95,508,2021-10-12 13:30:00,HLNE
87.725,88.52,87.725,88.44,1936,2021-10-12 13:45:00,HLNE
87.855,88.75,87.845,88.4,1086,2021-10-12 13:50:00,HLNE
88.195,88.195,88.195,88.195,100,2021-10-12 14:05:00,HLNE
88.47,88.64,88.235,88.62,1822,2021-10-12 14:10:00,HLNE
88.54,88.54,88.375,88.375,242,2021-10-12 14:20:00,HLNE
88.43,88.43,88.115,88.31,1400,2021-10-12 14:30:00,HLNE
88.36,88.36,88.135,88.36,1400,2021-10-12 14:45:00,HLNE
87.96,88.2,87.9137,87.9137,506,2021-10-12 15:00:00,HLNE
88.33,88.33,88.33,88.33,100,2021-10-12 15:10:00,HLNE
88.385,88.385,88.385,88.385,100,2021-10-12 15:15:00,HLNE
88.44,88.44,88.44,88.44,200,2021-10-12 15:20:00,HLNE
88.395,88.395,88.395,88.395,100,2021-10-12 15:30:00,HLNE
88.395,88.48,88.395,88.48,300,2021-10-12 15:35:00,HLNE
88.49,88.49,88.49,88.49,200,2021-10-12 15:40:00,HLNE
88.7,88.7,88.7,88.7,100,2021-10-12 15:45:00,HLNE
88.77,88.77,88.73,88.73,200,2021-10-12 15:50:00,HLNE
88.73,88.85,88.73,88.85,200,2021-10-12 15:55:00,HLNE
88.91,89.01,88.91,89.01,500,2021-10-12 16:00:00,HLNE
89.15,89.17,89.06,89.06,600,2021-10-12 16:05:00,HLNE
89.07,89.07,89.07,89.07,100,2021-10-12 16:15:00,HLNE
88.91,88.91,88.85,88.85,338,2021-10-12 16:30:00,HLNE
