open,high,low,close,volume,datetime,symbol
5.57,5.57,5.55,5.55,7861,2021-10-11 13:30:00,VMD
5.64,5.64,5.55,5.55,200,2021-10-11 13:35:00,VMD
5.56,5.56,5.56,5.56,100,2021-10-11 13:45:00,VMD
5.597,5.599,5.597,5.599,300,2021-10-11 14:00:00,VMD
5.58,5.58,5.58,5.58,100,2021-10-11 14:10:00,VMD
5.6297,5.6297,5.61,5.61,600,2021-10-11 14:15:00,VMD
5.61,5.61,5.61,5.61,200,2021-10-11 14:20:00,VMD
5.59,5.64,5.59,5.64,1600,2021-10-11 14:25:00,VMD
5.64,5.64,5.615,5.615,500,2021-10-11 14:30:00,VMD
5.625,5.625,5.615,5.625,400,2021-10-11 14:35:00,VMD
5.625,5.64,5.625,5.64,600,2021-10-11 14:40:00,VMD
5.625,5.625,5.625,5.625,100,2021-10-11 14:45:00,VMD
5.625,5.625,5.625,5.625,200,2021-10-11 14:50:00,VMD
5.625,5.625,5.625,5.625,100,2021-10-11 14:55:00,VMD
5.625,5.625,5.625,5.625,100,2021-10-11 15:00:00,VMD
5.625,5.625,5.625,5.625,100,2021-10-11 15:05:00,VMD
5.625,5.625,5.625,5.625,100,2021-10-11 15:10:00,VMD
5.616,5.625,5.616,5.625,709,2021-10-11 15:15:00,VMD
5.64,5.64,5.625,5.625,900,2021-10-11 15:20:00,VMD
5.625,5.625,5.625,5.625,100,2021-10-11 15:25:00,VMD
5.625,5.625,5.6202,5.6202,1265,2021-10-11 15:30:00,VMD
5.625,5.625,5.625,5.625,400,2021-10-11 15:35:00,VMD
5.6147,5.63,5.6147,5.63,855,2021-10-11 15:40:00,VMD
5.63,5.63,5.6226,5.6226,400,2021-10-11 15:45:00,VMD
5.63,5.63,5.63,5.63,100,2021-10-11 15:50:00,VMD
5.63,5.63,5.63,5.63,100,2021-10-11 15:55:00,VMD
5.63,5.63,5.63,5.63,600,2021-10-11 16:00:00,VMD
5.6224,5.63,5.6224,5.625,1300,2021-10-11 16:05:00,VMD
5.625,5.628,5.62,5.62,400,2021-10-11 16:10:00,VMD
5.62,5.62,5.62,5.62,920,2021-10-11 16:15:00,VMD
5.62,5.625,5.62,5.6209,880,2021-10-11 16:20:00,VMD
