open,high,low,close,volume,datetime,symbol
2.87,2.87,2.87,2.87,134,2021-10-11 13:30:00,WHLR
2.9299,2.9299,2.9299,2.9299,110,2021-10-11 13:45:00,WHLR
2.875,2.875,2.875,2.875,300,2021-10-11 14:00:00,WHLR
2.87,2.88,2.87,2.88,350,2021-10-11 14:15:00,WHLR
2.84,2.84,2.84,2.84,100,2021-10-11 15:40:00,WHLR
2.93,2.93,2.93,2.93,347,2021-10-11 15:55:00,WHLR
2.84,2.84,2.83,2.84,1053,2021-10-11 16:20:00,WHLR
2.86,2.86,2.86,2.86,212,2021-10-11 17:05:00,WHLR
2.86,2.86,2.86,2.86,400,2021-10-11 17:40:00,WHLR
2.84,2.84,2.84,2.84,100,2021-10-11 18:10:00,WHLR
2.85,2.85,2.83,2.83,32025,2021-10-11 18:20:00,WHLR
2.83,2.84,2.83,2.84,200,2021-10-11 18:25:00,WHLR
2.81,2.81,2.81,2.81,100,2021-10-11 18:35:00,WHLR
2.82,2.82,2.82,2.82,100,2021-10-11 18:40:00,WHLR
2.81,2.81,2.8,2.8,600,2021-10-11 18:50:00,WHLR
2.8433,2.8433,2.8433,2.8433,150,2021-10-11 18:55:00,WHLR
2.85,2.85,2.85,2.85,500,2021-10-11 19:05:00,WHLR
2.7966,2.7966,2.7966,2.7966,586,2021-10-11 19:35:00,WHLR
2.84,2.84,2.84,2.84,400,2021-10-11 19:50:00,WHLR
2.8,2.84,2.8,2.8,3100,2021-10-11 19:55:00,WHLR
2.795,2.8,2.795,2.8,500,2021-10-12 13:35:00,WHLR
2.79,2.79,2.79,2.79,696,2021-10-12 16:05:00,WHLR
2.8,2.8,2.8,2.8,100,2021-10-12 16:25:00,WHLR
2.82,2.82,2.82,2.82,400,2021-10-12 17:45:00,WHLR
2.81,2.81,2.81,2.81,100,2021-10-12 17:50:00,WHLR
2.8168,2.82,2.8168,2.82,600,2021-10-12 18:00:00,WHLR
2.83,2.83,2.83,2.83,1000,2021-10-12 18:05:00,WHLR
2.8,2.8,2.8,2.8,100,2021-10-12 18:20:00,WHLR
2.8,2.8035,2.8,2.8,329,2021-10-12 18:45:00,WHLR
2.82,2.82,2.82,2.82,500,2021-10-12 19:55:00,WHLR
2.83,2.83,2.8,2.83,999,2021-10-13 14:15:00,WHLR
2.8,2.8,2.8,2.8,100,2021-10-13 14:30:00,WHLR
2.825,2.825,2.81,2.81,1100,2021-10-13 14:40:00,WHLR
2.81,2.81,2.79,2.8,7174,2021-10-13 14:45:00,WHLR
2.7722,2.7722,2.7722,2.7722,1000,2021-10-13 14:55:00,WHLR
2.81,2.81,2.81,2.81,100,2021-10-13 15:40:00,WHLR
2.7827,2.79,2.7608,2.7608,2800,2021-10-13 16:20:00,WHLR
2.84,2.84,2.84,2.84,200,2021-10-13 16:40:00,WHLR
2.77,2.77,2.77,2.77,100,2021-10-13 17:20:00,WHLR
2.78,2.78,2.78,2.78,100,2021-10-13 17:35:00,WHLR
2.8,2.8,2.8,2.8,100,2021-10-13 18:00:00,WHLR
2.8159,2.8159,2.79,2.79,700,2021-10-13 18:25:00,WHLR
2.78,2.78,2.78,2.78,100,2021-10-13 18:50:00,WHLR
2.8,2.8,2.8,2.8,400,2021-10-13 18:55:00,WHLR
2.802,2.84,2.8,2.84,2102,2021-10-13 19:00:00,WHLR
2.8,2.8,2.8,2.8,100,2021-10-13 19:05:00,WHLR
2.79,2.79,2.79,2.79,100,2021-10-13 19:10:00,WHLR
