open,high,low,close,volume,datetime,symbol
2.78,2.78,2.78,2.78,400,2021-04-13 13:29:00,CLRO
2.8,2.8,2.8,2.8,496,2021-04-13 13:30:00,CLRO
2.81,2.81,2.8,2.8,2500,2021-04-13 13:31:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 13:35:00,CLRO
2.8,2.8,2.8,2.8,457,2021-04-13 13:37:00,CLRO
2.81,2.82,2.8,2.8,7300,2021-04-13 13:40:00,CLRO
2.8,2.8,2.8,2.8,300,2021-04-13 13:43:00,CLRO
2.78,2.8,2.78,2.78,1245,2021-04-13 13:48:00,CLRO
2.84,2.84,2.815,2.84,1800,2021-04-13 13:52:00,CLRO
2.7801,2.7801,2.7801,2.7801,160,2021-04-13 13:55:00,CLRO
2.88,2.88,2.88,2.88,100,2021-04-13 13:57:00,CLRO
2.8,2.8,2.8,2.8,1100,2021-04-13 14:00:00,CLRO
2.78,2.8,2.78,2.78,1302,2021-04-13 14:02:00,CLRO
2.78,2.8,2.78,2.8,1404,2021-04-13 14:12:00,CLRO
2.8,2.8,2.8,2.8,200,2021-04-13 14:21:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 14:31:00,CLRO
2.8,2.8,2.8,2.8,400,2021-04-13 14:33:00,CLRO
2.7809,2.7809,2.7809,2.7809,100,2021-04-13 14:50:00,CLRO
2.7885,2.7885,2.7885,2.7885,315,2021-04-13 15:03:00,CLRO
2.7881,2.7881,2.7881,2.7881,100,2021-04-13 15:06:00,CLRO
2.7701,2.7701,2.7701,2.7701,143,2021-04-13 15:16:00,CLRO
2.78,2.78,2.78,2.78,398,2021-04-13 15:17:00,CLRO
2.78,2.78,2.78,2.78,200,2021-04-13 15:18:00,CLRO
2.79,2.79,2.79,2.79,200,2021-04-13 15:33:00,CLRO
2.7892,2.7892,2.7892,2.7892,200,2021-04-13 15:37:00,CLRO
2.78,2.78,2.78,2.78,100,2021-04-13 15:54:00,CLRO
2.78,2.78,2.78,2.78,100,2021-04-13 15:56:00,CLRO
2.79,2.79,2.79,2.79,100,2021-04-13 15:59:00,CLRO
2.7808,2.7808,2.7808,2.7808,155,2021-04-13 16:18:00,CLRO
2.79,2.79,2.79,2.79,800,2021-04-13 16:35:00,CLRO
2.785,2.79,2.785,2.79,900,2021-04-13 16:37:00,CLRO
2.8,2.8,2.8,2.8,400,2021-04-13 16:39:00,CLRO
2.8,2.8,2.8,2.8,1290,2021-04-13 16:52:00,CLRO
2.805,2.805,2.805,2.805,425,2021-04-13 17:00:00,CLRO
2.79,2.79,2.78,2.78,200,2021-04-13 17:08:00,CLRO
2.8094,2.8094,2.8094,2.8094,1000,2021-04-13 17:20:00,CLRO
2.7894,2.7894,2.7894,2.7894,121,2021-04-13 17:44:00,CLRO
2.86,2.86,2.86,2.86,2000,2021-04-13 17:52:00,CLRO
2.8,2.8,2.8,2.8,500,2021-04-13 18:10:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:11:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:12:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:13:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:14:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:15:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:16:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:17:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:18:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:19:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:20:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:21:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:22:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:23:00,CLRO
2.8,2.8,2.8,2.8,100,2021-04-13 18:44:00,CLRO
2.8,2.8,2.8,2.8,200,2021-04-13 18:55:00,CLRO
2.8103,2.8103,2.8103,2.8103,100,2021-04-13 19:07:00,CLRO
2.8,2.8,2.8,2.8,244,2021-04-13 19:08:00,CLRO
