open,high,low,close,volume,datetime,symbol
12.23,12.23,12.0,12.0,830,2021-04-13 10:22:00,EOLS
12.9,12.9,12.9,12.9,1499,2021-04-13 11:42:00,EOLS
12.31,12.31,12.31,12.31,200,2021-04-13 12:26:00,EOLS
12.41,12.41,12.41,12.41,230,2021-04-13 13:07:00,EOLS
12.3,12.3,12.3,12.3,100,2021-04-13 13:09:00,EOLS
12.59,12.59,12.59,12.59,746,2021-04-13 13:28:00,EOLS
12.7,12.72,12.4435,12.46,17063,2021-04-13 13:30:00,EOLS
12.6812,12.6812,12.6812,12.6812,200,2021-04-13 13:31:00,EOLS
12.57,12.57,12.57,12.57,100,2021-04-13 13:32:00,EOLS
12.63,12.63,12.63,12.63,100,2021-04-13 13:33:00,EOLS
12.62,12.63,12.56,12.56,980,2021-04-13 13:34:00,EOLS
12.5748,12.625,12.5748,12.625,274,2021-04-13 13:35:00,EOLS
12.66,12.6626,12.62,12.62,400,2021-04-13 13:37:00,EOLS
12.6,12.6,12.6,12.6,700,2021-04-13 13:38:00,EOLS
12.59,12.59,12.59,12.59,100,2021-04-13 13:42:00,EOLS
12.56,12.56,12.55,12.55,319,2021-04-13 13:44:00,EOLS
12.55,12.59,12.55,12.58,700,2021-04-13 13:45:00,EOLS
12.5401,12.5401,12.5401,12.5401,1000,2021-04-13 13:47:00,EOLS
12.52,12.52,12.475,12.475,500,2021-04-13 13:50:00,EOLS
12.44,12.44,12.4,12.4,607,2021-04-13 13:51:00,EOLS
12.36,12.4829,12.36,12.38,2320,2021-04-13 13:52:00,EOLS
12.41,12.43,12.4,12.42,3548,2021-04-13 13:53:00,EOLS
12.38,12.4,12.31,12.35,4500,2021-04-13 13:54:00,EOLS
12.4,12.4,12.325,12.35,2300,2021-04-13 13:55:00,EOLS
12.4,12.4,12.25,12.29,2246,2021-04-13 13:56:00,EOLS
12.29,12.29,12.28,12.28,982,2021-04-13 13:57:00,EOLS
12.27,12.28,12.255,12.28,2034,2021-04-13 13:58:00,EOLS
12.24,12.24,12.1783,12.1783,606,2021-04-13 13:59:00,EOLS
12.18,12.18,12.165,12.165,200,2021-04-13 14:00:00,EOLS
12.15,12.19,12.15,12.17,1001,2021-04-13 14:01:00,EOLS
12.17,12.17,12.1146,12.1146,360,2021-04-13 14:02:00,EOLS
12.18,12.18,12.13,12.15,556,2021-04-13 14:03:00,EOLS
