open,high,low,close,volume,datetime,symbol
90.75,90.9,90.31,90.9,1616,2021-04-13 13:30:00,JBSS
89.93,89.93,89.93,89.93,100,2021-04-13 14:00:00,JBSS
90.81,90.81,90.81,90.81,100,2021-04-13 15:13:00,JBSS
91.11,91.11,91.05,91.05,500,2021-04-13 15:31:00,JBSS
90.95,90.95,90.95,90.95,100,2021-04-13 15:57:00,JBSS
90.75,90.75,90.75,90.75,480,2021-04-13 16:00:00,JBSS
91.08,91.08,91.08,91.08,108,2021-04-13 16:06:00,JBSS
91.21,91.21,91.21,91.21,100,2021-04-13 16:21:00,JBSS
91.13,91.13,91.13,91.13,100,2021-04-13 16:35:00,JBSS
90.93,90.93,90.93,90.93,100,2021-04-13 16:46:00,JBSS
91.15,91.15,91.15,91.15,100,2021-04-13 17:00:00,JBSS
91.0317,91.0317,91.005,91.005,200,2021-04-13 17:02:00,JBSS
91.15,91.15,91.15,91.15,100,2021-04-13 17:18:00,JBSS
90.85,90.85,90.85,90.85,100,2021-04-13 17:41:00,JBSS
91.13,91.13,91.13,91.13,100,2021-04-13 17:50:00,JBSS
90.96,90.96,90.96,90.96,100,2021-04-13 17:52:00,JBSS
91.1,91.1,91.07,91.07,200,2021-04-13 18:07:00,JBSS
91.17,91.17,91.17,91.17,100,2021-04-13 18:26:00,JBSS
91.24,91.24,91.24,91.24,100,2021-04-13 18:36:00,JBSS
91.43,91.43,91.43,91.43,100,2021-04-13 18:44:00,JBSS
91.4,91.4,91.4,91.4,100,2021-04-13 18:47:00,JBSS
91.18,91.18,91.18,91.18,100,2021-04-13 18:53:00,JBSS
91.28,91.28,91.28,91.28,195,2021-04-13 18:56:00,JBSS
91.1419,91.1419,91.1419,91.1419,123,2021-04-13 19:07:00,JBSS
91.74,91.74,91.74,91.74,100,2021-04-13 19:09:00,JBSS
91.57,91.57,91.57,91.57,100,2021-04-13 19:13:00,JBSS
91.47,91.47,91.47,91.47,100,2021-04-13 19:20:00,JBSS
91.59,91.59,91.59,91.59,100,2021-04-13 19:23:00,JBSS
91.56,91.57,91.56,91.57,200,2021-04-13 19:30:00,JBSS
91.74,91.74,91.74,91.74,100,2021-04-13 19:37:00,JBSS
91.62,91.62,91.62,91.62,200,2021-04-13 19:40:00,JBSS
91.66,91.66,91.66,91.66,100,2021-04-13 19:48:00,JBSS
91.42,91.42,91.42,91.42,100,2021-04-13 19:50:00,JBSS
91.29,91.29,91.08,91.08,300,2021-04-13 19:52:00,JBSS
91.1,91.1,91.1,91.1,100,2021-04-13 19:53:00,JBSS
91.11,91.27,91.11,91.27,200,2021-04-13 19:56:00,JBSS
91.26,91.28,91.26,91.28,300,2021-04-13 19:57:00,JBSS
91.13,91.42,91.13,91.42,500,2021-04-13 19:58:00,JBSS
91.14,91.19,91.14,91.19,609,2021-04-13 19:59:00,JBSS
91.17,91.17,91.17,91.17,6684,2021-04-13 20:00:00,JBSS
91.32,91.32,91.32,91.32,217,2021-04-14 13:30:00,JBSS
90.8,90.8,90.8,90.8,100,2021-04-14 13:32:00,JBSS
91.04,91.04,91.04,91.04,100,2021-04-14 13:40:00,JBSS
90.5775,90.5775,90.5775,90.5775,100,2021-04-14 13:46:00,JBSS
90.9375,90.9375,90.9375,90.9375,114,2021-04-14 13:59:00,JBSS
91.18,91.18,91.18,91.18,100,2021-04-14 14:07:00,JBSS
90.7,90.7,90.7,90.7,100,2021-04-14 14:08:00,JBSS
91.0473,91.0473,91.0473,91.0473,110,2021-04-14 14:25:00,JBSS
90.93,90.93,90.93,90.93,100,2021-04-14 14:26:00,JBSS
90.87,90.87,90.87,90.87,100,2021-04-14 14:32:00,JBSS
90.91,90.91,90.91,90.91,143,2021-04-14 14:52:00,JBSS
91.34,91.34,91.24,91.24,202,2021-04-14 15:27:00,JBSS
91.42,91.42,91.42,91.42,100,2021-04-14 15:46:00,JBSS
91.19,91.19,91.15,91.15,200,2021-04-14 16:47:00,JBSS
91.1,91.1,91.1,91.1,100,2021-04-14 16:58:00,JBSS
91.13,91.27,91.13,91.27,400,2021-04-14 17:59:00,JBSS
91.28,91.5,91.28,91.5,377,2021-04-14 18:29:00,JBSS
91.415,91.415,91.415,91.415,100,2021-04-14 18:39:00,JBSS
91.365,91.365,91.365,91.365,100,2021-04-14 18:49:00,JBSS
91.42,91.42,91.42,91.42,100,2021-04-14 18:57:00,JBSS
91.49,91.49,91.49,91.49,100,2021-04-14 18:58:00,JBSS
