open,high,low,close,volume,datetime,symbol
42.2,42.8,41.385,42.8,1716,2021-04-13 13:30:00,ECOL
41.7,41.7,41.69,41.69,360,2021-04-13 13:31:00,ECOL
41.75,41.75,41.75,41.75,100,2021-04-13 13:41:00,ECOL
41.61,41.61,41.61,41.61,100,2021-04-13 13:47:00,ECOL
41.615,41.615,41.615,41.615,600,2021-04-13 13:51:00,ECOL
41.59,41.59,41.59,41.59,100,2021-04-13 13:58:00,ECOL
41.605,41.605,41.605,41.605,100,2021-04-13 14:11:00,ECOL
41.66,41.66,41.66,41.66,100,2021-04-13 14:16:00,ECOL
41.75,41.75,41.75,41.75,100,2021-04-13 14:19:00,ECOL
41.74,41.75,41.74,41.75,200,2021-04-13 14:27:00,ECOL
41.77,41.77,41.77,41.77,100,2021-04-13 14:37:00,ECOL
41.77,41.81,41.72,41.72,500,2021-04-13 14:39:00,ECOL
41.81,41.81,41.81,41.81,100,2021-04-13 14:44:00,ECOL
41.7,41.7,41.7,41.7,100,2021-04-13 15:02:00,ECOL
41.85,41.85,41.85,41.85,100,2021-04-13 15:05:00,ECOL
41.77,41.77,41.77,41.77,100,2021-04-13 15:08:00,ECOL
41.725,41.725,41.58,41.58,1479,2021-04-13 15:14:00,ECOL
41.735,41.735,41.735,41.735,100,2021-04-13 15:17:00,ECOL
41.75,41.75,41.7,41.7,400,2021-04-13 15:25:00,ECOL
41.58,41.58,41.58,41.58,100,2021-04-13 15:30:00,ECOL
41.58,41.58,41.58,41.58,100,2021-04-13 15:40:00,ECOL
41.59,41.59,41.59,41.59,100,2021-04-13 15:49:00,ECOL
41.66,41.67,41.66,41.67,200,2021-04-13 15:55:00,ECOL
41.68,41.68,41.68,41.68,200,2021-04-13 15:57:00,ECOL
41.68,41.68,41.68,41.68,200,2021-04-13 16:02:00,ECOL
41.75,41.79,41.75,41.79,200,2021-04-13 16:06:00,ECOL
41.83,41.83,41.82,41.83,425,2021-04-13 16:08:00,ECOL
41.92,41.92,41.92,41.92,100,2021-04-13 16:14:00,ECOL
41.95,41.95,41.95,41.95,154,2021-04-13 16:18:00,ECOL
42.02,42.02,42.02,42.02,100,2021-04-13 16:23:00,ECOL
41.99,41.99,41.9,41.9,200,2021-04-13 16:25:00,ECOL
41.9,41.9,41.89,41.89,300,2021-04-13 16:29:00,ECOL
41.86,41.86,41.86,41.86,100,2021-04-13 16:31:00,ECOL
41.82,41.82,41.82,41.82,300,2021-04-13 16:44:00,ECOL
41.875,41.89,41.875,41.88,400,2021-04-13 16:46:00,ECOL
41.75,41.75,41.75,41.75,100,2021-04-13 16:47:00,ECOL
41.745,41.76,41.74,41.76,1070,2021-04-13 16:48:00,ECOL
41.81,41.81,41.81,41.81,100,2021-04-13 16:56:00,ECOL
41.81,41.81,41.81,41.81,300,2021-04-13 16:57:00,ECOL
41.86,41.86,41.86,41.86,100,2021-04-13 17:05:00,ECOL
41.8275,41.8275,41.8275,41.8275,100,2021-04-13 17:07:00,ECOL
42.09,42.09,42.09,42.09,100,2021-04-13 17:16:00,ECOL
41.97,41.97,41.95,41.96,400,2021-04-13 17:17:00,ECOL
42.03,42.03,42.03,42.03,100,2021-04-13 17:28:00,ECOL
41.89,41.9,41.78,41.82,730,2021-04-13 17:35:00,ECOL
41.98,41.98,41.98,41.98,100,2021-04-13 17:36:00,ECOL
41.81,41.81,41.81,41.81,100,2021-04-13 17:42:00,ECOL
41.9549,41.9549,41.9549,41.9549,797,2021-04-13 17:45:00,ECOL
41.95,41.95,41.95,41.95,100,2021-04-13 17:46:00,ECOL
41.895,41.895,41.895,41.895,100,2021-04-13 17:52:00,ECOL
41.895,41.895,41.895,41.895,100,2021-04-13 17:54:00,ECOL
41.84,41.84,41.84,41.84,100,2021-04-13 17:56:00,ECOL
41.95,42.02,41.95,42.02,500,2021-04-13 18:00:00,ECOL
41.99,41.99,41.99,41.99,100,2021-04-13 18:01:00,ECOL
42.17,42.17,42.17,42.17,100,2021-04-13 18:04:00,ECOL
42.4,42.4,42.4,42.4,100,2021-04-13 18:05:00,ECOL
42.2,42.34,42.2,42.34,300,2021-04-13 18:06:00,ECOL
42.17,42.17,42.13,42.14,500,2021-04-13 18:07:00,ECOL
42.09,42.09,42.09,42.09,100,2021-04-13 18:18:00,ECOL
42.05,42.05,42.05,42.05,100,2021-04-13 18:22:00,ECOL
42.01,42.01,42.01,42.01,100,2021-04-13 18:23:00,ECOL
42.05,42.1,42.05,42.1,500,2021-04-13 18:26:00,ECOL
42.11,42.16,42.11,42.16,300,2021-04-13 18:34:00,ECOL
42.06,42.15,42.06,42.15,300,2021-04-13 18:35:00,ECOL
42.16,42.16,42.16,42.16,100,2021-04-13 18:37:00,ECOL
42.2,42.2,42.2,42.2,100,2021-04-13 18:44:00,ECOL
42.23,42.23,42.23,42.23,100,2021-04-13 18:47:00,ECOL
42.2,42.2,42.2,42.2,100,2021-04-13 18:48:00,ECOL
42.21,42.21,42.2,42.2,200,2021-04-13 18:52:00,ECOL
42.27,42.27,42.27,42.27,100,2021-04-13 18:53:00,ECOL
42.23,42.28,42.23,42.28,200,2021-04-13 18:57:00,ECOL
42.28,42.28,42.28,42.28,100,2021-04-13 18:58:00,ECOL
42.21,42.21,42.2,42.2,365,2021-04-13 19:02:00,ECOL
42.16,42.16,42.16,42.16,100,2021-04-13 19:08:00,ECOL
42.24,42.3,42.24,42.26,700,2021-04-13 19:15:00,ECOL
42.3,42.32,42.23,42.32,1300,2021-04-13 19:16:00,ECOL
42.25,42.26,42.2,42.2,700,2021-04-13 19:23:00,ECOL
42.22,42.22,42.22,42.22,100,2021-04-13 19:24:00,ECOL
42.155,42.155,42.155,42.155,200,2021-04-13 19:25:00,ECOL
42.11,42.11,42.11,42.11,100,2021-04-13 19:26:00,ECOL
41.94,41.94,41.94,41.94,100,2021-04-13 19:30:00,ECOL
42.02,42.02,42.02,42.02,100,2021-04-13 19:31:00,ECOL
41.925,41.99,41.91,41.99,500,2021-04-13 19:32:00,ECOL
41.95,42.02,41.95,42.02,1300,2021-04-13 19:34:00,ECOL
42.04,42.04,42.04,42.04,100,2021-04-13 19:35:00,ECOL
42.0,42.0,42.0,42.0,300,2021-04-13 19:37:00,ECOL
42.0,42.005,42.0,42.005,200,2021-04-13 19:40:00,ECOL
41.96,41.96,41.96,41.96,100,2021-04-13 19:41:00,ECOL
42.0499,42.05,42.0499,42.05,205,2021-04-13 19:44:00,ECOL
42.0,42.0,42.0,42.0,100,2021-04-13 19:45:00,ECOL
42.04,42.04,41.95,41.995,1830,2021-04-13 19:47:00,ECOL
41.995,42.04,41.995,42.04,500,2021-04-13 19:48:00,ECOL
41.95,41.995,41.89,41.89,1324,2021-04-13 19:50:00,ECOL
41.875,41.875,41.875,41.875,100,2021-04-13 19:51:00,ECOL
41.87,41.92,41.87,41.92,1355,2021-04-13 19:52:00,ECOL
41.88,41.9,41.88,41.9,400,2021-04-13 19:54:00,ECOL
41.88,41.88,41.88,41.88,100,2021-04-13 19:55:00,ECOL
41.84,41.92,41.84,41.92,400,2021-04-13 19:56:00,ECOL
41.895,41.96,41.895,41.96,300,2021-04-13 19:57:00,ECOL
