open,high,low,close,volume,datetime,symbol
694.5,696.1,692.66,695.935,5493,2021-04-13 13:30:00,EQIX
695.855,696.89,695.855,696.89,700,2021-04-13 13:31:00,EQIX
696.01,698.4,696.01,698.4,399,2021-04-13 13:32:00,EQIX
698.08,698.08,697.555,697.555,200,2021-04-13 13:33:00,EQIX
696.53,697.35,696.225,697.35,612,2021-04-13 13:34:00,EQIX
698.78,698.78,698.78,698.78,100,2021-04-13 13:35:00,EQIX
697.0,698.55,696.44,698.55,500,2021-04-13 13:36:00,EQIX
696.44,698.49,696.44,698.49,200,2021-04-13 13:38:00,EQIX
698.53,698.85,698.51,698.85,500,2021-04-13 13:39:00,EQIX
698.52,698.82,698.52,698.73,400,2021-04-13 13:40:00,EQIX
700.0,700.135,699.0,699.55,718,2021-04-13 13:41:00,EQIX
700.16,700.27,700.16,700.27,300,2021-04-13 13:42:00,EQIX
700.135,700.135,700.135,700.135,200,2021-04-13 13:43:00,EQIX
700.135,701.77,700.135,701.34,1488,2021-04-13 13:44:00,EQIX
702.195,702.195,700.8,701.01,1300,2021-04-13 13:45:00,EQIX
702.37,702.37,702.16,702.16,200,2021-04-13 13:47:00,EQIX
702.87,702.88,702.0,702.75,1684,2021-04-13 13:48:00,EQIX
703.545,703.95,703.545,703.95,400,2021-04-13 13:49:00,EQIX
704.22,705.26,703.935,703.99,1984,2021-04-13 13:50:00,EQIX
701.39,701.945,701.39,701.945,200,2021-04-13 13:52:00,EQIX
701.82,701.82,701.425,701.425,200,2021-04-13 13:53:00,EQIX
701.405,701.405,700.73,701.36,400,2021-04-13 13:54:00,EQIX
701.97,703.27,701.94,703.27,524,2021-04-13 13:55:00,EQIX
702.88,702.88,702.88,702.88,100,2021-04-13 13:56:00,EQIX
703.76,703.76,703.06,703.42,800,2021-04-13 13:57:00,EQIX
703.34,703.34,702.31,702.59,800,2021-04-13 13:59:00,EQIX
703.28,703.75,703.195,703.195,400,2021-04-13 14:00:00,EQIX
702.415,703.765,702.415,703.765,200,2021-04-13 14:01:00,EQIX
702.25,702.35,702.25,702.35,200,2021-04-13 14:02:00,EQIX
702.895,703.16,702.895,703.16,200,2021-04-13 14:03:00,EQIX
702.94,703.185,701.9043,703.185,618,2021-04-13 14:04:00,EQIX
703.24,703.35,703.22,703.35,400,2021-04-13 14:05:00,EQIX
703.41,704.0,703.41,704.0,433,2021-04-13 14:06:00,EQIX
704.25,704.25,704.25,704.25,100,2021-04-13 14:07:00,EQIX
704.25,704.54,704.25,704.27,400,2021-04-13 14:09:00,EQIX
705.22,706.3,705.22,706.3,800,2021-04-13 14:10:00,EQIX
706.31,706.83,706.31,706.83,200,2021-04-13 14:11:00,EQIX
706.8515,706.8515,706.11,706.11,600,2021-04-13 14:12:00,EQIX
706.0,706.0,706.0,706.0,100,2021-04-13 14:15:00,EQIX
706.99,707.45,706.99,707.3,818,2021-04-13 14:16:00,EQIX
706.59,706.65,705.28,705.28,600,2021-04-13 14:19:00,EQIX
705.02,705.02,704.3,704.3,200,2021-04-13 14:20:00,EQIX
705.02,705.02,705.02,705.02,100,2021-04-13 14:21:00,EQIX
705.15,705.17,704.41,705.17,400,2021-04-13 14:24:00,EQIX
705.72,705.72,704.91,705.38,600,2021-04-13 14:25:00,EQIX
705.05,706.49,705.05,706.49,746,2021-04-13 14:27:00,EQIX
704.81,706.86,704.81,706.86,200,2021-04-13 14:28:00,EQIX
705.515,705.525,705.515,705.525,200,2021-04-13 14:29:00,EQIX
705.4,705.605,704.84,704.84,600,2021-04-13 14:30:00,EQIX
705.55,705.55,705.55,705.55,100,2021-04-13 14:31:00,EQIX
704.73,704.73,704.73,704.73,100,2021-04-13 14:32:00,EQIX
705.29,705.29,704.2,704.2,432,2021-04-13 14:34:00,EQIX
705.21,705.21,704.26,704.745,800,2021-04-13 14:35:00,EQIX
704.77,705.15,704.77,705.15,200,2021-04-13 14:36:00,EQIX
704.63,704.93,704.63,704.82,500,2021-04-13 14:37:00,EQIX
705.27,705.29,704.76,704.76,300,2021-04-13 14:38:00,EQIX
704.2,704.2,704.2,704.2,200,2021-04-13 14:39:00,EQIX
705.27,705.32,704.765,705.2,400,2021-04-13 14:40:00,EQIX
705.27,705.53,705.27,705.53,200,2021-04-13 14:42:00,EQIX
705.68,705.68,704.82,704.82,200,2021-04-13 14:43:00,EQIX
704.79,704.79,704.38,704.56,300,2021-04-13 14:44:00,EQIX
704.07,704.07,704.07,704.07,100,2021-04-13 14:45:00,EQIX
703.9,703.9,703.245,703.245,300,2021-04-13 14:46:00,EQIX
704.07,704.2,703.5,704.0045,938,2021-04-13 14:47:00,EQIX
703.45,703.45,703.45,703.45,100,2021-04-13 14:48:00,EQIX
703.47,703.47,703.47,703.47,100,2021-04-13 14:49:00,EQIX
703.575,703.67,703.575,703.67,203,2021-04-13 14:52:00,EQIX
703.32,703.32,703.32,703.32,100,2021-04-13 14:53:00,EQIX
703.35,703.35,702.71,703.18,1300,2021-04-13 14:54:00,EQIX
702.565,702.565,702.36,702.395,300,2021-04-13 14:55:00,EQIX
702.86,702.86,702.46,702.46,200,2021-04-13 14:56:00,EQIX
702.91,703.07,702.9,702.9,600,2021-04-13 14:57:00,EQIX
702.92,702.92,702.86,702.86,200,2021-04-13 14:58:00,EQIX
703.1,703.1,701.78,702.09,600,2021-04-13 14:59:00,EQIX
701.54,701.77,701.54,701.77,400,2021-04-13 15:00:00,EQIX
702.025,702.025,701.99,701.99,200,2021-04-13 15:01:00,EQIX
701.6,701.995,701.6,701.995,300,2021-04-13 15:02:00,EQIX
701.61,701.61,701.14,701.36,300,2021-04-13 15:03:00,EQIX
701.21,701.46,701.21,701.275,300,2021-04-13 15:05:00,EQIX
701.31,701.38,701.155,701.3,1100,2021-04-13 15:07:00,EQIX
701.96,701.96,701.96,701.96,100,2021-04-13 15:08:00,EQIX
701.92,701.92,701.92,701.92,100,2021-04-13 15:09:00,EQIX
701.495,702.34,700.98,702.34,900,2021-04-13 15:10:00,EQIX
702.01,702.25,702.01,702.25,200,2021-04-13 15:11:00,EQIX
702.44,702.55,702.25,702.25,300,2021-04-13 15:12:00,EQIX
702.005,702.15,701.06,701.25,1700,2021-04-13 15:13:00,EQIX
702.025,702.06,702.025,702.06,200,2021-04-13 15:14:00,EQIX
702.23,702.23,702.23,702.23,100,2021-04-13 15:16:00,EQIX
701.92,701.92,701.63,701.86,1100,2021-04-13 15:18:00,EQIX
701.88,701.94,701.64,701.79,900,2021-04-13 15:21:00,EQIX
701.91,702.53,701.91,702.53,700,2021-04-13 15:22:00,EQIX
702.1,702.1,702.1,702.1,100,2021-04-13 15:23:00,EQIX
702.29,702.75,702.25,702.75,300,2021-04-13 15:24:00,EQIX
702.2,702.2,702.19,702.19,400,2021-04-13 15:25:00,EQIX
701.15,701.26,701.15,701.26,300,2021-04-13 15:27:00,EQIX
701.03,701.03,701.03,701.03,100,2021-04-13 15:28:00,EQIX
701.45,701.78,701.45,701.78,800,2021-04-13 15:29:00,EQIX
702.13,702.13,702.13,702.13,100,2021-04-13 15:30:00,EQIX
702.59,702.61,702.59,702.61,427,2021-04-13 15:32:00,EQIX
702.685,702.685,702.28,702.685,500,2021-04-13 15:33:00,EQIX
702.46,702.46,702.19,702.19,700,2021-04-13 15:34:00,EQIX
701.95,701.95,701.95,701.95,100,2021-04-13 15:35:00,EQIX
701.24,701.85,701.225,701.85,300,2021-04-13 15:38:00,EQIX
701.87,702.0,701.7,701.99,400,2021-04-13 15:39:00,EQIX
701.63,702.33,701.63,702.33,300,2021-04-13 15:41:00,EQIX
702.08,702.08,701.52,701.52,962,2021-04-13 15:42:00,EQIX
701.82,702.0,701.82,702.0,300,2021-04-13 15:43:00,EQIX
702.08,702.08,702.08,702.08,100,2021-04-13 15:45:00,EQIX
702.34,702.34,702.06,702.1,600,2021-04-13 15:46:00,EQIX
701.81,701.81,701.81,701.81,100,2021-04-13 15:47:00,EQIX
701.99,701.99,701.99,701.99,100,2021-04-13 15:48:00,EQIX
701.33,701.33,701.33,701.33,100,2021-04-13 15:52:00,EQIX
701.68,702.23,701.68,702.23,500,2021-04-13 15:54:00,EQIX
703.15,703.205,703.15,703.205,200,2021-04-13 15:55:00,EQIX
703.81,703.82,703.5,703.5,1200,2021-04-13 15:58:00,EQIX
703.51,703.51,703.35,703.35,400,2021-04-13 15:59:00,EQIX
703.13,703.13,703.11,703.11,200,2021-04-13 16:00:00,EQIX
702.97,702.97,702.93,702.955,300,2021-04-13 16:02:00,EQIX
702.3,702.3,702.3,702.3,100,2021-04-13 16:03:00,EQIX
703.38,703.51,703.065,703.51,300,2021-04-13 16:04:00,EQIX
703.58,703.58,703.55,703.55,200,2021-04-13 16:05:00,EQIX
704.445,704.445,704.445,704.445,100,2021-04-13 16:06:00,EQIX
704.445,704.445,704.445,704.445,100,2021-04-13 16:07:00,EQIX
703.76,703.88,703.59,703.88,600,2021-04-13 16:08:00,EQIX
704.08,704.08,704.08,704.08,100,2021-04-13 16:09:00,EQIX
703.975,704.5,703.975,704.05,800,2021-04-13 16:10:00,EQIX
704.75,704.75,704.75,704.75,400,2021-04-13 16:11:00,EQIX
704.64,704.64,704.64,704.64,100,2021-04-13 16:12:00,EQIX
704.75,704.85,704.565,704.63,900,2021-04-13 16:15:00,EQIX
704.69,704.69,704.69,704.69,100,2021-04-13 16:16:00,EQIX
704.75,705.11,704.54,704.845,1978,2021-04-13 16:18:00,EQIX
704.805,704.805,704.805,704.805,100,2021-04-13 16:19:00,EQIX
704.54,704.75,704.54,704.735,850,2021-04-13 16:20:00,EQIX
704.665,704.91,704.665,704.7025,440,2021-04-13 16:21:00,EQIX
704.695,705.58,704.695,705.55,1000,2021-04-13 16:22:00,EQIX
705.47,705.47,705.47,705.47,100,2021-04-13 16:23:00,EQIX
705.21,705.21,704.99,704.99,400,2021-04-13 16:24:00,EQIX
704.685,704.685,704.685,704.685,100,2021-04-13 16:25:00,EQIX
704.31,704.75,704.31,704.75,200,2021-04-13 16:26:00,EQIX
704.525,704.97,704.525,704.97,400,2021-04-13 16:28:00,EQIX
705.65,705.83,705.46,705.46,4730,2021-04-13 16:29:00,EQIX
705.585,705.83,705.585,705.83,800,2021-04-13 16:30:00,EQIX
705.965,705.965,705.12,705.12,1300,2021-04-13 16:31:00,EQIX
704.64,704.64,704.64,704.64,100,2021-04-13 16:33:00,EQIX
704.915,704.915,704.915,704.915,100,2021-04-13 16:34:00,EQIX
705.19,705.71,705.035,705.71,700,2021-04-13 16:35:00,EQIX
705.85,705.85,705.43,705.43,200,2021-04-13 16:36:00,EQIX
705.94,706.1,705.94,706.04,600,2021-04-13 16:37:00,EQIX
706.09,706.09,706.09,706.09,100,2021-04-13 16:38:00,EQIX
706.25,706.51,706.25,706.33,433,2021-04-13 16:40:00,EQIX
706.0,706.0,705.91,705.91,200,2021-04-13 16:41:00,EQIX
705.78,705.78,705.51,705.76,600,2021-04-13 16:42:00,EQIX
705.69,705.69,705.69,705.69,100,2021-04-13 16:43:00,EQIX
706.011,706.011,706.011,706.011,328,2021-04-13 16:47:00,EQIX
705.19,705.52,704.84,704.975,711,2021-04-13 16:48:00,EQIX
704.975,705.51,704.975,705.51,200,2021-04-13 16:49:00,EQIX
705.45,705.5,705.065,705.065,300,2021-04-13 16:50:00,EQIX
705.62,705.62,705.62,705.62,100,2021-04-13 16:51:00,EQIX
705.125,705.125,705.125,705.125,100,2021-04-13 16:53:00,EQIX
704.89,705.015,704.66,705.015,600,2021-04-13 16:55:00,EQIX
704.935,704.935,704.935,704.935,100,2021-04-13 16:56:00,EQIX
704.94,705.31,704.94,705.31,200,2021-04-13 16:57:00,EQIX
704.94,704.94,704.94,704.94,100,2021-04-13 16:59:00,EQIX
705.42,705.42,705.42,705.42,100,2021-04-13 17:00:00,EQIX
705.68,705.775,705.68,705.775,200,2021-04-13 17:02:00,EQIX
705.68,705.77,705.39,705.39,600,2021-04-13 17:04:00,EQIX
704.73,704.73,704.73,704.73,100,2021-04-13 17:05:00,EQIX
705.38,705.38,705.38,705.38,100,2021-04-13 17:06:00,EQIX
704.13,705.05,704.13,705.0,300,2021-04-13 17:07:00,EQIX
705.07,705.11,705.07,705.11,200,2021-04-13 17:09:00,EQIX
704.4,704.42,703.98,704.225,700,2021-04-13 17:13:00,EQIX
704.24,704.24,704.24,704.24,100,2021-04-13 17:15:00,EQIX
704.24,704.245,704.24,704.245,200,2021-04-13 17:18:00,EQIX
704.59,704.62,704.33,704.33,600,2021-04-13 17:20:00,EQIX
704.23,704.23,704.23,704.23,100,2021-04-13 17:21:00,EQIX
703.9,703.9,703.54,703.54,200,2021-04-13 17:23:00,EQIX
703.96,703.96,703.96,703.96,100,2021-04-13 17:25:00,EQIX
704.01,704.01,704.01,704.01,200,2021-04-13 17:26:00,EQIX
703.49,703.49,703.49,703.49,200,2021-04-13 17:28:00,EQIX
703.55,703.55,703.55,703.55,100,2021-04-13 17:29:00,EQIX
703.01,703.59,703.0,703.31,500,2021-04-13 17:30:00,EQIX
703.66,703.935,703.38,703.72,600,2021-04-13 17:32:00,EQIX
703.835,703.835,703.835,703.835,200,2021-04-13 17:33:00,EQIX
703.97,703.97,703.97,703.97,100,2021-04-13 17:34:00,EQIX
704.04,704.04,704.04,704.04,100,2021-04-13 17:35:00,EQIX
703.32,703.32,703.32,703.32,100,2021-04-13 17:36:00,EQIX
703.95,703.95,703.63,703.63,225,2021-04-13 17:39:00,EQIX
703.91,703.91,703.37,703.645,500,2021-04-13 17:41:00,EQIX
703.845,703.845,703.845,703.845,100,2021-04-13 17:42:00,EQIX
703.93,704.275,703.91,704.275,800,2021-04-13 17:43:00,EQIX
704.59,705.33,704.36,705.33,1500,2021-04-13 17:45:00,EQIX
704.875,705.095,704.875,705.095,200,2021-04-13 17:46:00,EQIX
705.25,705.29,705.13,705.23,400,2021-04-13 17:47:00,EQIX
705.32,705.57,705.32,705.57,400,2021-04-13 17:49:00,EQIX
705.72,705.72,705.72,705.72,100,2021-04-13 17:50:00,EQIX
705.93,706.0,705.87,706.0,810,2021-04-13 17:51:00,EQIX
706.25,706.25,706.25,706.25,100,2021-04-13 17:53:00,EQIX
705.9,705.9,705.62,705.62,400,2021-04-13 17:54:00,EQIX
705.895,706.25,705.895,706.25,300,2021-04-13 17:55:00,EQIX
705.83,705.94,704.97,705.94,800,2021-04-13 17:57:00,EQIX
705.8,705.95,705.8,705.95,200,2021-04-13 17:58:00,EQIX
705.95,705.95,705.95,705.95,100,2021-04-13 17:59:00,EQIX
705.95,706.59,705.95,706.23,4405,2021-04-13 18:00:00,EQIX
705.66,706.115,705.66,706.115,300,2021-04-13 18:01:00,EQIX
706.63,706.99,706.63,706.99,600,2021-04-13 18:02:00,EQIX
706.2025,706.2025,706.2025,706.2025,100,2021-04-13 18:04:00,EQIX
706.78,706.78,706.78,706.78,100,2021-04-13 18:05:00,EQIX
705.96,705.96,705.96,705.96,100,2021-04-13 18:07:00,EQIX
706.37,706.37,706.37,706.37,100,2021-04-13 18:09:00,EQIX
706.81,706.81,706.79,706.79,200,2021-04-13 18:10:00,EQIX
706.15,706.86,706.066,706.67,1295,2021-04-13 18:11:00,EQIX
706.17,706.17,706.17,706.17,100,2021-04-13 18:13:00,EQIX
706.04,706.32,705.88,705.88,1400,2021-04-13 18:14:00,EQIX
706.24,706.24,705.9,705.9,300,2021-04-13 18:15:00,EQIX
706.26,706.32,705.91,705.91,1239,2021-04-13 18:16:00,EQIX
706.43,706.43,706.43,706.43,100,2021-04-13 18:17:00,EQIX
706.27,706.27,706.06,706.06,300,2021-04-13 18:18:00,EQIX
706.43,706.45,706.22,706.22,500,2021-04-13 18:20:00,EQIX
705.94,705.94,705.94,705.94,100,2021-04-13 18:21:00,EQIX
706.275,706.275,706.275,706.275,100,2021-04-13 18:24:00,EQIX
706.04,706.04,705.27,705.27,700,2021-04-13 18:25:00,EQIX
705.2,705.2,705.2,705.2,100,2021-04-13 18:26:00,EQIX
704.84,704.84,704.84,704.84,100,2021-04-13 18:27:00,EQIX
705.34,705.34,705.09,705.09,300,2021-04-13 18:28:00,EQIX
705.25,705.25,705.14,705.14,200,2021-04-13 18:29:00,EQIX
705.63,705.63,705.63,705.63,100,2021-04-13 18:30:00,EQIX
705.8,705.81,705.8,705.81,400,2021-04-13 18:31:00,EQIX
706.19,706.23,706.19,706.23,200,2021-04-13 18:32:00,EQIX
706.38,706.51,706.17,706.17,500,2021-04-13 18:34:00,EQIX
706.24,706.24,706.1,706.1,500,2021-04-13 18:36:00,EQIX
706.125,706.125,706.125,706.125,100,2021-04-13 18:38:00,EQIX
705.765,705.765,705.765,705.765,100,2021-04-13 18:39:00,EQIX
705.94,705.94,705.765,705.765,200,2021-04-13 18:40:00,EQIX
705.6,705.7575,705.51,705.51,500,2021-04-13 18:41:00,EQIX
705.73,705.93,705.73,705.93,200,2021-04-13 18:42:00,EQIX
706.17,706.17,706.165,706.165,700,2021-04-13 18:43:00,EQIX
706.4,706.99,706.4,706.91,900,2021-04-13 18:44:00,EQIX
706.695,707.49,706.695,706.99,1100,2021-04-13 18:45:00,EQIX
707.0,707.0,707.0,707.0,114,2021-04-13 18:46:00,EQIX
706.83,706.83,706.5,706.5,800,2021-04-13 18:47:00,EQIX
706.495,706.56,706.49,706.56,300,2021-04-13 18:49:00,EQIX
706.95,706.95,706.95,706.95,100,2021-04-13 18:51:00,EQIX
706.865,706.865,706.865,706.865,100,2021-04-13 18:52:00,EQIX
707.045,707.045,707.045,707.045,100,2021-04-13 18:53:00,EQIX
707.055,707.055,707.055,707.055,200,2021-04-13 18:54:00,EQIX
706.59,706.59,706.59,706.59,100,2021-04-13 18:55:00,EQIX
707.07,707.1,705.75,705.75,1000,2021-04-13 18:57:00,EQIX
706.752,706.752,706.235,706.235,455,2021-04-13 18:58:00,EQIX
706.25,706.36,706.085,706.085,500,2021-04-13 19:02:00,EQIX
705.83,705.96,705.79,705.93,700,2021-04-13 19:03:00,EQIX
705.78,705.78,705.78,705.78,282,2021-04-13 19:04:00,EQIX
705.87,706.22,705.87,706.18,500,2021-04-13 19:05:00,EQIX
705.68,706.21,705.61,706.21,300,2021-04-13 19:06:00,EQIX
706.36,706.36,706.09,706.09,200,2021-04-13 19:07:00,EQIX
706.49,706.53,706.48,706.48,500,2021-04-13 19:08:00,EQIX
706.95,706.95,706.95,706.95,100,2021-04-13 19:09:00,EQIX
707.0,707.0,706.95,706.95,225,2021-04-13 19:10:00,EQIX
707.07,707.07,707.07,707.07,110,2021-04-13 19:11:00,EQIX
706.87,706.95,706.87,706.95,300,2021-04-13 19:12:00,EQIX
706.95,706.95,706.95,706.95,100,2021-04-13 19:13:00,EQIX
706.5,706.5,706.235,706.235,500,2021-04-13 19:14:00,EQIX
706.39,706.39,706.39,706.39,200,2021-04-13 19:15:00,EQIX
706.04,706.04,705.65,705.93,500,2021-04-13 19:16:00,EQIX
705.97,705.97,705.63,705.7,600,2021-04-13 19:17:00,EQIX
706.0,706.15,705.72,706.15,8931,2021-04-13 19:18:00,EQIX
