open,high,low,close,volume,datetime,symbol
12.5,12.5,12.5,12.5,1647,2021-06-01 13:30:00,AFBI
12.52,12.52,12.52,12.52,4000,2021-06-01 13:43:00,AFBI
12.52,12.52,12.52,12.52,200,2021-06-01 13:52:00,AFBI
12.52,12.535,12.52,12.535,500,2021-06-01 13:56:00,AFBI
12.52,12.52,12.52,12.52,200,2021-06-01 14:52:00,AFBI
12.52,12.52,12.52,12.52,200,2021-06-01 15:52:00,AFBI
12.52,12.52,12.52,12.52,6707,2021-06-01 18:11:00,AFBI
12.55,12.55,12.55,12.55,491,2021-06-01 20:00:00,AFBI
12.6,12.6,12.6,12.6,1263,2021-06-02 13:30:00,AFBI
12.58,12.58,12.58,12.58,1000,2021-06-02 14:05:00,AFBI
12.6199,12.6199,12.6199,12.6199,200,2021-06-02 14:18:00,AFBI
12.6,12.6,12.6,12.6,351,2021-06-02 14:38:00,AFBI
12.59,12.6,12.59,12.6,1500,2021-06-02 14:53:00,AFBI
12.5699,12.5699,12.5699,12.5699,100,2021-06-02 15:42:00,AFBI
12.58,12.58,12.58,12.58,1000,2021-06-02 15:53:00,AFBI
12.62,12.62,12.6185,12.6185,1072,2021-06-02 16:33:00,AFBI
12.56,12.56,12.56,12.56,2357,2021-06-02 17:41:00,AFBI
12.56,12.56,12.56,12.56,2866,2021-06-02 17:42:00,AFBI
12.58,12.58,12.57,12.58,300,2021-06-02 18:00:00,AFBI
12.56,12.56,12.56,12.56,1500,2021-06-02 19:37:00,AFBI
12.581,12.581,12.581,12.581,208,2021-06-02 19:56:00,AFBI
12.58,12.58,12.58,12.58,1900,2021-06-02 19:57:00,AFBI
12.71,12.71,12.71,12.71,154,2021-06-02 20:00:00,AFBI
12.63,12.63,12.63,12.63,129,2021-06-03 13:30:00,AFBI
12.65,12.65,12.65,12.65,195,2021-06-03 13:53:00,AFBI
12.65,12.65,12.65,12.65,257,2021-06-03 14:56:00,AFBI
12.63,12.63,12.63,12.63,100,2021-06-03 15:06:00,AFBI
12.649,12.649,12.649,12.649,200,2021-06-03 15:40:00,AFBI
12.62,12.6296,12.62,12.6296,604,2021-06-03 17:29:00,AFBI
12.62,12.62,12.62,12.62,3000,2021-06-03 17:57:00,AFBI
12.64,12.64,12.64,12.64,757,2021-06-03 18:08:00,AFBI
12.63,12.63,12.63,12.63,100,2021-06-03 18:38:00,AFBI
12.65,12.65,12.65,12.65,100,2021-06-03 19:39:00,AFBI
12.65,12.65,12.65,12.65,100,2021-06-03 19:40:00,AFBI
12.69,12.69,12.69,12.69,100,2021-06-03 19:46:00,AFBI
12.7,12.7,12.7,12.7,100,2021-06-03 19:52:00,AFBI
12.74,12.74,12.74,12.74,208,2021-06-03 19:57:00,AFBI
12.7,12.7,12.62,12.62,1906,2021-06-03 20:00:00,AFBI
12.7,12.7,12.7,12.7,255,2021-06-03 21:40:00,AFBI
12.72,12.72,12.72,12.72,133,2021-06-04 13:30:00,AFBI
12.74,12.74,12.74,12.74,154,2021-06-04 14:45:00,AFBI
12.75,12.75,12.75,12.75,254,2021-06-04 16:11:00,AFBI
12.7764,12.7764,12.7764,12.7764,351,2021-06-04 16:31:00,AFBI
12.62,12.62,12.62,12.62,2000,2021-06-04 19:07:00,AFBI
12.635,12.635,12.635,12.635,163,2021-06-04 19:46:00,AFBI
12.62,12.62,12.62,12.62,2000,2021-06-04 19:47:00,AFBI
12.65,12.65,12.65,12.65,100,2021-06-04 19:59:00,AFBI
12.65,12.65,12.65,12.65,151,2021-06-04 20:00:00,AFBI
