open,high,low,close,volume,datetime,symbol
23.59,23.59,23.55,23.55,1948,2021-06-01 13:30:00,AFYA
23.53,23.53,23.53,23.53,245,2021-06-01 13:44:00,AFYA
23.55,23.55,23.54,23.54,200,2021-06-01 13:45:00,AFYA
23.54,23.56,23.49,23.56,1500,2021-06-01 13:46:00,AFYA
23.49,23.49,23.49,23.49,200,2021-06-01 13:48:00,AFYA
23.58,23.6,23.58,23.6,200,2021-06-01 13:51:00,AFYA
23.6,23.68,23.6,23.68,1100,2021-06-01 13:52:00,AFYA
23.79,23.81,23.79,23.81,200,2021-06-01 13:59:00,AFYA
23.66,23.8,23.66,23.8,434,2021-06-01 14:01:00,AFYA
23.8,23.8,23.66,23.66,599,2021-06-01 14:09:00,AFYA
23.67,23.67,23.56,23.56,1100,2021-06-01 14:11:00,AFYA
23.53,23.53,23.53,23.53,104,2021-06-01 14:13:00,AFYA
23.53,23.53,23.53,23.53,200,2021-06-01 14:14:00,AFYA
23.53,23.6,23.53,23.6,404,2021-06-01 14:15:00,AFYA
23.61,23.61,23.61,23.61,120,2021-06-01 14:16:00,AFYA
23.54,23.55,23.53,23.55,300,2021-06-01 14:19:00,AFYA
23.53,23.53,23.53,23.53,187,2021-06-01 14:21:00,AFYA
23.53,23.53,23.53,23.53,246,2021-06-01 14:22:00,AFYA
23.51,23.57,23.51,23.57,500,2021-06-01 14:23:00,AFYA
23.53,23.53,23.53,23.53,100,2021-06-01 14:26:00,AFYA
23.48,23.48,23.48,23.48,100,2021-06-01 14:27:00,AFYA
23.51,23.51,23.49,23.49,400,2021-06-01 14:29:00,AFYA
23.5,23.56,23.5,23.56,400,2021-06-01 14:34:00,AFYA
23.5,23.5,23.5,23.5,400,2021-06-01 14:35:00,AFYA
23.565,23.59,23.565,23.59,786,2021-06-01 14:38:00,AFYA
23.58,23.63,23.55,23.55,500,2021-06-01 14:42:00,AFYA
23.7,23.7,23.665,23.665,500,2021-06-01 14:45:00,AFYA
23.71,23.745,23.71,23.745,500,2021-06-01 14:46:00,AFYA
23.8,23.8,23.8,23.8,100,2021-06-01 14:47:00,AFYA
23.8,23.86,23.8,23.86,200,2021-06-01 14:48:00,AFYA
23.85,23.85,23.85,23.85,100,2021-06-01 14:49:00,AFYA
23.85,23.88,23.85,23.86,8504,2021-06-01 14:50:00,AFYA
23.89,23.92,23.82,23.82,1113,2021-06-01 14:51:00,AFYA
23.91,23.92,23.885,23.885,716,2021-06-01 14:57:00,AFYA
23.79,23.79,23.76,23.76,300,2021-06-01 14:58:00,AFYA
23.76,23.76,23.76,23.76,100,2021-06-01 14:59:00,AFYA
23.735,23.735,23.65,23.65,598,2021-06-01 15:02:00,AFYA
23.65,23.65,23.65,23.65,100,2021-06-01 15:03:00,AFYA
23.66,23.71,23.66,23.71,300,2021-06-01 15:05:00,AFYA
23.66,23.66,23.66,23.66,100,2021-06-01 15:06:00,AFYA
23.66,23.66,23.66,23.66,100,2021-06-01 15:08:00,AFYA
23.66,23.71,23.66,23.71,200,2021-06-01 15:10:00,AFYA
23.75,23.75,23.66,23.66,300,2021-06-01 15:12:00,AFYA
23.66,23.67,23.53,23.53,1000,2021-06-01 15:14:00,AFYA
23.48,23.48,23.47,23.47,500,2021-06-01 15:19:00,AFYA
23.535,23.6,23.51,23.51,500,2021-06-01 15:23:00,AFYA
23.65,23.65,23.525,23.63,500,2021-06-01 15:29:00,AFYA
23.5726,23.5726,23.5726,23.5726,593,2021-06-01 15:32:00,AFYA
23.57,23.57,23.53,23.53,300,2021-06-01 15:33:00,AFYA
23.57,23.57,23.5605,23.5605,330,2021-06-01 15:35:00,AFYA
23.52,23.57,23.52,23.55,300,2021-06-01 15:37:00,AFYA
23.57,23.61,23.57,23.61,200,2021-06-01 15:38:00,AFYA
23.52,23.52,23.52,23.52,100,2021-06-01 15:41:00,AFYA
23.52,23.52,23.47,23.47,400,2021-06-01 15:42:00,AFYA
