open,high,low,close,volume,datetime,symbol
33.81,33.81,33.81,33.81,2270,2021-06-01 13:30:00,ALBO
33.5,33.5,33.5,33.5,100,2021-06-01 13:33:00,ALBO
33.98,33.98,33.98,33.98,125,2021-06-01 13:34:00,ALBO
33.5735,33.5735,33.5735,33.5735,6000,2021-06-01 13:35:00,ALBO
33.725,33.725,33.725,33.725,100,2021-06-01 13:39:00,ALBO
33.73,33.73,33.73,33.73,100,2021-06-01 13:42:00,ALBO
33.56,33.56,33.51,33.51,300,2021-06-01 13:45:00,ALBO
33.13,33.13,32.9,32.9979,1462,2021-06-01 13:56:00,ALBO
32.97,32.97,32.9,32.9,200,2021-06-01 14:00:00,ALBO
32.93,32.93,32.93,32.93,100,2021-06-01 14:04:00,ALBO
33.04,33.04,33.04,33.04,100,2021-06-01 14:06:00,ALBO
33.02,33.02,32.89,32.89,800,2021-06-01 14:12:00,ALBO
32.89,32.89,32.89,32.89,135,2021-06-01 14:13:00,ALBO
32.86,32.87,32.71,32.74,800,2021-06-01 14:14:00,ALBO
32.865,32.865,32.816,32.865,3000,2021-06-01 14:15:00,ALBO
32.77,32.8518,32.59,32.6815,8170,2021-06-01 14:16:00,ALBO
32.85,32.85,32.85,32.85,100,2021-06-01 14:19:00,ALBO
32.71,32.71,32.6,32.6,1400,2021-06-01 14:22:00,ALBO
32.8399,32.8399,32.8399,32.8399,500,2021-06-01 14:25:00,ALBO
32.5,32.5,32.5,32.5,200,2021-06-01 14:27:00,ALBO
32.65,32.685,32.65,32.685,200,2021-06-01 14:28:00,ALBO
32.83,32.84,32.76,32.76,400,2021-06-01 14:31:00,ALBO
32.74,32.74,32.74,32.74,100,2021-06-01 14:38:00,ALBO
32.75,32.75,32.73,32.73,300,2021-06-01 14:40:00,ALBO
32.73,32.735,32.73,32.735,300,2021-06-01 14:41:00,ALBO
32.69,32.69,32.69,32.69,100,2021-06-01 14:42:00,ALBO
32.7,32.7,32.68,32.68,200,2021-06-01 14:43:00,ALBO
