open,high,low,close,volume,datetime,symbol
20.5,20.5,20.25,20.25,3287,2021-06-01 13:30:00,HARP
20.365,20.365,20.365,20.365,100,2021-06-01 13:31:00,HARP
20.47,20.48,20.46,20.46,700,2021-06-01 13:40:00,HARP
20.53,20.67,20.53,20.67,380,2021-06-01 13:41:00,HARP
20.56,20.56,20.56,20.56,100,2021-06-01 13:46:00,HARP
20.5822,20.5822,20.5,20.5,305,2021-06-01 13:51:00,HARP
20.47,20.47,20.465,20.465,200,2021-06-01 13:53:00,HARP
20.46,20.46,20.34,20.34,500,2021-06-01 13:54:00,HARP
20.305,20.34,20.3,20.34,600,2021-06-01 14:02:00,HARP
20.32,20.46,20.32,20.46,800,2021-06-01 14:03:00,HARP
20.325,20.325,20.28,20.28,200,2021-06-01 14:12:00,HARP
20.2,20.2,20.07,20.125,400,2021-06-01 14:15:00,HARP
20.13,20.13,20.13,20.13,785,2021-06-01 14:16:00,HARP
20.18,20.18,20.135,20.135,200,2021-06-01 14:17:00,HARP
20.19,20.19,20.13,20.13,825,2021-06-01 14:19:00,HARP
20.22,20.22,20.22,20.22,400,2021-06-01 14:30:00,HARP
20.22,20.23,20.15,20.23,400,2021-06-01 14:31:00,HARP
20.15,20.23,20.13,20.2125,1820,2021-06-01 14:39:00,HARP
20.22,20.28,20.22,20.28,400,2021-06-01 14:45:00,HARP
20.27,20.28,20.225,20.225,900,2021-06-01 14:46:00,HARP
20.14,20.14,20.04,20.04,700,2021-06-01 14:49:00,HARP
20.01,20.065,20.01,20.065,200,2021-06-01 14:50:00,HARP
20.0,20.02,20.0,20.005,650,2021-06-01 14:51:00,HARP
20.0,20.03,20.0,20.02,1100,2021-06-01 14:52:00,HARP
19.86,19.86,19.86,19.86,100,2021-06-01 14:55:00,HARP
19.88,19.88,19.88,19.88,100,2021-06-01 14:56:00,HARP
19.85,19.85,19.85,19.85,100,2021-06-01 14:57:00,HARP
19.85,19.85,19.85,19.85,100,2021-06-01 14:58:00,HARP
19.85,19.85,19.85,19.85,200,2021-06-01 14:59:00,HARP
19.93,19.93,19.93,19.93,100,2021-06-01 15:01:00,HARP
19.87,19.87,19.87,19.87,100,2021-06-01 15:02:00,HARP
19.93,19.93,19.93,19.93,300,2021-06-01 15:03:00,HARP
20.02,20.02,19.97,19.97,200,2021-06-01 15:04:00,HARP
20.02,20.02,20.02,20.02,100,2021-06-01 15:05:00,HARP
20.03,20.14,20.03,20.14,500,2021-06-01 15:06:00,HARP
20.14,20.14,20.14,20.14,100,2021-06-01 15:07:00,HARP
20.14,20.1499,20.14,20.1499,600,2021-06-01 15:08:00,HARP
20.075,20.15,20.075,20.15,200,2021-06-01 15:09:00,HARP
20.15,20.15,20.15,20.15,200,2021-06-01 15:10:00,HARP
20.27,20.27,20.27,20.27,100,2021-06-01 15:12:00,HARP
20.23,20.27,20.23,20.27,200,2021-06-01 15:14:00,HARP
20.22,20.22,20.22,20.22,100,2021-06-01 15:17:00,HARP
20.24,20.24,20.24,20.24,100,2021-06-01 15:18:00,HARP
20.27,20.28,20.27,20.28,300,2021-06-01 15:19:00,HARP
20.3,20.3,20.3,20.3,100,2021-06-01 15:20:00,HARP
20.31,20.31,20.3,20.3,265,2021-06-01 15:21:00,HARP
20.26,20.26,20.26,20.26,100,2021-06-01 15:23:00,HARP
20.3,20.3,20.3,20.3,200,2021-06-01 15:25:00,HARP
20.27,20.27,20.27,20.27,200,2021-06-01 15:27:00,HARP
20.3,20.33,20.3,20.33,300,2021-06-01 15:28:00,HARP
20.34,20.34,20.34,20.34,300,2021-06-01 15:39:00,HARP
20.34,20.34,20.34,20.34,100,2021-06-01 15:40:00,HARP
20.34,20.34,20.34,20.34,100,2021-06-01 15:41:00,HARP
20.34,20.34,20.34,20.34,100,2021-06-01 15:44:00,HARP
20.37,20.37,20.37,20.37,100,2021-06-01 15:46:00,HARP
20.39,20.4,20.38,20.4,700,2021-06-01 15:49:00,HARP
20.43,20.46,20.43,20.46,500,2021-06-01 15:56:00,HARP
20.49,20.49,20.49,20.49,300,2021-06-01 16:05:00,HARP
20.59,20.59,20.59,20.59,200,2021-06-01 16:06:00,HARP
20.51,20.51,20.51,20.51,125,2021-06-01 16:09:00,HARP
20.59,20.59,20.59,20.59,100,2021-06-01 16:10:00,HARP
20.585,20.585,20.585,20.585,200,2021-06-01 16:13:00,HARP
