open,high,low,close,volume,datetime,symbol
184.0,184.0,184.0,184.0,150,2021-06-01 08:00:00,MRNA
184.6,184.6,184.6,184.6,100,2021-06-01 08:04:00,MRNA
184.5,184.5,184.0,184.0,528,2021-06-01 08:08:00,MRNA
183.0,183.0,183.0,183.0,100,2021-06-01 08:09:00,MRNA
182.5,182.5,182.5,182.5,199,2021-06-01 08:11:00,MRNA
182.0,182.0,182.0,182.0,332,2021-06-01 08:24:00,MRNA
182.43,182.43,182.43,182.43,100,2021-06-01 08:30:00,MRNA
182.5,182.8,182.5,182.8,300,2021-06-01 08:32:00,MRNA
182.82,182.82,182.82,182.82,568,2021-06-01 08:37:00,MRNA
183.0,183.0,183.0,183.0,100,2021-06-01 08:49:00,MRNA
183.31,183.31,183.31,183.31,100,2021-06-01 09:03:00,MRNA
184.0,184.0,184.0,184.0,100,2021-06-01 10:27:00,MRNA
184.0,184.0,184.0,184.0,1999,2021-06-01 10:34:00,MRNA
184.0,184.0,184.0,184.0,150,2021-06-01 10:53:00,MRNA
184.48,184.49,184.48,184.49,311,2021-06-01 11:02:00,MRNA
184.09,184.09,184.09,184.09,104,2021-06-01 11:03:00,MRNA
184.0,184.0,184.0,184.0,1050,2021-06-01 11:04:00,MRNA
184.25,184.25,184.25,184.25,1598,2021-06-01 11:05:00,MRNA
184.49,184.5,184.49,184.5,888,2021-06-01 11:14:00,MRNA
184.99,184.99,184.99,184.99,1156,2021-06-01 11:17:00,MRNA
184.99,185.0,184.99,185.0,716,2021-06-01 11:18:00,MRNA
185.05,185.05,185.05,185.05,100,2021-06-01 11:19:00,MRNA
185.4,185.4,185.4,185.4,100,2021-06-01 11:25:00,MRNA
185.6,185.6,185.6,185.6,290,2021-06-01 11:34:00,MRNA
185.7,185.7,185.7,185.7,329,2021-06-01 11:35:00,MRNA
185.15,185.15,185.15,185.15,200,2021-06-01 11:49:00,MRNA
185.1,185.15,185.0,185.15,992,2021-06-01 11:50:00,MRNA
185.7,185.7,185.5,185.5,434,2021-06-01 12:00:00,MRNA
185.3,185.3,185.3,185.3,341,2021-06-01 12:13:00,MRNA
185.3,185.3,185.3,185.3,939,2021-06-01 12:14:00,MRNA
185.07,185.07,185.07,185.07,100,2021-06-01 12:17:00,MRNA
185.09,185.3,185.09,185.3,700,2021-06-01 12:22:00,MRNA
185.25,185.25,185.25,185.25,500,2021-06-01 12:24:00,MRNA
185.05,185.11,185.05,185.11,214,2021-06-01 12:31:00,MRNA
185.02,185.02,185.0,185.02,2913,2021-06-01 12:32:00,MRNA
185.0,185.0,185.0,185.0,1100,2021-06-01 12:33:00,MRNA
185.1,185.1,185.1,185.1,600,2021-06-01 12:37:00,MRNA
185.1,185.1,185.1,185.1,284,2021-06-01 12:39:00,MRNA
