open,high,low,close,volume,datetime,symbol
91.19,91.2,91.19,91.2,450,2021-06-01 11:38:00,OAS
91.16,91.16,91.16,91.16,109,2021-06-01 11:43:00,OAS
89.9,89.9,89.9,89.9,265,2021-06-01 12:00:00,OAS
89.91,89.91,89.91,89.91,100,2021-06-01 12:17:00,OAS
91.15,91.15,91.15,91.15,120,2021-06-01 13:21:00,OAS
89.5,90.45,88.77,89.2,3843,2021-06-01 13:30:00,OAS
88.82,90.4843,88.82,89.875,1409,2021-06-01 13:31:00,OAS
90.25,90.25,90.25,90.25,100,2021-06-01 13:32:00,OAS
89.69,90.6,89.69,89.69,930,2021-06-01 13:33:00,OAS
89.885,91.2,89.885,91.19,7964,2021-06-01 13:34:00,OAS
90.375,90.725,89.24,90.215,2720,2021-06-01 13:35:00,OAS
90.43,90.43,90.43,90.43,306,2021-06-01 13:36:00,OAS
91.02,91.02,91.02,91.02,105,2021-06-01 13:37:00,OAS
91.42,91.5,91.42,91.5,909,2021-06-01 13:38:00,OAS
91.505,91.51,91.505,91.505,600,2021-06-01 13:39:00,OAS
91.48,91.48,90.96,91.42,877,2021-06-01 13:40:00,OAS
91.28,91.28,91.28,91.28,100,2021-06-01 13:41:00,OAS
91.01,91.02,90.855,90.855,2700,2021-06-01 13:42:00,OAS
91.82,91.82,90.96,90.98,851,2021-06-01 13:46:00,OAS
90.96,90.96,90.825,90.96,520,2021-06-01 13:47:00,OAS
90.955,90.955,90.955,90.955,100,2021-06-01 13:48:00,OAS
90.5,90.5,90.5,90.5,200,2021-06-01 13:49:00,OAS
90.95,90.95,90.95,90.95,100,2021-06-01 13:51:00,OAS
90.59,90.97,90.51,90.75,773,2021-06-01 13:52:00,OAS
90.94,90.96,90.52,90.735,1248,2021-06-01 13:53:00,OAS
90.655,90.735,90.655,90.655,400,2021-06-01 13:54:00,OAS
90.87,90.93,90.79,90.79,2412,2021-06-01 13:58:00,OAS
90.79,90.94,90.5,90.5,5064,2021-06-01 13:59:00,OAS
90.35,90.35,90.015,90.02,600,2021-06-01 14:00:00,OAS
90.54,90.54,90.085,90.265,400,2021-06-01 14:01:00,OAS
