open,high,low,close,volume,datetime,symbol
9.98,9.9802,9.98,9.9802,900,2021-06-01 13:51:00,PAQCU
9.98,9.98,9.98,9.98,500,2021-06-01 13:55:00,PAQCU
10.006,10.006,10.006,10.006,804,2021-06-01 14:13:00,PAQCU
10.03,10.03,10.03,10.03,900,2021-06-01 14:29:00,PAQCU
10.01,10.01,10.01,10.01,509,2021-06-01 15:02:00,PAQCU
10.01,10.01,10.01,10.01,499,2021-06-01 15:31:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 16:01:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 16:04:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 16:05:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-01 16:06:00,PAQCU
10.0,10.0,10.0,10.0,800,2021-06-01 16:07:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-01 16:08:00,PAQCU
10.0,10.0,10.0,10.0,300,2021-06-01 16:09:00,PAQCU
10.0,10.0,10.0,10.0,700,2021-06-01 16:10:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 16:11:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-01 16:12:00,PAQCU
10.0,10.0,10.0,10.0,600,2021-06-01 16:13:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 16:14:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-01 16:15:00,PAQCU
10.0,10.0,10.0,10.0,700,2021-06-01 16:16:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 16:17:00,PAQCU
10.0,10.0,10.0,10.0,300,2021-06-01 16:18:00,PAQCU
10.0,10.0,10.0,10.0,700,2021-06-01 16:19:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 16:20:00,PAQCU
10.0,10.0,10.0,10.0,300,2021-06-01 16:21:00,PAQCU
10.0,10.0,10.0,10.0,600,2021-06-01 16:22:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 16:23:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-01 16:24:00,PAQCU
10.0,10.0,10.0,10.0,600,2021-06-01 16:25:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 16:26:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-01 16:27:00,PAQCU
10.0,10.0,10.0,10.0,1000,2021-06-01 16:28:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 16:29:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-01 16:30:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 16:33:00,PAQCU
9.9909,9.9909,9.9909,9.9909,300,2021-06-01 16:49:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 16:50:00,PAQCU
10.0,10.0,10.0,10.0,7600,2021-06-01 17:03:00,PAQCU
10.0,10.0,10.0,10.0,7600,2021-06-01 17:04:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 17:06:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 17:07:00,PAQCU
10.0,10.0,10.0,10.0,700,2021-06-01 17:08:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 17:09:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-01 17:10:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-01 17:11:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 17:20:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 17:34:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 17:46:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 17:57:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 18:07:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 18:18:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 18:28:00,PAQCU
10.0,10.0,9.99,10.0,13470,2021-06-01 18:38:00,PAQCU
10.0,10.03,10.0,10.0,2942,2021-06-01 18:39:00,PAQCU
9.995,9.995,9.99,9.99,202,2021-06-01 18:44:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 18:50:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 18:55:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 18:56:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 19:00:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 19:03:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 19:04:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 19:09:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 19:11:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 19:14:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 19:15:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 19:17:00,PAQCU
9.9985,9.9985,9.9985,9.9985,600,2021-06-01 19:18:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 19:20:00,PAQCU
10.0,10.0,10.0,10.0,300,2021-06-01 19:22:00,PAQCU
10.0,10.0,9.99,9.99,200,2021-06-01 19:25:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 19:27:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 19:29:00,PAQCU
10.0,10.0,9.99,9.99,200,2021-06-01 19:30:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 19:32:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 19:34:00,PAQCU
10.0,10.0,9.99,9.99,299,2021-06-01 19:35:00,PAQCU
9.995,9.995,9.995,9.995,100,2021-06-01 19:36:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 19:39:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 19:43:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 19:47:00,PAQCU
9.99,9.99,9.99,9.99,100,2021-06-01 19:52:00,PAQCU
10.0,10.0,10.0,10.0,2618,2021-06-01 19:55:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 19:56:00,PAQCU
10.0,10.0,10.0,10.0,100,2021-06-01 19:57:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-01 19:58:00,PAQCU
10.0,10.0,10.0,10.0,560,2021-06-01 19:59:00,PAQCU
10.0,10.0,10.0,10.0,169,2021-06-01 20:00:00,PAQCU
9.97,9.97,9.95,9.95,557,2021-06-02 13:03:00,PAQCU
10.0,10.0,10.0,10.0,169,2021-06-02 13:39:00,PAQCU
10.01,10.01,10.01,10.01,100,2021-06-02 15:01:00,PAQCU
10.01,10.01,10.01,10.01,400,2021-06-02 15:05:00,PAQCU
10.01,10.01,10.01,10.01,200,2021-06-02 15:06:00,PAQCU
10.0,10.0,10.0,10.0,700,2021-06-02 15:08:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-02 15:09:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-02 15:10:00,PAQCU
10.0,10.0,10.0,10.0,300,2021-06-02 15:11:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-02 15:13:00,PAQCU
10.0,10.0,10.0,10.0,700,2021-06-02 15:14:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-02 15:15:00,PAQCU
10.0,10.0,10.0,10.0,200,2021-06-02 15:16:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-02 15:17:00,PAQCU
10.0,10.0,10.0,10.0,500,2021-06-02 15:19:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-02 15:20:00,PAQCU
10.0,10.0,10.0,10.0,300,2021-06-02 15:21:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-02 15:22:00,PAQCU
10.0,10.0,10.0,10.0,400,2021-06-02 15:23:00,PAQCU
