open,high,low,close,volume,datetime,symbol
5.9,5.9,5.9,5.9,847,2021-06-01 13:30:00,SVVC
5.78,5.9,5.78,5.9,700,2021-06-01 13:31:00,SVVC
5.78,5.79,5.69,5.69,7644,2021-06-01 13:34:00,SVVC
5.64,5.64,5.6,5.6,2250,2021-06-01 13:43:00,SVVC
5.6,5.6,5.6,5.6,100,2021-06-01 13:50:00,SVVC
5.68,5.68,5.68,5.68,200,2021-06-01 13:59:00,SVVC
5.6832,5.6832,5.6832,5.6832,1000,2021-06-01 14:12:00,SVVC
5.7,5.7,5.7,5.7,130,2021-06-01 14:14:00,SVVC
5.68,5.68,5.68,5.68,100,2021-06-01 14:23:00,SVVC
5.67,5.67,5.67,5.67,100,2021-06-01 14:24:00,SVVC
5.67,5.7,5.67,5.7,2452,2021-06-01 14:25:00,SVVC
5.7,5.8,5.7,5.8,300,2021-06-01 14:26:00,SVVC
5.8,5.8,5.8,5.8,700,2021-06-01 14:27:00,SVVC
5.8101,5.8101,5.8101,5.8101,1538,2021-06-01 14:32:00,SVVC
5.81,5.81,5.67,5.67,10789,2021-06-01 14:33:00,SVVC
5.69,5.69,5.69,5.69,350,2021-06-01 14:40:00,SVVC
5.7003,5.7003,5.7003,5.7003,300,2021-06-01 14:53:00,SVVC
5.72,5.72,5.72,5.72,300,2021-06-01 14:56:00,SVVC
5.72,5.725,5.72,5.725,200,2021-06-01 14:57:00,SVVC
5.75,5.75,5.75,5.75,300,2021-06-01 15:02:00,SVVC
5.74,5.74,5.74,5.74,200,2021-06-01 15:08:00,SVVC
5.75,5.75,5.75,5.75,100,2021-06-01 15:14:00,SVVC
5.74,5.74,5.74,5.74,300,2021-06-01 15:15:00,SVVC
5.74,5.74,5.67,5.67,5355,2021-06-01 15:22:00,SVVC
5.7,5.7,5.66,5.66,450,2021-06-01 15:30:00,SVVC
5.66,5.685,5.6,5.685,975,2021-06-01 15:31:00,SVVC
5.6941,5.6941,5.6941,5.6941,450,2021-06-01 15:36:00,SVVC
5.6779,5.6779,5.6779,5.6779,200,2021-06-01 15:50:00,SVVC
5.665,5.665,5.665,5.665,100,2021-06-01 16:01:00,SVVC
5.6913,5.6913,5.6913,5.6913,100,2021-06-01 16:22:00,SVVC
5.7,5.7,5.7,5.7,300,2021-06-01 16:30:00,SVVC
5.63,5.63,5.62,5.62,1800,2021-06-01 16:36:00,SVVC
5.6501,5.6501,5.6501,5.6501,2000,2021-06-01 17:01:00,SVVC
5.65,5.65,5.65,5.65,300,2021-06-01 17:19:00,SVVC
5.65,5.65,5.65,5.65,100,2021-06-01 17:27:00,SVVC
5.6501,5.6501,5.64,5.64,2352,2021-06-01 17:28:00,SVVC
5.65,5.65,5.645,5.65,1000,2021-06-01 17:30:00,SVVC
5.7,5.7,5.68,5.7,2106,2021-06-01 17:58:00,SVVC
5.6501,5.6501,5.6501,5.6501,1250,2021-06-01 18:12:00,SVVC
5.68,5.68,5.68,5.68,100,2021-06-01 18:14:00,SVVC
5.7599,5.7599,5.7599,5.7599,190,2021-06-01 18:37:00,SVVC
5.75,5.75,5.75,5.75,1300,2021-06-01 18:44:00,SVVC
5.75,5.75,5.72,5.72,2700,2021-06-01 18:45:00,SVVC
5.675,5.7,5.67,5.67,10433,2021-06-01 18:47:00,SVVC
5.69,5.7,5.69,5.7,4817,2021-06-01 18:48:00,SVVC
5.75,5.75,5.75,5.75,800,2021-06-01 19:11:00,SVVC
5.75,5.75,5.7473,5.7495,1115,2021-06-01 19:24:00,SVVC
5.7499,5.7499,5.7499,5.7499,100,2021-06-01 19:31:00,SVVC
5.7493,5.7499,5.7493,5.7499,200,2021-06-01 19:34:00,SVVC
5.7499,5.7499,5.7493,5.7493,200,2021-06-01 19:35:00,SVVC
5.75,5.75,5.745,5.745,200,2021-06-01 19:38:00,SVVC
5.76,5.76,5.76,5.76,100,2021-06-01 19:42:00,SVVC
5.765,5.765,5.765,5.765,150,2021-06-01 19:53:00,SVVC
5.75,5.78,5.75,5.78,343,2021-06-01 19:54:00,SVVC
5.76,5.78,5.76,5.78,742,2021-06-01 19:57:00,SVVC
5.76,5.76,5.76,5.76,130,2021-06-01 19:59:00,SVVC
5.78,5.78,5.78,5.78,1250,2021-06-01 22:00:00,SVVC
5.78,5.78,5.78,5.78,100,2021-06-01 23:37:00,SVVC
6.1,6.1,6.1,6.1,100,2021-06-02 11:57:00,SVVC
5.86,5.86,5.86,5.86,186,2021-06-02 13:30:00,SVVC
