open,high,low,close,volume,datetime,symbol
10.5,10.5,10.5,10.5,405,2021-06-01 13:30:00,ALIM
10.32,10.32,10.32,10.32,500,2021-06-01 14:12:00,ALIM
10.36,10.36,10.35,10.35,400,2021-06-01 14:40:00,ALIM
10.29,10.29,10.29,10.29,100,2021-06-01 14:49:00,ALIM
10.2572,10.2572,10.2572,10.2572,337,2021-06-01 14:50:00,ALIM
10.21,10.21,10.2,10.2,1066,2021-06-01 15:03:00,ALIM
10.2,10.2,10.2,10.2,700,2021-06-01 15:09:00,ALIM
10.2,10.205,10.2,10.2,452,2021-06-01 15:22:00,ALIM
10.2,10.23,10.2,10.23,1200,2021-06-01 15:35:00,ALIM
10.28,10.34,10.2,10.34,1633,2021-06-01 16:16:00,ALIM
10.36,10.36,10.35,10.35,300,2021-06-01 16:43:00,ALIM
10.34,10.34,10.26,10.34,3000,2021-06-01 16:53:00,ALIM
10.21,10.21,10.19,10.21,3293,2021-06-01 16:54:00,ALIM
10.2,10.2,10.2,10.2,2500,2021-06-01 16:55:00,ALIM
10.18,10.19,10.18,10.19,300,2021-06-01 17:11:00,ALIM
10.1546,10.1546,10.1546,10.1546,750,2021-06-01 17:48:00,ALIM
10.17,10.178,10.17,10.178,200,2021-06-01 18:01:00,ALIM
10.04,10.04,10.03,10.04,400,2021-06-01 19:26:00,ALIM
9.9858,9.9858,9.9858,9.9858,1000,2021-06-01 19:31:00,ALIM
10.05,10.05,10.05,10.05,190,2021-06-01 19:34:00,ALIM
10.045,10.045,10.045,10.045,250,2021-06-01 19:45:00,ALIM
9.9501,9.9501,9.9501,9.9501,800,2021-06-01 19:48:00,ALIM
10.04,10.04,10.04,10.04,100,2021-06-01 19:52:00,ALIM
10.11,10.12,10.11,10.12,300,2021-06-01 19:55:00,ALIM
10.12,10.12,10.02,10.02,200,2021-06-01 19:59:00,ALIM
10.13,10.13,10.13,10.13,347,2021-06-01 20:00:00,ALIM
10.24,10.24,10.24,10.24,1345,2021-06-02 13:30:00,ALIM
10.25,10.25,10.25,10.25,500,2021-06-02 14:26:00,ALIM
10.1496,10.1496,10.1496,10.1496,333,2021-06-02 15:25:00,ALIM
10.12,10.12,10.12,10.12,100,2021-06-02 15:35:00,ALIM
10.232,10.25,10.21,10.25,600,2021-06-02 16:14:00,ALIM
10.19,10.19,10.18,10.18,300,2021-06-02 17:22:00,ALIM
10.09,10.09,10.09,10.09,200,2021-06-02 17:39:00,ALIM
10.095,10.1,10.095,10.1,200,2021-06-02 17:55:00,ALIM
10.09,10.09,10.09,10.09,100,2021-06-02 18:12:00,ALIM
10.22,10.22,10.22,10.22,100,2021-06-02 19:33:00,ALIM
10.2,10.2,10.2,10.2,100,2021-06-02 19:59:00,ALIM
10.19,10.19,10.19,10.19,212,2021-06-02 20:00:00,ALIM
10.02,10.02,10.02,10.02,125,2021-06-03 13:34:00,ALIM
10.3099,10.3099,10.3099,10.3099,167,2021-06-03 13:36:00,ALIM
10.15,10.15,10.15,10.15,100,2021-06-03 14:24:00,ALIM
10.19,10.25,10.19,10.25,5258,2021-06-03 14:34:00,ALIM
10.1769,10.1769,10.1769,10.1769,400,2021-06-03 14:47:00,ALIM
10.2,10.2,10.19,10.19,200,2021-06-03 15:16:00,ALIM
10.17,10.19,10.15,10.15,800,2021-06-03 15:25:00,ALIM
10.2828,10.2828,10.2828,10.2828,100,2021-06-03 16:47:00,ALIM
10.27,10.3,10.2531,10.2999,1800,2021-06-03 18:25:00,ALIM
10.27,10.27,10.27,10.27,100,2021-06-03 19:59:00,ALIM
10.27,10.27,10.27,10.27,432,2021-06-03 20:00:00,ALIM
10.29,10.29,10.29,10.29,114,2021-06-04 13:30:00,ALIM
10.23,10.23,10.15,10.15,1000,2021-06-04 15:32:00,ALIM
10.27,10.27,10.27,10.27,100,2021-06-04 16:04:00,ALIM
10.3,10.3,10.3,10.3,742,2021-06-04 17:13:00,ALIM
10.3,10.3,10.3,10.3,700,2021-06-04 17:23:00,ALIM
10.3,10.3,10.3,10.3,200,2021-06-04 17:52:00,ALIM
10.3,10.3,10.3,10.3,400,2021-06-04 17:58:00,ALIM
10.3,10.3,10.3,10.3,320,2021-06-04 18:04:00,ALIM
10.3,10.3,10.3,10.3,200,2021-06-04 18:07:00,ALIM
10.3,10.3,10.3,10.3,100,2021-06-04 18:15:00,ALIM
10.28,10.28,10.2,10.21,496,2021-06-04 18:35:00,ALIM
10.28,10.28,10.28,10.28,100,2021-06-04 19:07:00,ALIM
10.26,10.26,10.26,10.26,100,2021-06-04 19:24:00,ALIM
10.29,10.29,10.29,10.29,100,2021-06-04 19:29:00,ALIM
