open,high,low,close,volume,datetime,symbol
9.8101,9.8101,9.8101,9.8101,100,2021-06-01 13:54:00,BCYP
9.85,9.85,9.85,9.85,597,2021-06-01 17:14:00,BCYP
9.85,9.85,9.84,9.85,3603,2021-06-01 17:44:00,BCYP
9.85,9.85,9.84,9.84,4995,2021-06-01 17:46:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-01 18:03:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-01 18:21:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-01 18:32:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-01 18:44:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-01 18:56:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-01 19:08:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-01 19:19:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-01 19:28:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-01 19:35:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-01 19:42:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-01 19:51:00,BCYP
9.9,9.9,9.9,9.9,800,2021-06-02 15:49:00,BCYP
9.9,9.9,9.9,9.9,1200,2021-06-02 15:50:00,BCYP
9.9,9.9,9.9,9.9,100,2021-06-02 16:26:00,BCYP
9.9,9.9,9.9,9.9,100,2021-06-02 17:50:00,BCYP
9.9,9.9,9.9,9.9,110,2021-06-02 18:50:00,BCYP
9.9,9.9,9.9,9.9,130,2021-06-02 18:56:00,BCYP
9.9,9.9,9.9,9.9,130,2021-06-02 19:03:00,BCYP
9.9,9.9,9.9,9.9,150,2021-06-02 19:09:00,BCYP
9.9,9.9,9.9,9.9,110,2021-06-02 19:16:00,BCYP
9.9,9.9,9.9,9.9,138,2021-06-02 19:22:00,BCYP
9.9,9.9,9.9,9.9,170,2021-06-02 19:28:00,BCYP
9.9,9.9,9.9,9.9,100,2021-06-02 19:32:00,BCYP
9.9,9.9,9.9,9.9,170,2021-06-02 19:33:00,BCYP
9.91,9.91,9.91,9.91,260,2021-06-02 19:44:00,BCYP
9.91,9.91,9.91,9.91,150,2021-06-02 19:54:00,BCYP
9.86,9.86,9.86,9.86,176,2021-06-04 19:44:00,BCYP
9.86,9.867,9.86,9.867,2000,2021-06-07 14:40:00,BCYP
9.86,9.86,9.86,9.86,430,2021-06-07 14:45:00,BCYP
9.85,9.85,9.85,9.85,100,2021-06-07 15:38:00,BCYP
9.84,9.84,9.84,9.84,1500,2021-06-07 16:11:00,BCYP
9.84,9.8402,9.84,9.8402,800,2021-06-07 16:20:00,BCYP
9.86,9.86,9.86,9.86,100,2021-06-07 18:08:00,BCYP
9.87,9.87,9.87,9.87,100,2021-06-07 19:52:00,BCYP
9.85,9.85,9.85,9.85,110,2021-06-08 13:30:00,BCYP
9.87,9.87,9.87,9.87,500,2021-06-08 14:16:00,BCYP
9.87,9.87,9.87,9.87,500,2021-06-08 14:17:00,BCYP
9.87,9.87,9.87,9.87,1000,2021-06-08 14:18:00,BCYP
9.87,9.87,9.87,9.87,1270,2021-06-08 14:19:00,BCYP
9.87,9.87,9.87,9.87,1000,2021-06-08 14:21:00,BCYP
9.9,9.9,9.9,9.9,100,2021-06-08 14:42:00,BCYP
9.91,9.91,9.91,9.91,100,2021-06-08 14:57:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-08 15:29:00,BCYP
9.92,9.92,9.92,9.92,100,2021-06-08 19:34:00,BCYP
9.89,9.92,9.89,9.92,42202,2021-06-09 18:18:00,BCYP
9.89,9.92,9.89,9.92,10388,2021-06-09 18:23:00,BCYP
9.89,9.89,9.89,9.89,100,2021-06-09 19:39:00,BCYP
9.93,9.93,9.93,9.93,100,2021-06-09 19:55:00,BCYP
9.93,9.94,9.93,9.93,1300,2021-06-09 19:59:00,BCYP
9.92,9.92,9.92,9.92,155,2021-06-11 14:23:00,BCYP
9.92,9.95,9.92,9.95,2696,2021-06-11 19:59:00,BCYP
