open,high,low,close,volume,datetime,symbol
9.89,9.89,9.89,9.89,200,2021-06-01 08:00:00,FCEL
9.89,9.89,9.89,9.89,100,2021-06-01 08:01:00,FCEL
9.89,9.89,9.89,9.89,100,2021-06-01 08:03:00,FCEL
9.89,9.89,9.89,9.89,577,2021-06-01 08:04:00,FCEL
9.95,9.96,9.95,9.96,2512,2021-06-01 08:05:00,FCEL
9.9,9.9,9.88,9.88,2900,2021-06-01 08:06:00,FCEL
9.89,9.89,9.89,9.89,130,2021-06-01 08:07:00,FCEL
9.89,9.89,9.87,9.87,800,2021-06-01 08:08:00,FCEL
9.88,9.89,9.81,9.84,6641,2021-06-01 08:13:00,FCEL
9.84,9.84,9.83,9.83,4026,2021-06-01 08:14:00,FCEL
9.81,9.81,9.81,9.81,130,2021-06-01 08:22:00,FCEL
9.94,9.94,9.94,9.94,100,2021-06-01 08:24:00,FCEL
9.95,9.95,9.95,9.95,201,2021-06-01 08:26:00,FCEL
9.98,9.99,9.97,9.97,1200,2021-06-01 08:30:00,FCEL
9.99,10.0,9.99,10.0,964,2021-06-01 08:31:00,FCEL
10.0,10.0,9.96,9.96,300,2021-06-01 08:46:00,FCEL
10.0,10.0,10.0,10.0,1807,2021-06-01 08:47:00,FCEL
9.96,9.96,9.95,9.95,1898,2021-06-01 08:48:00,FCEL
9.99,9.99,9.95,9.95,3937,2021-06-01 08:53:00,FCEL
9.97,9.98,9.97,9.98,400,2021-06-01 08:59:00,FCEL
9.99,9.99,9.99,9.99,208,2021-06-01 09:01:00,FCEL
9.99,9.99,9.99,9.99,103,2021-06-01 09:03:00,FCEL
10.0,10.0,10.0,10.0,994,2021-06-01 09:08:00,FCEL
10.04,10.04,10.04,10.04,456,2021-06-01 09:21:00,FCEL
9.99,10.0,9.97,9.97,1428,2021-06-01 09:22:00,FCEL
9.97,9.98,9.97,9.98,974,2021-06-01 09:24:00,FCEL
9.98,9.98,9.98,9.98,499,2021-06-01 09:28:00,FCEL
10.0,10.0,10.0,10.0,300,2021-06-01 09:30:00,FCEL
10.0,10.0,10.0,10.0,950,2021-06-01 09:42:00,FCEL
10.02,10.02,10.02,10.02,300,2021-06-01 09:44:00,FCEL
10.01,10.01,10.01,10.01,200,2021-06-01 09:48:00,FCEL
10.0,10.0,10.0,10.0,879,2021-06-01 09:52:00,FCEL
10.02,10.02,10.02,10.02,100,2021-06-01 09:53:00,FCEL
10.02,10.02,10.02,10.02,147,2021-06-01 09:54:00,FCEL
10.04,10.05,10.04,10.05,3883,2021-06-01 10:04:00,FCEL
10.07,10.07,10.07,10.07,100,2021-06-01 10:08:00,FCEL
10.05,10.05,10.05,10.05,202,2021-06-01 10:20:00,FCEL
10.04,10.04,10.04,10.04,100,2021-06-01 10:40:00,FCEL
10.05,10.07,9.95,10.01,9228,2021-06-01 11:00:00,FCEL
10.01,10.01,10.01,10.01,100,2021-06-01 11:02:00,FCEL
10.01,10.01,10.0,10.0,900,2021-06-01 11:03:00,FCEL
10.0,10.0,10.0,10.0,397,2021-06-01 11:06:00,FCEL
10.01,10.01,10.01,10.01,200,2021-06-01 11:09:00,FCEL
10.0,10.0,10.0,10.0,300,2021-06-01 11:10:00,FCEL
10.0,10.0,10.0,10.0,291,2021-06-01 11:13:00,FCEL
10.0,10.0,10.0,10.0,200,2021-06-01 11:15:00,FCEL
10.0,10.0,10.0,10.0,219,2021-06-01 11:16:00,FCEL
10.01,10.01,10.01,10.01,100,2021-06-01 11:17:00,FCEL
10.01,10.01,10.01,10.01,617,2021-06-01 11:21:00,FCEL
10.01,10.02,10.01,10.02,1100,2021-06-01 11:23:00,FCEL
10.0,10.0,10.0,10.0,100,2021-06-01 11:27:00,FCEL
9.99,9.99,9.99,9.99,100,2021-06-01 11:32:00,FCEL
9.99,9.99,9.99,9.99,100,2021-06-01 11:33:00,FCEL
10.0,10.0,10.0,10.0,200,2021-06-01 11:35:00,FCEL
9.99,9.99,9.99,9.99,694,2021-06-01 11:36:00,FCEL
10.0,10.0,10.0,10.0,382,2021-06-01 11:39:00,FCEL
10.0,10.0,10.0,10.0,1700,2021-06-01 11:42:00,FCEL
10.01,10.01,10.01,10.01,350,2021-06-01 11:45:00,FCEL
10.01,10.02,10.01,10.02,625,2021-06-01 11:46:00,FCEL
10.02,10.02,10.02,10.02,300,2021-06-01 11:50:00,FCEL
10.02,10.02,10.01,10.01,300,2021-06-01 11:51:00,FCEL
10.02,10.02,10.02,10.02,1554,2021-06-01 11:53:00,FCEL
10.069,10.07,10.06,10.06,1401,2021-06-01 11:54:00,FCEL
10.06,10.06,10.06,10.06,300,2021-06-01 11:55:00,FCEL
10.05,10.05,10.04,10.04,2144,2021-06-01 11:56:00,FCEL
10.049,10.049,10.049,10.049,100,2021-06-01 11:57:00,FCEL
10.04,10.04,10.04,10.04,450,2021-06-01 11:58:00,FCEL
10.03,10.05,10.03,10.03,1770,2021-06-01 12:00:00,FCEL
10.02,10.02,10.02,10.02,2000,2021-06-01 12:01:00,FCEL
10.02,10.02,9.99,9.99,4598,2021-06-01 12:02:00,FCEL
10.0,10.0,10.0,10.0,1000,2021-06-01 12:03:00,FCEL
10.0,10.01,9.99,10.01,1217,2021-06-01 12:04:00,FCEL
10.01,10.01,10.0,10.0,300,2021-06-01 12:06:00,FCEL
10.0,10.0,9.99,9.99,1200,2021-06-01 12:07:00,FCEL
9.99,9.99,9.99,9.99,680,2021-06-01 12:08:00,FCEL
9.99,10.0,9.99,10.0,535,2021-06-01 12:09:00,FCEL
10.0,10.0,9.9946,9.9946,500,2021-06-01 12:10:00,FCEL
9.99,9.99,9.99,9.99,490,2021-06-01 12:11:00,FCEL
10.0,10.0,10.0,10.0,479,2021-06-01 12:12:00,FCEL
10.0001,10.0001,10.0001,10.0001,500,2021-06-01 12:13:00,FCEL
10.01,10.01,10.01,10.01,400,2021-06-01 12:14:00,FCEL
10.01,10.01,10.01,10.01,100,2021-06-01 12:15:00,FCEL
10.01,10.01,10.01,10.01,400,2021-06-01 12:16:00,FCEL
10.01,10.05,10.01,10.05,2600,2021-06-01 12:17:00,FCEL
10.03,10.03,10.03,10.03,100,2021-06-01 12:18:00,FCEL
10.01,10.01,10.01,10.01,1000,2021-06-01 12:20:00,FCEL
10.02,10.02,10.02,10.02,200,2021-06-01 12:21:00,FCEL
10.02,10.02,10.02,10.02,407,2021-06-01 12:23:00,FCEL
10.0299,10.0299,10.0299,10.0299,130,2021-06-01 12:25:00,FCEL
10.02,10.03,10.02,10.03,350,2021-06-01 12:26:00,FCEL
10.03,10.0499,10.03,10.0499,900,2021-06-01 12:27:00,FCEL
10.05,10.05,10.0499,10.0499,1100,2021-06-01 12:28:00,FCEL
10.05,10.05,10.05,10.05,1390,2021-06-01 12:29:00,FCEL
10.07,10.07,10.07,10.07,100,2021-06-01 12:30:00,FCEL
10.06,10.06,10.06,10.06,750,2021-06-01 12:31:00,FCEL
10.07,10.07,10.07,10.07,1390,2021-06-01 12:32:00,FCEL
10.06,10.07,10.06,10.0699,1742,2021-06-01 12:33:00,FCEL
10.0699,10.0699,10.06,10.06,1000,2021-06-01 12:35:00,FCEL
10.07,10.07,10.06,10.06,466,2021-06-01 12:36:00,FCEL
10.07,10.07,10.06,10.06,850,2021-06-01 12:37:00,FCEL
10.0601,10.07,10.05,10.07,3005,2021-06-01 12:38:00,FCEL
10.06,10.06,10.06,10.06,200,2021-06-01 12:39:00,FCEL
10.05,10.05,10.05,10.05,353,2021-06-01 12:41:00,FCEL
10.06,10.06,10.06,10.06,500,2021-06-01 12:42:00,FCEL
10.07,10.07,10.05,10.06,3000,2021-06-01 12:43:00,FCEL
10.06,10.06,10.05,10.05,2998,2021-06-01 12:45:00,FCEL
10.04,10.04,10.04,10.04,1000,2021-06-01 12:46:00,FCEL
10.05,10.06,10.05,10.06,511,2021-06-01 12:49:00,FCEL
10.05,10.05,10.05,10.05,1600,2021-06-01 12:52:00,FCEL
10.04,10.0401,10.04,10.04,2197,2021-06-01 12:53:00,FCEL
10.05,10.05,10.05,10.05,178,2021-06-01 12:54:00,FCEL
10.05,10.0581,10.05,10.0581,912,2021-06-01 12:55:00,FCEL
10.05,10.06,10.05,10.06,484,2021-06-01 12:56:00,FCEL
10.07,10.07,10.069,10.07,7254,2021-06-01 12:57:00,FCEL
10.08,10.08,10.03,10.05,5054,2021-06-01 12:58:00,FCEL
10.05,10.06,10.05,10.06,362,2021-06-01 12:59:00,FCEL
10.06,10.06,10.05,10.05,1241,2021-06-01 13:00:00,FCEL
10.05,10.05,10.05,10.05,100,2021-06-01 13:01:00,FCEL
10.06,10.08,10.06,10.07,2647,2021-06-01 13:02:00,FCEL
10.05,10.08,10.05,10.07,2816,2021-06-01 13:03:00,FCEL
10.06,10.07,10.06,10.06,1259,2021-06-01 13:04:00,FCEL
10.06,10.08,10.06,10.06,1191,2021-06-01 13:05:00,FCEL
10.06,10.08,10.06,10.07,1234,2021-06-01 13:06:00,FCEL
10.08,10.08,10.07,10.07,1062,2021-06-01 13:07:00,FCEL
10.07,10.07,10.06,10.06,3010,2021-06-01 13:08:00,FCEL
10.06,10.06,10.06,10.06,100,2021-06-01 13:09:00,FCEL
10.07,10.07,10.07,10.07,300,2021-06-01 13:10:00,FCEL
10.06,10.07,10.06,10.07,615,2021-06-01 13:11:00,FCEL
10.07,10.07,10.07,10.07,1243,2021-06-01 13:12:00,FCEL
10.07,10.08,10.07,10.07,800,2021-06-01 13:13:00,FCEL
10.08,10.1,10.08,10.1,4103,2021-06-01 13:14:00,FCEL
10.1,10.1,10.1,10.1,1683,2021-06-01 13:15:00,FCEL
10.12,10.12,10.11,10.11,2098,2021-06-01 13:16:00,FCEL
10.12,10.12,10.12,10.12,100,2021-06-01 13:17:00,FCEL
10.12,10.2,10.12,10.12,12472,2021-06-01 13:18:00,FCEL
10.14,10.14,10.14,10.14,1108,2021-06-01 13:19:00,FCEL
10.15,10.16,10.15,10.16,461,2021-06-01 13:20:00,FCEL
10.17,10.17,10.15,10.17,1539,2021-06-01 13:21:00,FCEL
10.17,10.19,10.15,10.18,6130,2021-06-01 13:22:00,FCEL
10.18,10.19,10.17,10.17,4308,2021-06-01 13:23:00,FCEL
10.18,10.2,10.18,10.2,4647,2021-06-01 13:24:00,FCEL
10.18,10.18,10.11,10.13,12157,2021-06-01 13:25:00,FCEL
10.16,10.16,10.07,10.09,6225,2021-06-01 13:26:00,FCEL
10.07,10.09,10.01,10.01,17308,2021-06-01 13:27:00,FCEL
10.0,10.04,9.9,9.95,21412,2021-06-01 13:28:00,FCEL
9.95,10.15,9.95,10.03,7493,2021-06-01 13:29:00,FCEL
9.96,10.1,9.96,10.0095,348143,2021-06-01 13:30:00,FCEL
10.01,10.03,9.92,9.95,110393,2021-06-01 13:31:00,FCEL
9.9701,10.08,9.9519,10.0692,52975,2021-06-01 13:32:00,FCEL
10.06,10.12,10.01,10.11,151746,2021-06-01 13:33:00,FCEL
10.1084,10.13,10.04,10.08,79288,2021-06-01 13:34:00,FCEL
10.08,10.09,10.0,10.055,143764,2021-06-01 13:35:00,FCEL
10.05,10.075,9.98,10.0295,98415,2021-06-01 13:36:00,FCEL
10.03,10.04,9.96,9.9811,73506,2021-06-01 13:37:00,FCEL
9.99,10.055,9.98,10.03,74256,2021-06-01 13:38:00,FCEL
10.04,10.04,9.99,9.9901,77990,2021-06-01 13:39:00,FCEL
9.999,10.07,9.99,10.05,62334,2021-06-01 13:40:00,FCEL
10.06,10.0785,10.0,10.0098,54161,2021-06-01 13:41:00,FCEL
10.01,10.07,10.01,10.0183,109986,2021-06-01 13:42:00,FCEL
10.0199,10.08,10.01,10.02,78561,2021-06-01 13:43:00,FCEL
10.01,10.06,9.99,10.059,44331,2021-06-01 13:44:00,FCEL
10.05,10.06,9.99,10.0,45488,2021-06-01 13:45:00,FCEL
9.995,10.0,9.92,9.93,78850,2021-06-01 13:46:00,FCEL
9.93,9.96,9.86,9.87,176617,2021-06-01 13:47:00,FCEL
9.875,9.88,9.82,9.86,149761,2021-06-01 13:48:00,FCEL
9.875,9.8799,9.83,9.8678,56316,2021-06-01 13:49:00,FCEL
9.8601,9.93,9.8601,9.89,65750,2021-06-01 13:50:00,FCEL
9.87,9.91,9.86,9.91,58532,2021-06-01 13:51:00,FCEL
9.91,9.92,9.81,9.821,172755,2021-06-01 13:52:00,FCEL
9.83,9.84,9.79,9.825,255386,2021-06-01 13:53:00,FCEL
9.82,9.84,9.8,9.8279,107979,2021-06-01 13:54:00,FCEL
9.83,9.84,9.78,9.805,197143,2021-06-01 13:55:00,FCEL
9.81,9.84,9.77,9.7824,91085,2021-06-01 13:56:00,FCEL
9.78,9.81,9.77,9.8092,36162,2021-06-01 13:57:00,FCEL
9.81,9.8389,9.804,9.825,29027,2021-06-01 13:58:00,FCEL
9.829,9.8599,9.82,9.8569,67367,2021-06-01 13:59:00,FCEL
9.86,9.86,9.82,9.8324,55067,2021-06-01 14:00:00,FCEL
9.83,9.83,9.795,9.8,63463,2021-06-01 14:01:00,FCEL
9.791,9.795,9.74,9.7781,176023,2021-06-01 14:02:00,FCEL
9.78,9.78,9.75,9.775,77314,2021-06-01 14:03:00,FCEL
9.77,9.77,9.7,9.7,198195,2021-06-01 14:04:00,FCEL
9.705,9.775,9.7,9.76,132753,2021-06-01 14:05:00,FCEL
9.7501,9.81,9.745,9.805,79375,2021-06-01 14:06:00,FCEL
9.7999,9.81,9.775,9.81,22851,2021-06-01 14:07:00,FCEL
9.81,9.81,9.78,9.7982,35266,2021-06-01 14:08:00,FCEL
9.799,9.81,9.78,9.795,29171,2021-06-01 14:09:00,FCEL
9.79,9.79,9.745,9.745,40843,2021-06-01 14:10:00,FCEL
9.75,9.7692,9.73,9.7318,45711,2021-06-01 14:11:00,FCEL
9.735,9.76,9.66,9.675,113700,2021-06-01 14:12:00,FCEL
9.67,9.7184,9.67,9.71,44148,2021-06-01 14:13:00,FCEL
9.7008,9.7011,9.6623,9.67,31188,2021-06-01 14:14:00,FCEL
9.67,9.7,9.6492,9.67,76803,2021-06-01 14:15:00,FCEL
9.66,9.68,9.654,9.67,40672,2021-06-01 14:16:00,FCEL
9.67,9.74,9.66,9.73,58288,2021-06-01 14:17:00,FCEL
9.7399,9.75,9.7212,9.74,29043,2021-06-01 14:18:00,FCEL
9.75,9.76,9.68,9.689,58498,2021-06-01 14:19:00,FCEL
9.68,9.6807,9.62,9.6302,92614,2021-06-01 14:20:00,FCEL
9.6301,9.635,9.605,9.635,106139,2021-06-01 14:21:00,FCEL
9.64,9.65,9.6,9.63,77738,2021-06-01 14:22:00,FCEL
9.63,9.65,9.61,9.61,51419,2021-06-01 14:23:00,FCEL
9.615,9.68,9.615,9.6699,19119,2021-06-01 14:24:00,FCEL
9.66,9.6695,9.64,9.641,29113,2021-06-01 14:25:00,FCEL
9.64,9.66,9.63,9.64,79244,2021-06-01 14:26:00,FCEL
9.64,9.64,9.6,9.615,35207,2021-06-01 14:27:00,FCEL
9.61,9.65,9.595,9.65,47814,2021-06-01 14:28:00,FCEL
9.6415,9.7,9.64,9.665,63580,2021-06-01 14:29:00,FCEL
9.66,9.72,9.66,9.7122,35115,2021-06-01 14:30:00,FCEL
9.72,9.764,9.7199,9.75,60984,2021-06-01 14:31:00,FCEL
9.754,9.7583,9.7186,9.719,59542,2021-06-01 14:32:00,FCEL
9.71,9.75,9.7,9.74,26001,2021-06-01 14:33:00,FCEL
9.74,9.76,9.73,9.755,47201,2021-06-01 14:34:00,FCEL
9.76,9.79,9.76,9.782,70391,2021-06-01 14:35:00,FCEL
9.78,9.805,9.77,9.78,62820,2021-06-01 14:36:00,FCEL
9.7795,9.785,9.75,9.76,41731,2021-06-01 14:37:00,FCEL
9.75,9.76,9.71,9.72,31503,2021-06-01 14:38:00,FCEL
9.71,9.72,9.69,9.69,31494,2021-06-01 14:39:00,FCEL
9.69,9.71,9.6892,9.7,36905,2021-06-01 14:40:00,FCEL
9.69,9.75,9.69,9.745,51378,2021-06-01 14:41:00,FCEL
9.74,9.765,9.73,9.755,41799,2021-06-01 14:42:00,FCEL
9.755,9.79,9.75,9.79,34373,2021-06-01 14:43:00,FCEL
9.79,9.79,9.775,9.785,18820,2021-06-01 14:44:00,FCEL
9.78,9.78,9.75,9.78,40884,2021-06-01 14:45:00,FCEL
9.78,9.78,9.735,9.76,42773,2021-06-01 14:46:00,FCEL
9.76,9.78,9.74,9.76,22518,2021-06-01 14:47:00,FCEL
9.759,9.77,9.74,9.74,28611,2021-06-01 14:48:00,FCEL
9.73,9.7385,9.71,9.71,22402,2021-06-01 14:49:00,FCEL
9.72,9.75,9.71,9.739,13850,2021-06-01 14:50:00,FCEL
9.735,9.74,9.71,9.74,19592,2021-06-01 14:51:00,FCEL
9.74,9.76,9.73,9.73,19907,2021-06-01 14:52:00,FCEL
9.74,9.77,9.735,9.77,55865,2021-06-01 14:53:00,FCEL
9.76,9.79,9.76,9.78,89490,2021-06-01 14:54:00,FCEL
9.775,9.8,9.77,9.795,30688,2021-06-01 14:55:00,FCEL
9.7902,9.82,9.7617,9.81,39446,2021-06-01 14:56:00,FCEL
9.8,9.8173,9.79,9.8,35673,2021-06-01 14:57:00,FCEL
9.8082,9.81,9.775,9.775,22442,2021-06-01 14:58:00,FCEL
9.78,9.78,9.76,9.78,14308,2021-06-01 14:59:00,FCEL
9.77,9.795,9.77,9.79,20835,2021-06-01 15:00:00,FCEL
9.8,9.8386,9.8,9.825,20838,2021-06-01 15:01:00,FCEL
9.82,9.85,9.82,9.835,43743,2021-06-01 15:02:00,FCEL
9.835,9.855,9.79,9.81,54818,2021-06-01 15:03:00,FCEL
9.82,9.84,9.8,9.81,36691,2021-06-01 15:04:00,FCEL
9.82,9.825,9.795,9.7974,36527,2021-06-01 15:05:00,FCEL
9.8,9.8,9.78,9.7922,9476,2021-06-01 15:06:00,FCEL
