open,high,low,close,volume,datetime,symbol
24.4,24.4,24.4,24.4,185,2021-06-01 13:30:00,FGFPP
24.4,24.4,24.4,24.4,105,2021-06-01 13:44:00,FGFPP
24.32,24.32,24.02,24.02,2410,2021-06-01 14:27:00,FGFPP
24.06,24.08,24.06,24.08,400,2021-06-01 14:37:00,FGFPP
24.35,24.35,24.3192,24.3192,200,2021-06-01 16:20:00,FGFPP
24.33,24.33,24.33,24.33,100,2021-06-01 18:59:00,FGFPP
24.32,24.32,24.32,24.32,100,2021-06-01 19:09:00,FGFPP
24.32,24.32,24.32,24.32,100,2021-06-01 19:18:00,FGFPP
24.3,24.3,24.3,24.3,100,2021-06-01 19:27:00,FGFPP
24.3,24.3,24.3,24.3,100,2021-06-01 19:35:00,FGFPP
24.33,24.33,24.33,24.33,100,2021-06-01 19:52:00,FGFPP
24.32,24.32,24.32,24.32,200,2021-06-01 19:54:00,FGFPP
24.33,24.33,24.33,24.33,100,2021-06-01 19:56:00,FGFPP
24.32,24.32,24.32,24.32,200,2021-06-01 19:57:00,FGFPP
24.32,24.32,24.32,24.32,100,2021-06-01 19:59:00,FGFPP
24.18,24.18,24.18,24.18,148,2021-06-02 14:18:00,FGFPP
24.25,24.25,24.25,24.25,500,2021-06-02 15:03:00,FGFPP
24.25,24.25,24.25,24.25,500,2021-06-02 15:07:00,FGFPP
24.2871,24.2871,24.2871,24.2871,100,2021-06-02 15:10:00,FGFPP
24.3,24.3,24.3,24.3,100,2021-06-02 15:11:00,FGFPP
24.3,24.3,24.3,24.3,200,2021-06-02 15:19:00,FGFPP
24.3,24.3,24.3,24.3,200,2021-06-02 15:22:00,FGFPP
24.2773,24.2773,24.2773,24.2773,165,2021-06-02 16:33:00,FGFPP
24.29,24.29,24.29,24.29,400,2021-06-02 17:46:00,FGFPP
24.29,24.29,24.29,24.29,350,2021-06-02 17:54:00,FGFPP
24.25,24.25,24.25,24.25,370,2021-06-02 18:32:00,FGFPP
24.2514,24.2514,24.2514,24.2514,100,2021-06-02 19:09:00,FGFPP
24.23,24.25,24.23,24.235,1000,2021-06-03 14:05:00,FGFPP
24.25,24.25,24.25,24.25,100,2021-06-03 14:06:00,FGFPP
24.25,24.29,24.25,24.29,517,2021-06-03 14:07:00,FGFPP
24.26,24.28,24.25,24.25,3700,2021-06-03 14:38:00,FGFPP
24.25,24.25,24.25,24.25,100,2021-06-03 14:39:00,FGFPP
24.27,24.27,24.27,24.27,100,2021-06-03 14:41:00,FGFPP
24.35,24.35,24.35,24.35,100,2021-06-03 14:54:00,FGFPP
24.27,24.27,24.27,24.27,100,2021-06-03 15:47:00,FGFPP
24.35,24.35,24.35,24.35,300,2021-06-03 15:57:00,FGFPP
24.315,24.315,24.315,24.315,925,2021-06-03 16:14:00,FGFPP
24.34,24.35,24.34,24.35,300,2021-06-03 16:50:00,FGFPP
24.35,24.35,24.35,24.35,217,2021-06-03 16:51:00,FGFPP
24.3,24.3,24.3,24.3,100,2021-06-04 13:30:00,FGFPP
24.2999,24.2999,24.2999,24.2999,400,2021-06-04 14:06:00,FGFPP
24.275,24.275,24.275,24.275,100,2021-06-04 14:07:00,FGFPP
24.3,24.3,24.3,24.3,345,2021-06-04 14:09:00,FGFPP
24.3142,24.3142,24.3142,24.3142,1000,2021-06-04 14:53:00,FGFPP
24.36,24.36,24.36,24.36,100,2021-06-04 16:19:00,FGFPP
24.36,24.37,24.36,24.37,275,2021-06-04 16:37:00,FGFPP
24.4499,24.4499,24.4499,24.4499,500,2021-06-04 17:25:00,FGFPP
24.43,24.4405,24.43,24.4405,200,2021-06-04 17:26:00,FGFPP
24.43,24.43,24.43,24.43,100,2021-06-04 18:15:00,FGFPP
