open,high,low,close,volume,datetime,symbol
9.82,9.82,9.82,9.82,100,2021-06-01 13:30:00,LGAC
9.81,9.81,9.81,9.81,21755,2021-06-01 13:36:00,LGAC
9.82,9.82,9.82,9.82,100,2021-06-01 13:37:00,LGAC
9.82,9.82,9.82,9.82,334,2021-06-01 13:41:00,LGAC
9.82,9.82,9.82,9.82,100,2021-06-01 13:42:00,LGAC
9.82,9.82,9.82,9.82,434,2021-06-01 13:44:00,LGAC
9.82,9.82,9.82,9.82,100,2021-06-01 13:46:00,LGAC
9.82,9.82,9.82,9.82,100,2021-06-01 13:49:00,LGAC
9.82,9.82,9.82,9.82,100,2021-06-01 13:51:00,LGAC
9.82,9.85,9.82,9.85,900,2021-06-01 13:53:00,LGAC
9.85,9.85,9.85,9.85,100,2021-06-01 13:56:00,LGAC
9.85,9.85,9.85,9.85,100,2021-06-01 13:58:00,LGAC
9.85,9.85,9.85,9.85,100,2021-06-01 14:00:00,LGAC
9.85,9.85,9.85,9.85,100,2021-06-01 14:03:00,LGAC
9.85,9.85,9.85,9.85,100,2021-06-01 14:05:00,LGAC
9.82,9.82,9.82,9.82,100,2021-06-01 14:06:00,LGAC
9.85,9.85,9.85,9.85,100,2021-06-01 14:08:00,LGAC
9.85,9.85,9.85,9.85,100,2021-06-01 14:10:00,LGAC
9.85,9.85,9.85,9.85,700,2021-06-01 14:11:00,LGAC
9.85,9.85,9.82,9.82,6700,2021-06-01 14:12:00,LGAC
9.82,9.82,9.82,9.82,900,2021-06-01 14:13:00,LGAC
9.825,9.825,9.8,9.8,2500,2021-06-01 14:14:00,LGAC
9.8,9.81,9.8,9.81,400,2021-06-01 14:15:00,LGAC
9.82,9.82,9.82,9.82,100,2021-06-01 14:18:00,LGAC
9.82,9.82,9.82,9.82,200,2021-06-01 14:19:00,LGAC
9.82,9.82,9.82,9.82,200,2021-06-01 14:21:00,LGAC
9.82,9.82,9.82,9.82,200,2021-06-01 14:22:00,LGAC
9.825,9.825,9.82,9.82,1000,2021-06-01 14:23:00,LGAC
9.82,9.82,9.82,9.82,300,2021-06-01 14:24:00,LGAC
9.82,9.82,9.82,9.82,400,2021-06-01 14:25:00,LGAC
9.82,9.82,9.82,9.82,400,2021-06-01 14:27:00,LGAC
9.82,9.82,9.82,9.82,400,2021-06-01 14:28:00,LGAC
9.82,9.82,9.82,9.82,400,2021-06-01 14:31:00,LGAC
9.82,9.82,9.82,9.82,400,2021-06-01 14:32:00,LGAC
9.82,9.82,9.82,9.82,200,2021-06-01 14:33:00,LGAC
9.82,9.82,9.82,9.82,100,2021-06-01 14:34:00,LGAC
9.82,9.82,9.82,9.82,400,2021-06-01 14:35:00,LGAC
9.82,9.82,9.82,9.82,400,2021-06-01 14:40:00,LGAC
9.82,9.82,9.82,9.82,600,2021-06-01 14:41:00,LGAC
9.82,9.82,9.82,9.82,400,2021-06-01 14:43:00,LGAC
9.82,9.82,9.82,9.82,400,2021-06-01 14:45:00,LGAC
9.82,9.82,9.82,9.82,400,2021-06-01 14:46:00,LGAC
9.83,9.83,9.83,9.83,1000,2021-06-01 14:48:00,LGAC
9.83,9.83,9.83,9.83,600,2021-06-01 14:49:00,LGAC
9.83,9.83,9.83,9.83,200,2021-06-01 14:51:00,LGAC
9.83,9.83,9.83,9.83,400,2021-06-01 14:52:00,LGAC
9.83,9.83,9.83,9.83,400,2021-06-01 14:54:00,LGAC
9.83,9.83,9.83,9.83,600,2021-06-01 14:55:00,LGAC
9.83,9.83,9.83,9.83,200,2021-06-01 14:57:00,LGAC
9.83,9.83,9.83,9.83,400,2021-06-01 14:59:00,LGAC
9.83,9.83,9.83,9.83,400,2021-06-01 15:00:00,LGAC
9.83,9.83,9.83,9.83,300,2021-06-01 15:02:00,LGAC
9.83,9.83,9.83,9.83,600,2021-06-01 15:03:00,LGAC
9.83,9.83,9.83,9.83,100,2021-06-01 15:04:00,LGAC
9.83,9.83,9.83,9.83,100,2021-06-01 15:05:00,LGAC
9.83,9.83,9.83,9.83,100,2021-06-01 15:06:00,LGAC
9.83,9.83,9.83,9.83,300,2021-06-01 15:08:00,LGAC
9.83,9.83,9.83,9.83,400,2021-06-01 15:10:00,LGAC
9.8486,9.8486,9.83,9.83,784,2021-06-01 15:11:00,LGAC
9.83,9.83,9.83,9.83,200,2021-06-01 15:13:00,LGAC
9.83,9.83,9.83,9.83,200,2021-06-01 15:14:00,LGAC
9.83,9.83,9.83,9.83,800,2021-06-01 15:16:00,LGAC
9.83,9.83,9.83,9.83,100,2021-06-01 15:17:00,LGAC
9.83,9.83,9.83,9.83,200,2021-06-01 15:19:00,LGAC
9.83,9.83,9.83,9.83,100,2021-06-01 15:20:00,LGAC
9.83,9.83,9.83,9.83,300,2021-06-01 15:22:00,LGAC
9.83,9.83,9.83,9.83,300,2021-06-01 15:24:00,LGAC
9.83,9.84,9.83,9.84,1000,2021-06-01 15:25:00,LGAC
9.83,9.83,9.83,9.83,100,2021-06-01 15:26:00,LGAC
9.83,9.83,9.83,9.83,200,2021-06-01 15:27:00,LGAC
9.82,9.82,9.82,9.82,100,2021-06-01 15:28:00,LGAC
9.84,9.84,9.84,9.84,300,2021-06-01 15:30:00,LGAC
9.84,9.84,9.84,9.84,100,2021-06-01 15:33:00,LGAC
9.84,9.84,9.84,9.84,200,2021-06-01 15:34:00,LGAC
9.84,9.84,9.84,9.84,1200,2021-06-01 15:35:00,LGAC
9.84,9.84,9.84,9.84,100,2021-06-01 15:39:00,LGAC
9.84,9.84,9.84,9.84,100,2021-06-01 15:40:00,LGAC
9.84,9.84,9.84,9.84,500,2021-06-01 15:41:00,LGAC
9.84,9.84,9.84,9.84,100,2021-06-01 15:42:00,LGAC
9.84,9.85,9.84,9.84,1700,2021-06-01 15:45:00,LGAC
9.845,9.845,9.84,9.84,1600,2021-06-01 15:47:00,LGAC
9.84,9.84,9.84,9.84,200,2021-06-01 15:48:00,LGAC
9.845,9.845,9.84,9.84,600,2021-06-01 15:49:00,LGAC
9.84,9.84,9.84,9.84,200,2021-06-01 15:52:00,LGAC
9.84,9.84,9.84,9.84,200,2021-06-01 15:53:00,LGAC
9.84,9.84,9.84,9.84,100,2021-06-01 15:56:00,LGAC
9.84,9.84,9.84,9.84,100,2021-06-01 15:57:00,LGAC
9.845,9.845,9.84,9.84,1400,2021-06-01 15:58:00,LGAC
9.84,9.84,9.84,9.84,300,2021-06-01 15:59:00,LGAC
9.84,9.84,9.84,9.84,200,2021-06-01 16:01:00,LGAC
9.84,9.84,9.83,9.84,5200,2021-06-01 16:11:00,LGAC
9.83,9.83,9.83,9.83,300,2021-06-01 16:12:00,LGAC
9.83,9.84,9.83,9.84,1800,2021-06-01 16:13:00,LGAC
9.84,9.84,9.84,9.84,400,2021-06-01 16:15:00,LGAC
9.84,9.845,9.84,9.84,7000,2021-06-01 16:16:00,LGAC
9.84,9.84,9.84,9.84,300,2021-06-01 16:21:00,LGAC
9.84,9.84,9.84,9.84,200,2021-06-01 16:22:00,LGAC
9.84,9.84,9.84,9.84,500,2021-06-01 16:23:00,LGAC
9.84,9.84,9.84,9.84,400,2021-06-01 16:24:00,LGAC
9.84,9.84,9.84,9.84,400,2021-06-01 16:25:00,LGAC
9.84,9.84,9.84,9.84,700,2021-06-01 16:26:00,LGAC
9.84,9.84,9.84,9.84,400,2021-06-01 16:27:00,LGAC
9.84,9.84,9.84,9.84,400,2021-06-01 16:28:00,LGAC
9.84,9.84,9.81,9.84,500,2021-06-01 16:30:00,LGAC
9.845,9.845,9.83,9.83,600,2021-06-01 16:31:00,LGAC
9.84,9.84,9.84,9.84,400,2021-06-01 16:36:00,LGAC
9.84,9.84,9.84,9.84,200,2021-06-01 16:38:00,LGAC
9.83,9.84,9.83,9.84,600,2021-06-01 16:39:00,LGAC
9.84,9.84,9.83,9.83,1400,2021-06-01 16:40:00,LGAC
9.84,9.84,9.84,9.84,300,2021-06-01 16:42:00,LGAC
9.84,9.84,9.84,9.84,400,2021-06-01 16:44:00,LGAC
9.8,9.84,9.8,9.84,800,2021-06-01 16:45:00,LGAC
9.84,9.84,9.84,9.84,100,2021-06-01 16:46:00,LGAC
9.84,9.84,9.84,9.84,200,2021-06-01 16:47:00,LGAC
9.84,9.84,9.84,9.84,300,2021-06-01 16:48:00,LGAC
9.85,9.85,9.85,9.85,100,2021-06-01 16:59:00,LGAC
9.82,9.82,9.82,9.82,100,2021-06-01 17:02:00,LGAC
9.85,9.85,9.85,9.85,200,2021-06-01 17:03:00,LGAC
9.84,9.85,9.84,9.85,3200,2021-06-01 17:04:00,LGAC
9.84,9.84,9.84,9.84,600,2021-06-01 17:05:00,LGAC
