open,high,low,close,volume,datetime,symbol
29.47,29.47,29.47,29.47,300,2021-06-01 11:47:00,WSC
29.23,29.23,29.23,29.23,100,2021-06-01 13:29:00,WSC
29.18,29.38,29.12,29.38,10448,2021-06-01 13:30:00,WSC
29.22,29.22,29.22,29.22,196,2021-06-01 13:31:00,WSC
29.25,29.25,29.25,29.25,500,2021-06-01 13:33:00,WSC
29.11,29.11,29.11,29.11,696,2021-06-01 13:34:00,WSC
29.06,29.149,29.06,29.149,800,2021-06-01 13:35:00,WSC
29.06,29.15,29.06,29.12,7490,2021-06-01 13:36:00,WSC
29.12,29.14,29.106,29.1242,1925,2021-06-01 13:37:00,WSC
29.07,29.07,29.0554,29.0554,374,2021-06-01 13:39:00,WSC
29.0747,29.14,29.05,29.14,5418,2021-06-01 13:40:00,WSC
29.13,29.18,29.11,29.18,2837,2021-06-01 13:41:00,WSC
29.19,29.19,29.19,29.19,100,2021-06-01 13:42:00,WSC
29.19,29.19,29.18,29.18,2865,2021-06-01 13:43:00,WSC
29.17,29.1899,29.16,29.1899,880,2021-06-01 13:44:00,WSC
29.19,29.23,29.17,29.22,5288,2021-06-01 13:45:00,WSC
29.22,29.22,29.2,29.2,300,2021-06-01 13:46:00,WSC
29.19,29.19,29.17,29.18,1748,2021-06-01 13:47:00,WSC
29.19,29.22,29.19,29.22,400,2021-06-01 13:48:00,WSC
29.23,29.23,29.23,29.23,123,2021-06-01 13:49:00,WSC
29.26,29.265,29.24,29.25,2911,2021-06-01 13:50:00,WSC
29.27,29.27,29.27,29.27,100,2021-06-01 13:51:00,WSC
29.24,29.24,29.24,29.24,100,2021-06-01 13:53:00,WSC
29.28,29.31,29.28,29.31,2356,2021-06-01 13:54:00,WSC
29.31,29.44,29.285,29.44,24859,2021-06-01 13:55:00,WSC
29.41,29.76,29.41,29.61,187191,2021-06-01 13:56:00,WSC
29.6,29.72,29.58,29.72,45650,2021-06-01 13:57:00,WSC
29.68,29.75,29.6397,29.7,28370,2021-06-01 13:58:00,WSC
29.67,29.6795,29.623,29.64,8690,2021-06-01 13:59:00,WSC
29.63,29.7494,29.63,29.725,8272,2021-06-01 14:00:00,WSC
29.6901,29.85,29.6901,29.85,9904,2021-06-01 14:01:00,WSC
29.83,29.87,29.73,29.73,14062,2021-06-01 14:02:00,WSC
29.745,29.77,29.68,29.68,5765,2021-06-01 14:03:00,WSC
29.68,29.68,29.65,29.665,2536,2021-06-01 14:04:00,WSC
29.6364,29.64,29.57,29.57,3881,2021-06-01 14:05:00,WSC
29.56,29.5945,29.48,29.48,13371,2021-06-01 14:06:00,WSC
29.48,29.48,29.42,29.43,12168,2021-06-01 14:07:00,WSC
29.45,29.52,29.45,29.5,6789,2021-06-01 14:08:00,WSC
29.48,29.48,29.445,29.445,3934,2021-06-01 14:10:00,WSC
29.43,29.4499,29.36,29.37,4967,2021-06-01 14:11:00,WSC
29.36,29.37,29.34,29.354,5511,2021-06-01 14:12:00,WSC
29.351,29.39,29.34,29.39,2936,2021-06-01 14:13:00,WSC
29.41,29.4173,29.39,29.39,675,2021-06-01 14:14:00,WSC
29.39,29.39,29.33,29.33,2777,2021-06-01 14:15:00,WSC
29.34,29.34,29.31,29.31,6919,2021-06-01 14:16:00,WSC
29.31,29.32,29.31,29.31,300,2021-06-01 14:17:00,WSC
29.34,29.38,29.34,29.38,1100,2021-06-01 14:18:00,WSC
29.37,29.37,29.31,29.32,1050,2021-06-01 14:19:00,WSC
29.32,29.34,29.31,29.3101,5045,2021-06-01 14:20:00,WSC
29.31,29.31,29.27,29.2711,5254,2021-06-01 14:21:00,WSC
29.27,29.28,29.27,29.27,2474,2021-06-01 14:22:00,WSC
29.27,29.29,29.27,29.28,4575,2021-06-01 14:23:00,WSC
29.29,29.32,29.29,29.311,981,2021-06-01 14:24:00,WSC
29.3451,29.3451,29.3451,29.3451,337,2021-06-01 14:25:00,WSC
