open,high,low,close,volume,datetime,symbol
0.7,0.7,0.7,0.7,394,2021-06-01 08:47:00,DFFN
0.702,0.702,0.702,0.702,106,2021-06-01 08:48:00,DFFN
0.7,0.7,0.7,0.7,200,2021-06-01 08:49:00,DFFN
0.7,0.7,0.7,0.7,100,2021-06-01 09:26:00,DFFN
0.7001,0.7001,0.7001,0.7001,500,2021-06-01 10:35:00,DFFN
0.7002,0.7002,0.7002,0.7002,1500,2021-06-01 10:58:00,DFFN
0.7002,0.7002,0.7001,0.7001,400,2021-06-01 11:06:00,DFFN
0.7002,0.7002,0.7002,0.7002,125,2021-06-01 12:25:00,DFFN
0.7099,0.7099,0.7099,0.7099,607,2021-06-01 12:30:00,DFFN
0.7003,0.7003,0.7003,0.7003,1000,2021-06-01 12:31:00,DFFN
0.7005,0.7005,0.7005,0.7005,500,2021-06-01 12:41:00,DFFN
0.7099,0.7099,0.7099,0.7099,200,2021-06-01 12:49:00,DFFN
0.7,0.7051,0.7,0.7051,12128,2021-06-01 13:30:00,DFFN
0.705,0.705,0.7012,0.7012,350,2021-06-01 13:32:00,DFFN
0.702,0.7081,0.702,0.7081,2925,2021-06-01 13:33:00,DFFN
0.7051,0.7099,0.7051,0.7099,1150,2021-06-01 13:34:00,DFFN
0.705,0.705,0.705,0.705,1000,2021-06-01 13:35:00,DFFN
0.7079,0.7079,0.7079,0.7079,312,2021-06-01 13:36:00,DFFN
0.7051,0.71,0.7051,0.71,6102,2021-06-01 13:37:00,DFFN
0.7099,0.7099,0.708,0.708,2755,2021-06-01 13:38:00,DFFN
0.71,0.71,0.70801,0.7099,1148,2021-06-01 13:39:00,DFFN
0.708,0.708,0.708,0.708,515,2021-06-01 13:40:00,DFFN
0.7089,0.7089,0.7089,0.7089,500,2021-06-01 13:41:00,DFFN
0.7081,0.7093,0.708,0.7093,2100,2021-06-01 13:42:00,DFFN
0.708,0.708286,0.708,0.708286,926,2021-06-01 13:44:00,DFFN
0.7093,0.7093,0.7087,0.7087,1500,2021-06-01 13:45:00,DFFN
0.7098,0.7098,0.7098,0.7098,916,2021-06-01 13:46:00,DFFN
0.709,0.709,0.709,0.709,3000,2021-06-01 13:47:00,DFFN
0.709,0.709,0.7023,0.7023,1000,2021-06-01 13:48:00,DFFN
0.7055,0.7056,0.7055,0.7056,4305,2021-06-01 13:50:00,DFFN
0.7063,0.7087,0.7006,0.7087,6116,2021-06-01 13:51:00,DFFN
0.7022,0.7022,0.7018,0.7018,450,2021-06-01 13:53:00,DFFN
0.7087,0.7087,0.7018,0.705251,1352,2021-06-01 13:54:00,DFFN
0.7019,0.7066,0.7019,0.7066,2400,2021-06-01 13:55:00,DFFN
0.7085,0.7085,0.7085,0.7085,375,2021-06-01 13:56:00,DFFN
0.7021,0.7021,0.7021,0.7021,1000,2021-06-01 13:57:00,DFFN
0.702,0.702151,0.702,0.702151,600,2021-06-01 14:02:00,DFFN
0.7026,0.7026,0.7026,0.7026,2000,2021-06-01 14:03:00,DFFN
0.705,0.705,0.7001,0.7001,20695,2021-06-01 14:05:00,DFFN
0.7001,0.7001,0.7001,0.7001,130,2021-06-01 14:06:00,DFFN
0.704799,0.704799,0.704799,0.704799,500,2021-06-01 14:07:00,DFFN
0.7011,0.7011,0.7011,0.7011,150,2021-06-01 14:11:00,DFFN
0.7013,0.7013,0.7002,0.7002,4299,2021-06-01 14:13:00,DFFN
0.7001,0.7001,0.6924,0.6995,15798,2021-06-01 14:14:00,DFFN
0.6927,0.6927,0.6927,0.6927,400,2021-06-01 14:16:00,DFFN
0.6984,0.6984,0.6984,0.6984,300,2021-06-01 14:17:00,DFFN
0.69525,0.69525,0.69525,0.69525,100,2021-06-01 14:19:00,DFFN
0.692801,0.692801,0.6927,0.6927,1800,2021-06-01 14:20:00,DFFN
0.6903,0.69075,0.6902,0.6902,3667,2021-06-01 14:21:00,DFFN
0.6902,0.6902,0.6902,0.6902,725,2021-06-01 14:23:00,DFFN
0.6902,0.6902,0.6902,0.6902,200,2021-06-01 14:24:00,DFFN
0.6903,0.6903,0.690298,0.6903,3400,2021-06-01 14:25:00,DFFN
0.6971,0.6971,0.6971,0.6971,1180,2021-06-01 14:26:00,DFFN
0.690701,0.690701,0.690701,0.690701,100,2021-06-01 14:27:00,DFFN
0.6911,0.6961,0.6908,0.6961,3632,2021-06-01 14:29:00,DFFN
0.6908,0.6961,0.6908,0.6961,1301,2021-06-01 14:30:00,DFFN
0.6908,0.6908,0.6908,0.6908,500,2021-06-01 14:31:00,DFFN
0.6908,0.6908,0.6908,0.6908,1500,2021-06-01 14:34:00,DFFN
0.6961,0.6961,0.6961,0.6961,273,2021-06-01 14:35:00,DFFN
0.696,0.696,0.6936,0.6936,445,2021-06-01 14:37:00,DFFN
0.696,0.696,0.696,0.696,100,2021-06-01 14:38:00,DFFN
0.6912,0.696,0.6912,0.6912,946,2021-06-01 14:39:00,DFFN
0.6908,0.692509,0.6908,0.690901,800,2021-06-01 14:43:00,DFFN
