open,high,low,close,volume,datetime,symbol
90.17,90.17,90.17,90.17,100,2021-06-01 12:22:00,TRUP
90.17,90.17,90.17,90.17,100,2021-06-01 12:25:00,TRUP
90.17,90.17,90.17,90.17,275,2021-06-01 12:28:00,TRUP
90.33,91.0,90.33,91.0,11911,2021-06-01 13:30:00,TRUP
90.81,90.81,90.81,90.81,100,2021-06-01 13:31:00,TRUP
90.91,91.0,90.86,91.0,531,2021-06-01 13:34:00,TRUP
91.22,91.25,91.21,91.25,300,2021-06-01 13:35:00,TRUP
91.405,91.405,91.405,91.405,300,2021-06-01 13:36:00,TRUP
91.23,91.485,91.23,91.485,674,2021-06-01 13:37:00,TRUP
91.53,91.7945,91.53,91.7945,427,2021-06-01 13:38:00,TRUP
91.489,91.56,91.489,91.53,1150,2021-06-01 13:40:00,TRUP
91.53,91.56,91.23,91.23,966,2021-06-01 13:41:00,TRUP
91.8569,91.8569,91.215,91.215,263,2021-06-01 13:44:00,TRUP
90.58,90.58,90.57,90.57,400,2021-06-01 13:46:00,TRUP
90.515,90.515,90.485,90.485,375,2021-06-01 13:47:00,TRUP
90.21,90.21,90.21,90.21,100,2021-06-01 13:48:00,TRUP
90.18,90.18,90.18,90.18,100,2021-06-01 13:49:00,TRUP
90.2204,90.2204,89.86,89.86,736,2021-06-01 13:50:00,TRUP
89.59,89.695,89.58,89.695,1300,2021-06-01 13:51:00,TRUP
89.66,89.66,89.62,89.62,400,2021-06-01 13:57:00,TRUP
89.65,89.775,89.65,89.775,200,2021-06-01 13:58:00,TRUP
89.62,89.93,89.62,89.73,3746,2021-06-01 13:59:00,TRUP
90.0,90.16,89.99,89.99,3535,2021-06-01 14:00:00,TRUP
90.15,90.15,89.99,90.07,600,2021-06-01 14:01:00,TRUP
89.87,90.055,89.76,89.85,1891,2021-06-01 14:02:00,TRUP
90.125,90.125,90.125,90.125,120,2021-06-01 14:03:00,TRUP
89.97,89.97,89.97,89.97,100,2021-06-01 14:04:00,TRUP
90.19,90.19,89.4,89.82,4189,2021-06-01 14:05:00,TRUP
89.53,89.8,89.53,89.72,300,2021-06-01 14:06:00,TRUP
89.84,89.92,89.74,89.92,1465,2021-06-01 14:07:00,TRUP
89.897,89.897,89.897,89.897,100,2021-06-01 14:08:00,TRUP
89.99,89.99,89.99,89.99,100,2021-06-01 14:09:00,TRUP
89.78,89.8,89.75,89.8,2783,2021-06-01 14:10:00,TRUP
90.02,90.02,89.87,89.87,200,2021-06-01 14:11:00,TRUP
89.84,89.84,89.04,89.04,2014,2021-06-01 14:12:00,TRUP
89.0001,89.23,88.92,88.96,2460,2021-06-01 14:13:00,TRUP
89.14,89.14,88.76,88.76,200,2021-06-01 14:14:00,TRUP
88.61,88.61,88.42,88.42,400,2021-06-01 14:15:00,TRUP
88.27,88.27,88.27,88.27,500,2021-06-01 14:18:00,TRUP
88.24,88.24,87.92,87.92,725,2021-06-01 14:21:00,TRUP
88.04,88.11,88.04,88.11,200,2021-06-01 14:22:00,TRUP
88.64,88.64,88.64,88.64,100,2021-06-01 14:26:00,TRUP
88.635,88.64,88.5,88.64,1386,2021-06-01 14:28:00,TRUP
88.675,88.675,88.33,88.33,400,2021-06-01 14:29:00,TRUP
88.38,88.38,88.33,88.33,300,2021-06-01 14:30:00,TRUP
88.38,88.38,87.86,87.86,3119,2021-06-01 14:31:00,TRUP
88.125,88.125,87.82,87.82,200,2021-06-01 14:32:00,TRUP
87.81,87.81,87.81,87.81,100,2021-06-01 14:33:00,TRUP
87.94,88.0,87.83,87.83,600,2021-06-01 14:34:00,TRUP
87.83,87.83,87.83,87.83,100,2021-06-01 14:36:00,TRUP
87.62,87.62,87.6,87.6,200,2021-06-01 14:37:00,TRUP
87.47,87.47,87.42,87.42,200,2021-06-01 14:39:00,TRUP
87.25,87.25,87.25,87.25,200,2021-06-01 14:40:00,TRUP
87.35,87.35,87.09,87.15,1200,2021-06-01 14:41:00,TRUP
87.0577,87.1953,87.0,87.1953,350,2021-06-01 14:42:00,TRUP
87.38,87.42,87.38,87.42,200,2021-06-01 14:43:00,TRUP
87.13,87.13,87.12,87.12,1100,2021-06-01 14:44:00,TRUP
86.9,87.02,86.9,87.02,1300,2021-06-01 14:45:00,TRUP
86.87,86.97,86.87,86.97,200,2021-06-01 14:46:00,TRUP
86.8,86.8,86.8,86.8,100,2021-06-01 14:47:00,TRUP
86.85,86.85,86.85,86.85,100,2021-06-01 14:48:00,TRUP
86.8,86.8,86.63,86.63,400,2021-06-01 14:49:00,TRUP
86.86,86.92,86.86,86.92,210,2021-06-01 14:50:00,TRUP
86.8,86.8,86.8,86.8,100,2021-06-01 14:51:00,TRUP
87.15,87.15,87.0,87.0,200,2021-06-01 14:52:00,TRUP
87.09,87.1,86.82,86.82,500,2021-06-01 14:53:00,TRUP
87.1,87.16,87.1,87.16,300,2021-06-01 14:54:00,TRUP
87.12,87.12,86.94,86.94,300,2021-06-01 14:55:00,TRUP
87.0,87.0,87.0,87.0,154,2021-06-01 14:57:00,TRUP
86.91,86.98,86.85,86.85,600,2021-06-01 14:59:00,TRUP
86.585,86.585,86.585,86.585,100,2021-06-01 15:00:00,TRUP
86.695,87.08,86.695,87.08,300,2021-06-01 15:03:00,TRUP
86.745,86.76,86.745,86.76,200,2021-06-01 15:04:00,TRUP
86.7,86.76,86.7,86.76,200,2021-06-01 15:06:00,TRUP
86.94,87.01,86.94,86.99,999,2021-06-01 15:07:00,TRUP
87.12,87.12,86.96,86.96,600,2021-06-01 15:08:00,TRUP
87.0128,87.0128,87.0128,87.0128,125,2021-06-01 15:09:00,TRUP
87.14,87.14,87.14,87.14,100,2021-06-01 15:12:00,TRUP
87.13,87.13,87.13,87.13,100,2021-06-01 15:13:00,TRUP
87.11,87.11,86.94,86.94,200,2021-06-01 15:14:00,TRUP
86.88,86.96,86.82,86.96,600,2021-06-01 15:15:00,TRUP
86.76,86.83,86.635,86.635,420,2021-06-01 15:18:00,TRUP
86.53,86.53,86.53,86.53,100,2021-06-01 15:20:00,TRUP
86.543,86.543,86.543,86.543,178,2021-06-01 15:23:00,TRUP
