open,high,low,close,volume,datetime,symbol
28.99,28.99,28.99,28.99,344,2021-06-01 13:08:00,WSTG
28.77,28.77,28.77,28.77,200,2021-06-01 13:30:00,WSTG
28.9,29.0,28.9,29.0,2000,2021-06-01 13:36:00,WSTG
29.5,29.5,29.25,29.5,1037,2021-06-01 13:37:00,WSTG
29.535,29.55,29.45,29.45,300,2021-06-01 13:38:00,WSTG
29.5,29.7,29.45,29.7,610,2021-06-01 13:39:00,WSTG
29.8,29.8,29.8,29.8,100,2021-06-01 13:40:00,WSTG
29.85,30.0,29.85,29.9,900,2021-06-01 13:42:00,WSTG
29.9,29.9,29.89,29.9,1260,2021-06-01 13:43:00,WSTG
29.9,29.9,29.9,29.9,1002,2021-06-01 13:44:00,WSTG
29.9,29.9,29.9,29.9,100,2021-06-01 13:45:00,WSTG
29.93,29.93,29.87,29.87,200,2021-06-01 14:01:00,WSTG
29.8,29.83,29.8,29.83,300,2021-06-01 14:22:00,WSTG
29.5,29.5,29.5,29.5,300,2021-06-01 14:50:00,WSTG
28.59,28.59,28.59,28.59,180,2021-06-01 14:53:00,WSTG
29.5,29.5,29.5,29.5,100,2021-06-01 14:56:00,WSTG
29.25,29.25,29.25,29.25,100,2021-06-01 14:57:00,WSTG
29.3,29.3,29.25,29.25,600,2021-06-01 15:21:00,WSTG
29.26,29.29,29.26,29.29,200,2021-06-01 15:35:00,WSTG
29.29,29.29,29.29,29.29,100,2021-06-01 15:36:00,WSTG
29.19,29.2,29.19,29.2,200,2021-06-01 15:38:00,WSTG
29.49,29.61,29.49,29.61,927,2021-06-01 15:39:00,WSTG
29.71,29.85,29.71,29.85,400,2021-06-01 15:42:00,WSTG
29.75,29.775,29.71,29.77,600,2021-06-01 15:44:00,WSTG
29.71,29.725,29.7,29.725,1000,2021-06-01 15:45:00,WSTG
29.7012,29.725,29.7001,29.7202,2776,2021-06-01 15:46:00,WSTG
29.54,29.54,29.54,29.54,400,2021-06-01 16:02:00,WSTG
29.69,29.69,29.69,29.69,100,2021-06-01 16:16:00,WSTG
29.6326,29.6326,29.6326,29.6326,100,2021-06-01 16:22:00,WSTG
29.62,29.64,29.62,29.64,500,2021-06-01 16:23:00,WSTG
29.63,29.63,29.63,29.63,100,2021-06-01 16:28:00,WSTG
29.54,29.65,29.54,29.65,800,2021-06-01 17:22:00,WSTG
29.7725,29.7725,29.745,29.745,367,2021-06-01 17:29:00,WSTG
29.745,29.745,29.7402,29.7402,300,2021-06-01 17:30:00,WSTG
29.8,29.8,29.8,29.8,767,2021-06-01 17:31:00,WSTG
29.48,29.499,29.48,29.499,200,2021-06-01 17:40:00,WSTG
29.5,29.5,29.49,29.5,805,2021-06-01 17:56:00,WSTG
29.7,29.7,29.62,29.7,400,2021-06-01 17:57:00,WSTG
29.63,29.7999,29.63,29.7999,2150,2021-06-01 18:08:00,WSTG
