open,high,low,close,volume,datetime,symbol
17.46,17.46,17.46,17.46,572,2021-06-01 13:30:00,FMNB
17.35,17.35,17.35,17.35,4500,2021-06-01 13:37:00,FMNB
17.435,17.435,17.435,17.435,100,2021-06-01 13:42:00,FMNB
17.38,17.38,17.38,17.38,167,2021-06-01 13:47:00,FMNB
17.47,17.47,17.47,17.47,100,2021-06-01 13:59:00,FMNB
17.48,17.48,17.48,17.48,100,2021-06-01 14:00:00,FMNB
17.49,17.5,17.49,17.49,1700,2021-06-01 14:02:00,FMNB
17.485,17.485,17.485,17.485,100,2021-06-01 14:03:00,FMNB
17.47,17.5,17.47,17.5,900,2021-06-01 14:05:00,FMNB
17.5,17.5,17.5,17.5,800,2021-06-01 14:12:00,FMNB
17.47,17.47,17.47,17.47,200,2021-06-01 14:16:00,FMNB
17.5,17.5,17.5,17.5,1100,2021-06-01 14:20:00,FMNB
17.48,17.48,17.48,17.48,100,2021-06-01 14:26:00,FMNB
17.51,17.51,17.51,17.51,250,2021-06-01 14:34:00,FMNB
17.52,17.52,17.52,17.52,100,2021-06-01 14:35:00,FMNB
17.51,17.51,17.51,17.51,100,2021-06-01 14:37:00,FMNB
17.5246,17.5246,17.522,17.522,700,2021-06-01 14:46:00,FMNB
17.49,17.49,17.49,17.49,200,2021-06-01 14:49:00,FMNB
17.481,17.481,17.481,17.481,145,2021-06-01 14:58:00,FMNB
17.49,17.49,17.49,17.49,100,2021-06-01 14:59:00,FMNB
17.46,17.49,17.46,17.49,200,2021-06-01 15:00:00,FMNB
17.5,17.5,17.5,17.5,100,2021-06-01 15:04:00,FMNB
17.5,17.5,17.5,17.5,300,2021-06-01 15:06:00,FMNB
17.5,17.5,17.49,17.49,400,2021-06-01 15:10:00,FMNB
17.55,17.55,17.55,17.55,100,2021-06-01 15:17:00,FMNB
17.55,17.55,17.55,17.55,100,2021-06-01 15:21:00,FMNB
17.55,17.55,17.55,17.55,100,2021-06-01 15:27:00,FMNB
17.55,17.55,17.55,17.55,100,2021-06-01 15:33:00,FMNB
