open,high,low,close,volume,datetime,symbol
5.1,5.1,5.1,5.1,200,2021-06-01 08:07:00,MDJH
5.47,5.47,5.47,5.47,100,2021-06-01 11:38:00,MDJH
5.46,5.46,5.46,5.46,155,2021-06-01 12:10:00,MDJH
5.43,5.43,5.43,5.43,501,2021-06-01 13:29:00,MDJH
5.47,5.47,5.46,5.46,1836,2021-06-01 13:30:00,MDJH
5.32,5.32,5.32,5.32,132,2021-06-01 13:31:00,MDJH
5.245,5.245,5.245,5.245,500,2021-06-01 13:34:00,MDJH
5.5499,5.83,5.38,5.83,5576,2021-06-01 13:38:00,MDJH
6.29,6.29,6.145,6.145,2429,2021-06-01 13:48:00,MDJH
6.0134,6.08,5.8631,6.05,6551,2021-06-01 13:49:00,MDJH
6.085,6.5925,6.074,6.45,16574,2021-06-01 13:50:00,MDJH
6.5,6.95,6.45,6.89,20935,2021-06-01 13:51:00,MDJH
6.88,7.05,6.86,7.05,6888,2021-06-01 13:52:00,MDJH
7.06,7.06,6.35,6.35,15781,2021-06-01 13:57:00,MDJH
6.35,6.35,6.35,6.35,350,2021-06-01 13:58:00,MDJH
5.72,5.91,5.6501,5.68,15551,2021-06-01 14:08:00,MDJH
5.68,5.68,5.56,5.57,4786,2021-06-01 14:09:00,MDJH
5.57,5.68,5.5601,5.68,1600,2021-06-01 14:10:00,MDJH
5.66,5.66,5.6101,5.6301,968,2021-06-01 14:11:00,MDJH
5.64,5.64,5.63,5.63,200,2021-06-01 14:12:00,MDJH
5.69,5.7,5.69,5.7,500,2021-06-01 14:13:00,MDJH
5.84,6.29,5.84,6.29,10409,2021-06-01 14:14:00,MDJH
6.4,6.4,6.4,6.4,769,2021-06-01 14:19:00,MDJH
6.34,6.83,6.3201,6.7172,21235,2021-06-01 14:20:00,MDJH
6.6801,6.8282,6.4501,6.5901,8257,2021-06-01 14:21:00,MDJH
6.6,6.69,6.59,6.59,3503,2021-06-01 14:22:00,MDJH
6.59,6.9197,6.46,6.9,24128,2021-06-01 14:23:00,MDJH
6.9,7.28,6.89,7.1088,17273,2021-06-01 14:24:00,MDJH
7.05,7.05,7.0,7.0006,5986,2021-06-01 14:25:00,MDJH
7.0,7.0,6.64,6.8797,20667,2021-06-01 14:26:00,MDJH
6.88,6.88,6.8,6.8,1305,2021-06-01 14:27:00,MDJH
6.8,6.8,6.7001,6.7001,698,2021-06-01 14:28:00,MDJH
6.71,6.7101,6.61,6.61,7100,2021-06-01 14:29:00,MDJH
6.56,6.7799,6.56,6.6936,3570,2021-06-01 14:30:00,MDJH
6.5797,6.685,6.5797,6.685,1300,2021-06-01 14:31:00,MDJH
6.68,6.68,6.6212,6.68,1649,2021-06-01 14:32:00,MDJH
6.6001,6.64,6.6,6.6,1800,2021-06-01 14:33:00,MDJH
6.62,6.62,6.59,6.6,2919,2021-06-01 14:34:00,MDJH
6.61,6.61,6.6,6.6,400,2021-06-01 14:36:00,MDJH
6.65,6.65,6.6,6.65,954,2021-06-01 14:37:00,MDJH
6.61,6.61,6.61,6.61,100,2021-06-01 14:38:00,MDJH
6.64,6.65,6.6,6.6,3789,2021-06-01 14:40:00,MDJH
6.605,6.605,6.4883,6.4883,1853,2021-06-01 14:41:00,MDJH
6.44,6.44,6.42,6.43,2129,2021-06-01 14:42:00,MDJH
6.46,6.46,6.4169,6.4422,1230,2021-06-01 14:43:00,MDJH
6.41,6.44,6.41,6.41,800,2021-06-01 14:44:00,MDJH
6.3506,6.4,6.3506,6.3766,1945,2021-06-01 14:45:00,MDJH
6.38,6.38,6.38,6.38,550,2021-06-01 14:46:00,MDJH
6.38,6.38,6.33,6.33,1384,2021-06-01 14:48:00,MDJH
6.33,6.44,6.3201,6.44,1498,2021-06-01 14:49:00,MDJH
6.35,6.35,6.33,6.33,1120,2021-06-01 14:50:00,MDJH
6.3201,6.3201,6.3201,6.3201,600,2021-06-01 14:51:00,MDJH
6.32,6.3252,6.32,6.3252,788,2021-06-01 14:52:00,MDJH
6.42,6.44,6.42,6.44,2507,2021-06-01 14:53:00,MDJH
6.3301,6.385,6.33,6.3459,8400,2021-06-01 14:54:00,MDJH
6.38,6.38,6.38,6.38,200,2021-06-01 14:55:00,MDJH
6.35,6.4,6.35,6.35,1448,2021-06-01 14:56:00,MDJH
6.3357,6.3357,6.3357,6.3357,331,2021-06-01 14:59:00,MDJH
6.44,6.44,6.44,6.44,500,2021-06-01 15:00:00,MDJH
6.39,6.5,6.39,6.5,12767,2021-06-01 15:01:00,MDJH
6.5,6.5,6.5,6.5,18000,2021-06-01 15:02:00,MDJH
6.5049,6.5049,6.5,6.5037,1041,2021-06-01 15:03:00,MDJH
6.5,6.535,6.5,6.5,469,2021-06-01 15:04:00,MDJH
6.3301,6.36,6.3301,6.36,300,2021-06-01 15:06:00,MDJH
6.47,6.48,6.46,6.479,1500,2021-06-01 15:09:00,MDJH
6.4631,6.4631,6.46,6.46,700,2021-06-01 15:12:00,MDJH
6.46,6.47,6.46,6.47,300,2021-06-01 15:13:00,MDJH
6.38,6.38,6.38,6.38,810,2021-06-01 15:16:00,MDJH
6.38,6.38,6.38,6.38,100,2021-06-01 15:17:00,MDJH
6.36,6.38,6.3,6.31,5340,2021-06-01 15:18:00,MDJH
6.2,6.2,6.2,6.2,100,2021-06-01 15:19:00,MDJH
6.1,6.1,6.1,6.1,431,2021-06-01 15:20:00,MDJH
6.07,6.08,6.07,6.08,379,2021-06-01 15:22:00,MDJH
6.06,6.06,5.95,5.95,1943,2021-06-01 15:23:00,MDJH
5.95,5.95,5.95,5.95,200,2021-06-01 15:27:00,MDJH
6.07,6.07,6.07,6.07,500,2021-06-01 15:28:00,MDJH
6.07,6.12,6.07,6.12,257,2021-06-01 15:29:00,MDJH
6.17,6.17,6.17,6.17,100,2021-06-01 15:34:00,MDJH
6.17,6.21,6.17,6.21,625,2021-06-01 15:35:00,MDJH
6.22,6.22,6.22,6.22,100,2021-06-01 15:38:00,MDJH
6.2258,6.29,6.2258,6.29,229,2021-06-01 15:42:00,MDJH
6.29,6.29,6.2201,6.2201,540,2021-06-01 15:43:00,MDJH
6.2201,6.2201,6.2201,6.2201,500,2021-06-01 15:44:00,MDJH
6.0326,6.0326,6.0326,6.0326,500,2021-06-01 15:51:00,MDJH
6.0201,6.0201,6.0201,6.0201,200,2021-06-01 15:57:00,MDJH
6.3,6.3,6.3,6.3,188,2021-06-01 15:58:00,MDJH
6.0396,6.0396,6.0396,6.0396,587,2021-06-01 16:06:00,MDJH
6.03,6.03,6.03,6.03,920,2021-06-01 16:08:00,MDJH
6.18,6.18,6.18,6.18,100,2021-06-01 16:10:00,MDJH
6.2999,6.2999,6.18,6.2999,700,2021-06-01 16:11:00,MDJH
6.3,6.3,6.3,6.3,135,2021-06-01 16:15:00,MDJH
6.18,6.18,6.18,6.18,300,2021-06-01 16:18:00,MDJH
6.2,6.2,6.2,6.2,101,2021-06-01 16:26:00,MDJH
6.17,6.28,6.17,6.28,1300,2021-06-01 16:36:00,MDJH
6.2962,6.2962,6.2962,6.2962,2900,2021-06-01 16:37:00,MDJH
6.2956,6.2956,6.2956,6.2956,2000,2021-06-01 16:40:00,MDJH
6.1541,6.215,6.1541,6.215,785,2021-06-01 16:50:00,MDJH
6.215,6.215,6.215,6.215,2900,2021-06-01 16:51:00,MDJH
6.1454,6.1454,6.1454,6.1454,1450,2021-06-01 16:52:00,MDJH
6.1338,6.1338,6.1338,6.1338,100,2021-06-01 16:59:00,MDJH
6.22,6.22,6.22,6.22,100,2021-06-01 17:02:00,MDJH
6.22,6.22,6.22,6.22,100,2021-06-01 17:03:00,MDJH
6.29,6.3,6.29,6.3,600,2021-06-01 17:05:00,MDJH
6.22,6.22,6.22,6.22,2900,2021-06-01 17:06:00,MDJH
6.225,6.225,6.225,6.225,250,2021-06-01 17:18:00,MDJH
6.3,6.3,6.2992,6.2992,9412,2021-06-01 17:26:00,MDJH
6.4999,6.525,6.4791,6.525,2000,2021-06-01 17:29:00,MDJH
6.5,6.6453,6.5,6.6453,1160,2021-06-01 17:30:00,MDJH
6.44,6.44,6.44,6.44,100,2021-06-01 17:31:00,MDJH
6.55,6.55,6.28,6.32,6900,2021-06-01 17:32:00,MDJH
6.5,6.5,6.5,6.5,1000,2021-06-01 17:34:00,MDJH
6.39,6.39,6.39,6.39,1000,2021-06-01 17:57:00,MDJH
6.3,6.31,6.3,6.31,200,2021-06-01 18:14:00,MDJH
6.3,6.31,6.3,6.31,200,2021-06-01 18:15:00,MDJH
6.31,6.31,6.31,6.31,300,2021-06-01 18:16:00,MDJH
6.31,6.31,6.3,6.3,700,2021-06-01 18:17:00,MDJH
6.22,6.24,6.22,6.221,2100,2021-06-01 18:50:00,MDJH
6.29,6.29,6.29,6.29,100,2021-06-01 18:51:00,MDJH
6.22,6.22,6.22,6.22,100,2021-06-01 18:52:00,MDJH
6.22,6.22,6.22,6.22,200,2021-06-01 18:53:00,MDJH
6.21,6.355,6.21,6.355,1146,2021-06-01 19:02:00,MDJH
6.4797,6.4797,6.4797,6.4797,100,2021-06-01 19:07:00,MDJH
6.36,6.36,6.34,6.34,2294,2021-06-01 19:15:00,MDJH
6.44,6.44,6.44,6.44,296,2021-06-01 19:18:00,MDJH
6.5,6.5,6.465,6.465,300,2021-06-01 19:20:00,MDJH
6.49,6.49,6.48,6.49,1100,2021-06-01 19:21:00,MDJH
6.46,6.47,6.46,6.47,500,2021-06-01 19:23:00,MDJH
6.5,6.5,6.485,6.5,1033,2021-06-01 19:25:00,MDJH
6.55,6.75,6.55,6.75,4734,2021-06-01 19:26:00,MDJH
6.76,6.88,6.75,6.88,18872,2021-06-01 19:27:00,MDJH
6.84,6.99,6.83,6.962,21099,2021-06-01 19:28:00,MDJH
6.93,6.9497,6.75,6.75,4208,2021-06-01 19:29:00,MDJH
6.85,6.92,6.75,6.85,4095,2021-06-01 19:30:00,MDJH
6.91,6.91,6.91,6.91,300,2021-06-01 19:31:00,MDJH
6.91,6.91,6.8714,6.8714,500,2021-06-01 19:32:00,MDJH
6.86,6.91,6.86,6.91,280,2021-06-01 19:33:00,MDJH
6.885,6.885,6.75,6.83,3683,2021-06-01 19:34:00,MDJH
6.89,6.91,6.75,6.7506,2600,2021-06-01 19:35:00,MDJH
6.87,6.89,6.87,6.89,200,2021-06-01 19:38:00,MDJH
6.89,6.99,6.8899,6.97,3610,2021-06-01 19:39:00,MDJH
6.97,6.99,6.97,6.97,5460,2021-06-01 19:40:00,MDJH
6.97,6.9706,6.97,6.9706,300,2021-06-01 19:41:00,MDJH
6.9796,6.9796,6.75,6.75,4598,2021-06-01 19:42:00,MDJH
6.92,6.92,6.92,6.92,100,2021-06-01 19:43:00,MDJH
6.89,6.89,6.89,6.89,100,2021-06-01 19:45:00,MDJH
6.8,6.83,6.8,6.83,1218,2021-06-01 19:46:00,MDJH
6.829,6.83,6.829,6.83,2300,2021-06-01 19:49:00,MDJH
6.8293,6.8293,6.8293,6.8293,300,2021-06-01 19:50:00,MDJH
6.82,6.82,6.75,6.75,467,2021-06-01 19:55:00,MDJH
6.76,6.7601,6.76,6.7601,700,2021-06-01 19:56:00,MDJH
6.83,6.83,6.83,6.83,200,2021-06-01 19:57:00,MDJH
6.83,6.83,6.75,6.75,11273,2021-06-01 19:58:00,MDJH
6.75,6.76,6.75,6.76,300,2021-06-01 19:59:00,MDJH
6.83,6.83,6.83,6.83,631,2021-06-01 20:00:00,MDJH
6.98,6.98,6.98,6.98,279,2021-06-01 20:30:00,MDJH
6.8,6.8,6.8,6.8,1113,2021-06-01 20:31:00,MDJH
6.57,6.57,6.57,6.57,150,2021-06-01 20:41:00,MDJH
6.8,6.99,6.8,6.9824,2143,2021-06-02 12:08:00,MDJH
6.98,7.28,6.98,7.25,3884,2021-06-02 12:09:00,MDJH
7.25,7.5,7.2,7.48,8970,2021-06-02 12:10:00,MDJH
7.48,7.48,7.48,7.48,400,2021-06-02 12:11:00,MDJH
7.48,7.48,7.47,7.47,1200,2021-06-02 12:12:00,MDJH
7.4,7.4,7.4,7.4,300,2021-06-02 12:15:00,MDJH
7.3,7.3,7.3,7.3,100,2021-06-02 12:16:00,MDJH
7.29,7.29,7.28,7.28,600,2021-06-02 12:19:00,MDJH
7.25,7.25,7.25,7.25,100,2021-06-02 12:20:00,MDJH
7.36,7.37,7.36,7.37,446,2021-06-02 12:23:00,MDJH
7.3999,7.4899,7.38,7.48,2700,2021-06-02 12:41:00,MDJH
7.4799,7.5,7.4799,7.5,8108,2021-06-02 12:43:00,MDJH
7.7,7.86,7.48,7.48,4950,2021-06-02 12:45:00,MDJH
7.64,7.78,7.64,7.78,1102,2021-06-02 12:46:00,MDJH
7.8,9.0,7.78,8.1,20247,2021-06-02 12:47:00,MDJH
8.29,8.79,7.86,8.1,48413,2021-06-02 12:48:00,MDJH
8.17,8.2,8.02,8.18,6386,2021-06-02 12:49:00,MDJH
8.18,8.22,7.71,8.0,11964,2021-06-02 12:50:00,MDJH
7.88,7.88,7.66,7.7001,4865,2021-06-02 12:51:00,MDJH
7.83,7.89,7.83,7.89,850,2021-06-02 12:52:00,MDJH
7.83,8.15,7.75,8.15,3470,2021-06-02 12:53:00,MDJH
8.05,8.05,7.75,7.75,1053,2021-06-02 12:54:00,MDJH
7.8,7.8,7.8,7.8,200,2021-06-02 12:55:00,MDJH
7.79,7.79,7.76,7.76,1100,2021-06-02 12:56:00,MDJH
7.76,7.94,7.76,7.94,315,2021-06-02 12:57:00,MDJH
7.8,7.9,7.8,7.9,1651,2021-06-02 12:58:00,MDJH
7.81,7.81,7.81,7.81,200,2021-06-02 12:59:00,MDJH
7.8,7.8,7.1,7.2,4757,2021-06-02 13:00:00,MDJH
7.21,7.6,7.21,7.6,2675,2021-06-02 13:01:00,MDJH
7.48,7.61,7.47,7.59,1589,2021-06-02 13:02:00,MDJH
7.57,7.57,7.57,7.57,100,2021-06-02 13:03:00,MDJH
7.64,7.65,7.64,7.65,392,2021-06-02 13:06:00,MDJH
7.62,8.08,7.62,7.84,5388,2021-06-02 13:07:00,MDJH
7.95,8.05,7.84,7.84,700,2021-06-02 13:08:00,MDJH
7.8,7.8,7.8,7.8,229,2021-06-02 13:09:00,MDJH
7.75,7.75,7.75,7.75,500,2021-06-02 13:11:00,MDJH
7.67,7.75,7.67,7.75,2912,2021-06-02 13:13:00,MDJH
7.75,7.75,7.75,7.75,1017,2021-06-02 13:14:00,MDJH
7.73,7.73,7.67,7.67,495,2021-06-02 13:17:00,MDJH
7.69,7.69,7.69,7.69,150,2021-06-02 13:18:00,MDJH
7.68,7.77,7.67,7.77,3478,2021-06-02 13:20:00,MDJH
7.8,7.86,7.75,7.75,1499,2021-06-02 13:21:00,MDJH
7.88,7.88,7.88,7.88,296,2021-06-02 13:22:00,MDJH
7.7601,7.7601,7.76,7.76,900,2021-06-02 13:24:00,MDJH
7.76,7.76,7.76,7.76,300,2021-06-02 13:25:00,MDJH
7.75,7.84,7.68,7.84,1147,2021-06-02 13:27:00,MDJH
7.67,7.67,7.67,7.67,1099,2021-06-02 13:28:00,MDJH
7.72,7.82,7.67,7.69,3225,2021-06-02 13:29:00,MDJH
7.58,7.58,7.12,7.4612,19453,2021-06-02 13:30:00,MDJH
7.22,7.36,7.22,7.36,1120,2021-06-02 13:31:00,MDJH
7.24,7.24,7.11,7.11,2960,2021-06-02 13:32:00,MDJH
7.37,7.8,7.37,7.738,21397,2021-06-02 13:33:00,MDJH
7.7,8.25,7.7,8.25,28291,2021-06-02 13:34:00,MDJH
8.25,8.6,7.82,8.14,201787,2021-06-02 13:39:00,MDJH
8.14,8.5,7.65,7.8069,82483,2021-06-02 13:40:00,MDJH
7.75,7.7735,7.35,7.35,21684,2021-06-02 13:41:00,MDJH
7.35,7.35,7.35,7.35,500,2021-06-02 13:42:00,MDJH
7.35,7.35,7.08,7.2199,30859,2021-06-02 13:47:00,MDJH
7.16,7.1915,6.69,6.82,23173,2021-06-02 13:48:00,MDJH
6.77,7.06,6.7505,6.85,13537,2021-06-02 13:49:00,MDJH
6.8586,7.05,6.71,6.8078,15158,2021-06-02 13:50:00,MDJH
7.04,7.09,6.835,6.835,7787,2021-06-02 13:51:00,MDJH
6.835,6.92,6.74,6.85,12399,2021-06-02 13:52:00,MDJH
6.83,6.9097,6.8,6.8455,2315,2021-06-02 13:53:00,MDJH
6.8946,6.8946,6.6001,6.72,4101,2021-06-02 13:54:00,MDJH
6.7,6.72,6.61,6.66,1195,2021-06-02 13:55:00,MDJH
6.66,6.77,6.6266,6.64,1121,2021-06-02 13:56:00,MDJH
6.72,6.72,6.71,6.71,528,2021-06-02 13:57:00,MDJH
6.7,7.1,6.7,7.09,26963,2021-06-02 13:58:00,MDJH
7.08,7.1,6.97,6.9994,2270,2021-06-02 13:59:00,MDJH
6.855,6.855,6.855,6.855,1361,2021-06-02 14:00:00,MDJH
6.83,6.83,6.8006,6.8157,1200,2021-06-02 14:01:00,MDJH
6.8106,6.8106,6.8001,6.8001,400,2021-06-02 14:02:00,MDJH
6.8052,6.83,6.71,6.75,2069,2021-06-02 14:04:00,MDJH
6.81,6.81,6.7841,6.7841,701,2021-06-02 14:05:00,MDJH
6.72,6.76,6.66,6.67,5530,2021-06-02 14:06:00,MDJH
6.7,6.7003,6.69,6.7003,700,2021-06-02 14:07:00,MDJH
6.72,6.77,6.7,6.77,1625,2021-06-02 14:08:00,MDJH
6.8209,6.8209,6.6906,6.6906,719,2021-06-02 14:09:00,MDJH
6.69,6.89,6.67,6.76,6108,2021-06-02 14:10:00,MDJH
6.8,6.925,6.7795,6.7795,1845,2021-06-02 14:11:00,MDJH
6.97,6.97,6.81,6.81,490,2021-06-02 14:13:00,MDJH
6.81,6.82,6.71,6.7171,1296,2021-06-02 14:14:00,MDJH
6.78,6.78,6.78,6.78,100,2021-06-02 14:16:00,MDJH
6.79,6.79,6.79,6.79,100,2021-06-02 14:17:00,MDJH
6.7796,6.9695,6.7796,6.9299,9450,2021-06-02 14:18:00,MDJH
6.93,7.1222,6.9,7.02,19648,2021-06-02 14:19:00,MDJH
7.0,7.15,6.9,6.94,12711,2021-06-02 14:20:00,MDJH
7.0,7.22,6.95,7.1365,30218,2021-06-02 14:21:00,MDJH
7.14,7.2099,6.72,7.18,66438,2021-06-02 14:22:00,MDJH
7.08,7.08,6.935,6.97,3547,2021-06-02 14:23:00,MDJH
7.0929,7.0929,7.0204,7.0204,1001,2021-06-02 14:24:00,MDJH
6.7401,6.87,6.7401,6.7474,3413,2021-06-02 14:25:00,MDJH
6.815,6.83,6.815,6.83,300,2021-06-02 14:26:00,MDJH
6.896,6.896,6.896,6.896,500,2021-06-02 14:27:00,MDJH
6.77,6.89,6.77,6.89,1400,2021-06-02 14:29:00,MDJH
6.835,6.835,6.835,6.835,2700,2021-06-02 14:30:00,MDJH
6.8424,6.8424,6.8424,6.8424,100,2021-06-02 14:31:00,MDJH
6.85,6.87,6.85,6.85,900,2021-06-02 14:32:00,MDJH
6.86,6.86,6.77,6.77,3303,2021-06-02 14:33:00,MDJH
6.7829,6.7829,6.7829,6.7829,144,2021-06-02 14:34:00,MDJH
6.9,6.9,6.8999,6.8999,679,2021-06-02 14:35:00,MDJH
6.835,6.835,6.835,6.835,400,2021-06-02 14:36:00,MDJH
6.8717,6.8717,6.8717,6.8717,100,2021-06-02 14:37:00,MDJH
6.8562,6.99,6.82,6.99,13721,2021-06-02 14:39:00,MDJH
6.93,7.16,6.93,7.1599,22942,2021-06-02 14:40:00,MDJH
7.14,7.14,7.14,7.14,500,2021-06-02 14:41:00,MDJH
7.02,7.0362,6.8,6.8,4379,2021-06-02 14:42:00,MDJH
7.1,7.11,6.8001,6.9676,12500,2021-06-02 14:43:00,MDJH
6.965,7.1108,6.8033,7.1108,9150,2021-06-02 14:44:00,MDJH
6.8001,6.83,6.78,6.78,12560,2021-06-02 14:45:00,MDJH
6.925,6.925,6.925,6.925,677,2021-06-02 14:46:00,MDJH
6.8,6.81,6.76,6.79,2494,2021-06-02 14:47:00,MDJH
6.8,6.8007,6.8,6.8007,350,2021-06-02 14:48:00,MDJH
6.8,6.8,6.78,6.78,300,2021-06-02 14:50:00,MDJH
6.805,6.82,6.805,6.82,200,2021-06-02 14:54:00,MDJH
6.78,6.78,6.78,6.78,135,2021-06-02 14:55:00,MDJH
6.78,6.78,6.78,6.78,100,2021-06-02 14:56:00,MDJH
6.805,6.805,6.805,6.805,100,2021-06-02 14:57:00,MDJH
6.81,6.99,6.81,6.99,2888,2021-06-02 15:04:00,MDJH
6.8,6.8,6.78,6.78,500,2021-06-02 15:07:00,MDJH
6.7956,6.7956,6.7956,6.7956,137,2021-06-02 15:08:00,MDJH
6.8,6.8,6.8,6.8,1017,2021-06-02 15:09:00,MDJH
6.77,6.77,6.7,6.71,13354,2021-06-02 15:13:00,MDJH
6.7599,6.7599,6.66,6.7,1244,2021-06-02 15:14:00,MDJH
6.65,6.65,6.4,6.4,7629,2021-06-02 15:15:00,MDJH
6.5,6.5,6.485,6.4983,1063,2021-06-02 15:16:00,MDJH
6.4,6.4073,6.3,6.31,1890,2021-06-02 15:17:00,MDJH
6.4,6.5,6.355,6.5,2550,2021-06-02 15:18:00,MDJH
6.47,6.5,6.395,6.5,6177,2021-06-02 15:19:00,MDJH
