open,high,low,close,volume,datetime,symbol
0.6883,0.6883,0.6883,0.6883,250,2021-07-06 08:00:00,BIOL
0.6883,0.6883,0.6802,0.6802,300,2021-07-06 08:23:00,BIOL
0.698,0.698,0.698,0.698,300,2021-07-06 10:34:00,BIOL
0.6885,0.6885,0.6813,0.6813,200,2021-07-06 10:35:00,BIOL
0.6813,0.6813,0.6802,0.6802,999,2021-07-06 10:39:00,BIOL
0.6802,0.6802,0.6802,0.6802,401,2021-07-06 10:50:00,BIOL
0.6806,0.681,0.68,0.6809,4721,2021-07-06 11:46:00,BIOL
0.6858,0.6858,0.6858,0.6858,163,2021-07-06 12:07:00,BIOL
0.6859,0.6859,0.6859,0.6859,255,2021-07-06 12:14:00,BIOL
0.6918,0.6918,0.6918,0.6918,100,2021-07-06 12:24:00,BIOL
0.6896,0.6896,0.6896,0.6896,100,2021-07-06 12:27:00,BIOL
0.69,0.69,0.69,0.69,100,2021-07-06 12:37:00,BIOL
0.6918,0.6918,0.6918,0.6918,320,2021-07-06 12:38:00,BIOL
0.6858,0.6858,0.6858,0.6858,1322,2021-07-06 12:52:00,BIOL
0.6858,0.6858,0.6858,0.6858,4496,2021-07-06 12:53:00,BIOL
0.6858,0.6858,0.6829,0.6829,6890,2021-07-06 12:58:00,BIOL
0.6828,0.6828,0.6828,0.6828,101,2021-07-06 13:00:00,BIOL
0.6828,0.6828,0.6828,0.6828,1100,2021-07-06 13:01:00,BIOL
0.6828,0.6828,0.6828,0.6828,1000,2021-07-06 13:02:00,BIOL
0.681,0.681,0.681,0.681,583,2021-07-06 13:05:00,BIOL
0.6805,0.6805,0.6805,0.6805,10000,2021-07-06 13:14:00,BIOL
0.6805,0.685,0.6805,0.685,5000,2021-07-06 13:17:00,BIOL
0.6805,0.6805,0.6805,0.6805,300,2021-07-06 13:24:00,BIOL
0.685,0.685,0.685,0.685,130,2021-07-06 13:25:00,BIOL
0.68,0.6834,0.68,0.6805,28975,2021-07-06 13:30:00,BIOL
0.680501,0.683399,0.680501,0.683399,1445,2021-07-06 13:31:00,BIOL
0.6806,0.6834,0.6806,0.6834,1235,2021-07-06 13:32:00,BIOL
0.6806,0.6806,0.6806,0.6806,135,2021-07-06 13:33:00,BIOL
0.681949,0.683399,0.6805,0.683399,2982,2021-07-06 13:34:00,BIOL
0.6819,0.6832,0.6806,0.6832,3316,2021-07-06 13:35:00,BIOL
0.680871,0.683,0.6808,0.6808,16900,2021-07-06 13:36:00,BIOL
0.680801,0.6809,0.68,0.68,6882,2021-07-06 13:37:00,BIOL
0.6809,0.6809,0.6809,0.6809,800,2021-07-06 13:38:00,BIOL
0.68,0.6809,0.68,0.6808,3745,2021-07-06 13:39:00,BIOL
0.68,0.6804,0.6766,0.6804,27975,2021-07-06 13:40:00,BIOL
0.6761,0.6804,0.6761,0.680399,8645,2021-07-06 13:41:00,BIOL
0.68,0.68,0.68,0.68,138,2021-07-06 13:42:00,BIOL
0.680299,0.680299,0.676501,0.6799,3350,2021-07-06 13:43:00,BIOL
0.6799,0.6799,0.6766,0.6766,7464,2021-07-06 13:44:00,BIOL
0.67815,0.6797,0.6751,0.6751,16234,2021-07-06 13:45:00,BIOL
0.6751,0.6759,0.6751,0.6755,3415,2021-07-06 13:46:00,BIOL
0.675899,0.6759,0.6757,0.6759,17100,2021-07-06 13:47:00,BIOL
0.6755,0.6755,0.6755,0.6755,3250,2021-07-06 13:48:00,BIOL
0.67589,0.6759,0.6755,0.6756,13350,2021-07-06 13:49:00,BIOL
0.675701,0.675701,0.6755,0.6756,8104,2021-07-06 13:50:00,BIOL
0.6755,0.6756,0.6755,0.6756,4215,2021-07-06 13:51:00,BIOL
0.6756,0.6756,0.6756,0.6756,280,2021-07-06 13:52:00,BIOL
0.6755,0.6755,0.6755,0.6755,133,2021-07-06 13:53:00,BIOL
0.6756,0.6756,0.6755,0.6755,1730,2021-07-06 13:54:00,BIOL
0.6755,0.6756,0.6755,0.6756,4100,2021-07-06 13:55:00,BIOL
0.6751,0.6754,0.673051,0.673051,25379,2021-07-06 13:56:00,BIOL
0.6734,0.6739,0.6726,0.673,14778,2021-07-06 13:57:00,BIOL
0.6731,0.6739,0.6731,0.6739,4133,2021-07-06 13:58:00,BIOL
0.6735,0.673899,0.6735,0.673722,1600,2021-07-06 13:59:00,BIOL
0.673861,0.673861,0.673861,0.673861,100,2021-07-06 14:00:00,BIOL
0.6739,0.67525,0.6739,0.6752,1759,2021-07-06 14:01:00,BIOL
0.6755,0.6757,0.6753,0.67545,7522,2021-07-06 14:02:00,BIOL
0.6753,0.6754,0.6753,0.6754,985,2021-07-06 14:03:00,BIOL
0.6754,0.6754,0.67535,0.6754,3000,2021-07-06 14:04:00,BIOL
0.6754,0.6754,0.67501,0.67501,1500,2021-07-06 14:05:00,BIOL
0.675,0.675,0.675,0.675,500,2021-07-06 14:06:00,BIOL
0.675099,0.675099,0.675099,0.675099,211,2021-07-06 14:07:00,BIOL
0.6751,0.6751,0.675,0.6751,36600,2021-07-06 14:08:00,BIOL
0.675,0.6751,0.675,0.675,5900,2021-07-06 14:09:00,BIOL
0.6751,0.6751,0.6751,0.6751,10280,2021-07-06 14:10:00,BIOL
0.675075,0.6756,0.675001,0.6756,39155,2021-07-06 14:11:00,BIOL
0.6757,0.6798,0.6757,0.6798,51704,2021-07-06 14:12:00,BIOL
0.679799,0.679799,0.67976,0.67976,4310,2021-07-06 14:13:00,BIOL
0.677799,0.677799,0.677799,0.677799,150,2021-07-06 14:14:00,BIOL
0.678801,0.68,0.6788,0.68,39650,2021-07-06 14:15:00,BIOL
0.68,0.68,0.678801,0.678801,600,2021-07-06 14:16:00,BIOL
0.680799,0.6811,0.6807,0.6811,24380,2021-07-06 14:17:00,BIOL
