open,high,low,close,volume,datetime,symbol
49.0,49.0,49.0,49.0,100,2021-07-06 12:47:00,VSAT
48.48,48.48,48.31,48.31,220,2021-07-06 13:27:00,VSAT
48.2,48.2,48.0,48.01,13154,2021-07-06 13:30:00,VSAT
47.91,47.91,47.91,47.91,100,2021-07-06 13:31:00,VSAT
47.91,47.95,47.85,47.85,800,2021-07-06 13:33:00,VSAT
47.78,47.78,47.78,47.78,100,2021-07-06 13:34:00,VSAT
47.73,47.73,47.73,47.73,100,2021-07-06 13:36:00,VSAT
47.66,47.66,47.66,47.66,100,2021-07-06 13:37:00,VSAT
47.65,47.65,47.5,47.5,1949,2021-07-06 13:40:00,VSAT
47.37,47.57,47.37,47.57,300,2021-07-06 13:41:00,VSAT
47.57,47.58,47.57,47.58,520,2021-07-06 13:42:00,VSAT
47.61,47.82,47.61,47.82,9992,2021-07-06 13:43:00,VSAT
47.66,47.66,47.66,47.66,100,2021-07-06 13:44:00,VSAT
47.55,47.55,47.55,47.55,100,2021-07-06 13:46:00,VSAT
47.55,47.55,47.55,47.55,300,2021-07-06 13:47:00,VSAT
47.41,47.6331,47.41,47.6331,220,2021-07-06 13:48:00,VSAT
47.39,47.39,47.39,47.39,100,2021-07-06 13:49:00,VSAT
47.48,47.51,47.36,47.36,500,2021-07-06 13:51:00,VSAT
47.36,47.45,47.36,47.45,1000,2021-07-06 13:52:00,VSAT
47.46,47.6,47.45,47.6,420,2021-07-06 13:53:00,VSAT
47.48,47.535,47.48,47.535,400,2021-07-06 13:54:00,VSAT
47.56,47.56,47.56,47.56,100,2021-07-06 13:55:00,VSAT
47.47,47.53,47.46,47.46,992,2021-07-06 13:56:00,VSAT
47.465,47.465,47.465,47.465,100,2021-07-06 13:57:00,VSAT
47.56,47.57,47.56,47.57,400,2021-07-06 14:00:00,VSAT
47.51,47.51,47.51,47.51,100,2021-07-06 14:01:00,VSAT
47.56,47.56,47.56,47.56,100,2021-07-06 14:04:00,VSAT
47.589,47.589,47.589,47.589,103,2021-07-06 14:06:00,VSAT
47.59,47.62,47.5,47.62,900,2021-07-06 14:09:00,VSAT
47.55,47.55,47.55,47.55,100,2021-07-06 14:11:00,VSAT
47.6,47.6,47.53,47.53,400,2021-07-06 14:12:00,VSAT
47.65,47.65,47.65,47.65,1100,2021-07-06 14:13:00,VSAT
47.67,47.67,47.65,47.65,400,2021-07-06 14:15:00,VSAT
47.69,47.7,47.69,47.7,900,2021-07-06 14:16:00,VSAT
47.66,47.66,47.66,47.66,200,2021-07-06 14:19:00,VSAT
47.64,47.64,47.62,47.62,400,2021-07-06 14:21:00,VSAT
47.58,47.58,47.58,47.58,200,2021-07-06 14:26:00,VSAT
47.56,47.56,47.56,47.56,100,2021-07-06 14:27:00,VSAT
47.59,47.59,47.59,47.59,100,2021-07-06 14:28:00,VSAT
