open,high,low,close,volume,datetime,symbol
4.42,4.42,4.42,4.42,3623,2021-07-06 13:30:00,ARAY
4.455,4.5,4.455,4.465,3300,2021-07-06 13:31:00,ARAY
4.465,4.47,4.4354,4.4465,1896,2021-07-06 13:32:00,ARAY
4.43,4.43,4.39,4.4,3430,2021-07-06 13:33:00,ARAY
4.41,4.41,4.39,4.4043,4082,2021-07-06 13:34:00,ARAY
4.41,4.4101,4.41,4.41,1513,2021-07-06 13:35:00,ARAY
4.41,4.41,4.4,4.4,5716,2021-07-06 13:39:00,ARAY
4.405,4.41,4.405,4.41,400,2021-07-06 13:40:00,ARAY
4.41,4.41,4.41,4.41,100,2021-07-06 13:41:00,ARAY
4.4,4.4,4.4,4.4,600,2021-07-06 13:42:00,ARAY
4.385,4.402,4.385,4.402,7900,2021-07-06 13:44:00,ARAY
4.403,4.41,4.403,4.41,3048,2021-07-06 13:45:00,ARAY
4.41,4.41,4.41,4.41,400,2021-07-06 13:46:00,ARAY
4.41,4.42,4.41,4.42,1000,2021-07-06 13:47:00,ARAY
4.415,4.415,4.415,4.415,100,2021-07-06 13:49:00,ARAY
4.4111,4.4111,4.4111,4.4111,250,2021-07-06 13:50:00,ARAY
4.415,4.415,4.41,4.41,300,2021-07-06 13:51:00,ARAY
4.4,4.4,4.3967,4.3967,755,2021-07-06 13:52:00,ARAY
4.39,4.39,4.39,4.39,200,2021-07-06 13:58:00,ARAY
4.4,4.41,4.3961,4.409,4857,2021-07-06 14:01:00,ARAY
4.3913,4.4,4.3901,4.3901,2119,2021-07-06 14:03:00,ARAY
4.3925,4.397,4.3901,4.3901,500,2021-07-06 14:04:00,ARAY
4.3999,4.4,4.3999,4.4,1300,2021-07-06 14:05:00,ARAY
4.39,4.39,4.39,4.39,400,2021-07-06 14:07:00,ARAY
4.4,4.4,4.3982,4.3999,800,2021-07-06 14:08:00,ARAY
4.395,4.4,4.3946,4.4,4300,2021-07-06 14:09:00,ARAY
4.39,4.39,4.39,4.39,100,2021-07-06 14:12:00,ARAY
4.39,4.39,4.39,4.39,700,2021-07-06 14:13:00,ARAY
4.381,4.39,4.381,4.39,3200,2021-07-06 14:16:00,ARAY
4.385,4.39,4.38,4.38,11517,2021-07-06 14:18:00,ARAY
4.38,4.38,4.38,4.38,2450,2021-07-06 14:19:00,ARAY
4.375,4.38,4.37,4.38,6400,2021-07-06 14:20:00,ARAY
4.3752,4.3752,4.3752,4.3752,5000,2021-07-06 14:22:00,ARAY
4.38,4.38,4.3759,4.38,1625,2021-07-06 14:23:00,ARAY
4.3752,4.3814,4.3752,4.3814,5386,2021-07-06 14:24:00,ARAY
4.3836,4.3836,4.3836,4.3836,500,2021-07-06 14:26:00,ARAY
4.385,4.386,4.385,4.386,2000,2021-07-06 14:28:00,ARAY
4.39,4.39,4.39,4.39,100,2021-07-06 14:29:00,ARAY
4.385,4.39,4.385,4.3883,2100,2021-07-06 14:30:00,ARAY
4.38,4.385,4.38,4.385,6561,2021-07-06 14:31:00,ARAY
4.3843,4.39,4.38,4.38,2400,2021-07-06 14:32:00,ARAY
4.38,4.38,4.38,4.38,100,2021-07-06 14:33:00,ARAY
4.38,4.38,4.38,4.38,840,2021-07-06 14:34:00,ARAY
4.38,4.38,4.38,4.38,200,2021-07-06 14:36:00,ARAY
4.38,4.38,4.38,4.38,600,2021-07-06 14:37:00,ARAY
4.385,4.385,4.385,4.385,200,2021-07-06 14:38:00,ARAY
4.38,4.38,4.38,4.38,200,2021-07-06 14:39:00,ARAY
4.38,4.38,4.38,4.38,200,2021-07-06 14:40:00,ARAY
4.384,4.384,4.384,4.384,140,2021-07-06 14:44:00,ARAY
4.385,4.385,4.38,4.38,600,2021-07-06 14:45:00,ARAY
4.385,4.385,4.385,4.385,200,2021-07-06 14:46:00,ARAY
4.38,4.385,4.38,4.385,1100,2021-07-06 14:47:00,ARAY
4.3816,4.3899,4.3816,4.3899,1200,2021-07-06 14:49:00,ARAY
4.3884,4.3884,4.385,4.385,381,2021-07-06 14:50:00,ARAY
4.38,4.3899,4.38,4.3899,600,2021-07-06 14:52:00,ARAY
4.38,4.385,4.38,4.385,200,2021-07-06 14:57:00,ARAY
4.38,4.385,4.38,4.385,517,2021-07-06 14:58:00,ARAY
4.38,4.38,4.37,4.37,3231,2021-07-06 15:01:00,ARAY
4.37,4.375,4.37,4.375,400,2021-07-06 15:02:00,ARAY
4.375,4.375,4.375,4.375,100,2021-07-06 15:03:00,ARAY
4.37,4.37,4.37,4.37,200,2021-07-06 15:04:00,ARAY
4.3799,4.39,4.3799,4.39,1200,2021-07-06 15:05:00,ARAY
4.3817,4.3817,4.38,4.38,1100,2021-07-06 15:06:00,ARAY
4.38,4.38,4.38,4.38,200,2021-07-06 15:08:00,ARAY
4.38,4.38,4.38,4.38,100,2021-07-06 15:09:00,ARAY
4.38,4.385,4.38,4.385,600,2021-07-06 15:10:00,ARAY
4.3861,4.3861,4.38,4.38,2100,2021-07-06 15:11:00,ARAY
4.38,4.3801,4.38,4.3801,400,2021-07-06 15:12:00,ARAY
4.385,4.39,4.38,4.385,1350,2021-07-06 15:13:00,ARAY
4.385,4.387,4.38,4.385,1500,2021-07-06 15:14:00,ARAY
4.385,4.385,4.3717,4.3717,2600,2021-07-06 15:15:00,ARAY
4.37,4.37,4.37,4.37,300,2021-07-06 15:16:00,ARAY
4.3708,4.375,4.37,4.37,2100,2021-07-06 15:17:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:18:00,ARAY
4.375,4.375,4.37,4.37,1300,2021-07-06 15:19:00,ARAY
4.3701,4.39,4.3701,4.39,3136,2021-07-06 15:20:00,ARAY
4.38,4.38,4.38,4.38,100,2021-07-06 15:21:00,ARAY
4.38,4.38,4.37,4.37,2101,2021-07-06 15:22:00,ARAY
4.37,4.37,4.37,4.37,200,2021-07-06 15:23:00,ARAY
4.37,4.379,4.37,4.379,1250,2021-07-06 15:24:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:25:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:26:00,ARAY
4.37,4.37,4.36,4.37,6611,2021-07-06 15:27:00,ARAY
4.38,4.38,4.37,4.37,300,2021-07-06 15:30:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:31:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:32:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:34:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:35:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:36:00,ARAY
4.37,4.38,4.37,4.38,300,2021-07-06 15:37:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:38:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:39:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:41:00,ARAY
4.37,4.38,4.37,4.38,2018,2021-07-06 15:42:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:44:00,ARAY
4.3718,4.3718,4.3718,4.3718,100,2021-07-06 15:47:00,ARAY
4.38,4.38,4.37,4.37,500,2021-07-06 15:48:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:49:00,ARAY
4.37,4.37,4.37,4.37,100,2021-07-06 15:50:00,ARAY
4.37,4.37,4.37,4.37,200,2021-07-06 15:54:00,ARAY
4.37,4.371,4.37,4.37,1400,2021-07-06 15:55:00,ARAY
4.36,4.36,4.36,4.36,100,2021-07-06 15:59:00,ARAY
4.36,4.36,4.36,4.36,100,2021-07-06 16:00:00,ARAY
4.36,4.36,4.36,4.36,647,2021-07-06 16:02:00,ARAY
4.35,4.35,4.35,4.35,235,2021-07-06 16:04:00,ARAY
4.355,4.355,4.355,4.355,100,2021-07-06 16:05:00,ARAY
4.3599,4.3599,4.3599,4.3599,100,2021-07-06 16:06:00,ARAY
4.355,4.355,4.355,4.355,240,2021-07-06 16:08:00,ARAY
4.35,4.355,4.35,4.355,350,2021-07-06 16:09:00,ARAY
4.35,4.35,4.35,4.35,400,2021-07-06 16:15:00,ARAY
4.35,4.35,4.35,4.35,1300,2021-07-06 16:16:00,ARAY
4.36,4.36,4.36,4.36,5000,2021-07-06 16:17:00,ARAY
4.3588,4.3588,4.35,4.35,800,2021-07-06 16:18:00,ARAY
4.35,4.35,4.35,4.35,200,2021-07-06 16:19:00,ARAY
4.36,4.36,4.36,4.36,300,2021-07-06 16:20:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 16:21:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 16:22:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 16:23:00,ARAY
4.35,4.35,4.35,4.35,200,2021-07-06 16:28:00,ARAY
4.35,4.35,4.35,4.35,321,2021-07-06 16:29:00,ARAY
4.35,4.35,4.34,4.3447,2552,2021-07-06 16:30:00,ARAY
4.345,4.3499,4.34,4.3499,2716,2021-07-06 16:31:00,ARAY
4.34,4.34,4.34,4.34,1699,2021-07-06 16:32:00,ARAY
4.33,4.3392,4.33,4.3392,1600,2021-07-06 16:33:00,ARAY
4.33,4.33,4.33,4.33,2200,2021-07-06 16:35:00,ARAY
4.33,4.33,4.33,4.33,200,2021-07-06 16:37:00,ARAY
4.33,4.33,4.33,4.33,100,2021-07-06 16:38:00,ARAY
4.3392,4.3392,4.33,4.33,991,2021-07-06 16:39:00,ARAY
4.33,4.3386,4.33,4.3386,1800,2021-07-06 16:40:00,ARAY
4.335,4.345,4.335,4.345,4224,2021-07-06 16:41:00,ARAY
4.34,4.355,4.34,4.355,7282,2021-07-06 16:42:00,ARAY
4.355,4.36,4.3527,4.3527,700,2021-07-06 16:43:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 16:45:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 16:46:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 16:47:00,ARAY
4.3505,4.355,4.35,4.35,3206,2021-07-06 16:49:00,ARAY
4.36,4.36,4.35,4.35,900,2021-07-06 16:50:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 16:52:00,ARAY
4.35,4.35,4.35,4.35,200,2021-07-06 16:53:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 16:54:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 16:56:00,ARAY
4.35,4.35,4.35,4.35,500,2021-07-06 16:57:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 16:58:00,ARAY
4.35,4.35,4.35,4.35,200,2021-07-06 16:59:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 17:00:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 17:01:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 17:02:00,ARAY
4.35,4.35,4.35,4.35,100,2021-07-06 17:04:00,ARAY
