open,high,low,close,volume,datetime,symbol
4.84,4.84,4.84,4.84,411,2021-07-06 11:54:00,GOVX
4.8199,4.82,4.8199,4.82,2250,2021-07-06 12:24:00,GOVX
4.72,4.72,4.72,4.72,1593,2021-07-06 13:30:00,GOVX
4.8,4.8,4.8,4.8,100,2021-07-06 13:32:00,GOVX
4.75,4.75,4.75,4.75,996,2021-07-06 13:36:00,GOVX
4.7,4.7232,4.7,4.7208,1010,2021-07-06 13:37:00,GOVX
4.66,4.66,4.66,4.66,100,2021-07-06 13:44:00,GOVX
4.65,4.65,4.57,4.59,4883,2021-07-06 13:45:00,GOVX
4.6,4.6,4.6,4.6,300,2021-07-06 13:46:00,GOVX
4.6268,4.6268,4.6268,4.6268,1000,2021-07-06 13:47:00,GOVX
4.6,4.63,4.6,4.63,1750,2021-07-06 13:48:00,GOVX
4.5726,4.5726,4.5726,4.5726,1000,2021-07-06 13:49:00,GOVX
4.6265,4.63,4.6265,4.63,1100,2021-07-06 13:50:00,GOVX
4.6223,4.63,4.6223,4.63,1000,2021-07-06 13:51:00,GOVX
4.66,4.6795,4.66,4.6795,600,2021-07-06 13:54:00,GOVX
4.69,4.69,4.69,4.69,100,2021-07-06 13:57:00,GOVX
4.68,4.68,4.66,4.66,200,2021-07-06 13:59:00,GOVX
4.63,4.67,4.63,4.67,940,2021-07-06 14:00:00,GOVX
4.69,4.69,4.65,4.65,4100,2021-07-06 14:02:00,GOVX
4.69,4.69,4.69,4.69,300,2021-07-06 14:05:00,GOVX
4.7,4.79,4.7,4.79,650,2021-07-06 14:07:00,GOVX
4.6704,4.6704,4.6601,4.6601,226,2021-07-06 14:08:00,GOVX
4.7309,4.7309,4.7309,4.7309,100,2021-07-06 14:15:00,GOVX
4.7353,4.83,4.7353,4.83,1463,2021-07-06 14:18:00,GOVX
4.83,4.83,4.78,4.78,1500,2021-07-06 14:19:00,GOVX
4.8,4.8,4.78,4.78,400,2021-07-06 14:24:00,GOVX
4.795,4.7973,4.7804,4.7818,2000,2021-07-06 14:37:00,GOVX
4.8103,4.83,4.8103,4.83,600,2021-07-06 14:41:00,GOVX
4.77,4.77,4.77,4.77,500,2021-07-06 14:46:00,GOVX
4.7,4.7,4.7,4.7,297,2021-07-06 15:04:00,GOVX
4.6717,4.7,4.6717,4.7,1150,2021-07-06 15:10:00,GOVX
4.75,4.75,4.75,4.75,100,2021-07-06 15:21:00,GOVX
4.85,4.85,4.85,4.85,300,2021-07-06 15:25:00,GOVX
4.8175,4.83,4.8,4.83,1357,2021-07-06 15:32:00,GOVX
4.85,4.85,4.85,4.85,100,2021-07-06 15:34:00,GOVX
4.8499,4.8499,4.8499,4.8499,300,2021-07-06 15:36:00,GOVX
4.77,4.77,4.77,4.77,700,2021-07-06 15:39:00,GOVX
4.6901,4.6901,4.6901,4.6901,700,2021-07-06 15:42:00,GOVX
4.7,4.8371,4.7,4.83,700,2021-07-06 15:45:00,GOVX
4.84,4.85,4.84,4.85,2809,2021-07-06 15:46:00,GOVX
4.89,4.89,4.85,4.85,314,2021-07-06 15:50:00,GOVX
4.8799,4.8799,4.8799,4.8799,250,2021-07-06 15:54:00,GOVX
4.86,4.86,4.86,4.86,1100,2021-07-06 15:56:00,GOVX
4.85,5.13,4.8,5.005,171640,2021-07-06 16:01:00,GOVX
5.05,5.48,4.96,5.31,247923,2021-07-06 16:02:00,GOVX
5.3,5.3499,4.93,5.04,110334,2021-07-06 16:03:00,GOVX
5.05,5.2,5.0,5.18,68371,2021-07-06 16:04:00,GOVX
5.18,5.18,4.96,5.08,44300,2021-07-06 16:05:00,GOVX
5.0101,5.09,5.0101,5.09,8453,2021-07-06 16:06:00,GOVX
5.08,5.08,5.05,5.0501,5908,2021-07-06 16:07:00,GOVX
5.05,5.13,5.05,5.1052,9473,2021-07-06 16:08:00,GOVX
5.1173,5.1173,5.0,5.0901,16951,2021-07-06 16:09:00,GOVX
5.05,5.09,5.03,5.0896,4258,2021-07-06 16:10:00,GOVX
5.07,5.089,5.0624,5.07,2125,2021-07-06 16:11:00,GOVX
5.0514,5.0514,4.8,4.83,35603,2021-07-06 16:12:00,GOVX
4.835,4.9,4.835,4.9,5600,2021-07-06 16:13:00,GOVX
4.94,4.94,4.87,4.87,5301,2021-07-06 16:14:00,GOVX
4.8501,4.978,4.8501,4.968,5300,2021-07-06 16:15:00,GOVX
4.955,4.96,4.955,4.96,1255,2021-07-06 16:16:00,GOVX
4.9878,4.9878,4.93,4.93,3491,2021-07-06 16:17:00,GOVX
4.95,4.96,4.95,4.96,725,2021-07-06 16:18:00,GOVX
4.9599,4.9599,4.9599,4.9599,1000,2021-07-06 16:19:00,GOVX
4.9132,4.9132,4.9001,4.9001,222,2021-07-06 16:20:00,GOVX
4.9001,4.96,4.9001,4.96,1700,2021-07-06 16:21:00,GOVX
4.94,4.94,4.94,4.94,500,2021-07-06 16:23:00,GOVX
4.93,4.9499,4.93,4.94,1349,2021-07-06 16:24:00,GOVX
4.91,4.92,4.91,4.91,1200,2021-07-06 16:26:00,GOVX
4.91,4.9297,4.9,4.915,3597,2021-07-06 16:27:00,GOVX
4.9,4.95,4.9,4.95,6225,2021-07-06 16:28:00,GOVX
4.9454,4.95,4.9385,4.95,1475,2021-07-06 16:29:00,GOVX
4.945,4.945,4.88,4.93,8887,2021-07-06 16:30:00,GOVX
4.8801,4.8821,4.88,4.88,2929,2021-07-06 16:31:00,GOVX
4.915,4.9473,4.84,4.92,14464,2021-07-06 16:32:00,GOVX
4.9266,4.94,4.8801,4.8801,4300,2021-07-06 16:33:00,GOVX
4.8901,4.8901,4.8901,4.8901,100,2021-07-06 16:34:00,GOVX
4.8925,4.905,4.8925,4.9,500,2021-07-06 16:35:00,GOVX
4.881,4.8899,4.8801,4.8801,300,2021-07-06 16:36:00,GOVX
4.88,4.8802,4.87,4.88,2509,2021-07-06 16:37:00,GOVX
4.88,4.88,4.88,4.88,550,2021-07-06 16:38:00,GOVX
