open,high,low,close,volume,datetime,symbol
11.85,11.85,11.81,11.81,200,2021-07-06 08:04:00,RADA
11.96,11.97,11.96,11.97,483,2021-07-06 08:05:00,RADA
11.92,12.01,11.92,12.01,800,2021-07-06 08:07:00,RADA
12.01,12.03,12.01,12.03,541,2021-07-06 08:36:00,RADA
12.86,12.86,12.49,12.49,200,2021-07-06 09:00:00,RADA
12.42,12.42,12.42,12.42,100,2021-07-06 09:04:00,RADA
12.5,12.5,12.5,12.5,920,2021-07-06 09:46:00,RADA
12.46,12.46,12.46,12.46,100,2021-07-06 09:48:00,RADA
12.43,12.43,12.4,12.4,619,2021-07-06 09:49:00,RADA
12.32,12.32,12.3,12.3,417,2021-07-06 09:52:00,RADA
12.33,12.33,12.33,12.33,160,2021-07-06 09:59:00,RADA
12.39,12.39,12.39,12.39,100,2021-07-06 10:03:00,RADA
12.3,12.3,12.3,12.3,566,2021-07-06 10:04:00,RADA
12.3,12.3,12.3,12.3,100,2021-07-06 10:05:00,RADA
12.3,12.3,12.3,12.3,222,2021-07-06 10:19:00,RADA
12.27,12.28,12.27,12.28,400,2021-07-06 10:52:00,RADA
12.31,12.31,12.31,12.31,100,2021-07-06 11:00:00,RADA
12.26,12.26,12.26,12.26,104,2021-07-06 11:02:00,RADA
12.32,12.32,12.32,12.32,100,2021-07-06 11:15:00,RADA
12.32,12.32,12.32,12.32,150,2021-07-06 11:27:00,RADA
12.27,12.27,12.25,12.25,350,2021-07-06 11:30:00,RADA
12.25,12.25,12.22,12.22,420,2021-07-06 11:36:00,RADA
12.35,12.35,12.35,12.35,166,2021-07-06 11:53:00,RADA
12.3,12.3,12.3,12.3,248,2021-07-06 12:01:00,RADA
12.29,12.3,12.29,12.3,330,2021-07-06 12:04:00,RADA
12.35,12.35,12.35,12.35,421,2021-07-06 12:07:00,RADA
12.3499,12.3499,12.3499,12.3499,500,2021-07-06 12:19:00,RADA
12.35,12.35,12.35,12.35,879,2021-07-06 12:48:00,RADA
12.35,12.35,12.31,12.31,1140,2021-07-06 12:49:00,RADA
12.35,12.35,12.35,12.35,300,2021-07-06 12:52:00,RADA
12.3,12.3,12.3,12.3,300,2021-07-06 13:21:00,RADA
12.31,12.31,12.23,12.23,775,2021-07-06 13:28:00,RADA
12.15,12.15,12.15,12.15,225,2021-07-06 13:29:00,RADA
12.23,12.23,12.1006,12.12,15231,2021-07-06 13:30:00,RADA
12.13,12.16,12.11,12.13,3615,2021-07-06 13:31:00,RADA
12.11,12.12,12.1,12.1003,1802,2021-07-06 13:32:00,RADA
12.1423,12.15,12.09,12.11,3649,2021-07-06 13:33:00,RADA
12.07,12.12,12.07,12.1,400,2021-07-06 13:34:00,RADA
12.105,12.105,12.07,12.07,3366,2021-07-06 13:35:00,RADA
12.0685,12.11,12.0685,12.11,4947,2021-07-06 13:36:00,RADA
12.1027,12.1027,12.09,12.09,1539,2021-07-06 13:37:00,RADA
12.11,12.12,12.1,12.11,2525,2021-07-06 13:38:00,RADA
12.1,12.1071,12.1,12.1,546,2021-07-06 13:39:00,RADA
12.12,12.14,12.1,12.1,1100,2021-07-06 13:40:00,RADA
12.12,12.12,12.1,12.12,2465,2021-07-06 13:41:00,RADA
12.12,12.12,12.1,12.1,1673,2021-07-06 13:42:00,RADA
12.1,12.1,12.07,12.07,1240,2021-07-06 13:43:00,RADA
12.06,12.06,12.06,12.06,300,2021-07-06 13:44:00,RADA
