open,high,low,close,volume,datetime,symbol
6.65,6.65,6.58,6.58,2369,2021-07-06 11:00:00,WVE
6.575,6.62,6.545,6.61,6384,2021-07-06 13:30:00,WVE
6.65,6.65,6.65,6.65,100,2021-07-06 13:34:00,WVE
6.5755,6.5755,6.571,6.571,1500,2021-07-06 13:41:00,WVE
6.57,6.57,6.52,6.52,700,2021-07-06 13:42:00,WVE
6.53,6.53,6.53,6.53,100,2021-07-06 13:47:00,WVE
6.5,6.5,6.5,6.5,100,2021-07-06 13:52:00,WVE
6.4912,6.4912,6.4912,6.4912,100,2021-07-06 13:55:00,WVE
6.48,6.48,6.48,6.48,400,2021-07-06 13:56:00,WVE
6.51,6.51,6.51,6.51,100,2021-07-06 13:58:00,WVE
6.485,6.485,6.485,6.485,150,2021-07-06 14:03:00,WVE
6.5,6.54,6.5,6.54,1000,2021-07-06 14:07:00,WVE
6.53,6.53,6.525,6.525,662,2021-07-06 14:08:00,WVE
6.54,6.54,6.53,6.53,400,2021-07-06 14:09:00,WVE
6.5349,6.55,6.5294,6.535,3600,2021-07-06 14:10:00,WVE
6.53,6.57,6.5247,6.57,8450,2021-07-06 14:11:00,WVE
6.56,6.56,6.56,6.56,100,2021-07-06 14:19:00,WVE
6.59,6.59,6.59,6.59,200,2021-07-06 14:21:00,WVE
6.61,6.62,6.61,6.62,285,2021-07-06 14:26:00,WVE
6.61,6.61,6.6,6.6,1400,2021-07-06 14:27:00,WVE
6.6,6.61,6.58,6.59,5795,2021-07-06 14:28:00,WVE
6.56,6.57,6.55,6.57,400,2021-07-06 14:33:00,WVE
6.56,6.58,6.56,6.58,600,2021-07-06 14:35:00,WVE
6.59,6.59,6.59,6.59,200,2021-07-06 14:36:00,WVE
6.6,6.62,6.6,6.62,505,2021-07-06 14:37:00,WVE
6.62,6.63,6.62,6.63,1288,2021-07-06 14:38:00,WVE
6.6137,6.6137,6.6137,6.6137,1000,2021-07-06 14:42:00,WVE
6.64,6.64,6.64,6.64,100,2021-07-06 14:52:00,WVE
6.64,6.65,6.64,6.65,518,2021-07-06 14:53:00,WVE
6.63,6.63,6.62,6.62,400,2021-07-06 14:58:00,WVE
6.6,6.63,6.6,6.63,3897,2021-07-06 15:00:00,WVE
6.62,6.62,6.62,6.62,200,2021-07-06 15:05:00,WVE
6.61,6.61,6.61,6.61,400,2021-07-06 15:09:00,WVE
6.625,6.625,6.6103,6.6103,927,2021-07-06 15:15:00,WVE
6.58,6.58,6.58,6.58,100,2021-07-06 15:25:00,WVE
6.57,6.57,6.57,6.57,100,2021-07-06 15:26:00,WVE
6.6,6.6,6.6,6.6,100,2021-07-06 15:27:00,WVE
6.585,6.585,6.585,6.585,100,2021-07-06 15:32:00,WVE
6.58,6.58,6.58,6.58,766,2021-07-06 15:42:00,WVE
6.5601,6.5601,6.5601,6.5601,100,2021-07-06 15:43:00,WVE
6.59,6.59,6.59,6.59,1000,2021-07-06 15:44:00,WVE
6.59,6.59,6.59,6.59,100,2021-07-06 15:49:00,WVE
6.55,6.55,6.55,6.55,100,2021-07-06 15:50:00,WVE
6.56,6.57,6.55,6.55,700,2021-07-06 15:53:00,WVE
6.54,6.54,6.54,6.54,100,2021-07-06 15:54:00,WVE
6.5376,6.5379,6.5307,6.5307,3000,2021-07-06 15:55:00,WVE
6.54,6.545,6.51,6.545,15656,2021-07-06 15:56:00,WVE
6.545,6.5494,6.545,6.5494,3300,2021-07-06 15:57:00,WVE
6.5597,6.61,6.5494,6.61,14197,2021-07-06 15:58:00,WVE
6.6,6.6,6.59,6.59,2255,2021-07-06 16:03:00,WVE
6.62,6.62,6.62,6.62,100,2021-07-06 16:04:00,WVE
6.62,6.62,6.62,6.62,300,2021-07-06 16:05:00,WVE
6.616,6.616,6.616,6.616,100,2021-07-06 16:06:00,WVE
6.62,6.62,6.62,6.62,100,2021-07-06 16:07:00,WVE
6.63,6.63,6.63,6.63,1300,2021-07-06 16:10:00,WVE
6.65,6.65,6.65,6.65,100,2021-07-06 16:11:00,WVE
6.635,6.635,6.635,6.635,1044,2021-07-06 16:16:00,WVE
6.635,6.65,6.62,6.635,33590,2021-07-06 16:17:00,WVE
6.635,6.64,6.6101,6.625,11128,2021-07-06 16:18:00,WVE
6.625,6.63,6.61,6.63,13457,2021-07-06 16:19:00,WVE
6.6234,6.625,6.6,6.61,5109,2021-07-06 16:20:00,WVE
6.61,6.61,6.6,6.6,4200,2021-07-06 16:21:00,WVE
6.608,6.608,6.57,6.5898,37647,2021-07-06 16:22:00,WVE
6.58,6.58,6.57,6.577,4100,2021-07-06 16:23:00,WVE
6.5702,6.5702,6.5702,6.5702,1000,2021-07-06 16:24:00,WVE
6.58,6.58,6.58,6.58,500,2021-07-06 16:30:00,WVE
6.59,6.6,6.585,6.6,3542,2021-07-06 16:35:00,WVE
6.6,6.6,6.6,6.6,257,2021-07-06 16:36:00,WVE
6.61,6.61,6.61,6.61,100,2021-07-06 16:37:00,WVE
6.61,6.61,6.61,6.61,100,2021-07-06 16:38:00,WVE
6.595,6.595,6.595,6.595,200,2021-07-06 16:39:00,WVE
6.61,6.61,6.61,6.61,557,2021-07-06 16:41:00,WVE
6.63,6.635,6.63,6.635,1790,2021-07-06 16:42:00,WVE
6.63,6.63,6.63,6.63,129,2021-07-06 16:47:00,WVE
6.63,6.63,6.63,6.63,200,2021-07-06 16:48:00,WVE
6.64,6.64,6.64,6.64,100,2021-07-06 16:49:00,WVE
6.64,6.64,6.63,6.63,700,2021-07-06 16:50:00,WVE
