open,high,low,close,volume,datetime,symbol
251.24,251.24,250.045,251.0,3248,2021-07-06 13:30:00,MASI
251.65,251.9,249.94,249.94,1600,2021-07-06 13:31:00,MASI
249.89,249.89,249.89,249.89,100,2021-07-06 13:33:00,MASI
251.21,251.21,250.42,250.42,1191,2021-07-06 13:35:00,MASI
251.87,251.87,251.22,251.22,400,2021-07-06 13:36:00,MASI
251.22,251.22,251.22,251.22,100,2021-07-06 13:37:00,MASI
251.89,251.93,251.89,251.93,200,2021-07-06 13:40:00,MASI
251.785,251.785,251.785,251.785,100,2021-07-06 13:44:00,MASI
251.48,251.48,251.48,251.48,100,2021-07-06 13:45:00,MASI
251.2327,252.27,251.2327,252.27,2696,2021-07-06 13:47:00,MASI
251.92,251.92,251.92,251.92,100,2021-07-06 13:48:00,MASI
251.81,251.81,251.81,251.81,300,2021-07-06 13:49:00,MASI
252.19,252.19,252.19,252.19,100,2021-07-06 13:50:00,MASI
251.51,251.52,251.51,251.52,800,2021-07-06 13:51:00,MASI
250.95,250.95,250.95,250.95,100,2021-07-06 13:52:00,MASI
250.95,250.96,250.7101,250.84,745,2021-07-06 13:53:00,MASI
250.88,250.88,250.71,250.71,300,2021-07-06 13:54:00,MASI
250.25,250.25,250.25,250.25,100,2021-07-06 13:56:00,MASI
250.24,250.24,249.99,249.99,300,2021-07-06 13:57:00,MASI
249.59,250.42,249.59,250.42,292,2021-07-06 13:58:00,MASI
249.69,249.95,249.69,249.82,1100,2021-07-06 13:59:00,MASI
249.94,250.44,249.94,250.13,800,2021-07-06 14:00:00,MASI
250.35,250.45,250.35,250.45,300,2021-07-06 14:02:00,MASI
250.2174,250.2174,250.2174,250.2174,185,2021-07-06 14:03:00,MASI
250.69,251.33,250.69,251.33,400,2021-07-06 14:05:00,MASI
251.33,251.35,251.25,251.25,400,2021-07-06 14:06:00,MASI
251.44,251.44,251.44,251.44,100,2021-07-06 14:07:00,MASI
251.24,251.3548,251.1,251.1,854,2021-07-06 14:08:00,MASI
250.83,251.08,250.83,251.08,200,2021-07-06 14:09:00,MASI
251.2,251.48,251.2,251.48,400,2021-07-06 14:11:00,MASI
251.77,252.21,251.68,252.05,2318,2021-07-06 14:12:00,MASI
252.05,252.325,252.05,252.29,2300,2021-07-06 14:13:00,MASI
252.3,252.43,252.3,252.36,1600,2021-07-06 14:14:00,MASI
252.66,253.16,252.66,252.915,2200,2021-07-06 14:15:00,MASI
252.76,253.5,252.52,253.5,4500,2021-07-06 14:16:00,MASI
253.065,253.51,253.065,253.47,2200,2021-07-06 14:17:00,MASI
252.94,253.305,252.46,253.07,5806,2021-07-06 14:18:00,MASI
252.96,253.07,252.14,252.22,9288,2021-07-06 14:19:00,MASI
252.325,252.7,252.325,252.66,1000,2021-07-06 14:21:00,MASI
252.55,252.755,252.45,252.755,2900,2021-07-06 14:22:00,MASI
252.68,253.1,252.49,252.79,4200,2021-07-06 14:23:00,MASI
252.83,252.85,252.83,252.85,500,2021-07-06 14:24:00,MASI
252.82,253.3,252.78,253.1,6407,2021-07-06 14:25:00,MASI
252.985,253.12,252.985,253.12,600,2021-07-06 14:26:00,MASI
253.32,253.715,253.32,253.46,5200,2021-07-06 14:27:00,MASI
253.52,253.73,253.35,253.35,3300,2021-07-06 14:28:00,MASI
253.205,253.205,253.205,253.205,208,2021-07-06 14:29:00,MASI
253.53,253.64,253.35,253.57,600,2021-07-06 14:30:00,MASI
253.3,253.545,253.3,253.32,500,2021-07-06 14:31:00,MASI
