open,high,low,close,volume,datetime,symbol
9.96,9.96,9.96,9.96,100,2021-08-23 18:17:00,PGRWU
10.0,10.0,9.98,10.0,4993,2021-08-24 18:22:00,PGRWU
9.96,9.96,9.96,9.96,337,2021-08-24 19:14:00,PGRWU
9.96,9.96,9.96,9.96,1231,2021-08-24 19:26:00,PGRWU
9.93,9.93,9.93,9.93,900,2021-08-26 14:19:00,PGRWU
9.93,9.93,9.92,9.92,500,2021-08-26 16:16:00,PGRWU
9.92,9.92,9.92,9.92,100,2021-08-26 16:57:00,PGRWU
9.9377,9.9377,9.9377,9.9377,3300,2021-08-26 18:26:00,PGRWU
9.95,9.95,9.95,9.95,400,2021-08-30 16:16:00,PGRWU
9.95,9.95,9.95,9.95,100,2021-08-30 16:17:00,PGRWU
9.95,9.95,9.95,9.95,400,2021-08-31 18:41:00,PGRWU
9.99,9.99,9.99,9.99,197,2021-08-31 19:53:00,PGRWU
9.99,9.99,9.99,9.99,200,2021-08-31 19:56:00,PGRWU
9.99,9.99,9.99,9.99,200,2021-08-31 19:58:00,PGRWU
9.99,9.99,9.99,9.99,200,2021-08-31 19:59:00,PGRWU
9.96,9.96,9.96,9.96,1200,2021-09-01 16:20:00,PGRWU
9.97,9.97,9.96,9.97,7900,2021-09-01 16:24:00,PGRWU
9.97,9.97,9.97,9.97,5200,2021-09-01 16:25:00,PGRWU
9.97,9.97,9.97,9.97,2000,2021-09-01 16:26:00,PGRWU
9.95,9.95,9.95,9.95,400,2021-09-09 18:08:00,PGRWU
9.95,9.95,9.95,9.95,200,2021-09-09 19:28:00,PGRWU
9.94,9.94,9.94,9.94,100,2021-09-09 19:31:00,PGRWU
9.95,9.95,9.95,9.95,200,2021-09-09 19:48:00,PGRWU
9.95,9.95,9.95,9.95,510,2021-09-09 19:50:00,PGRWU
9.95,9.95,9.94,9.95,1000,2021-09-10 19:35:00,PGRWU
9.95,9.95,9.95,9.95,1990,2021-09-13 19:33:00,PGRWU
9.95,9.95,9.95,9.95,100,2021-09-14 13:43:00,PGRWU
9.95,9.95,9.95,9.95,340,2021-09-14 14:05:00,PGRWU
9.98,9.98,9.98,9.98,1000,2021-09-14 15:35:00,PGRWU
10.0,10.0,10.0,10.0,300,2021-09-14 18:34:00,PGRWU
10.04,10.04,10.01,10.01,300,2021-09-15 19:27:00,PGRWU
10.01,10.04,9.96,10.01,1800,2021-09-15 19:57:00,PGRWU
10.01,10.04,9.95,9.96,4483,2021-09-15 19:58:00,PGRWU
9.96,9.96,9.95,9.95,2900,2021-09-15 19:59:00,PGRWU
9.94,9.94,9.94,9.94,100,2021-09-16 14:21:00,PGRWU
9.94,9.94,9.94,9.94,100,2021-09-16 19:30:00,PGRWU
9.95,9.96,9.95,9.95,8700,2021-09-17 14:43:00,PGRWU
9.94,9.94,9.94,9.94,500,2021-09-17 15:48:00,PGRWU
9.95,9.95,9.95,9.95,600,2021-09-17 16:07:00,PGRWU
9.95,9.95,9.95,9.95,800,2021-09-17 16:09:00,PGRWU
9.99,9.99,9.99,9.99,100,2021-09-17 19:55:00,PGRWU
10.0,10.0,9.99,9.99,700,2021-09-17 19:58:00,PGRWU
9.96,9.96,9.96,9.96,158015,2021-09-20 18:13:00,PGRWU
10.0,10.0,10.0,10.0,1000,2021-09-21 13:44:00,PGRWU
9.97,9.97,9.97,9.97,100,2021-09-21 15:27:00,PGRWU
10.0,10.0,10.0,10.0,150,2021-09-22 14:33:00,PGRWU
10.0,10.0,10.0,10.0,100,2021-09-22 14:40:00,PGRWU
10.0,10.0,10.0,10.0,700,2021-09-22 15:06:00,PGRWU
10.0,10.0,10.0,10.0,100,2021-09-22 17:19:00,PGRWU
9.98,9.98,9.98,9.98,100,2021-09-22 18:49:00,PGRWU
9.96,9.96,9.95,9.95,900,2021-09-22 18:50:00,PGRWU
10.02,10.02,10.02,10.02,200,2021-09-22 19:33:00,PGRWU
10.03,10.03,10.01,10.01,2100,2021-09-22 19:36:00,PGRWU
10.01,10.01,10.01,10.01,100,2021-09-23 19:59:00,PGRWU
9.98,10.01,9.98,10.01,151200,2021-09-28 18:43:00,PGRWU
10.01,10.01,10.01,10.01,400,2021-09-28 19:18:00,PGRWU
9.98,9.98,9.98,9.98,100,2021-09-29 14:11:00,PGRWU
9.97,9.97,9.97,9.97,100,2021-09-30 16:30:00,PGRWU
9.97,9.97,9.97,9.97,100,2021-09-30 16:38:00,PGRWU
9.99,10.01,9.99,10.01,2441,2021-09-30 18:08:00,PGRWU
9.96,9.96,9.92,9.92,800,2021-10-01 13:37:00,PGRWU
10.05,10.05,10.05,10.05,100,2021-10-01 13:43:00,PGRWU
9.991,9.991,9.991,9.991,300,2021-10-01 18:01:00,PGRWU
9.98,9.98,9.98,9.98,100,2021-10-04 15:02:00,PGRWU
10.0,10.0,10.0,10.0,412,2021-10-04 15:16:00,PGRWU
10.0,10.0,9.99,10.0,20366,2021-10-04 17:37:00,PGRWU
9.975,9.975,9.975,9.975,100,2021-10-06 14:59:00,PGRWU
9.94,9.94,9.94,9.94,150,2021-10-07 13:34:00,PGRWU
9.975,9.975,9.975,9.975,500,2021-10-07 14:52:00,PGRWU
