open,high,low,close,volume,datetime,symbol
0.5621,0.5621,0.561,0.561,905,2021-08-23 11:45:00,CXDC
0.5611,0.5611,0.5611,0.5611,429,2021-08-23 12:00:00,CXDC
0.5606,0.5606,0.5606,0.5606,381,2021-08-23 12:02:00,CXDC
0.5606,0.5606,0.5606,0.5606,100,2021-08-23 12:05:00,CXDC
0.5606,0.5606,0.5606,0.5606,1100,2021-08-23 12:09:00,CXDC
0.5606,0.5606,0.5606,0.5606,175,2021-08-23 12:11:00,CXDC
0.5606,0.5611,0.558,0.5611,2712,2021-08-23 12:45:00,CXDC
0.5606,0.5606,0.5606,0.5606,200,2021-08-23 12:48:00,CXDC
0.56,0.56,0.56,0.56,500,2021-08-23 12:50:00,CXDC
0.56,0.56,0.56,0.56,300,2021-08-23 13:09:00,CXDC
0.56,0.5611,0.56,0.5611,547,2021-08-23 13:25:00,CXDC
0.56,0.56,0.56,0.56,8200,2021-08-23 13:26:00,CXDC
0.5536,0.58,0.5523,0.5636,44523,2021-08-23 13:30:00,CXDC
0.57,0.57,0.57,0.57,600,2021-08-23 13:31:00,CXDC
0.56,0.56,0.5522,0.5522,2600,2021-08-23 13:32:00,CXDC
0.56,0.56,0.5522,0.5522,1010,2021-08-23 13:33:00,CXDC
0.56,0.56,0.56,0.56,1900,2021-08-23 13:34:00,CXDC
0.5689,0.5689,0.5538,0.5538,1268,2021-08-23 13:37:00,CXDC
0.5689,0.5689,0.5502,0.5596,875,2021-08-23 13:38:00,CXDC
0.5689,0.569,0.5689,0.5689,1023,2021-08-23 13:39:00,CXDC
0.569,0.569,0.569,0.569,8000,2021-08-23 13:41:00,CXDC
0.5689,0.5689,0.5523,0.552401,13436,2021-08-23 13:42:00,CXDC
0.569,0.57,0.5523,0.5523,3508,2021-08-23 13:43:00,CXDC
0.56,0.56,0.56,0.56,677,2021-08-23 13:45:00,CXDC
0.5537,0.5691,0.5537,0.5691,700,2021-08-23 13:46:00,CXDC
0.553601,0.553601,0.5536,0.5536,7281,2021-08-23 13:47:00,CXDC
0.5646,0.5646,0.5646,0.5646,200,2021-08-23 13:48:00,CXDC
0.569,0.569,0.56,0.56,3540,2021-08-23 13:50:00,CXDC
0.56,0.56,0.56,0.56,179,2021-08-23 13:51:00,CXDC
0.56,0.56,0.56,0.56,1400,2021-08-23 13:54:00,CXDC
0.5596,0.5596,0.5596,0.5596,3433,2021-08-23 13:57:00,CXDC
0.5582,0.559,0.5582,0.5582,2872,2021-08-23 13:58:00,CXDC
0.5596,0.5596,0.5596,0.5596,369,2021-08-23 13:59:00,CXDC
0.56,0.56,0.5536,0.5536,8266,2021-08-23 14:00:00,CXDC
0.5582,0.5582,0.5536,0.5536,600,2021-08-23 14:01:00,CXDC
0.5536,0.5582,0.5536,0.5536,850,2021-08-23 14:02:00,CXDC
0.5582,0.5582,0.553,0.553,1100,2021-08-23 14:03:00,CXDC
0.559899,0.559899,0.559899,0.559899,100,2021-08-23 14:04:00,CXDC
0.559899,0.559899,0.559899,0.559899,480,2021-08-23 14:05:00,CXDC
0.5586,0.5586,0.5586,0.5586,153,2021-08-23 14:06:00,CXDC
0.55507,0.55507,0.55507,0.55507,1880,2021-08-23 14:08:00,CXDC
0.5531,0.5531,0.5531,0.5531,1000,2021-08-23 14:09:00,CXDC
0.553001,0.5599,0.553001,0.5599,1000,2021-08-23 14:10:00,CXDC
0.555,0.555,0.555,0.555,980,2021-08-23 14:12:00,CXDC
0.5551,0.5551,0.5551,0.5551,200,2021-08-23 14:13:00,CXDC
0.555,0.555,0.553,0.553,4600,2021-08-23 14:14:00,CXDC
0.553,0.553,0.535,0.535,36887,2021-08-23 14:15:00,CXDC
0.535,0.541499,0.535,0.539751,4860,2021-08-23 14:16:00,CXDC
0.5399,0.548,0.535,0.54495,3523,2021-08-23 14:17:00,CXDC
0.545,0.55,0.5399,0.55,9000,2021-08-23 14:20:00,CXDC
0.5499,0.55,0.549496,0.55,2658,2021-08-23 14:21:00,CXDC
0.55,0.55,0.55,0.55,500,2021-08-23 14:26:00,CXDC
0.5549,0.5549,0.5549,0.5549,1730,2021-08-23 14:27:00,CXDC
0.5401,0.5401,0.5401,0.5401,1500,2021-08-23 14:28:00,CXDC
0.5598,0.5598,0.5598,0.5598,1000,2021-08-23 14:29:00,CXDC
0.5598,0.5598,0.5598,0.5598,2000,2021-08-23 14:30:00,CXDC
0.55,0.55,0.535,0.535,27326,2021-08-23 14:33:00,CXDC
0.548,0.548,0.548,0.548,1035,2021-08-23 14:35:00,CXDC
0.548,0.548,0.548,0.548,250,2021-08-23 14:36:00,CXDC
0.548,0.548,0.548,0.548,800,2021-08-23 14:37:00,CXDC
0.5539,0.5539,0.5539,0.5539,200,2021-08-23 14:39:00,CXDC
0.548,0.548101,0.548,0.548101,8491,2021-08-23 14:42:00,CXDC
0.5399,0.5399,0.5399,0.5399,6599,2021-08-23 14:45:00,CXDC
0.5398,0.5398,0.5398,0.5398,1000,2021-08-23 14:46:00,CXDC
0.5485,0.5485,0.5485,0.5485,100,2021-08-23 14:48:00,CXDC
0.548,0.5481,0.544,0.5481,10970,2021-08-23 14:50:00,CXDC
0.5539,0.5539,0.5537,0.5537,300,2021-08-23 14:51:00,CXDC
0.5594,0.5594,0.5594,0.5594,500,2021-08-23 14:52:00,CXDC
0.548,0.5593,0.548,0.5537,2300,2021-08-23 14:54:00,CXDC
0.5537,0.5537,0.5537,0.5537,100,2021-08-23 14:55:00,CXDC
0.559299,0.559299,0.559299,0.559299,1000,2021-08-23 14:56:00,CXDC
0.5593,0.5593,0.5593,0.5593,271,2021-08-23 15:00:00,CXDC
0.548,0.5502,0.548,0.5502,2800,2021-08-23 15:05:00,CXDC
0.558,0.558,0.558,0.558,500,2021-08-23 15:06:00,CXDC
0.55,0.55,0.5481,0.5481,2795,2021-08-23 15:07:00,CXDC
0.557999,0.557999,0.548,0.548,1600,2021-08-23 15:08:00,CXDC
0.548,0.548,0.548,0.548,450,2021-08-23 15:10:00,CXDC
0.558,0.558,0.558,0.558,100,2021-08-23 15:14:00,CXDC
0.55,0.55,0.55,0.55,600,2021-08-23 15:16:00,CXDC
0.55,0.55,0.55,0.55,300,2021-08-23 15:17:00,CXDC
0.548,0.548,0.548,0.548,7399,2021-08-23 15:18:00,CXDC
0.5425,0.5425,0.5425,0.5425,200,2021-08-23 15:20:00,CXDC
0.54,0.5424,0.539996,0.5424,6188,2021-08-23 15:22:00,CXDC
0.5425,0.549649,0.5425,0.549649,767,2021-08-23 15:23:00,CXDC
0.5589,0.5589,0.5589,0.5589,1000,2021-08-23 15:24:00,CXDC
0.549101,0.549101,0.549101,0.549101,1000,2021-08-23 15:25:00,CXDC
0.545101,0.545101,0.5402,0.5402,200,2021-08-23 15:26:00,CXDC
0.55,0.55,0.55,0.55,200,2021-08-23 15:28:00,CXDC
0.55,0.5547,0.5402,0.5501,31683,2021-08-23 15:29:00,CXDC
0.5501,0.5501,0.5501,0.5501,7027,2021-08-23 15:30:00,CXDC
0.55,0.550251,0.5402,0.5402,11217,2021-08-23 15:32:00,CXDC
0.555,0.555,0.5476,0.548,1500,2021-08-23 15:33:00,CXDC
0.5498,0.5498,0.5498,0.5498,400,2021-08-23 15:34:00,CXDC
0.552501,0.552501,0.552501,0.552501,1000,2021-08-23 15:35:00,CXDC
