open,high,low,close,volume,datetime,symbol
18.44,18.6,18.44,18.6,200,2021-08-23 11:28:00,EXEL
18.44,18.44,18.44,18.44,1400,2021-08-23 11:30:00,EXEL
18.6,18.6,18.6,18.6,300,2021-08-23 12:01:00,EXEL
18.5035,18.5035,18.5035,18.5035,500,2021-08-23 13:17:00,EXEL
18.5218,18.5218,18.5218,18.5218,100,2021-08-23 13:27:00,EXEL
18.6,18.6,18.55,18.6,14161,2021-08-23 13:30:00,EXEL
18.63,18.63,18.63,18.63,100,2021-08-23 13:31:00,EXEL
18.6,18.66,18.6,18.631,3544,2021-08-23 13:32:00,EXEL
18.68,18.7,18.64,18.6799,5559,2021-08-23 13:33:00,EXEL
18.68,18.71,18.641,18.7,4005,2021-08-23 13:34:00,EXEL
18.695,18.7,18.68,18.7,2062,2021-08-23 13:35:00,EXEL
18.68,18.68,18.64,18.65,2953,2021-08-23 13:36:00,EXEL
18.63,18.7199,18.63,18.7199,1530,2021-08-23 13:37:00,EXEL
18.68,18.68,18.65,18.65,1100,2021-08-23 13:38:00,EXEL
18.61,18.61,18.59,18.59,2488,2021-08-23 13:39:00,EXEL
18.5864,18.6174,18.5864,18.6174,1300,2021-08-23 13:40:00,EXEL
18.61,18.67,18.6,18.67,3200,2021-08-23 13:41:00,EXEL
18.7,18.7,18.65,18.66,800,2021-08-23 13:42:00,EXEL
18.63,18.63,18.61,18.61,400,2021-08-23 13:43:00,EXEL
18.63,18.65,18.6,18.6125,1055,2021-08-23 13:44:00,EXEL
18.65,18.65,18.6,18.65,903,2021-08-23 13:45:00,EXEL
18.65,18.7,18.65,18.7,458,2021-08-23 13:46:00,EXEL
18.7,18.72,18.7,18.71,1326,2021-08-23 13:47:00,EXEL
18.7334,18.7334,18.7226,18.7226,600,2021-08-23 13:48:00,EXEL
18.74,18.75,18.74,18.74,923,2021-08-23 13:49:00,EXEL
18.73,18.73,18.69,18.69,1400,2021-08-23 13:50:00,EXEL
18.69,18.7,18.67,18.7,800,2021-08-23 13:51:00,EXEL
18.6799,18.71,18.6799,18.68,1363,2021-08-23 13:52:00,EXEL
18.66,18.66,18.66,18.66,100,2021-08-23 13:53:00,EXEL
18.66,18.68,18.645,18.68,2786,2021-08-23 13:54:00,EXEL
18.71,18.71,18.66,18.6874,2529,2021-08-23 13:55:00,EXEL
18.6999,18.71,18.69,18.71,1776,2021-08-23 13:56:00,EXEL
18.7445,18.7445,18.7445,18.7445,500,2021-08-23 13:57:00,EXEL
18.73,18.73,18.7,18.71,15995,2021-08-23 13:58:00,EXEL
18.72,18.72,18.7192,18.72,1477,2021-08-23 13:59:00,EXEL
18.75,18.75,18.75,18.75,441,2021-08-23 14:00:00,EXEL
18.75,18.75,18.745,18.745,500,2021-08-23 14:02:00,EXEL
18.76,18.78,18.75,18.78,3492,2021-08-23 14:03:00,EXEL
18.77,18.77,18.75,18.75,600,2021-08-23 14:04:00,EXEL
18.76,18.78,18.7301,18.76,5720,2021-08-23 14:05:00,EXEL
18.76,18.78,18.76,18.78,400,2021-08-23 14:06:00,EXEL
18.75,18.75,18.72,18.72,6770,2021-08-23 14:07:00,EXEL
18.72,18.72,18.7,18.7,3195,2021-08-23 14:08:00,EXEL
18.73,18.73,18.72,18.72,711,2021-08-23 14:09:00,EXEL
18.74,18.745,18.72,18.745,1156,2021-08-23 14:10:00,EXEL
18.75,18.78,18.75,18.78,2297,2021-08-23 14:11:00,EXEL
18.765,18.78,18.76,18.78,1000,2021-08-23 14:12:00,EXEL
18.78,18.845,18.78,18.845,16325,2021-08-23 14:13:00,EXEL
18.83,18.83,18.8,18.8,3200,2021-08-23 14:14:00,EXEL
18.79,18.8,18.78,18.79,2093,2021-08-23 14:15:00,EXEL
18.79,18.79,18.78,18.785,300,2021-08-23 14:16:00,EXEL
18.785,18.79,18.78,18.79,3399,2021-08-23 14:17:00,EXEL
18.795,18.795,18.795,18.795,300,2021-08-23 14:18:00,EXEL
18.81,18.81,18.789,18.79,1526,2021-08-23 14:19:00,EXEL
18.8,18.83,18.8,18.8217,1400,2021-08-23 14:20:00,EXEL
18.83,18.83,18.81,18.81,938,2021-08-23 14:21:00,EXEL
18.8,18.81,18.795,18.795,960,2021-08-23 14:22:00,EXEL
18.7915,18.7915,18.7915,18.7915,100,2021-08-23 14:23:00,EXEL
18.8,18.8,18.8,18.8,1000,2021-08-23 14:24:00,EXEL
18.81,18.81,18.77,18.77,1550,2021-08-23 14:25:00,EXEL
18.76,18.77,18.76,18.77,440,2021-08-23 14:26:00,EXEL
18.755,18.78,18.755,18.7701,600,2021-08-23 14:27:00,EXEL
18.7801,18.7801,18.76,18.76,838,2021-08-23 14:28:00,EXEL
18.7699,18.77,18.7699,18.77,7028,2021-08-23 14:29:00,EXEL
18.78,18.79,18.78,18.79,1300,2021-08-23 14:30:00,EXEL
18.78,18.79,18.78,18.79,300,2021-08-23 14:31:00,EXEL
18.7854,18.83,18.7854,18.83,5977,2021-08-23 14:32:00,EXEL
18.84,18.84,18.82,18.82,900,2021-08-23 14:33:00,EXEL
18.8101,18.84,18.81,18.84,6150,2021-08-23 14:34:00,EXEL
18.8422,18.8422,18.84,18.84,604,2021-08-23 14:35:00,EXEL
18.87,18.87,18.87,18.87,100,2021-08-23 14:36:00,EXEL
18.86,18.89,18.85,18.89,5000,2021-08-23 14:37:00,EXEL
18.9,18.9,18.87,18.87,3046,2021-08-23 14:38:00,EXEL
18.8614,18.865,18.86,18.86,900,2021-08-23 14:39:00,EXEL
18.86,18.87,18.85,18.87,2371,2021-08-23 14:40:00,EXEL
18.86,18.87,18.855,18.86,2700,2021-08-23 14:41:00,EXEL
18.87,18.88,18.86,18.86,5434,2021-08-23 14:42:00,EXEL
18.86,18.86,18.86,18.86,1162,2021-08-23 14:43:00,EXEL
18.87,18.88,18.86,18.87,4175,2021-08-23 14:44:00,EXEL
18.87,18.88,18.87,18.87,1588,2021-08-23 14:45:00,EXEL
18.88,18.89,18.87,18.89,4379,2021-08-23 14:46:00,EXEL
18.88,18.91,18.88,18.905,4883,2021-08-23 14:48:00,EXEL
18.9,18.9,18.89,18.895,1980,2021-08-23 14:49:00,EXEL
18.9,18.9,18.9,18.9,1850,2021-08-23 14:50:00,EXEL
18.89,18.895,18.88,18.88,2331,2021-08-23 14:51:00,EXEL
18.9,18.91,18.89,18.9084,2735,2021-08-23 14:52:00,EXEL
18.91,18.93,18.91,18.91,15232,2021-08-23 14:53:00,EXEL
18.91,18.96,18.91,18.9598,13148,2021-08-23 14:54:00,EXEL
18.96,18.96,18.958,18.958,1391,2021-08-23 14:55:00,EXEL
18.964,18.964,18.93,18.94,2200,2021-08-23 14:56:00,EXEL
18.94,18.94,18.94,18.94,100,2021-08-23 14:57:00,EXEL
18.94,18.94,18.92,18.92,1338,2021-08-23 14:58:00,EXEL
18.9,18.913,18.9,18.913,596,2021-08-23 14:59:00,EXEL
18.93,18.95,18.93,18.95,1400,2021-08-23 15:00:00,EXEL
18.95,19.0,18.93,18.9999,20029,2021-08-23 15:01:00,EXEL
18.99,18.99,18.9533,18.96,1000,2021-08-23 15:02:00,EXEL
18.95,18.96,18.94,18.94,1947,2021-08-23 15:03:00,EXEL
18.945,18.945,18.945,18.945,400,2021-08-23 15:04:00,EXEL
18.9415,18.95,18.9415,18.95,1390,2021-08-23 15:05:00,EXEL
18.95,18.95,18.95,18.95,100,2021-08-23 15:06:00,EXEL
18.9598,18.9598,18.92,18.93,3501,2021-08-23 15:07:00,EXEL
18.93,18.93,18.89,18.91,2328,2021-08-23 15:08:00,EXEL
18.911,18.911,18.9,18.91,900,2021-08-23 15:09:00,EXEL
18.91,18.91,18.91,18.91,100,2021-08-23 15:10:00,EXEL
18.91,18.91,18.9,18.9,300,2021-08-23 15:11:00,EXEL
18.89,18.895,18.882,18.89,2388,2021-08-23 15:13:00,EXEL
18.88,18.88,18.8614,18.8614,831,2021-08-23 15:14:00,EXEL
18.87,18.89,18.87,18.89,1300,2021-08-23 15:15:00,EXEL
18.89,18.89,18.86,18.87,2297,2021-08-23 15:16:00,EXEL
18.86,18.86,18.86,18.86,100,2021-08-23 15:17:00,EXEL
18.85,18.85,18.85,18.85,100,2021-08-23 15:18:00,EXEL
18.86,18.872,18.86,18.872,2500,2021-08-23 15:19:00,EXEL
18.87,18.87,18.85,18.85,1300,2021-08-23 15:20:00,EXEL
18.84,18.86,18.84,18.86,2100,2021-08-23 15:21:00,EXEL
18.87,18.88,18.87,18.88,800,2021-08-23 15:22:00,EXEL
18.89,18.89,18.88,18.88,400,2021-08-23 15:23:00,EXEL
18.87,18.87,18.87,18.87,200,2021-08-23 15:24:00,EXEL
18.88,18.88,18.88,18.88,400,2021-08-23 15:25:00,EXEL
18.88,18.88,18.87,18.8726,8000,2021-08-23 15:26:00,EXEL
18.88,18.88,18.88,18.88,200,2021-08-23 15:27:00,EXEL
18.87,18.87,18.86,18.87,1200,2021-08-23 15:28:00,EXEL
18.865,18.88,18.865,18.88,700,2021-08-23 15:29:00,EXEL
18.875,18.8799,18.875,18.8799,1600,2021-08-23 15:30:00,EXEL
18.87,18.87,18.86,18.86,1121,2021-08-23 15:31:00,EXEL
18.86,18.87,18.86,18.87,828,2021-08-23 15:32:00,EXEL
18.87,18.89,18.865,18.89,2800,2021-08-23 15:33:00,EXEL
18.89,18.9,18.89,18.89,1103,2021-08-23 15:34:00,EXEL
18.89,18.89,18.89,18.89,100,2021-08-23 15:35:00,EXEL
18.89,18.8978,18.89,18.89,1518,2021-08-23 15:36:00,EXEL
18.88,18.88,18.87,18.875,1000,2021-08-23 15:37:00,EXEL
18.8701,18.875,18.87,18.875,400,2021-08-23 15:38:00,EXEL
18.875,18.875,18.87,18.87,300,2021-08-23 15:39:00,EXEL
18.86,18.865,18.86,18.865,200,2021-08-23 15:40:00,EXEL
18.8619,18.865,18.8619,18.865,350,2021-08-23 15:41:00,EXEL
18.8664,18.88,18.8664,18.88,5300,2021-08-23 15:42:00,EXEL
18.88,18.88,18.865,18.87,600,2021-08-23 15:43:00,EXEL
18.88,18.88,18.8647,18.87,1300,2021-08-23 15:45:00,EXEL
18.86,18.86,18.84,18.85,1676,2021-08-23 15:46:00,EXEL
18.855,18.86,18.84,18.8421,650,2021-08-23 15:47:00,EXEL
18.8457,18.8457,18.8457,18.8457,1000,2021-08-23 15:48:00,EXEL
18.85,18.85,18.85,18.85,1000,2021-08-23 15:49:00,EXEL
18.84,18.84,18.84,18.84,200,2021-08-23 15:50:00,EXEL
18.83,18.83,18.81,18.82,3400,2021-08-23 15:51:00,EXEL
18.82,18.82,18.81,18.82,5459,2021-08-23 15:52:00,EXEL
18.82,18.8211,18.82,18.82,1184,2021-08-23 15:53:00,EXEL
18.82,18.83,18.82,18.83,1607,2021-08-23 15:54:00,EXEL
18.84,18.85,18.84,18.85,1100,2021-08-23 15:55:00,EXEL
18.85,18.855,18.85,18.855,300,2021-08-23 15:56:00,EXEL
18.85,18.85,18.8482,18.8482,700,2021-08-23 15:57:00,EXEL
18.84,18.84,18.83,18.83,500,2021-08-23 15:58:00,EXEL
18.83,18.83,18.83,18.83,300,2021-08-23 15:59:00,EXEL
18.84,18.84,18.84,18.84,641,2021-08-23 16:00:00,EXEL
18.83,18.84,18.79,18.8,7700,2021-08-23 16:01:00,EXEL
18.8,18.81,18.8,18.81,600,2021-08-23 16:02:00,EXEL
18.8,18.8,18.79,18.79,300,2021-08-23 16:03:00,EXEL
18.79,18.82,18.79,18.82,14704,2021-08-23 16:04:00,EXEL
18.83,18.83,18.82,18.82,1700,2021-08-23 16:05:00,EXEL
18.82,18.82,18.8,18.8,2298,2021-08-23 16:06:00,EXEL
18.79,18.79,18.79,18.79,200,2021-08-23 16:07:00,EXEL
18.78,18.78,18.77,18.77,250,2021-08-23 16:08:00,EXEL
18.79,18.7917,18.79,18.79,2624,2021-08-23 16:09:00,EXEL
18.78,18.78,18.78,18.78,300,2021-08-23 16:11:00,EXEL
18.78,18.78,18.78,18.78,394,2021-08-23 16:13:00,EXEL
18.77,18.78,18.77,18.78,2618,2021-08-23 16:14:00,EXEL
18.78,18.795,18.78,18.795,1678,2021-08-23 16:15:00,EXEL
18.79,18.79,18.79,18.79,400,2021-08-23 16:16:00,EXEL
18.8,18.8,18.79,18.79,1400,2021-08-23 16:17:00,EXEL
18.78,18.78,18.77,18.77,1400,2021-08-23 16:18:00,EXEL
18.78,18.78,18.77,18.77,1249,2021-08-23 16:19:00,EXEL
18.78,18.78,18.7755,18.7755,444,2021-08-23 16:20:00,EXEL
18.77,18.77,18.7557,18.7557,3511,2021-08-23 16:21:00,EXEL
18.77,18.77,18.77,18.77,300,2021-08-23 16:22:00,EXEL
18.775,18.79,18.775,18.79,1900,2021-08-23 16:25:00,EXEL
18.8,18.82,18.8,18.82,1219,2021-08-23 16:26:00,EXEL
18.8,18.8,18.8,18.8,881,2021-08-23 16:27:00,EXEL
18.8,18.8,18.795,18.795,400,2021-08-23 16:31:00,EXEL
18.8,18.81,18.8,18.81,1134,2021-08-23 16:32:00,EXEL
18.82,18.82,18.82,18.82,1021,2021-08-23 16:33:00,EXEL
18.83,18.84,18.83,18.84,4520,2021-08-23 16:34:00,EXEL
18.83,18.83,18.83,18.83,120,2021-08-23 16:35:00,EXEL
18.835,18.835,18.821,18.821,1326,2021-08-23 16:36:00,EXEL
18.825,18.825,18.825,18.825,112,2021-08-23 16:37:00,EXEL
18.83,18.835,18.83,18.835,667,2021-08-23 16:38:00,EXEL
18.84,18.85,18.84,18.85,2600,2021-08-23 16:39:00,EXEL
18.845,18.845,18.835,18.835,2233,2021-08-23 16:40:00,EXEL
18.835,18.8358,18.825,18.825,6850,2021-08-23 16:41:00,EXEL
18.83,18.83,18.825,18.83,1183,2021-08-23 16:42:00,EXEL
18.83,18.83,18.83,18.83,200,2021-08-23 16:43:00,EXEL
18.835,18.835,18.825,18.825,908,2021-08-23 16:44:00,EXEL
18.83,18.835,18.83,18.83,1000,2021-08-23 16:45:00,EXEL
18.833,18.833,18.83,18.8319,900,2021-08-23 16:46:00,EXEL
18.83,18.83,18.83,18.83,200,2021-08-23 16:47:00,EXEL
18.83,18.83,18.83,18.83,300,2021-08-23 16:48:00,EXEL
18.82,18.82,18.82,18.82,300,2021-08-23 16:50:00,EXEL
18.81,18.81,18.805,18.805,300,2021-08-23 16:51:00,EXEL
18.81,18.8204,18.81,18.82,1616,2021-08-23 16:52:00,EXEL
18.82,18.84,18.82,18.84,900,2021-08-23 16:53:00,EXEL
18.85,18.86,18.85,18.86,3104,2021-08-23 16:54:00,EXEL
18.865,18.865,18.865,18.865,300,2021-08-23 16:55:00,EXEL
18.865,18.865,18.86,18.86,1400,2021-08-23 16:56:00,EXEL
18.8599,18.8599,18.8518,18.8518,415,2021-08-23 16:57:00,EXEL
18.86,18.86,18.85,18.85,300,2021-08-23 16:58:00,EXEL
18.855,18.88,18.855,18.88,3763,2021-08-23 16:59:00,EXEL
18.88,18.8844,18.88,18.8844,450,2021-08-23 17:00:00,EXEL
18.88,18.88,18.88,18.88,312,2021-08-23 17:01:00,EXEL
18.88,18.88,18.88,18.88,100,2021-08-23 17:02:00,EXEL
18.87,18.87,18.855,18.855,4540,2021-08-23 17:03:00,EXEL
18.86,18.8617,18.86,18.86,501,2021-08-23 17:04:00,EXEL
18.85,18.85,18.85,18.85,200,2021-08-23 17:05:00,EXEL
18.85,18.85,18.85,18.85,300,2021-08-23 17:06:00,EXEL
18.85,18.85,18.84,18.84,400,2021-08-23 17:07:00,EXEL
18.84,18.84,18.84,18.84,200,2021-08-23 17:08:00,EXEL
18.85,18.86,18.85,18.86,1101,2021-08-23 17:09:00,EXEL
18.86,18.86,18.8563,18.8563,400,2021-08-23 17:10:00,EXEL
18.85,18.85,18.8486,18.85,1205,2021-08-23 17:11:00,EXEL
18.85,18.85,18.85,18.85,300,2021-08-23 17:12:00,EXEL
18.85,18.85,18.85,18.85,100,2021-08-23 17:13:00,EXEL
18.85,18.86,18.85,18.85,2055,2021-08-23 17:15:00,EXEL
