open,high,low,close,volume,datetime,symbol
25.45,25.45,25.45,25.45,100,2021-08-23 18:17:00,FDUSZ
25.395,25.44,25.395,25.44,200,2021-08-23 18:18:00,FDUSZ
25.4071,25.4071,25.4071,25.4071,300,2021-08-23 19:18:00,FDUSZ
25.4499,25.4499,25.4499,25.4499,100,2021-08-24 18:08:00,FDUSZ
25.34,25.395,25.34,25.395,200,2021-08-24 18:31:00,FDUSZ
25.34,25.34,25.34,25.34,135,2021-08-24 18:56:00,FDUSZ
25.35,25.35,25.35,25.35,108,2021-08-25 15:17:00,FDUSZ
25.405,25.405,25.405,25.405,200,2021-08-25 16:41:00,FDUSZ
25.4185,25.4185,25.4185,25.4185,200,2021-08-25 16:47:00,FDUSZ
25.4481,25.4481,25.4481,25.4481,119,2021-08-25 18:37:00,FDUSZ
25.4185,25.4185,25.4185,25.4185,200,2021-08-25 19:07:00,FDUSZ
25.43,25.43,25.43,25.43,200,2021-08-25 19:15:00,FDUSZ
25.36,25.36,25.36,25.36,486,2021-08-27 17:32:00,FDUSZ
25.37,25.37,25.37,25.37,100,2021-08-30 17:12:00,FDUSZ
25.37,25.37,25.34,25.34,1445,2021-08-30 17:57:00,FDUSZ
25.395,25.395,25.395,25.395,600,2021-08-30 18:50:00,FDUSZ
25.45,25.45,25.45,25.45,200,2021-08-31 13:31:00,FDUSZ
25.35,25.35,25.35,25.35,100,2021-08-31 14:15:00,FDUSZ
25.35,25.35,25.35,25.35,268,2021-09-02 19:57:00,FDUSZ
25.4529,25.4529,25.4529,25.4529,403,2021-09-08 14:14:00,FDUSZ
25.49,25.5,25.49,25.49,1820,2021-09-08 14:36:00,FDUSZ
25.5,25.5,25.5,25.5,100,2021-09-08 15:29:00,FDUSZ
25.5,25.501,25.5,25.501,1200,2021-09-08 18:33:00,FDUSZ
25.5085,25.5085,25.5085,25.5085,1000,2021-09-08 18:35:00,FDUSZ
25.495,25.495,25.495,25.495,200,2021-09-09 15:17:00,FDUSZ
