open,high,low,close,volume,datetime,symbol
13.85,13.85,13.83,13.83,716,2021-08-23 13:30:00,HONE
13.84,13.87,13.84,13.87,11723,2021-08-23 13:31:00,HONE
13.98,13.98,13.97,13.97,2299,2021-08-23 13:32:00,HONE
13.83,13.83,13.83,13.83,100,2021-08-23 13:33:00,HONE
13.91,13.91,13.91,13.91,500,2021-08-23 13:40:00,HONE
13.89,13.89,13.89,13.89,400,2021-08-23 13:41:00,HONE
13.89,13.89,13.89,13.89,2500,2021-08-23 13:43:00,HONE
13.83,13.83,13.83,13.83,100,2021-08-23 13:44:00,HONE
13.845,13.845,13.845,13.845,100,2021-08-23 13:51:00,HONE
13.87,13.87,13.855,13.87,500,2021-08-23 14:00:00,HONE
13.87,13.87,13.84,13.84,300,2021-08-23 14:04:00,HONE
13.81,13.81,13.8,13.81,800,2021-08-23 14:05:00,HONE
13.82,13.82,13.82,13.82,312,2021-08-23 14:06:00,HONE
13.82,13.82,13.82,13.82,100,2021-08-23 14:08:00,HONE
13.825,13.825,13.82,13.82,200,2021-08-23 14:10:00,HONE
13.825,13.845,13.825,13.845,300,2021-08-23 14:11:00,HONE
13.86,13.87,13.86,13.87,300,2021-08-23 14:15:00,HONE
13.87,13.87,13.87,13.87,100,2021-08-23 14:16:00,HONE
13.87,13.87,13.86,13.86,300,2021-08-23 14:19:00,HONE
13.82,13.82,13.82,13.82,400,2021-08-23 14:26:00,HONE
13.8,13.8,13.8,13.8,600,2021-08-23 14:28:00,HONE
13.82,13.82,13.82,13.82,100,2021-08-23 14:29:00,HONE
13.8,13.8,13.79,13.79,500,2021-08-23 14:30:00,HONE
13.8,13.8,13.795,13.8,600,2021-08-23 14:31:00,HONE
13.8,13.8,13.8,13.8,100,2021-08-23 14:32:00,HONE
13.8,13.8,13.8,13.8,100,2021-08-23 14:33:00,HONE
13.81,13.81,13.81,13.81,208,2021-08-23 14:35:00,HONE
13.82,13.82,13.82,13.82,209,2021-08-23 14:36:00,HONE
13.81,13.81,13.81,13.81,100,2021-08-23 14:37:00,HONE
13.83,13.83,13.83,13.83,385,2021-08-23 14:40:00,HONE
13.83,13.83,13.82,13.82,400,2021-08-23 14:42:00,HONE
13.84,13.84,13.84,13.84,175,2021-08-23 14:56:00,HONE
13.83,13.83,13.83,13.83,100,2021-08-23 14:57:00,HONE
13.82,13.82,13.82,13.82,400,2021-08-23 15:00:00,HONE
13.8,13.82,13.8,13.82,200,2021-08-23 15:01:00,HONE
13.83,13.84,13.82,13.84,932,2021-08-23 15:05:00,HONE
13.81,13.81,13.81,13.81,100,2021-08-23 15:06:00,HONE
13.83,13.83,13.83,13.83,100,2021-08-23 15:10:00,HONE
13.82,13.83,13.81,13.83,800,2021-08-23 15:20:00,HONE
13.84,13.84,13.84,13.84,300,2021-08-23 15:25:00,HONE
13.83,13.84,13.83,13.84,300,2021-08-23 15:31:00,HONE
13.835,13.84,13.835,13.84,200,2021-08-23 15:33:00,HONE
13.83,13.83,13.83,13.83,300,2021-08-23 15:39:00,HONE
13.83,13.83,13.83,13.83,100,2021-08-23 15:40:00,HONE
13.81,13.81,13.81,13.81,100,2021-08-23 15:49:00,HONE
13.82,13.82,13.82,13.82,700,2021-08-23 15:50:00,HONE
13.835,13.835,13.835,13.835,100,2021-08-23 16:01:00,HONE
13.83,13.83,13.83,13.83,100,2021-08-23 16:03:00,HONE
13.83,13.83,13.83,13.83,300,2021-08-23 16:06:00,HONE
13.83,13.83,13.83,13.83,300,2021-08-23 16:14:00,HONE
13.83,13.83,13.83,13.83,100,2021-08-23 16:15:00,HONE
13.84,13.84,13.84,13.84,200,2021-08-23 16:16:00,HONE
13.8434,13.8434,13.8434,13.8434,179,2021-08-23 16:17:00,HONE
13.85,13.85,13.85,13.85,2800,2021-08-23 16:20:00,HONE
13.85,13.85,13.84,13.84,600,2021-08-23 16:25:00,HONE
13.85,13.85,13.85,13.85,100,2021-08-23 16:35:00,HONE
13.85,13.85,13.84,13.84,2180,2021-08-23 16:48:00,HONE
13.82,13.82,13.82,13.82,100,2021-08-23 16:49:00,HONE
13.84,13.84,13.84,13.84,100,2021-08-23 16:52:00,HONE
13.845,13.845,13.845,13.845,100,2021-08-23 17:05:00,HONE
13.85,13.855,13.85,13.855,800,2021-08-23 17:06:00,HONE
13.86,13.86,13.86,13.86,100,2021-08-23 17:08:00,HONE
