open,high,low,close,volume,datetime,symbol
197.82,199.16,197.65,197.82,1674,2021-08-23 13:30:00,ICUI
198.66,198.66,198.66,198.66,200,2021-08-23 13:31:00,ICUI
199.45,199.45,199.45,199.45,100,2021-08-23 13:52:00,ICUI
198.97,199.63,198.97,199.465,400,2021-08-23 13:53:00,ICUI
198.98,199.01,198.97,199.01,400,2021-08-23 13:59:00,ICUI
198.925,198.925,198.925,198.925,210,2021-08-23 14:01:00,ICUI
198.6,198.6,198.6,198.6,100,2021-08-23 14:05:00,ICUI
198.67,198.67,198.67,198.67,100,2021-08-23 14:10:00,ICUI
198.66,198.91,198.66,198.81,601,2021-08-23 14:11:00,ICUI
199.06,199.06,199.06,199.06,400,2021-08-23 14:13:00,ICUI
198.81,198.81,198.81,198.81,200,2021-08-23 14:14:00,ICUI
198.6,198.65,198.53,198.65,600,2021-08-23 14:19:00,ICUI
198.95,198.95,198.73,198.73,300,2021-08-23 14:26:00,ICUI
198.7,198.98,198.7,198.98,200,2021-08-23 14:28:00,ICUI
198.91,198.91,198.91,198.91,100,2021-08-23 14:30:00,ICUI
198.935,198.935,198.935,198.935,100,2021-08-23 14:33:00,ICUI
198.87,198.93,198.82,198.93,300,2021-08-23 14:34:00,ICUI
199.25,199.25,199.2,199.25,400,2021-08-23 14:38:00,ICUI
199.8,199.8,199.8,199.8,100,2021-08-23 14:46:00,ICUI
199.72,199.72,198.98,198.98,1100,2021-08-23 14:51:00,ICUI
198.92,198.92,198.92,198.92,285,2021-08-23 14:53:00,ICUI
198.9725,198.9725,198.9725,198.9725,100,2021-08-23 14:54:00,ICUI
198.88,199.005,198.88,199.005,300,2021-08-23 14:56:00,ICUI
199.05,199.05,199.05,199.05,100,2021-08-23 15:04:00,ICUI
199.12,199.22,199.12,199.22,200,2021-08-23 15:06:00,ICUI
199.075,199.075,199.075,199.075,100,2021-08-23 15:08:00,ICUI
199.08,199.17,199.075,199.15,900,2021-08-23 15:12:00,ICUI
198.91,199.0,198.91,198.98,400,2021-08-23 15:17:00,ICUI
198.98,198.98,198.98,198.98,100,2021-08-23 15:18:00,ICUI
198.98,199.035,198.98,199.035,388,2021-08-23 15:20:00,ICUI
199.35,199.35,199.33,199.33,200,2021-08-23 15:25:00,ICUI
199.44,199.44,199.44,199.44,100,2021-08-23 15:27:00,ICUI
199.45,199.45,199.45,199.45,200,2021-08-23 15:31:00,ICUI
199.57,199.57,199.57,199.57,100,2021-08-23 15:32:00,ICUI
199.4,199.4,199.31,199.31,200,2021-08-23 15:35:00,ICUI
199.16,199.16,199.15,199.15,200,2021-08-23 15:51:00,ICUI
198.93,198.96,198.795,198.96,500,2021-08-23 16:00:00,ICUI
198.59,198.59,198.59,198.59,300,2021-08-23 16:02:00,ICUI
198.42,198.42,198.42,198.42,100,2021-08-23 16:04:00,ICUI
198.63,198.63,198.63,198.63,100,2021-08-23 16:11:00,ICUI
198.35,198.35,198.32,198.32,200,2021-08-23 16:14:00,ICUI
198.39,198.39,198.39,198.39,169,2021-08-23 16:20:00,ICUI
