open,high,low,close,volume,datetime,symbol
13.32,13.32,13.32,13.32,15041,2021-08-23 13:30:00,IRWD
13.36,13.36,13.33,13.33,842,2021-08-23 13:31:00,IRWD
13.27,13.32,13.265,13.32,4466,2021-08-23 13:32:00,IRWD
13.28,13.29,13.27,13.29,839,2021-08-23 13:33:00,IRWD
13.27,13.29,13.24,13.29,6710,2021-08-23 13:34:00,IRWD
13.3,13.32,13.3,13.31,1405,2021-08-23 13:35:00,IRWD
13.32,13.36,13.32,13.35,8348,2021-08-23 13:36:00,IRWD
13.34,13.36,13.33,13.36,3854,2021-08-23 13:37:00,IRWD
13.37,13.37,13.36,13.36,500,2021-08-23 13:38:00,IRWD
13.35,13.35,13.33,13.33,1806,2021-08-23 13:39:00,IRWD
13.335,13.38,13.335,13.37,1503,2021-08-23 13:40:00,IRWD
13.36,13.4,13.35,13.4,5926,2021-08-23 13:41:00,IRWD
13.38,13.4,13.38,13.39,500,2021-08-23 13:42:00,IRWD
13.39,13.39,13.36,13.36,1600,2021-08-23 13:43:00,IRWD
13.36,13.36,13.345,13.345,800,2021-08-23 13:44:00,IRWD
13.33,13.36,13.33,13.34,2584,2021-08-23 13:45:00,IRWD
13.34,13.34,13.34,13.34,100,2021-08-23 13:46:00,IRWD
13.33,13.33,13.3,13.3,1483,2021-08-23 13:47:00,IRWD
13.29,13.305,13.23,13.23,35846,2021-08-23 13:48:00,IRWD
13.23,13.23,13.225,13.225,1134,2021-08-23 13:49:00,IRWD
13.23,13.24,13.21,13.21,5902,2021-08-23 13:50:00,IRWD
13.2,13.2,13.18,13.19,7500,2021-08-23 13:51:00,IRWD
13.18,13.19,13.18,13.19,1948,2021-08-23 13:52:00,IRWD
13.19,13.19,13.18,13.18,616,2021-08-23 13:53:00,IRWD
13.17,13.26,13.165,13.25,10461,2021-08-23 13:54:00,IRWD
13.23,13.23,13.23,13.23,200,2021-08-23 13:55:00,IRWD
13.225,13.23,13.195,13.21,6264,2021-08-23 13:56:00,IRWD
13.205,13.23,13.205,13.23,4953,2021-08-23 13:57:00,IRWD
13.24,13.245,13.19,13.19,17451,2021-08-23 13:58:00,IRWD
13.195,13.2,13.18,13.18,6089,2021-08-23 14:00:00,IRWD
13.18,13.19,13.14,13.14,3771,2021-08-23 14:01:00,IRWD
13.139,13.139,13.1,13.1,2710,2021-08-23 14:02:00,IRWD
13.11,13.14,13.105,13.14,2646,2021-08-23 14:03:00,IRWD
13.14,13.15,13.1,13.105,7388,2021-08-23 14:04:00,IRWD
13.105,13.13,13.1,13.13,22466,2021-08-23 14:05:00,IRWD
13.14,13.14,13.135,13.14,2000,2021-08-23 14:06:00,IRWD
13.145,13.145,13.13,13.13,5827,2021-08-23 14:07:00,IRWD
13.12,13.13,13.12,13.13,2420,2021-08-23 14:08:00,IRWD
13.13,13.1359,13.1,13.1,5454,2021-08-23 14:09:00,IRWD
13.11,13.1193,13.11,13.1193,1420,2021-08-23 14:10:00,IRWD
13.12,13.14,13.12,13.14,2205,2021-08-23 14:11:00,IRWD
13.15,13.16,13.13,13.13,5429,2021-08-23 14:12:00,IRWD
13.13,13.13,13.12,13.12,1637,2021-08-23 14:13:00,IRWD
13.12,13.12,13.11,13.11,500,2021-08-23 14:14:00,IRWD
13.11,13.11,13.04,13.07,34404,2021-08-23 14:15:00,IRWD
13.065,13.09,13.065,13.085,7910,2021-08-23 14:16:00,IRWD
13.08,13.12,13.08,13.12,3632,2021-08-23 14:17:00,IRWD
13.12,13.12,13.115,13.115,4014,2021-08-23 14:18:00,IRWD
13.1199,13.12,13.1128,13.12,3757,2021-08-23 14:19:00,IRWD
13.12,13.12,13.1,13.1,5359,2021-08-23 14:20:00,IRWD
13.09,13.095,13.07,13.07,5546,2021-08-23 14:21:00,IRWD
13.0682,13.09,13.0682,13.09,1855,2021-08-23 14:22:00,IRWD
13.08,13.08,13.0709,13.0709,1201,2021-08-23 14:23:00,IRWD
13.07,13.08,13.07,13.075,1375,2021-08-23 14:24:00,IRWD
13.08,13.08,13.055,13.055,1500,2021-08-23 14:25:00,IRWD
13.055,13.055,13.055,13.055,100,2021-08-23 14:26:00,IRWD
13.06,13.06,13.04,13.04,2185,2021-08-23 14:27:00,IRWD
13.035,13.035,13.021,13.03,2158,2021-08-23 14:28:00,IRWD
13.035,13.065,13.035,13.065,2040,2021-08-23 14:29:00,IRWD
13.07,13.08,13.07,13.08,759,2021-08-23 14:30:00,IRWD
13.07,13.09,13.06,13.09,3267,2021-08-23 14:31:00,IRWD
13.0945,13.12,13.09,13.12,4770,2021-08-23 14:32:00,IRWD
13.12,13.13,13.12,13.13,600,2021-08-23 14:33:00,IRWD
13.13,13.13,13.12,13.13,994,2021-08-23 14:34:00,IRWD
13.135,13.135,13.11,13.12,3900,2021-08-23 14:36:00,IRWD
13.12,13.12,13.11,13.11,1223,2021-08-23 14:37:00,IRWD
