open,high,low,close,volume,datetime,symbol
77.06,77.06,77.06,77.06,100,2021-08-23 11:20:00,SRPT
77.96,77.96,77.96,77.96,100,2021-08-23 11:36:00,SRPT
76.68,76.68,76.68,76.68,100,2021-08-23 11:37:00,SRPT
76.0,76.0,76.0,76.0,500,2021-08-23 13:27:00,SRPT
75.89,75.89,75.56,75.56,7270,2021-08-23 13:30:00,SRPT
75.52,75.66,75.25,75.335,4330,2021-08-23 13:31:00,SRPT
75.0201,75.38,75.0201,75.32,800,2021-08-23 13:32:00,SRPT
75.3344,75.38,75.06,75.06,2460,2021-08-23 13:33:00,SRPT
75.0,75.05,74.83,74.99,5879,2021-08-23 13:34:00,SRPT
74.89,75.04,74.8407,74.8407,6706,2021-08-23 13:35:00,SRPT
74.925,75.0,74.92,74.92,5200,2021-08-23 13:36:00,SRPT
74.98,75.09,74.88,75.0,4512,2021-08-23 13:37:00,SRPT
74.9437,74.97,74.7,74.785,4984,2021-08-23 13:38:00,SRPT
74.865,74.88,74.67,74.7699,5890,2021-08-23 13:39:00,SRPT
74.635,74.77,74.635,74.65,1123,2021-08-23 13:40:00,SRPT
74.65,74.77,74.65,74.65,5292,2021-08-23 13:41:00,SRPT
74.7114,74.7114,74.7114,74.7114,100,2021-08-23 13:42:00,SRPT
74.695,74.77,74.695,74.77,500,2021-08-23 13:43:00,SRPT
74.69,75.11,74.62,74.89,12269,2021-08-23 13:44:00,SRPT
74.97,75.24,74.97,75.24,500,2021-08-23 13:45:00,SRPT
75.3187,75.37,75.18,75.25,8244,2021-08-23 13:46:00,SRPT
75.37,75.57,75.27,75.44,2412,2021-08-23 13:47:00,SRPT
75.64,76.035,75.58,75.99,3584,2021-08-23 13:48:00,SRPT
75.97,76.29,75.93,76.2375,2120,2021-08-23 13:49:00,SRPT
76.17,76.17,75.71,75.72,2838,2021-08-23 13:50:00,SRPT
75.835,75.84,75.75,75.84,1000,2021-08-23 13:51:00,SRPT
75.835,75.835,75.835,75.835,100,2021-08-23 13:52:00,SRPT
75.79,75.79,75.79,75.79,100,2021-08-23 13:53:00,SRPT
75.78,75.95,75.7,75.72,2314,2021-08-23 13:54:00,SRPT
75.82,75.835,75.49,75.49,1500,2021-08-23 13:55:00,SRPT
75.48,75.59,75.41,75.41,6296,2021-08-23 13:56:00,SRPT
75.42,75.55,75.41,75.55,1858,2021-08-23 13:57:00,SRPT
75.41,75.65,75.4,75.565,700,2021-08-23 13:58:00,SRPT
75.56,75.65,75.27,75.27,11075,2021-08-23 13:59:00,SRPT
75.45,75.46,75.2175,75.2175,4803,2021-08-23 14:00:00,SRPT
75.22,75.4,75.22,75.38,9461,2021-08-23 14:01:00,SRPT
75.375,75.56,75.375,75.56,2700,2021-08-23 14:02:00,SRPT
75.66,75.76,75.66,75.76,500,2021-08-23 14:03:00,SRPT
75.85,76.0,75.85,76.0,880,2021-08-23 14:04:00,SRPT
76.18,76.38,76.18,76.225,1927,2021-08-23 14:05:00,SRPT
76.105,76.355,76.105,76.32,9632,2021-08-23 14:06:00,SRPT
76.355,76.57,76.355,76.47,10927,2021-08-23 14:07:00,SRPT
76.36,76.7,76.36,76.7,1804,2021-08-23 14:08:00,SRPT
76.555,76.555,76.555,76.555,412,2021-08-23 14:09:00,SRPT
76.55,76.55,76.42,76.5,700,2021-08-23 14:10:00,SRPT
76.5361,76.63,76.31,76.34,2838,2021-08-23 14:11:00,SRPT
76.345,76.345,76.345,76.345,100,2021-08-23 14:12:00,SRPT
76.35,76.47,76.35,76.365,2986,2021-08-23 14:13:00,SRPT
76.365,76.365,76.29,76.29,500,2021-08-23 14:14:00,SRPT
76.345,76.435,76.345,76.345,300,2021-08-23 14:15:00,SRPT
76.34,76.345,76.34,76.345,520,2021-08-23 14:16:00,SRPT
76.35,76.35,76.205,76.205,1983,2021-08-23 14:17:00,SRPT
76.205,76.205,76.205,76.205,1300,2021-08-23 14:18:00,SRPT
76.12,76.12,75.91,75.934,1248,2021-08-23 14:19:00,SRPT
75.85,75.85,75.85,75.85,300,2021-08-23 14:20:00,SRPT
75.85,75.945,75.85,75.945,210,2021-08-23 14:21:00,SRPT
75.85,75.85,75.85,75.85,200,2021-08-23 14:22:00,SRPT
75.85,75.9176,75.63,75.7093,2230,2021-08-23 14:23:00,SRPT
75.73,75.73,75.56,75.56,1030,2021-08-23 14:24:00,SRPT
75.54,75.54,75.38,75.5,1500,2021-08-23 14:25:00,SRPT
75.51,75.53,75.37,75.425,7241,2021-08-23 14:26:00,SRPT
75.425,75.49,75.33,75.35,14646,2021-08-23 14:28:00,SRPT
75.24,75.24,75.24,75.24,200,2021-08-23 14:29:00,SRPT
75.36,75.36,75.15,75.15,4624,2021-08-23 14:30:00,SRPT
75.115,75.15,75.0,75.1,10825,2021-08-23 14:31:00,SRPT
75.05,75.1,75.05,75.05,600,2021-08-23 14:32:00,SRPT
75.09,75.66,75.06,75.625,5887,2021-08-23 14:33:00,SRPT
75.63,75.81,75.63,75.81,278,2021-08-23 14:34:00,SRPT
75.7,75.7,75.7,75.7,100,2021-08-23 14:35:00,SRPT
75.8,75.8,75.46,75.54,6330,2021-08-23 14:36:00,SRPT
75.51,75.51,75.51,75.51,400,2021-08-23 14:37:00,SRPT
75.52,75.52,75.5096,75.5096,10100,2021-08-23 14:38:00,SRPT
75.465,75.5,75.37,75.44,4934,2021-08-23 14:39:00,SRPT
75.36,75.36,75.25,75.262,5596,2021-08-23 14:40:00,SRPT
75.29,75.37,75.25,75.37,4563,2021-08-23 14:41:00,SRPT
75.38,75.7,75.38,75.7,711,2021-08-23 14:42:00,SRPT
75.81,75.82,75.81,75.82,200,2021-08-23 14:44:00,SRPT
75.98,75.99,75.98,75.99,200,2021-08-23 14:45:00,SRPT
76.095,76.095,75.9901,75.9901,1350,2021-08-23 14:46:00,SRPT
76.105,76.105,76.105,76.105,300,2021-08-23 14:47:00,SRPT
76.09,76.125,75.9841,75.9841,3330,2021-08-23 14:48:00,SRPT
75.99,76.01,75.93,75.93,400,2021-08-23 14:49:00,SRPT
75.905,75.96,75.69,75.69,5303,2021-08-23 14:50:00,SRPT
75.8025,75.8025,75.8025,75.8025,100,2021-08-23 14:51:00,SRPT
75.805,75.8293,75.805,75.8293,996,2021-08-23 14:52:00,SRPT
75.805,75.85,75.735,75.77,7336,2021-08-23 14:53:00,SRPT
75.76,75.79,75.73,75.73,3428,2021-08-23 14:54:00,SRPT
75.73,75.78,75.73,75.73,2229,2021-08-23 14:55:00,SRPT
75.73,75.73,75.701,75.701,390,2021-08-23 14:56:00,SRPT
75.725,75.78,75.72,75.72,2665,2021-08-23 14:57:00,SRPT
75.67,75.67,75.56,75.63,462,2021-08-23 14:58:00,SRPT
75.62,75.87,75.595,75.87,2049,2021-08-23 14:59:00,SRPT
75.92,75.94,75.92,75.94,300,2021-08-23 15:01:00,SRPT
75.81,75.85,75.81,75.85,200,2021-08-23 15:02:00,SRPT
