open,high,low,close,volume,datetime,symbol
1.67,1.68,1.67,1.68,300,2021-08-23 11:48:00,ZCMD
1.68,1.72,1.68,1.72,2807,2021-08-23 11:49:00,ZCMD
1.73,1.75,1.73,1.75,1220,2021-08-23 11:50:00,ZCMD
1.75,1.75,1.75,1.75,318,2021-08-23 11:51:00,ZCMD
1.74,1.74,1.72,1.73,34200,2021-08-23 11:52:00,ZCMD
1.7,1.7,1.7,1.7,300,2021-08-23 11:54:00,ZCMD
1.68,1.68,1.68,1.68,300,2021-08-23 12:10:00,ZCMD
1.68,1.68,1.68,1.68,500,2021-08-23 12:13:00,ZCMD
1.68,1.68,1.68,1.68,100,2021-08-23 12:29:00,ZCMD
1.67,1.67,1.67,1.67,2000,2021-08-23 12:38:00,ZCMD
1.6701,1.6701,1.67,1.67,1400,2021-08-23 12:40:00,ZCMD
1.6601,1.6601,1.6601,1.6601,2400,2021-08-23 12:41:00,ZCMD
1.6601,1.6601,1.6601,1.6601,3500,2021-08-23 12:42:00,ZCMD
1.6601,1.6601,1.6601,1.6601,3300,2021-08-23 12:43:00,ZCMD
1.6601,1.6601,1.6601,1.6601,1100,2021-08-23 12:44:00,ZCMD
1.6601,1.6601,1.6601,1.6601,3100,2021-08-23 12:45:00,ZCMD
1.6601,1.6601,1.66,1.6601,10200,2021-08-23 12:46:00,ZCMD
1.6601,1.6601,1.6601,1.6601,7000,2021-08-23 12:47:00,ZCMD
1.66,1.66,1.65,1.65,300,2021-08-23 12:48:00,ZCMD
1.67,1.67,1.67,1.67,100,2021-08-23 12:49:00,ZCMD
1.67,1.67,1.67,1.67,200,2021-08-23 12:50:00,ZCMD
1.67,1.67,1.67,1.67,100,2021-08-23 12:52:00,ZCMD
1.67,1.67,1.66,1.66,5797,2021-08-23 12:54:00,ZCMD
1.66,1.66,1.66,1.66,4503,2021-08-23 12:55:00,ZCMD
1.64,1.64,1.64,1.64,100,2021-08-23 12:57:00,ZCMD
1.67,1.67,1.67,1.67,100,2021-08-23 13:01:00,ZCMD
1.66,1.66,1.66,1.66,100,2021-08-23 13:02:00,ZCMD
1.67,1.67,1.66,1.67,1100,2021-08-23 13:05:00,ZCMD
1.67,1.67,1.67,1.67,100,2021-08-23 13:06:00,ZCMD
1.67,1.67,1.67,1.67,100,2021-08-23 13:07:00,ZCMD
1.66,1.66,1.66,1.66,3000,2021-08-23 13:08:00,ZCMD
1.66,1.66,1.66,1.66,200,2021-08-23 13:09:00,ZCMD
1.66,1.66,1.66,1.66,1100,2021-08-23 13:10:00,ZCMD
1.66,1.66,1.66,1.66,100,2021-08-23 13:11:00,ZCMD
1.66,1.66,1.66,1.66,1000,2021-08-23 13:13:00,ZCMD
1.66,1.66,1.66,1.66,1200,2021-08-23 13:14:00,ZCMD
1.66,1.66,1.66,1.66,100,2021-08-23 13:15:00,ZCMD
1.66,1.66,1.66,1.66,2000,2021-08-23 13:17:00,ZCMD
1.66,1.66,1.65,1.65,300,2021-08-23 13:18:00,ZCMD
