open,high,low,close,volume,datetime,symbol
33.62,33.62,33.62,33.62,100,2021-10-11 14:11:00,CCB
33.015,33.015,33.015,33.015,100,2021-10-11 15:56:00,CCB
33.035,33.035,33.035,33.035,100,2021-10-11 16:32:00,CCB
33.45,33.45,33.45,33.45,100,2021-10-11 17:10:00,CCB
33.295,33.295,33.295,33.295,100,2021-10-11 17:11:00,CCB
33.48,33.48,33.225,33.225,200,2021-10-11 17:12:00,CCB
33.525,33.525,33.525,33.525,100,2021-10-11 17:16:00,CCB
33.52,33.52,33.52,33.52,100,2021-10-11 17:18:00,CCB
33.49,33.49,33.33,33.33,300,2021-10-11 17:29:00,CCB
33.5,33.66,33.5,33.505,484,2021-10-11 17:36:00,CCB
33.535,33.535,33.535,33.535,142,2021-10-11 17:37:00,CCB
33.42,33.42,33.42,33.42,100,2021-10-11 17:45:00,CCB
33.4952,33.62,33.4952,33.54,492,2021-10-11 17:48:00,CCB
33.55,33.55,33.55,33.55,100,2021-10-11 18:03:00,CCB
33.59,33.59,33.45,33.45,250,2021-10-11 18:12:00,CCB
33.5,33.62,33.5,33.555,5022,2021-10-11 18:13:00,CCB
33.575,33.575,33.575,33.575,136,2021-10-11 18:25:00,CCB
33.64,33.66,33.525,33.66,300,2021-10-11 18:49:00,CCB
33.59,33.59,33.59,33.59,139,2021-10-11 18:51:00,CCB
33.6,33.6,33.56,33.59,1050,2021-10-11 18:54:00,CCB
33.58,33.58,33.58,33.58,200,2021-10-11 18:56:00,CCB
33.57,33.57,33.57,33.57,100,2021-10-11 19:11:00,CCB
33.51,33.52,33.495,33.495,500,2021-10-11 19:14:00,CCB
33.495,33.55,33.495,33.545,300,2021-10-11 19:19:00,CCB
33.54,33.54,33.54,33.54,200,2021-10-11 19:26:00,CCB
33.495,33.495,33.495,33.495,100,2021-10-11 19:27:00,CCB
33.48,33.5,33.48,33.5,200,2021-10-11 19:35:00,CCB
33.25,33.25,33.25,33.25,100,2021-10-11 19:38:00,CCB
33.065,33.065,33.065,33.065,100,2021-10-11 19:55:00,CCB
33.37,33.5,32.87,32.87,1100,2021-10-11 19:57:00,CCB
33.115,33.44,33.115,33.14,500,2021-10-11 19:59:00,CCB
33.3,33.3,33.3,33.3,1183,2021-10-11 20:00:00,CCB
33.59,33.59,33.59,33.59,2013,2021-10-12 13:30:00,CCB
33.25,33.25,33.25,33.25,100,2021-10-12 13:46:00,CCB
