open,high,low,close,volume,datetime,symbol
22.27,22.27,22.27,22.27,724,2021-10-11 14:02:00,EBMT
22.44,22.44,22.44,22.44,1000,2021-10-11 17:53:00,EBMT
22.37,22.44,22.37,22.44,1000,2021-10-11 18:20:00,EBMT
22.44,22.44,22.44,22.44,295,2021-10-11 19:53:00,EBMT
22.44,22.44,22.44,22.44,200,2021-10-11 19:54:00,EBMT
22.44,22.44,22.355,22.4374,4084,2021-10-12 14:35:00,EBMT
22.44,22.44,22.44,22.44,521,2021-10-12 14:36:00,EBMT
22.347,22.347,22.347,22.347,1000,2021-10-12 15:16:00,EBMT
22.3,22.32,22.3,22.3003,600,2021-10-12 15:17:00,EBMT
22.347,22.347,22.347,22.347,1000,2021-10-12 15:18:00,EBMT
22.3192,22.3192,22.3192,22.3192,200,2021-10-12 16:08:00,EBMT
22.3,22.3,22.3,22.3,1042,2021-10-12 16:31:00,EBMT
22.48,22.48,22.48,22.48,300,2021-10-12 17:29:00,EBMT
22.4,22.4,22.39,22.39,300,2021-10-12 18:30:00,EBMT
22.3001,22.3001,22.3001,22.3001,300,2021-10-12 19:41:00,EBMT
22.3925,22.3925,22.3925,22.3925,100,2021-10-12 19:51:00,EBMT
22.4,22.4,22.4,22.4,200,2021-10-13 13:51:00,EBMT
22.4,22.4,22.4,22.4,1200,2021-10-13 13:54:00,EBMT
22.4,22.4,22.4,22.4,2750,2021-10-13 14:11:00,EBMT
22.4,22.4,22.4,22.4,600,2021-10-13 14:13:00,EBMT
22.3,22.31,22.3,22.305,900,2021-10-13 14:30:00,EBMT
22.31,22.31,22.31,22.31,100,2021-10-13 14:33:00,EBMT
22.31,22.31,22.3,22.3,1000,2021-10-13 14:34:00,EBMT
22.3,22.3,22.3,22.3,967,2021-10-13 14:35:00,EBMT
22.37,22.37,22.37,22.37,100,2021-10-13 16:58:00,EBMT
22.26,22.26,22.26,22.26,400,2021-10-13 17:17:00,EBMT
22.3,22.3,22.3,22.3,900,2021-10-13 17:35:00,EBMT
22.35,22.35,22.35,22.35,666,2021-10-13 18:47:00,EBMT
22.325,22.325,22.325,22.325,200,2021-10-13 18:58:00,EBMT
22.26,22.26,22.26,22.26,100,2021-10-13 19:00:00,EBMT
22.31,22.31,22.31,22.31,400,2021-10-14 14:31:00,EBMT
22.355,22.355,22.355,22.355,300,2021-10-14 14:46:00,EBMT
22.35,22.375,22.35,22.375,600,2021-10-14 16:51:00,EBMT
22.375,22.4,22.375,22.3992,1894,2021-10-14 17:22:00,EBMT
22.3998,22.3998,22.3998,22.3998,223,2021-10-14 18:30:00,EBMT
22.4,22.4,22.4,22.4,100,2021-10-14 19:18:00,EBMT
22.35,22.35,22.35,22.35,100,2021-10-14 19:56:00,EBMT
22.4,22.4,22.4,22.4,234,2021-10-14 19:59:00,EBMT
22.45,22.45,22.45,22.45,900,2021-10-15 13:33:00,EBMT
22.4,22.42,22.4,22.4,2800,2021-10-15 13:39:00,EBMT
22.5,22.5,22.5,22.5,200,2021-10-15 13:50:00,EBMT
22.5,22.5,22.5,22.5,900,2021-10-15 13:51:00,EBMT
22.4,22.4,22.4,22.4,2665,2021-10-15 13:52:00,EBMT
22.4,22.4,22.4,22.4,300,2021-10-15 14:14:00,EBMT
22.45,22.45,22.45,22.45,453,2021-10-15 15:26:00,EBMT
22.5,22.5,22.475,22.5,1000,2021-10-15 15:27:00,EBMT
22.5,22.5,22.5,22.5,400,2021-10-15 15:29:00,EBMT
22.5,22.5,22.5,22.5,4310,2021-10-15 15:37:00,EBMT
22.5,22.5,22.5,22.5,100,2021-10-15 16:36:00,EBMT
22.55,22.55,22.55,22.55,377,2021-10-15 16:48:00,EBMT
22.5,22.5,22.5,22.5,320,2021-10-15 17:22:00,EBMT
22.55,22.55,22.55,22.55,100,2021-10-15 18:57:00,EBMT
22.5,22.5,22.5,22.5,100,2021-10-15 19:21:00,EBMT
22.5046,22.5046,22.5046,22.5046,400,2021-10-15 19:41:00,EBMT
22.5,22.515,22.5,22.515,776,2021-10-15 19:42:00,EBMT
22.5014,22.5014,22.5014,22.5014,500,2021-10-15 19:44:00,EBMT
22.5,22.5,22.5,22.5,200,2021-10-15 19:55:00,EBMT
22.5,22.5,22.5,22.5,400,2021-10-15 19:59:00,EBMT
22.5,22.5,22.5,22.5,207,2021-10-15 20:00:00,EBMT
22.3,22.31,22.3,22.31,300,2021-10-18 14:06:00,EBMT
22.5,22.5,22.5,22.5,273,2021-10-18 14:36:00,EBMT
22.5,22.5,22.5,22.5,100,2021-10-18 16:01:00,EBMT
22.525,22.525,22.525,22.525,100,2021-10-18 16:40:00,EBMT
22.54,22.54,22.54,22.54,150,2021-10-18 17:55:00,EBMT
22.525,22.525,22.525,22.525,100,2021-10-18 18:00:00,EBMT
22.5429,22.5429,22.5429,22.5429,122,2021-10-18 18:11:00,EBMT
22.55,22.55,22.55,22.55,550,2021-10-18 18:32:00,EBMT
22.475,22.475,22.475,22.475,100,2021-10-18 19:23:00,EBMT
22.55,22.55,22.55,22.55,100,2021-10-18 19:57:00,EBMT
22.4,22.4,22.4,22.4,479,2021-10-18 19:59:00,EBMT
22.47,22.47,22.47,22.47,148,2021-10-19 13:30:00,EBMT
22.43,22.43,22.39,22.39,200,2021-10-19 14:12:00,EBMT
22.395,22.395,22.395,22.395,100,2021-10-19 16:50:00,EBMT
